metric,scenario,granularity,series_key,series_label,date,actual_value,model_name,model_origin,model_family,forecast_value,forecast_type,horizon_days,forecast_start_date,run_id,source_artifact,is_baseline,is_challenger,is_deferred,is_selected_champion,risk_status,lower_bound,upper_bound,interval_level,extraction_run_id
HDD - EDB,Enterprise,Region,APC-Dedicated,APC-Dedicated,2026-02-07,59.46692399999999,FixedGrowth_1_5,baseline,growth_baseline,74.0039543745,backtest,11,2026-01-27,full_baseline_20260611_103953,outputs/model_lab/full_baseline/full_baseline_forecasts.csv,True,False,False,False,ok,,,,LEGACY_STAGE05H_VERIFIED_R8FIX0
HDD - EDB,Enterprise,Region,APC-Dedicated,APC-Dedicated,2026-02-08,59.457947,FixedGrowth_1_5,baseline,growth_baseline,74.040753954,backtest,12,2026-01-27,full_baseline_20260611_103953,outputs/model_lab/full_baseline/full_baseline_forecasts.csv,True,False,False,False,ok,,,,LEGACY_STAGE05H_VERIFIED_R8FIX0
HDD - EDB,Enterprise,Region,APC-Dedicated,APC-Dedicated,2026-02-09,58.467617,FixedGrowth_1_5,baseline,growth_baseline,74.0775535335,backtest,13,2026-01-27,full_baseline_20260611_103953,outputs/model_lab/full_baseline/full_baseline_forecasts.csv,True,False,False,False,ok,,,,LEGACY_STAGE05H_VERIFIED_R8FIX0
HDD - EDB,Enterprise,Region,APC-Dedicated,APC-Dedicated,2026-02-10,58.456028,FixedGrowth_1_5,baseline,growth_baseline,74.114353113,backtest,14,2026-01-27,full_baseline_20260611_103953,outputs/model_lab/full_baseline/full_baseline_forecasts.csv,True,False,False,False,ok,,,,LEGACY_STAGE05H_VERIFIED_R8FIX0
HDD - EDB,Enterprise,Region,APC-Dedicated,APC-Dedicated,2026-02-11,57.57802199999999,FixedGrowth_1_5,baseline,growth_baseline,74.1511526925,backtest,15,2026-01-27,full_baseline_20260611_103953,outputs/model_lab/full_baseline/full_baseline_forecasts.csv,True,False,False,False,ok,,,,LEGACY_STAGE05H_VERIFIED_R8FIX0
HDD - EDB,Enterprise,Region,APC-Dedicated,APC-Dedicated,2026-02-12,52.681297,FixedGrowth_1_5,baseline,growth_baseline,74.187952272,backtest,16,2026-01-27,full_baseline_20260611_103953,outputs/model_lab/full_baseline/full_baseline_forecasts.csv,True,False,False,False,ok,,,,LEGACY_STAGE05H_VERIFIED_R8FIX0
HDD - EDB,Enterprise,Region,APC-Dedicated,APC-Dedicated,2026-02-13,51.304186,FixedGrowth_1_5,baseline,growth_baseline,74.2247518515,backtest,17,2026-01-27,full_baseline_20260611_103953,outputs/model_lab/full_baseline/full_baseline_forecasts.csv,True,False,False,False,ok,,,,LEGACY_STAGE05H_VERIFIED_R8FIX0
HDD - EDB,Enterprise,Region,APC-Dedicated,APC-Dedicated,2026-02-14,46.649275,FixedGrowth_1_5,baseline,growth_baseline,74.261551431,backtest,18,2026-01-27,full_baseline_20260611_103953,outputs/model_lab/full_baseline/full_baseline_forecasts.csv,True,False,False,False,ok,,,,LEGACY_STAGE05H_VERIFIED_R8FIX0
HDD - EDB,Enterprise,Region,APC-Dedicated,APC-Dedicated,2026-02-15,44.472818,FixedGrowth_1_5,baseline,growth_baseline,74.2983510105,backtest,19,2026-01-27,full_baseline_20260611_103953,outputs/model_lab/full_baseline/full_baseline_forecasts.csv,True,False,False,False,ok,,,,LEGACY_STAGE05H_VERIFIED_R8FIX0
HDD - EDB,Enterprise,Region,APC-Dedicated,APC-Dedicated,2026-02-16,37.837371,FixedGrowth_1_5,baseline,growth_baseline,74.33515059,backtest,20,2026-01-27,full_baseline_20260611_103953,outputs/model_lab/full_baseline/full_baseline_forecasts.csv,True,False,False,False,ok,,,,LEGACY_STAGE05H_VERIFIED_R8FIX0
HDD - EDB,Enterprise,Region,APC-Dedicated,APC-Dedicated,2026-02-17,33.963292,FixedGrowth_1_5,baseline,growth_baseline,74.3719501695,backtest,21,2026-01-27,full_baseline_20260611_103953,outputs/model_lab/full_baseline/full_baseline_forecasts.csv,True,False,False,False,ok,,,,LEGACY_STAGE05H_VERIFIED_R8FIX0
HDD - EDB,Enterprise,Region,APC-Dedicated,APC-Dedicated,2026-02-18,28.561004000000004,FixedGrowth_1_5,baseline,growth_baseline,74.408749749,backtest,22,2026-01-27,full_baseline_20260611_103953,outputs/model_lab/full_baseline/full_baseline_forecasts.csv,True,False,False,False,ok,,,,LEGACY_STAGE05H_VERIFIED_R8FIX0
HDD - EDB,Enterprise,Region,APC-Dedicated,APC-Dedicated,2026-02-19,28.351481,FixedGrowth_1_5,baseline,growth_baseline,74.4455493285,backtest,23,2026-01-27,full_baseline_20260611_103953,outputs/model_lab/full_baseline/full_baseline_forecasts.csv,True,False,False,False,ok,,,,LEGACY_STAGE05H_VERIFIED_R8FIX0
HDD - EDB,Enterprise,Region,APC-Dedicated,APC-Dedicated,2026-02-20,28.284255,FixedGrowth_1_5,baseline,growth_baseline,74.482348908,backtest,24,2026-01-27,full_baseline_20260611_103953,outputs/model_lab/full_baseline/full_baseline_forecasts.csv,True,False,False,False,ok,,,,LEGACY_STAGE05H_VERIFIED_R8FIX0
HDD - EDB,Enterprise,Region,APC-Dedicated,APC-Dedicated,2026-02-21,28.279591,FixedGrowth_1_5,baseline,growth_baseline,74.5191484875,backtest,25,2026-01-27,full_baseline_20260611_103953,outputs/model_lab/full_baseline/full_baseline_forecasts.csv,True,False,False,False,ok,,,,LEGACY_STAGE05H_VERIFIED_R8FIX0
HDD - EDB,Enterprise,Region,APC-Dedicated,APC-Dedicated,2026-02-22,28.275932,FixedGrowth_1_5,baseline,growth_baseline,74.555948067,backtest,26,2026-01-27,full_baseline_20260611_103953,outputs/model_lab/full_baseline/full_baseline_forecasts.csv,True,False,False,False,ok,,,,LEGACY_STAGE05H_VERIFIED_R8FIX0
HDD - EDB,Enterprise,Region,APC-Dedicated,APC-Dedicated,2026-02-23,28.275932,FixedGrowth_1_5,baseline,growth_baseline,74.5927476465,backtest,27,2026-01-27,full_baseline_20260611_103953,outputs/model_lab/full_baseline/full_baseline_forecasts.csv,True,False,False,False,ok,,,,LEGACY_STAGE05H_VERIFIED_R8FIX0
HDD - EDB,Enterprise,Region,APC-Dedicated,APC-Dedicated,2026-02-24,28.286499,FixedGrowth_1_5,baseline,growth_baseline,74.629547226,backtest,28,2026-01-27,full_baseline_20260611_103953,outputs/model_lab/full_baseline/full_baseline_forecasts.csv,True,False,False,False,ok,,,,LEGACY_STAGE05H_VERIFIED_R8FIX0
HDD - EDB,Enterprise,Region,APC-Dedicated,APC-Dedicated,2026-02-25,28.29214,FixedGrowth_1_5,baseline,growth_baseline,74.6663468055,backtest,29,2026-01-27,full_baseline_20260611_103953,outputs/model_lab/full_baseline/full_baseline_forecasts.csv,True,False,False,False,ok,,,,LEGACY_STAGE05H_VERIFIED_R8FIX0
HDD - EDB,Enterprise,Region,APC-Dedicated,APC-Dedicated,2026-02-26,28.296508,FixedGrowth_1_5,baseline,growth_baseline,74.703146385,backtest,30,2026-01-27,full_baseline_20260611_103953,outputs/model_lab/full_baseline/full_baseline_forecasts.csv,True,False,False,False,ok,,,,LEGACY_STAGE05H_VERIFIED_R8FIX0
HDD - EDB,Enterprise,Region,APC-Dedicated,APC-Dedicated,2026-02-27,28.298672,FixedGrowth_1_5,baseline,growth_baseline,28.310656254,backtest,1,2026-02-26,full_baseline_20260611_103953,outputs/model_lab/full_baseline/full_baseline_forecasts.csv,True,False,False,False,ok,,,,LEGACY_STAGE05H_VERIFIED_R8FIX0
HDD - EDB,Enterprise,Region,APC-Dedicated,APC-Dedicated,2026-02-28,28.299399,FixedGrowth_1_5,baseline,growth_baseline,28.324804508,backtest,2,2026-02-26,full_baseline_20260611_103953,outputs/model_lab/full_baseline/full_baseline_forecasts.csv,True,False,False,False,ok,,,,LEGACY_STAGE05H_VERIFIED_R8FIX0
HDD - EDB,Enterprise,Region,APC-Dedicated,APC-Dedicated,2026-03-01,28.299399,FixedGrowth_1_5,baseline,growth_baseline,28.338952762,backtest,3,2026-02-26,full_baseline_20260611_103953,outputs/model_lab/full_baseline/full_baseline_forecasts.csv,True,False,False,False,ok,,,,LEGACY_STAGE05H_VERIFIED_R8FIX0
HDD - EDB,Enterprise,Region,APC-Dedicated,APC-Dedicated,2026-03-02,28.306543,FixedGrowth_1_5,baseline,growth_baseline,28.353101016,backtest,4,2026-02-26,full_baseline_20260611_103953,outputs/model_lab/full_baseline/full_baseline_forecasts.csv,True,False,False,False,ok,,,,LEGACY_STAGE05H_VERIFIED_R8FIX0
HDD - EDB,Enterprise,Region,APC-Dedicated,APC-Dedicated,2026-03-03,28.318935000000003,FixedGrowth_1_5,baseline,growth_baseline,28.36724927,backtest,5,2026-02-26,full_baseline_20260611_103953,outputs/model_lab/full_baseline/full_baseline_forecasts.csv,True,False,False,False,ok,,,,LEGACY_STAGE05H_VERIFIED_R8FIX0
HDD - EDB,Enterprise,Region,APC-Dedicated,APC-Dedicated,2026-03-04,28.333766,FixedGrowth_1_5,baseline,growth_baseline,28.381397524,backtest,6,2026-02-26,full_baseline_20260611_103953,outputs/model_lab/full_baseline/full_baseline_forecasts.csv,True,False,False,False,ok,,,,LEGACY_STAGE05H_VERIFIED_R8FIX0
HDD - EDB,Enterprise,Region,APC-Dedicated,APC-Dedicated,2026-03-05,28.347866,FixedGrowth_1_5,baseline,growth_baseline,28.395545778,backtest,7,2026-02-26,full_baseline_20260611_103953,outputs/model_lab/full_baseline/full_baseline_forecasts.csv,True,False,False,False,ok,,,,LEGACY_STAGE05H_VERIFIED_R8FIX0
HDD - EDB,Enterprise,Region,APC-Dedicated,APC-Dedicated,2026-03-06,28.352767,FixedGrowth_1_5,baseline,growth_baseline,28.409694032,backtest,8,2026-02-26,full_baseline_20260611_103953,outputs/model_lab/full_baseline/full_baseline_forecasts.csv,True,False,False,False,ok,,,,LEGACY_STAGE05H_VERIFIED_R8FIX0
HDD - EDB,Enterprise,Region,APC-Dedicated,APC-Dedicated,2026-03-07,28.352767,FixedGrowth_1_5,baseline,growth_baseline,28.423842286,backtest,9,2026-02-26,full_baseline_20260611_103953,outputs/model_lab/full_baseline/full_baseline_forecasts.csv,True,False,False,False,ok,,,,LEGACY_STAGE05H_VERIFIED_R8FIX0
HDD - EDB,Enterprise,Region,APC-Dedicated,APC-Dedicated,2026-03-08,28.352767,FixedGrowth_1_5,baseline,growth_baseline,28.43799054,backtest,10,2026-02-26,full_baseline_20260611_103953,outputs/model_lab/full_baseline/full_baseline_forecasts.csv,True,False,False,False,ok,,,,LEGACY_STAGE05H_VERIFIED_R8FIX0
HDD - EDB,Enterprise,Region,APC-Dedicated,APC-Dedicated,2026-03-09,28.366402,FixedGrowth_1_5,baseline,growth_baseline,28.452138794,backtest,11,2026-02-26,full_baseline_20260611_103953,outputs/model_lab/full_baseline/full_baseline_forecasts.csv,True,False,False,False,ok,,,,LEGACY_STAGE05H_VERIFIED_R8FIX0
HDD - EDB,Enterprise,Region,APC-Dedicated,APC-Dedicated,2026-03-10,28.380903,FixedGrowth_1_5,baseline,growth_baseline,28.466287048,backtest,12,2026-02-26,full_baseline_20260611_103953,outputs/model_lab/full_baseline/full_baseline_forecasts.csv,True,False,False,False,ok,,,,LEGACY_STAGE05H_VERIFIED_R8FIX0
HDD - EDB,Enterprise,Region,APC-Dedicated,APC-Dedicated,2026-03-11,28.397699,FixedGrowth_1_5,baseline,growth_baseline,28.480435302,backtest,13,2026-02-26,full_baseline_20260611_103953,outputs/model_lab/full_baseline/full_baseline_forecasts.csv,True,False,False,False,ok,,,,LEGACY_STAGE05H_VERIFIED_R8FIX0
HDD - EDB,Enterprise,Region,APC-Dedicated,APC-Dedicated,2026-03-12,28.430906000000004,FixedGrowth_1_5,baseline,growth_baseline,28.494583556,backtest,14,2026-02-26,full_baseline_20260611_103953,outputs/model_lab/full_baseline/full_baseline_forecasts.csv,True,False,False,False,ok,,,,LEGACY_STAGE05H_VERIFIED_R8FIX0
HDD - EDB,Enterprise,Region,APC-Dedicated,APC-Dedicated,2026-03-13,28.44155,FixedGrowth_1_5,baseline,growth_baseline,28.50873181,backtest,15,2026-02-26,full_baseline_20260611_103953,outputs/model_lab/full_baseline/full_baseline_forecasts.csv,True,False,False,False,ok,,,,LEGACY_STAGE05H_VERIFIED_R8FIX0
HDD - EDB,Enterprise,Region,APC-Dedicated,APC-Dedicated,2026-03-14,28.444259,FixedGrowth_1_5,baseline,growth_baseline,28.522880064,backtest,16,2026-02-26,full_baseline_20260611_103953,outputs/model_lab/full_baseline/full_baseline_forecasts.csv,True,False,False,False,ok,,,,LEGACY_STAGE05H_VERIFIED_R8FIX0
HDD - EDB,Enterprise,Region,APC-Dedicated,APC-Dedicated,2026-03-15,28.451597,FixedGrowth_1_5,baseline,growth_baseline,28.537028318,backtest,17,2026-02-26,full_baseline_20260611_103953,outputs/model_lab/full_baseline/full_baseline_forecasts.csv,True,False,False,False,ok,,,,LEGACY_STAGE05H_VERIFIED_R8FIX0
HDD - EDB,Enterprise,Region,APC-Dedicated,APC-Dedicated,2026-03-16,28.469759,FixedGrowth_1_5,baseline,growth_baseline,28.551176572,backtest,18,2026-02-26,full_baseline_20260611_103953,outputs/model_lab/full_baseline/full_baseline_forecasts.csv,True,False,False,False,ok,,,,LEGACY_STAGE05H_VERIFIED_R8FIX0
HDD - EDB,Enterprise,Region,APC-Dedicated,APC-Dedicated,2026-03-17,28.469759,FixedGrowth_1_5,baseline,growth_baseline,28.565324826,backtest,19,2026-02-26,full_baseline_20260611_103953,outputs/model_lab/full_baseline/full_baseline_forecasts.csv,True,False,False,False,ok,,,,LEGACY_STAGE05H_VERIFIED_R8FIX0
HDD - EDB,Enterprise,Region,APC-Dedicated,APC-Dedicated,2026-03-18,28.482216,FixedGrowth_1_5,baseline,growth_baseline,28.57947308,backtest,20,2026-02-26,full_baseline_20260611_103953,outputs/model_lab/full_baseline/full_baseline_forecasts.csv,True,False,False,False,ok,,,,LEGACY_STAGE05H_VERIFIED_R8FIX0
HDD - EDB,Enterprise,Region,APC-Dedicated,APC-Dedicated,2026-03-19,28.51998,FixedGrowth_1_5,baseline,growth_baseline,28.593621334,backtest,21,2026-02-26,full_baseline_20260611_103953,outputs/model_lab/full_baseline/full_baseline_forecasts.csv,True,False,False,False,ok,,,,LEGACY_STAGE05H_VERIFIED_R8FIX0
HDD - EDB,Enterprise,Region,APC-Dedicated,APC-Dedicated,2026-03-20,28.533473000000004,FixedGrowth_1_5,baseline,growth_baseline,28.607769588,backtest,22,2026-02-26,full_baseline_20260611_103953,outputs/model_lab/full_baseline/full_baseline_forecasts.csv,True,False,False,False,ok,,,,LEGACY_STAGE05H_VERIFIED_R8FIX0
HDD - EDB,Enterprise,Region,APC-Dedicated,APC-Dedicated,2026-03-21,28.533473000000004,FixedGrowth_1_5,baseline,growth_baseline,28.621917842,backtest,23,2026-02-26,full_baseline_20260611_103953,outputs/model_lab/full_baseline/full_baseline_forecasts.csv,True,False,False,False,ok,,,,LEGACY_STAGE05H_VERIFIED_R8FIX0
HDD - EDB,Enterprise,Region,APC-Dedicated,APC-Dedicated,2026-03-22,28.533473000000004,FixedGrowth_1_5,baseline,growth_baseline,28.636066096,backtest,24,2026-02-26,full_baseline_20260611_103953,outputs/model_lab/full_baseline/full_baseline_forecasts.csv,True,False,False,False,ok,,,,LEGACY_STAGE05H_VERIFIED_R8FIX0
HDD - EDB,Enterprise,Region,APC-Dedicated,APC-Dedicated,2026-03-23,28.545524,FixedGrowth_1_5,baseline,growth_baseline,28.65021435,backtest,25,2026-02-26,full_baseline_20260611_103953,outputs/model_lab/full_baseline/full_baseline_forecasts.csv,True,False,False,False,ok,,,,LEGACY_STAGE05H_VERIFIED_R8FIX0
HDD - EDB,Enterprise,Region,APC-Dedicated,APC-Dedicated,2026-03-24,28.578278,FixedGrowth_1_5,baseline,growth_baseline,28.664362604,backtest,26,2026-02-26,full_baseline_20260611_103953,outputs/model_lab/full_baseline/full_baseline_forecasts.csv,True,False,False,False,ok,,,,LEGACY_STAGE05H_VERIFIED_R8FIX0
HDD - EDB,Enterprise,Region,APC-Dedicated,APC-Dedicated,2026-03-25,28.593663,FixedGrowth_1_5,baseline,growth_baseline,28.678510858,backtest,27,2026-02-26,full_baseline_20260611_103953,outputs/model_lab/full_baseline/full_baseline_forecasts.csv,True,False,False,False,ok,,,,LEGACY_STAGE05H_VERIFIED_R8FIX0
HDD - EDB,Enterprise,Region,APC-Dedicated,APC-Dedicated,2026-03-26,28.600252000000005,FixedGrowth_1_5,baseline,growth_baseline,28.692659112,backtest,28,2026-02-26,full_baseline_20260611_103953,outputs/model_lab/full_baseline/full_baseline_forecasts.csv,True,False,False,False,ok,,,,LEGACY_STAGE05H_VERIFIED_R8FIX0
HDD - EDB,Enterprise,Region,APC-Dedicated,APC-Dedicated,2026-03-27,28.609368,FixedGrowth_1_5,baseline,growth_baseline,28.706807366,backtest,29,2026-02-26,full_baseline_20260611_103953,outputs/model_lab/full_baseline/full_baseline_forecasts.csv,True,False,False,False,ok,,,,LEGACY_STAGE05H_VERIFIED_R8FIX0
HDD - EDB,Enterprise,Region,APC-Dedicated,APC-Dedicated,2026-03-28,28.615771,FixedGrowth_1_5,baseline,growth_baseline,28.72095562,backtest,30,2026-02-26,full_baseline_20260611_103953,outputs/model_lab/full_baseline/full_baseline_forecasts.csv,True,False,False,False,ok,,,,LEGACY_STAGE05H_VERIFIED_R8FIX0
HDD - EDB,Enterprise,Region,APC-Dedicated,APC-Dedicated,2026-03-29,28.617262,FixedGrowth_1_5,baseline,growth_baseline,28.6300788855,backtest,1,2026-03-28,full_baseline_20260611_103953,outputs/model_lab/full_baseline/full_baseline_forecasts.csv,True,False,False,False,ok,,,,LEGACY_STAGE05H_VERIFIED_R8FIX0
HDD - EDB,Enterprise,Region,APC-Dedicated,APC-Dedicated,2026-03-30,28.64187,FixedGrowth_1_5,baseline,growth_baseline,28.644386771,backtest,2,2026-03-28,full_baseline_20260611_103953,outputs/model_lab/full_baseline/full_baseline_forecasts.csv,True,False,False,False,ok,,,,LEGACY_STAGE05H_VERIFIED_R8FIX0
HDD - EDB,Enterprise,Region,APC-Dedicated,APC-Dedicated,2026-03-31,28.658022,FixedGrowth_1_5,baseline,growth_baseline,28.6586946565,backtest,3,2026-03-28,full_baseline_20260611_103953,outputs/model_lab/full_baseline/full_baseline_forecasts.csv,True,False,False,False,ok,,,,LEGACY_STAGE05H_VERIFIED_R8FIX0
HDD - EDB,Enterprise,Region,APC-Dedicated,APC-Dedicated,2026-04-01,28.674796,FixedGrowth_1_5,baseline,growth_baseline,28.673002542,backtest,4,2026-03-28,full_baseline_20260611_103953,outputs/model_lab/full_baseline/full_baseline_forecasts.csv,True,False,False,False,ok,,,,LEGACY_STAGE05H_VERIFIED_R8FIX0
HDD - EDB,Enterprise,Region,APC-Dedicated,APC-Dedicated,2026-04-02,28.692114,FixedGrowth_1_5,baseline,growth_baseline,28.6873104275,backtest,5,2026-03-28,full_baseline_20260611_103953,outputs/model_lab/full_baseline/full_baseline_forecasts.csv,True,False,False,False,ok,,,,LEGACY_STAGE05H_VERIFIED_R8FIX0
HDD - EDB,Enterprise,Region,APC-Dedicated,APC-Dedicated,2026-04-03,28.703813000000004,FixedGrowth_1_5,baseline,growth_baseline,28.701618313,backtest,6,2026-03-28,full_baseline_20260611_103953,outputs/model_lab/full_baseline/full_baseline_forecasts.csv,True,False,False,False,ok,,,,LEGACY_STAGE05H_VERIFIED_R8FIX0
HDD - EDB,Enterprise,Region,APC-Dedicated,APC-Dedicated,2026-04-04,28.703813000000004,FixedGrowth_1_5,baseline,growth_baseline,28.7159261985,backtest,7,2026-03-28,full_baseline_20260611_103953,outputs/model_lab/full_baseline/full_baseline_forecasts.csv,True,False,False,False,ok,,,,LEGACY_STAGE05H_VERIFIED_R8FIX0
HDD - EDB,Enterprise,Region,APC-Dedicated,APC-Dedicated,2026-04-05,28.703813000000004,FixedGrowth_1_5,baseline,growth_baseline,28.730234084,backtest,8,2026-03-28,full_baseline_20260611_103953,outputs/model_lab/full_baseline/full_baseline_forecasts.csv,True,False,False,False,ok,,,,LEGACY_STAGE05H_VERIFIED_R8FIX0
HDD - EDB,Enterprise,Region,APC-Dedicated,APC-Dedicated,2026-04-06,28.717176,FixedGrowth_1_5,baseline,growth_baseline,28.7445419695,backtest,9,2026-03-28,full_baseline_20260611_103953,outputs/model_lab/full_baseline/full_baseline_forecasts.csv,True,False,False,False,ok,,,,LEGACY_STAGE05H_VERIFIED_R8FIX0
HDD - EDB,Enterprise,Region,APC-Dedicated,APC-Dedicated,2026-04-07,28.747479,FixedGrowth_1_5,baseline,growth_baseline,28.758849855,backtest,10,2026-03-28,full_baseline_20260611_103953,outputs/model_lab/full_baseline/full_baseline_forecasts.csv,True,False,False,False,ok,,,,LEGACY_STAGE05H_VERIFIED_R8FIX0
HDD - EDB,Enterprise,Region,APC-Dedicated,APC-Dedicated,2026-04-08,28.781657000000003,FixedGrowth_1_5,baseline,growth_baseline,28.7731577405,backtest,11,2026-03-28,full_baseline_20260611_103953,outputs/model_lab/full_baseline/full_baseline_forecasts.csv,True,False,False,False,ok,,,,LEGACY_STAGE05H_VERIFIED_R8FIX0
HDD - EDB,Enterprise,Region,APC-Dedicated,APC-Dedicated,2026-04-09,28.813201,FixedGrowth_1_5,baseline,growth_baseline,28.787465626,backtest,12,2026-03-28,full_baseline_20260611_103953,outputs/model_lab/full_baseline/full_baseline_forecasts.csv,True,False,False,False,ok,,,,LEGACY_STAGE05H_VERIFIED_R8FIX0
HDD - EDB,Enterprise,Region,APC-Dedicated,APC-Dedicated,2026-04-10,28.849012,FixedGrowth_1_5,baseline,growth_baseline,28.8017735115,backtest,13,2026-03-28,full_baseline_20260611_103953,outputs/model_lab/full_baseline/full_baseline_forecasts.csv,True,False,False,False,ok,,,,LEGACY_STAGE05H_VERIFIED_R8FIX0
HDD - EDB,Enterprise,Region,APC-Dedicated,APC-Dedicated,2026-04-11,28.851253,FixedGrowth_1_5,baseline,growth_baseline,28.816081397,backtest,14,2026-03-28,full_baseline_20260611_103953,outputs/model_lab/full_baseline/full_baseline_forecasts.csv,True,False,False,False,ok,,,,LEGACY_STAGE05H_VERIFIED_R8FIX0
HDD - EDB,Enterprise,Region,APC-Dedicated,APC-Dedicated,2026-04-12,28.851253,FixedGrowth_1_5,baseline,growth_baseline,28.8303892825,backtest,15,2026-03-28,full_baseline_20260611_103953,outputs/model_lab/full_baseline/full_baseline_forecasts.csv,True,False,False,False,ok,,,,LEGACY_STAGE05H_VERIFIED_R8FIX0
HDD - EDB,Enterprise,Region,APC-Dedicated,APC-Dedicated,2026-04-13,28.833775,FixedGrowth_1_5,baseline,growth_baseline,28.844697168,backtest,16,2026-03-28,full_baseline_20260611_103953,outputs/model_lab/full_baseline/full_baseline_forecasts.csv,True,False,False,False,ok,,,,LEGACY_STAGE05H_VERIFIED_R8FIX0
HDD - EDB,Enterprise,Region,APC-Dedicated,APC-Dedicated,2026-04-14,28.735797,FixedGrowth_1_5,baseline,growth_baseline,28.8590050535,backtest,17,2026-03-28,full_baseline_20260611_103953,outputs/model_lab/full_baseline/full_baseline_forecasts.csv,True,False,False,False,ok,,,,LEGACY_STAGE05H_VERIFIED_R8FIX0
HDD - EDB,Enterprise,Region,APC-Dedicated,APC-Dedicated,2026-04-15,28.73495,FixedGrowth_1_5,baseline,growth_baseline,28.873312939,backtest,18,2026-03-28,full_baseline_20260611_103953,outputs/model_lab/full_baseline/full_baseline_forecasts.csv,True,False,False,False,ok,,,,LEGACY_STAGE05H_VERIFIED_R8FIX0
HDD - EDB,Enterprise,Region,APC-Dedicated,APC-Dedicated,2026-04-16,28.735797,FixedGrowth_1_5,baseline,growth_baseline,28.8876208245,backtest,19,2026-03-28,full_baseline_20260611_103953,outputs/model_lab/full_baseline/full_baseline_forecasts.csv,True,False,False,False,ok,,,,LEGACY_STAGE05H_VERIFIED_R8FIX0
