case_id,model_name,forecast_start_date,rows,runtime_seconds,status
P04,ETS Explicit,2026-06-19,30,0.0167,PASS
P04,ETS_Current,2026-06-19,30,0.0013,PASS
P04,FNAR-V2,2026-06-19,30,0.1966,PASS
P04,FixedGrowth_1_5,2026-06-19,30,0.0004,PASS
P04,FixedGrowth_3,2026-06-19,30,0.0007,PASS
P04,FixedGrowth_4,2026-06-19,30,0.0005,PASS
P04,FixedGrowth_6,2026-06-19,30,0.0006,PASS
P04,LightGBM,2026-06-19,30,0.024,PASS
P04,LinearRegression,2026-06-19,30,0.0014,PASS
P04,NLIN-DLIN_FIXED,2026-06-19,30,0.0018,PASS
P04,SMLP-TCN,2026-06-19,30,0.0003,PASS
P04,Theta,2026-06-19,30,0.0171,PASS
P04,XGBoost,2026-06-19,30,0.0631,PASS
P05,ARIMA_Fixed,2026-03-07,30,0.0007,PASS
P05,AutoARIMA,2026-03-07,30,0.5581,PASS
P05,ETS Explicit,2026-03-07,30,0.0138,PASS
P05,ETS_Current,2026-03-07,30,0.001,PASS
P05,FNAR-V2,2026-03-07,30,0.0567,PASS
P05,FixedGrowth_1_5,2026-03-07,30,0.0008,PASS
P05,FixedGrowth_3,2026-03-07,30,0.0005,PASS
P05,FixedGrowth_4,2026-03-07,30,0.0003,PASS
P05,FixedGrowth_6,2026-03-07,30,0.0006,PASS
P05,LightGBM,2026-03-07,30,0.0151,PASS
P05,LinearRegression,2026-03-07,30,0.0011,PASS
P05,NLIN-DLIN_FIXED,2026-03-07,30,0.0007,PASS
P05,SMLP-TCN,2026-03-07,30,0.0002,PASS
P05,Theta,2026-03-07,30,0.009,PASS
P05,XGBoost,2026-03-07,30,0.0226,PASS
P05,ARIMA_Fixed,2026-03-31,30,0.0006,PASS
P05,AutoARIMA,2026-03-31,30,0.134,PASS
P05,ETS Explicit,2026-03-31,30,0.0162,PASS
P05,ETS_Current,2026-03-31,30,0.001,PASS
P05,FNAR-V2,2026-03-31,30,0.1056,PASS
P05,FixedGrowth_1_5,2026-03-31,30,0.0004,PASS
P05,FixedGrowth_3,2026-03-31,30,0.0003,PASS
P05,FixedGrowth_4,2026-03-31,30,0.0003,PASS
P05,FixedGrowth_6,2026-03-31,30,0.0005,PASS
P05,LightGBM,2026-03-31,30,0.0133,PASS
P05,LinearRegression,2026-03-31,30,0.0007,PASS
P05,NLIN-DLIN_FIXED,2026-03-31,30,0.0009,PASS
P05,SMLP-TCN,2026-03-31,30,0.0003,PASS
P05,Theta,2026-03-31,30,0.0099,PASS
P05,XGBoost,2026-03-31,30,0.0268,PASS
P05,ARIMA_Fixed,2026-04-25,30,0.0004,PASS
P05,AutoARIMA,2026-04-25,30,0.1425,PASS
P05,ETS Explicit,2026-04-25,30,0.0136,PASS
P05,ETS_Current,2026-04-25,30,0.0012,PASS
P05,FNAR-V2,2026-04-25,30,0.1177,PASS
P05,FixedGrowth_1_5,2026-04-25,30,0.0005,PASS
P05,FixedGrowth_3,2026-04-25,30,0.0007,PASS
P05,FixedGrowth_4,2026-04-25,30,0.0006,PASS
P05,FixedGrowth_6,2026-04-25,30,0.0005,PASS
P05,LightGBM,2026-04-25,30,0.0156,PASS
P05,LinearRegression,2026-04-25,30,0.0014,PASS
P05,NLIN-DLIN_FIXED,2026-04-25,30,0.0011,PASS
P05,SMLP-TCN,2026-04-25,30,0.0004,PASS
P05,Theta,2026-04-25,30,0.0091,PASS
P05,XGBoost,2026-04-25,30,0.0385,PASS
