page_id,response_title,claim_id,claim,evidence_pack,source_artifacts,evidence_fields
executive_overview,Executive Overview,tournament_03,All challengers remain documented challengers; none advanced over the champion.,v4_2_evidence_pack_tournament.json,model_evaluation_summary.csv,evaluation_summary[].final_decision
executive_overview,Executive Overview,tournament_91,V4 is evidence-only at this stage; no LLM provider is active. Insights are produced by deterministic rules.,v4_2_evidence_pack_tournament.json,v4_2_evidence_pack_tournament.json,pack_metadata.provider_stage
executive_overview,Executive Overview,tournament_92,V4 uses snapshot 2026-06-28 as an accepted caveat for local LLM-layer development.,v4_2_evidence_pack_tournament.json,v4_2_evidence_pack_tournament.json,pack_metadata.snapshot_caveat
executive_overview,Executive Overview,tournament_93,"No SQL, model refresh, Shiny mutation, champion mutation, or data/processed mutation occurred in V4.3.",v4_2_evidence_pack_tournament.json,v4_2_evidence_pack_tournament.json,pack_metadata.provider_stage
executive_overview,Executive Overview,tournament_94,Each visible insight is traceable to evidence fields or source artifacts.,v4_2_evidence_pack_tournament.json,v4_2_evidence_pack_tournament.json,candidate_claims
executive_overview,Executive Overview,forecast_viewer_01,"Forecast Viewer evidence is filtered, summarized, and capped before explanation; full forecasts and actuals are never embedded.",v4_2_evidence_pack_forecast_viewer.json,forecasts_with_intervals.csv,forecast_subset.what_not_passed | forecast_subset.sample_rows_capped_at
executive_overview,Executive Overview,forecast_viewer_02,The current selection covers 65095 forecast rows out of 65095 total; only 5 rows are embedded as a sample.,v4_2_evidence_pack_forecast_viewer.json,forecasts_with_intervals.csv,forecast_subset.rows_after_filter | forecast_subset.rows_total_in_artifact | forecast_subset.rows_in_sample
executive_overview,Executive Overview,forecast_viewer_03,Forecast dates in the selection span 2026-04-28 to 2030-04-25.,v4_2_evidence_pack_forecast_viewer.json,forecasts_with_intervals.csv,forecast_subset.date_min | forecast_subset.date_max
executive_overview,Executive Overview,forecast_viewer_04,"Forecast Viewer model labels (e.g., ExponentialSmoothing, ARIMA, FixedGrowth percentages) differ from tournament/governance model names (e.g., the champion name); this namespace difference must be shown so the two are never conflated.",v4_2_evidence_pack_forecast_viewer.json,forecasts_with_intervals.csv,forecast_subset.distinct_models | filters.model
executive_overview,Executive Overview,forecast_viewer_91,V4 is evidence-only at this stage; no LLM provider is active. Insights are produced by deterministic rules.,v4_2_evidence_pack_forecast_viewer.json,v4_2_evidence_pack_forecast_viewer.json,pack_metadata.provider_stage
executive_overview,Executive Overview,forecast_viewer_92,V4 uses snapshot 2026-06-28 as an accepted caveat for local LLM-layer development.,v4_2_evidence_pack_forecast_viewer.json,v4_2_evidence_pack_forecast_viewer.json,pack_metadata.snapshot_caveat
executive_overview,Executive Overview,forecast_viewer_93,"No SQL, model refresh, Shiny mutation, champion mutation, or data/processed mutation occurred in V4.3.",v4_2_evidence_pack_forecast_viewer.json,v4_2_evidence_pack_forecast_viewer.json,pack_metadata.provider_stage
executive_overview,Executive Overview,forecast_viewer_94,Each visible insight is traceable to evidence fields or source artifacts.,v4_2_evidence_pack_forecast_viewer.json,v4_2_evidence_pack_forecast_viewer.json,candidate_claims
executive_overview,Executive Overview,governance_risks_01,Governance and risk explanation is limited to the artifacts available in the evidence pack; no risks are inferred beyond recorded data.,v4_2_evidence_pack_governance_risks.json,run_metadata.csv | ttl_months_to_live_snapshot.csv | model_runtime_guardrails.csv,run_metadata | ttl_snapshot | runtime_guardrails
executive_overview,Executive Overview,governance_risks_02,"The governance snapshot covers 45 entities; months-to-live recorded min 5.23, median 18.60.",v4_2_evidence_pack_governance_risks.json,ttl_months_to_live_snapshot.csv,ttl_snapshot.entities_in_snapshot | ttl_snapshot.months_to_live_min | ttl_snapshot.months_to_live_median
executive_overview,Executive Overview,governance_risks_03,Governed model scope is 15 with 0 model(s) carrying a recorded risk flag.,v4_2_evidence_pack_governance_risks.json,model_universe_canonical.csv,governance_scope.governed_model_rows | governance_scope.models_with_risk_flag
executive_overview,Executive Overview,governance_risks_91,V4 is evidence-only at this stage; no LLM provider is active. Insights are produced by deterministic rules.,v4_2_evidence_pack_governance_risks.json,v4_2_evidence_pack_governance_risks.json,pack_metadata.provider_stage
executive_overview,Executive Overview,governance_risks_92,V4 uses snapshot 2026-06-28 as an accepted caveat for local LLM-layer development.,v4_2_evidence_pack_governance_risks.json,v4_2_evidence_pack_governance_risks.json,pack_metadata.snapshot_caveat
executive_overview,Executive Overview,governance_risks_93,"No SQL, model refresh, Shiny mutation, champion mutation, or data/processed mutation occurred in V4.3.",v4_2_evidence_pack_governance_risks.json,v4_2_evidence_pack_governance_risks.json,pack_metadata.provider_stage
executive_overview,Executive Overview,governance_risks_94,Each visible insight is traceable to evidence fields or source artifacts.,v4_2_evidence_pack_governance_risks.json,v4_2_evidence_pack_governance_risks.json,candidate_claims
champion_overview,Champion Overview,champion_overview_01,Champion remains ETS Explicit under governed conditions; not re-fit and not changed in V4.,v4_2_evidence_pack_champion_overview.json,model_dashboard_summary.csv,champion.champion_name | champion.final_decision
champion_overview,Champion Overview,champion_overview_02,"Champion accuracy on record: median MASE 6.90, median RMSSE 1.86.",v4_2_evidence_pack_champion_overview.json,model_dashboard_summary.csv,champion.champion_mase | champion.champion_rmsse
champion_overview,Champion Overview,champion_overview_03,Governed model scope contains 15 models.,v4_2_evidence_pack_champion_overview.json,model_universe_canonical.csv,governed_model_scope_rows
champion_overview,Champion Overview,champion_overview_04,0 candidates were advanced; the champion is retained for review.,v4_2_evidence_pack_champion_overview.json,model_dashboard_summary.csv,champion.total_candidates_advanced | champion.final_decision
champion_overview,Champion Overview,champion_overview_91,V4 is evidence-only at this stage; no LLM provider is active. Insights are produced by deterministic rules.,v4_2_evidence_pack_champion_overview.json,v4_2_evidence_pack_champion_overview.json,pack_metadata.provider_stage
champion_overview,Champion Overview,champion_overview_92,V4 uses snapshot 2026-06-28 as an accepted caveat for local LLM-layer development.,v4_2_evidence_pack_champion_overview.json,v4_2_evidence_pack_champion_overview.json,pack_metadata.snapshot_caveat
champion_overview,Champion Overview,champion_overview_93,"No SQL, model refresh, Shiny mutation, champion mutation, or data/processed mutation occurred in V4.3.",v4_2_evidence_pack_champion_overview.json,v4_2_evidence_pack_champion_overview.json,pack_metadata.provider_stage
champion_overview,Champion Overview,champion_overview_94,Each visible insight is traceable to evidence fields or source artifacts.,v4_2_evidence_pack_champion_overview.json,v4_2_evidence_pack_champion_overview.json,candidate_claims
tournament,Tournament,tournament_01,Evidence indicates 7 models ranked for review under stated conditions.,v4_2_evidence_pack_tournament.json,model_evaluation_ranking.csv,ranking
tournament,Tournament,tournament_02,The closest challenger by MASE ratio is SMLP-TCN at 2.72x the champion; it remains a documented challenger.,v4_2_evidence_pack_tournament.json,model_evaluation_ranking.csv,ranking[].model | ranking[].ratio_vs_champion_mase
tournament,Tournament,tournament_03,All challengers remain documented challengers; none advanced over the champion.,v4_2_evidence_pack_tournament.json,model_evaluation_summary.csv,evaluation_summary[].final_decision
tournament,Tournament,tournament_91,V4 is evidence-only at this stage; no LLM provider is active. Insights are produced by deterministic rules.,v4_2_evidence_pack_tournament.json,v4_2_evidence_pack_tournament.json,pack_metadata.provider_stage
tournament,Tournament,tournament_92,V4 uses snapshot 2026-06-28 as an accepted caveat for local LLM-layer development.,v4_2_evidence_pack_tournament.json,v4_2_evidence_pack_tournament.json,pack_metadata.snapshot_caveat
tournament,Tournament,tournament_93,"No SQL, model refresh, Shiny mutation, champion mutation, or data/processed mutation occurred in V4.3.",v4_2_evidence_pack_tournament.json,v4_2_evidence_pack_tournament.json,pack_metadata.provider_stage
tournament,Tournament,tournament_94,Each visible insight is traceable to evidence fields or source artifacts.,v4_2_evidence_pack_tournament.json,v4_2_evidence_pack_tournament.json,candidate_claims
forecast_viewer,Forecast Viewer,forecast_viewer_01,"Forecast Viewer evidence is filtered, summarized, and capped before explanation; full forecasts and actuals are never embedded.",v4_2_evidence_pack_forecast_viewer.json,forecasts_with_intervals.csv,forecast_subset.what_not_passed | forecast_subset.sample_rows_capped_at
forecast_viewer,Forecast Viewer,forecast_viewer_02,The current selection covers 65095 forecast rows out of 65095 total; only 5 rows are embedded as a sample.,v4_2_evidence_pack_forecast_viewer.json,forecasts_with_intervals.csv,forecast_subset.rows_after_filter | forecast_subset.rows_total_in_artifact | forecast_subset.rows_in_sample
forecast_viewer,Forecast Viewer,forecast_viewer_03,Forecast dates in the selection span 2026-04-28 to 2030-04-25.,v4_2_evidence_pack_forecast_viewer.json,forecasts_with_intervals.csv,forecast_subset.date_min | forecast_subset.date_max
forecast_viewer,Forecast Viewer,forecast_viewer_04,"Forecast Viewer model labels (e.g., ExponentialSmoothing, ARIMA, FixedGrowth percentages) differ from tournament/governance model names (e.g., the champion name); this namespace difference must be shown so the two are never conflated.",v4_2_evidence_pack_forecast_viewer.json,forecasts_with_intervals.csv,forecast_subset.distinct_models | filters.model
forecast_viewer,Forecast Viewer,forecast_viewer_91,V4 is evidence-only at this stage; no LLM provider is active. Insights are produced by deterministic rules.,v4_2_evidence_pack_forecast_viewer.json,v4_2_evidence_pack_forecast_viewer.json,pack_metadata.provider_stage
forecast_viewer,Forecast Viewer,forecast_viewer_92,V4 uses snapshot 2026-06-28 as an accepted caveat for local LLM-layer development.,v4_2_evidence_pack_forecast_viewer.json,v4_2_evidence_pack_forecast_viewer.json,pack_metadata.snapshot_caveat
forecast_viewer,Forecast Viewer,forecast_viewer_93,"No SQL, model refresh, Shiny mutation, champion mutation, or data/processed mutation occurred in V4.3.",v4_2_evidence_pack_forecast_viewer.json,v4_2_evidence_pack_forecast_viewer.json,pack_metadata.provider_stage
forecast_viewer,Forecast Viewer,forecast_viewer_94,Each visible insight is traceable to evidence fields or source artifacts.,v4_2_evidence_pack_forecast_viewer.json,v4_2_evidence_pack_forecast_viewer.json,candidate_claims
governance_risks,Governance & Risks,governance_risks_01,Governance and risk explanation is limited to the artifacts available in the evidence pack; no risks are inferred beyond recorded data.,v4_2_evidence_pack_governance_risks.json,run_metadata.csv | ttl_months_to_live_snapshot.csv | model_runtime_guardrails.csv,run_metadata | ttl_snapshot | runtime_guardrails
governance_risks,Governance & Risks,governance_risks_02,"The governance snapshot covers 45 entities; months-to-live recorded min 5.23, median 18.60.",v4_2_evidence_pack_governance_risks.json,ttl_months_to_live_snapshot.csv,ttl_snapshot.entities_in_snapshot | ttl_snapshot.months_to_live_min | ttl_snapshot.months_to_live_median
governance_risks,Governance & Risks,governance_risks_03,Governed model scope is 15 with 0 model(s) carrying a recorded risk flag.,v4_2_evidence_pack_governance_risks.json,model_universe_canonical.csv,governance_scope.governed_model_rows | governance_scope.models_with_risk_flag
governance_risks,Governance & Risks,governance_risks_91,V4 is evidence-only at this stage; no LLM provider is active. Insights are produced by deterministic rules.,v4_2_evidence_pack_governance_risks.json,v4_2_evidence_pack_governance_risks.json,pack_metadata.provider_stage
governance_risks,Governance & Risks,governance_risks_92,V4 uses snapshot 2026-06-28 as an accepted caveat for local LLM-layer development.,v4_2_evidence_pack_governance_risks.json,v4_2_evidence_pack_governance_risks.json,pack_metadata.snapshot_caveat
governance_risks,Governance & Risks,governance_risks_93,"No SQL, model refresh, Shiny mutation, champion mutation, or data/processed mutation occurred in V4.3.",v4_2_evidence_pack_governance_risks.json,v4_2_evidence_pack_governance_risks.json,pack_metadata.provider_stage
governance_risks,Governance & Risks,governance_risks_94,Each visible insight is traceable to evidence fields or source artifacts.,v4_2_evidence_pack_governance_risks.json,v4_2_evidence_pack_governance_risks.json,candidate_claims
