component,metric_or_measure,found_status,source_file,source_column,grain,safe_for_shiny_display,safe_for_governed_scoring,safe_for_proposed_ui_score,notes
Coverage / robustness,missing forecasts,derivable from point artifact completeness,data/processed/forecast_viewer_model_outputs.csv,,,true as diagnostic,false,true,Can be computed as UI diagnostic only; not official governed scoring unless approved.
Coverage / robustness,duplicate grain rows,derivable from point artifact completeness,data/processed/forecast_viewer_model_outputs.csv,,,true as diagnostic,false,true,Can be computed as UI diagnostic only; not official governed scoring unless approved.
Coverage / robustness,eligible series count,found directly in artifact,outputs/model_lab/challenger_aggregation_significance/challenger_aggregation_by_model.csv; outputs/model_lab/challenger_aggregation_significance/challenger_pairwise_significance.csv; outputs/model_lab/tournament_engine/tournament_model_scorecard.csv; outputs/model_lab/tournament_engine/tournament_pairwise_evidence.csv,outputs/model_lab/tournament_engine/tournament_model_scorecard.csv::entity_count; outputs/model_lab/tournament_engine/tournament_pairwise_evidence.csv::paired_entity_count; outputs/model_lab/challenger_aggregation_significance/challenger_aggregation_by_model.csv::entity_count; outputs/model_lab/challenger_aggregation_significance/challenger_pairwise_significance.csv::paired_entity_count,model-level; pairwise model_a x model_b,true,true,true,Use governed source columns where available; do not recompute official metric in Shiny.
Governance risk,risk flag,found directly in artifact,outputs/governance/6_2_decision_rules/governance_recommendations.csv; outputs/model_lab/champion_decision/champion_candidate_evaluation.csv; outputs/model_lab/model_lab_closure_pack/model_lab_final_model_universe.csv; outputs/model_lab/tournament_engine/tournament_entity_model_scores.csv; outputs/model_lab/tournament_engine/tournament_model_evidence_summary.csv,outputs/model_lab/model_lab_closure_pack/model_lab_final_model_universe.csv::risk_flag; outputs/model_lab/champion_decision/champion_candidate_evaluation.csv::audit_risk_flag; outputs/model_lab/tournament_engine/tournament_model_scorecard.csv::audit_risk_flag; outputs/model_lab/tournament_engine/tournament_preliminary_standings.csv::audit_risk_flag; outputs/model_lab/tournament_engine/tournament_model_evidence_summary.csv::audit_risk_flag; outputs/model_lab/tournament_engine/tournament_entity_model_scores.csv::audit_risk_flag; outputs/model_lab/tournament_sanity_review/tournament_preliminary_standings_review.csv::audit_risk_flag; outputs/governance/6_2_decision_rules/governance_recommendations.csv::risk_flag,entity x model; model-level; model-level rows,true,true,true,Use governed source columns where available; do not recompute official metric in Shiny.
Governance risk,risk status,found directly in artifact,outputs/governance/6_2_decision_rules/risk_to_action_mapping.csv; outputs/model_lab/champion_decision/champion_candidate_evaluation.csv; outputs/model_lab/champion_decision/champion_decision_risk_review.csv; outputs/model_lab/champion_decision/champion_decision_scorecard.csv; outputs/model_lab/model_lab_closure_pack/model_lab_risk_register_final.csv,outputs/model_lab/model_lab_closure_pack/model_lab_risk_register_final.csv::risk_level; outputs/model_lab/champion_decision/champion_candidate_evaluation.csv::risk_status; outputs/model_lab/champion_decision/champion_decision_scorecard.csv::risk_status; outputs/model_lab/champion_decision/champion_decision_risk_review.csv::risk_level; outputs/model_lab/tournament_engine/tournament_model_scorecard.csv::risk_status; outputs/model_lab/tournament_engine/tournament_preliminary_standings.csv::risk_status; outputs/model_lab/tournament_engine/tournament_risk_register.csv::risk_level; outputs/model_lab/tournament_sanity_review/tournament_preliminary_standings_review.csv::risk_status; outputs/model_lab/tournament_sanity_review/tournament_risk_sanity_review.csv::risk_level; outputs/governance/6_2_decision_rules/risk_to_action_mapping.csv::risk_level,model-level; model-level rows; risk-level,true,true,true,Use governed source columns where available; do not recompute official metric in Shiny.
Governance risk,high-risk indicator,found directly in artifact,outputs/model_lab/aggregation_hierarchy/aggregation_by_model.csv; outputs/model_lab/rmsse/rmsse_by_model.csv,outputs/model_lab/aggregation_hierarchy/aggregation_by_model.csv::pct_entities_high_risk; outputs/model_lab/aggregation_hierarchy/aggregation_by_model.csv::pct_windows_high_risk; outputs/model_lab/rmsse/rmsse_by_model.csv::pct_high_risk,model-level rows,true,false,true,Use governed source columns where available; do not recompute official metric in Shiny.
Governance risk,conditions,found directly in artifact,outputs/governance/6_2_decision_rules/decision_action_framework.csv; outputs/governance/6_3_champion_conditions/champion_conditions_protocol.csv; outputs/governance/audit_6/audit_6_summary.csv; outputs/model_lab/champion_decision/champion_decision.csv; outputs/model_lab/model_lab_closure_pack/model_lab_champion_summary.csv,outputs/model_lab/model_lab_closure_pack/model_lab_champion_summary.csv::conditions; outputs/model_lab/champion_decision/champion_decision.csv::conditions; outputs/governance/6_2_decision_rules/decision_action_framework.csv::trigger_conditions; outputs/governance/6_3_champion_conditions/champion_conditions_protocol.csv::condition_description; outputs/governance/audit_6/audit_6_summary.csv::conditions_required_before_shiny,artifact rows; champion-level / decision-level,true,true,true,Use governed source columns where available; do not recompute official metric in Shiny.
Governance risk,warnings,not found,,,,false,false,false,Not located in inspected columns.
Governance risk,deferred status,found directly in artifact,outputs/governance/6_2_decision_rules/governance_recommendations.csv; outputs/model_lab/model_lab_closure_pack/model_lab_final_model_universe.csv,outputs/model_lab/model_lab_closure_pack/model_lab_final_model_universe.csv::final_status; outputs/model_lab/model_lab_closure_pack/model_lab_final_model_universe.csv::deferred_reason; outputs/governance/6_2_decision_rules/governance_recommendations.csv::final_status,model-level rows,true,true,true,Use governed source columns where available; do not recompute official metric in Shiny.
Governance risk,champion eligibility,found directly in artifact,outputs/governance/6_2_decision_rules/governance_recommendations.csv; outputs/model_lab/champion_decision/champion_candidate_evaluation.csv; outputs/model_lab/champion_decision/champion_decision_scorecard.csv; outputs/model_lab/model_lab_closure_pack/model_lab_final_model_universe.csv; outputs/model_lab/tournament_engine/tournament_model_scorecard.csv,outputs/model_lab/model_lab_closure_pack/model_lab_final_model_universe.csv::eligible_for_champion; outputs/model_lab/champion_decision/champion_candidate_evaluation.csv::eligible_for_champion_consideration; outputs/model_lab/champion_decision/champion_decision_scorecard.csv::decision_eligibility; outputs/model_lab/tournament_engine/tournament_model_scorecard.csv::eligible_for_champion_consideration; outputs/model_lab/tournament_engine/tournament_preliminary_standings.csv::eligible_for_champion_consideration; outputs/model_lab/tournament_sanity_review/tournament_preliminary_standings_review.csv::eligible_for_champion_consideration; outputs/governance/6_2_decision_rules/governance_recommendations.csv::eligible_for_champion,model-level; model-level rows,true,true,true,Use governed source columns where available; do not recompute official metric in Shiny.
Confidence,confidence label,found directly in artifact,outputs/model_lab/champion_decision/champion_decision.csv; outputs/model_lab/model_lab_closure_pack/model_lab_champion_summary.csv,outputs/model_lab/model_lab_closure_pack/model_lab_champion_summary.csv::decision_confidence; outputs/model_lab/champion_decision/champion_decision.csv::decision_confidence,champion-level / decision-level,true,true,true,Use governed source columns where available; do not recompute official metric in Shiny.
Confidence,confidence score numeric,not found,,,,false,false,false,Not found as a precomputed numeric field; would require Oscar-approved design if used.
Confidence,evidence strength,found directly in artifact,outputs/model_lab/champion_decision/champion_candidate_evaluation.csv; outputs/model_lab/champion_decision/champion_decision_scorecard.csv; outputs/model_lab/model_lab_closure_pack/model_lab_champion_summary.csv; outputs/model_lab/tournament_engine/tournament_model_evidence_summary.csv; outputs/model_lab/tournament_engine/tournament_preliminary_standings.csv,outputs/model_lab/model_lab_closure_pack/model_lab_champion_summary.csv::supported_better_count; outputs/model_lab/model_lab_closure_pack/model_lab_champion_summary.csv::supported_worse_count; outputs/model_lab/champion_decision/champion_candidate_evaluation.csv::supported_better_count; outputs/model_lab/champion_decision/champion_candidate_evaluation.csv::supported_worse_count; outputs/model_lab/champion_decision/champion_decision_scorecard.csv::pairwise_support_strength; outputs/model_lab/tournament_engine/tournament_preliminary_standings.csv::supported_better_count; outputs/model_lab/tournament_engine/tournament_preliminary_standings.csv::supported_worse_count; outputs/model_lab/tournament_engine/tournament_model_evidence_summary.csv::supported_better_count; outputs/model_lab/tournament_engine/tournament_model_evidence_summary.csv::supported_worse_count; outputs/model_lab/tournament_sanity_review/tournament_preliminary_standings_review.csv::supported_better_count,champion-level / decision-level; model-level rows,true,true,true,Use governed source columns where available; do not recompute official metric in Shiny.
