finding_type,found_status,source_file,source_location,exact_column_or_term,value_or_formula,notes
weight_column,weight-like column found,outputs/model_lab/ranking_dry_run/baseline_ranking_scores.csv,column,weighted_wmape,25.000000000000004 | 15.0 | 30.0 | 10.0 | 4.999999999999999 | 0.0 | 20.0 | 25.000000000000004 | 30.0 | 20.0,May be ranking policy or historical baseline weights; verify not a tournament composite formula.
weight_column,weight-like column found,outputs/model_lab/ranking_dry_run/baseline_ranking_scores.csv,column,weighted_mape,12.500000000000002 | 7.5 | 15.0 | 5.0 | 2.4999999999999996 | 0.0 | 10.0 | 12.500000000000002 | 15.0 | 10.0,May be ranking policy or historical baseline weights; verify not a tournament composite formula.
weight_column,weight-like column found,outputs/model_lab/ranking_dry_run/baseline_ranking_scores.csv,column,weighted_rmse,16.666666666666668 | 10.0 | 20.0 | 6.666666666666668 | 3.333333333333333 | 0.0 | 13.333333333333336 | 16.666666666666668 | 20.0 | 13.333333333333336,May be ranking policy or historical baseline weights; verify not a tournament composite formula.
weight_column,weight-like column found,outputs/model_lab/ranking_dry_run/baseline_ranking_scores.csv,column,weighted_smape,16.666666666666668 | 10.0 | 20.0 | 6.666666666666668 | 3.333333333333333 | 0.0 | 13.333333333333336 | 16.666666666666668 | 20.0 | 13.333333333333336,May be ranking policy or historical baseline weights; verify not a tournament composite formula.
weight_column,weight-like column found,outputs/model_lab/ranking_dry_run/baseline_ranking_scores.csv,column,weighted_abs_bias,12.500000000000002 | 7.5 | 15.0 | 5.0 | 2.4999999999999996 | 0.0 | 10.0 | 12.500000000000002 | 15.0 | 10.0,May be ranking policy or historical baseline weights; verify not a tournament composite formula.
text_or_code_formula_search,only documentation language found,outputs/model_lab/audits/stage_5_challenger_readiness_audit.md,line 34,-  Config drift between two weight systems.   config scoring_weights.yaml   wmape mape rmse bias stability horizon  is  ,"- **Config drift between two weight systems.** `config/scoring_weights.yaml` (wmape/mape/rmse/bias/stability/horizon) is *not* the schema the ranking uses. Ranking uses `ranking_metric_weights.csv` (wmape/mape/rmse/smape/abs_bias) with **no stability and no horizon**. Two parallel, divergent scoring definitions invite mistakes when challengers arrive. (Medium)",Search hit for formula/weight/composite/penalty language; requires context.
text_or_code_formula_search,only documentation language found,outputs/model_lab/audits/stage_5_pre_training_audit.md,line 14,However  the platform is  not yet methodologically complete for the stated goal of  fair model tournaments.  The entire ,"However, the platform is **not yet methodologically complete for the stated goal of ""fair model tournaments.""** The entire scoring/evaluation layer that 5.9 depends on is either unimplemented or under-specified, and in its current designed form the composite score is **mathematically invalid** (it sums scale-dependent and scale-independent metrics without normalization, and treats signed bias as if lower-is-better). Several execution-time behaviours required to even run the baseline `LinearRegression` model (multi-step lag population, NaN feature handling) are unspecified. Run history is overwritten rather than appended, undermining MLOps auditability. There are zero automated tests.",Search hit for formula/weight/composite/penalty language; requires context.
text_or_code_formula_search,only documentation language found,outputs/model_lab/audit_3/audit_3_challenger_readiness_report.md,line 123,  Aggregation hierarchy   5 files in  aggregation_hierarchy      Present   Equal-entity-weight two-level median  policy.,| Aggregation hierarchy | 5 files in `aggregation_hierarchy/` | ✅ Present | Equal-entity-weight two-level median; policy.md present. |,Search hit for formula/weight/composite/penalty language; requires context.
text_or_code_formula_search,only documentation language found,outputs/model_lab/audit_3_targeted_recheck/audit_3_targeted_recheck_report.md,line 81,- The benchmark contract  MASE primary  RMSSE guardrail  equal-entity-weighted median-of-medians aggregation  no cohort-,"- The benchmark contract (MASE primary, RMSSE guardrail, equal-entity-weighted median-of-medians aggregation, no cohort-relative normalization) remains intact across config and docs.",Search hit for formula/weight/composite/penalty language; requires context.
text_or_code_formula_search,weight/formula-like language found; not confirmed as final tournament composite formula,outputs/model_lab/audit_4/audit_4_findings.csv,line 11,F-010 PASS Aggregation Integrity Two-stage equal-entity-weighted aggregation  canonical 2724 rows  entity model 234  39 ,"F-010,PASS,Aggregation Integrity,Two-stage equal-entity-weighted aggregation: canonical 2724 rows; entity/model 234 (39 entities x 6); model 6; model-level official_median_mase reproduced exactly via median-across-windows then median-across-entities; no ranking/winner/champion columns.,Independent reproduction matched all 6 stored official_median_mase values (e.g. ETS 6.90114); aggregation_significance_validation.csv all pass.,No action required.,No,2026-06-13T18:00:00",Search hit for formula/weight/composite/penalty language; requires context.
text_or_code_formula_search,weight/formula-like language found; not confirmed as final tournament composite formula,outputs/model_lab/audit_4/audit_4_official_challenger_results_readiness_report.md,line 128,-  Two-stage equal-entity-weighted hierarchy  independently reproduced  median MASE across windows per entity  then medi,"- **Two-stage equal-entity-weighted hierarchy** independently reproduced: median MASE across windows per entity, then median across the 39 entity medians. All six stored `official_median_mase` values matched exactly (AutoARIMA 8.08853, Theta 10.64229, ETS Explicit 6.90114, LightGBM 16.04104, XGBoost 14.54763, FastNeuralAR_MLP 739.92189).",Search hit for formula/weight/composite/penalty language; requires context.
text_or_code_formula_search,weight/formula-like language found; not confirmed as final tournament composite formula,outputs/model_lab/audit_4/audit_4_readiness_checklist.csv,line 45,F5 Aggregation Integrity Equal entity weighting preserved  no window-count dominance PASS Stage-1 entity medians give ea,"F5,Aggregation Integrity,Equal entity weighting preserved (no window-count dominance),PASS,Stage-1 entity medians give each entity equal weight; verified,No,2026-06-13T18:00:00",Search hit for formula/weight/composite/penalty language; requires context.
text_or_code_formula_search,only documentation language found,outputs/model_lab/ranking_policy/ranking_metric_weights.csv,line 1,metric_name weight direction_before_normalization normalized_score_direction,"metric_name,weight,direction_before_normalization,normalized_score_direction",Search hit for formula/weight/composite/penalty language; requires context.
text_or_code_formula_search,only documentation language found,outputs/model_lab/ranking_policy/ranking_normalization_rules.csv,line 1,metric_name normalization_method formula score_range raw_metric_allowed_in_score rationale,"metric_name,normalization_method,formula,score_range,raw_metric_allowed_in_score,rationale",Search hit for formula/weight/composite/penalty language; requires context.
text_or_code_formula_search,only documentation language found,outputs/model_lab/tournament_engine/tournament_engine_report.md,line 30,Primary metric is official_median_mase. RMSSE is a guardrail. The tournament consumes entity-level medians and model-lev,Primary metric is official_median_mase. RMSSE is a guardrail. The tournament consumes entity-level medians and model-level equal-entity-weighted medians from audited aggregation artifacts.,Search hit for formula/weight/composite/penalty language; requires context.
text_or_code_formula_search,only documentation language found,outputs/shiny_mvp/7_11B_forecast_viewer_data_foundation_design/forecast_viewer_blueprint_alignment.md,line 20,  6   Validation Lab   Governance   Composite score  governance handoff  recommendations  ,"| 6 | Validation Lab & Governance | Composite score, governance handoff, recommendations |",Search hit for formula/weight/composite/penalty language; requires context.
text_or_code_formula_search,only documentation language found,docs/updated_blueprint/updated_tesseract_forecast_improvement_blueprint.md,line 52,  6   Validation Lab   Governance   Composite score  validaci n  gobierno  recomendaciones  ,"| 6 | Validation Lab & Governance | Composite score, validación, gobierno, recomendaciones |",Search hit for formula/weight/composite/penalty language; requires context.
text_or_code_formula_search,only documentation language found,shiny_app/server/governance_server.R,line 6, Composite Score   Keep   Test   Replace   Review   Confidence scoring   Decision evidence ,"""Composite Score · Keep / Test / Replace / Review · Confidence scoring · Decision evidence"",",Search hit for formula/weight/composite/penalty language; requires context.
text_or_code_formula_search,only documentation language found,config/scoring_definitions.yaml,line 19,formula  mean_abs_first_difference_over_training_actuals,formula: mean_abs_first_difference_over_training_actuals,Search hit for formula/weight/composite/penalty language; requires context.
text_or_code_formula_search,only documentation language found,python/model_lab/build_challenger_official_execution_prep.py,line 82,  Relative cost weights by runtime class  light 1 baseline .,# Relative cost weights by runtime class (light=1 baseline).,Search hit for formula/weight/composite/penalty language; requires context.
text_or_code_formula_search,only documentation language found,python/model_lab/build_tournament_engine.py,line 761, Primary metric is official_median_mase. RMSSE is a guardrail. The tournament consumes entity-level medians and model-le,"""Primary metric is official_median_mase. RMSSE is a guardrail. The tournament consumes entity-level medians and model-level equal-entity-weighted medians from audited aggregation artifacts."",",Search hit for formula/weight/composite/penalty language; requires context.
text_or_code_formula_search,only documentation language found,python/model_lab/calculate_baseline_metrics.py,line 4,It calculates metric rows and summaries only. It does not calculate composite,It calculates metric rows and summaries only. It does not calculate composite,Search hit for formula/weight/composite/penalty language; requires context.
text_or_code_formula_search,only documentation language found,python/model_lab/design_execution_contract.py,line 240,_schema_row wmape   float  True   Weighted mean absolute percentage error. ,"_schema_row(""wmape"", ""float"", True, ""Weighted mean absolute percentage error.""),",Search hit for formula/weight/composite/penalty language; requires context.
text_or_code_formula_search,only documentation language found,python/model_lab/investigate_implementation_issue.py,line 5,tournaments  create composite scores  or run challengers.,"tournaments, create composite scores, or run challengers.",Search hit for formula/weight/composite/penalty language; requires context.
text_or_code_formula_search,only documentation language found,python/model_lab/review_metrics_sanity.py,line 4,not create rankings  composite scores  tournament outputs  or winners.,"not create rankings, composite scores, tournament outputs, or winners.",Search hit for formula/weight/composite/penalty language; requires context.
text_or_code_formula_search,only documentation language found,python/model_lab/run_baseline_ranking_dry_run.py,line 67,weights    ,weights = {,Search hit for formula/weight/composite/penalty language; requires context.
text_or_code_formula_search,only documentation language found,python/model_lab/run_outlier_drilldown.py,line 4,create rankings  composite scores  tournament outputs  winners  rerun models ,"create rankings, composite scores, tournament outputs, winners, rerun models,",Search hit for formula/weight/composite/penalty language; requires context.
text_or_code_formula_search,only documentation language found,python/model_lab/validate_backtesting_design.py,line 60,logger.info Scoring weights config  %s  configs scoring_weights ,"logger.info(""Scoring weights config: %s"", configs[""scoring_weights""])",Search hit for formula/weight/composite/penalty language; requires context.
official_composite_formula_conclusion,metrics found but no formula/weights found,multiple inspected artifacts,audit conclusion,composite tournament score weights,No final governed numeric weights were found.,"Governed metrics/evidence exist, but no official weighted composite formula was located."
