metric,scenario_ui_label,granularity,key,key_lower
HDD - Basilisk,Basilisk,Forest,namp157,namp157
HDD - Basilisk,Basilisk,Forest,namp158,namp158
HDD - Basilisk,Basilisk,Forest,namp159,namp159
HDD - Basilisk,Basilisk,Forest,namp161,namp161
HDD - Basilisk,Basilisk,Forest,namp162,namp162
HDD - Basilisk,Basilisk,Forest,namp163,namp163
HDD - Basilisk,Basilisk,Forest,namp164,namp164
HDD - Basilisk,Basilisk,Forest,namp166,namp166
HDD - Basilisk,Basilisk,Forest,namp167,namp167
HDD - Basilisk,Basilisk,Forest,namp169,namp169
HDD - Basilisk,Basilisk,Forest,namp170,namp170
HDD - Basilisk,Basilisk,Forest,namp171,namp171
HDD - Basilisk,Basilisk,Forest,namp172,namp172
HDD - Basilisk,Basilisk,Forest,namp173,namp173
HDD - Basilisk,Basilisk,Forest,namp197,namp197
HDD - Basilisk,Basilisk,Forest,namp220,namp220
HDD - Basilisk,Basilisk,Forest,namp221,namp221
HDD - Basilisk,Basilisk,Forest,namp222,namp222
HDD - Basilisk,Basilisk,Forest,namp223,namp223
HDD - Basilisk,Basilisk,Forest,namp283,namp283
HDD - Basilisk,Basilisk,Forest,namprd00,namprd00
HDD - Basilisk,Basilisk,Forest,namprd02,namprd02
HDD - Basilisk,Basilisk,Forest,namprd03,namprd03
HDD - Basilisk,Basilisk,Forest,namprd04,namprd04
HDD - Basilisk,Basilisk,Forest,namprd05,namprd05
HDD - Basilisk,Basilisk,Forest,namprd06,namprd06
HDD - Basilisk,Basilisk,Forest,namprd07,namprd07
HDD - Basilisk,Basilisk,Forest,namprd08,namprd08
HDD - Basilisk,Basilisk,Forest,namprd09,namprd09
HDD - Basilisk,Basilisk,Forest,namprd10,namprd10
HDD - Basilisk,Basilisk,Forest,namprd11,namprd11
HDD - Basilisk,Basilisk,Forest,namprd12,namprd12
HDD - Basilisk,Basilisk,Forest,namprd13,namprd13
HDD - Basilisk,Basilisk,Forest,namprd14,namprd14
HDD - Basilisk,Basilisk,Forest,namprd15,namprd15
HDD - Basilisk,Basilisk,Forest,namprd16,namprd16
HDD - Basilisk,Basilisk,Forest,namprd17,namprd17
HDD - Basilisk,Basilisk,Forest,namprd18,namprd18
HDD - Basilisk,Basilisk,Forest,namprd19,namprd19
HDD - Basilisk,Basilisk,Forest,namprd20,namprd20
HDD - Basilisk,Basilisk,Forest,namprd21,namprd21
HDD - Basilisk,Basilisk,Forest,namprd22,namprd22
HDD - Basilisk,Basilisk,Forest,namprd84,namprd84
HDD - Basilisk,Basilisk,Forest,namprd85,namprd85
HDD - Basilisk,Basilisk,Forest,norp279,norp279
HDD - Basilisk,Basilisk,Forest,nzlp299,nzlp299
HDD - Basilisk,Basilisk,Forest,polp291,polp291
HDD - Basilisk,Basilisk,Forest,qatp289,qatp289
HDD - Basilisk,Basilisk,Forest,sgpp274,sgpp274
HDD - Basilisk,Basilisk,Forest,swep280,swep280
HDD - Basilisk,Basilisk,Forest,twnp295,twnp295
HDD - Basilisk,Basilisk,Forest,zafp275,zafp275
HDD - Basilisk,Basilisk,Region,DNK-Go Local,dnk-go local
HDD - Basilisk,Basilisk,Region,ESP-Go Local,esp-go local
HDD - Basilisk,Basilisk,Region,EUR-Go Local,eur-go local
HDD - Basilisk,Basilisk,Region,GBR-Go Local,gbr-go local
HDD - Basilisk,Basilisk,Region,ISR-Go Local,isr-go local
HDD - Basilisk,Basilisk,Region,ITA-Go Local,ita-go local
HDD - Basilisk,Basilisk,Region,MEX-Go Local,mex-go local
HDD - Basilisk,Basilisk,Region,POL-Go Local,pol-go local
HDD - Basilisk,Basilisk,Region,apc-Dedicated,apc-dedicated
HDD - Basilisk,Basilisk,Region,apc-MSIT,apc-msit
HDD - Basilisk,Basilisk,Region,apc-Multitenant,apc-multitenant
HDD - Basilisk,Basilisk,Region,are-Go Local,are-go local
HDD - Basilisk,Basilisk,Region,aus-Go Local,aus-go local
HDD - Basilisk,Basilisk,Region,aut-Go Local,aut-go local
HDD - Basilisk,Basilisk,Region,bra-Go Local,bra-go local
HDD - Basilisk,Basilisk,Region,can-Go Local,can-go local
HDD - Basilisk,Basilisk,Region,che-Go Local,che-go local
HDD - Basilisk,Basilisk,Region,chl-Go Local,chl-go local
HDD - Basilisk,Basilisk,Region,chn-Gallatin,chn-gallatin
HDD - Basilisk,Basilisk,Region,deu-Go Local,deu-go local
HDD - Basilisk,Basilisk,Region,eur-Dedicated,eur-dedicated
HDD - Basilisk,Basilisk,Region,eur-MSIT,eur-msit
HDD - Basilisk,Basilisk,Region,eur-Multitenant,eur-multitenant
HDD - Basilisk,Basilisk,Region,fra-Go Local,fra-go local
HDD - Basilisk,Basilisk,Region,gbr-Dedicated,gbr-dedicated
HDD - Basilisk,Basilisk,Region,gbr-Go Local,gbr-go local
HDD - Basilisk,Basilisk,Region,idn-Go Local,idn-go local
HDD - Basilisk,Basilisk,Region,ind-Go Local,ind-go local
HDD - Basilisk,Basilisk,Region,jpn-Go Local,jpn-go local
HDD - Basilisk,Basilisk,Region,kor-Go Local,kor-go local
HDD - Basilisk,Basilisk,Region,lam-Multitenant,lam-multitenant
HDD - Basilisk,Basilisk,Region,mys-Go Local,mys-go local
HDD - Basilisk,Basilisk,Region,nam-Dedicated,nam-dedicated
HDD - Basilisk,Basilisk,Region,nam-GCC Low,nam-gcc low
HDD - Basilisk,Basilisk,Region,nam-ITAR DoD,nam-itar dod
HDD - Basilisk,Basilisk,Region,nam-ITAR GCCH,nam-itar gcch
HDD - Basilisk,Basilisk,Region,nam-MSIT,nam-msit
HDD - Basilisk,Basilisk,Region,nam-Multitenant,nam-multitenant
HDD - Basilisk,Basilisk,Region,nam-SDF,nam-sdf
HDD - Basilisk,Basilisk,Region,nam-TDF,nam-tdf
HDD - Basilisk,Basilisk,Region,nor-Go Local,nor-go local
HDD - Basilisk,Basilisk,Region,nzl-Go Local,nzl-go local
HDD - Basilisk,Basilisk,Region,qat-Go Local,qat-go local
HDD - Basilisk,Basilisk,Region,sgp-Go Local,sgp-go local
HDD - Basilisk,Basilisk,Region,swe-Go Local,swe-go local
HDD - Basilisk,Basilisk,Region,twn-Go Local,twn-go local
HDD - Basilisk,Basilisk,Region,zaf-Go Local,zaf-go local
HDD - EDB,Consumer,Forest,APCP150,apcp150
HDD - EDB,Consumer,Forest,APCP153,apcp153
HDD - EDB,Consumer,Forest,APCPRD01,apcprd01
HDD - EDB,Consumer,Forest,APCPRD02,apcprd02
HDD - EDB,Consumer,Forest,APCPRD03,apcprd03
HDD - EDB,Consumer,Forest,APCPRD04,apcprd04
HDD - EDB,Consumer,Forest,APCPRD06,apcprd06
HDD - EDB,Consumer,Forest,AREP273,arep273
HDD - EDB,Consumer,Forest,AUSP282,ausp282
HDD - EDB,Consumer,Forest,AUSP300,ausp300
HDD - EDB,Consumer,Forest,AUSPRD01,ausprd01
HDD - EDB,Consumer,Forest,AUTP296,autp296
HDD - EDB,Consumer,Forest,BRAP284,brap284
HDD - EDB,Consumer,Forest,CANP288,canp288
HDD - EDB,Consumer,Forest,CANPRD01,canprd01
HDD - EDB,Consumer,Forest,CHEP278,chep278
HDD - EDB,Consumer,Forest,CHLP298,chlp298
HDD - EDB,Consumer,Forest,CHNPR01,chnpr01
HDD - EDB,Consumer,Forest,DEUP281,deup281
HDD - EDB,Consumer,Forest,DNKP307,dnkp307
HDD - EDB,Consumer,Forest,ESPP292,espp292
HDD - EDB,Consumer,Forest,EURP107,eurp107
HDD - EDB,Consumer,Forest,EURP119,eurp119
HDD - EDB,Consumer,Forest,EURP120,eurp120
HDD - EDB,Consumer,Forest,EURP121,eurp121
HDD - EDB,Consumer,Forest,EURP122,eurp122
HDD - EDB,Consumer,Forest,EURP137,eurp137
HDD - EDB,Consumer,Forest,EURP138,eurp138
HDD - EDB,Consumer,Forest,EURP175,eurp175
HDD - EDB,Consumer,Forest,EURP176,eurp176
HDD - EDB,Consumer,Forest,EURP177,eurp177
HDD - EDB,Consumer,Forest,EURP178,eurp178
HDD - EDB,Consumer,Forest,EURP179,eurp179
HDD - EDB,Consumer,Forest,EURP180,eurp180
HDD - EDB,Consumer,Forest,EURP189,eurp189
HDD - EDB,Consumer,Forest,EURP190,eurp190
HDD - EDB,Consumer,Forest,EURP191,eurp191
HDD - EDB,Consumer,Forest,EURP192,eurp192
HDD - EDB,Consumer,Forest,EURP193,eurp193
HDD - EDB,Consumer,Forest,EURP194,eurp194
HDD - EDB,Consumer,Forest,EURP195,eurp195
HDD - EDB,Consumer,Forest,EURP250,eurp250
HDD - EDB,Consumer,Forest,EURP251,eurp251
HDD - EDB,Consumer,Forest,EURP309,eurp309
HDD - EDB,Consumer,Forest,EURPRD01,eurprd01
HDD - EDB,Consumer,Forest,EURPRD02,eurprd02
HDD - EDB,Consumer,Forest,EURPRD03,eurprd03
HDD - EDB,Consumer,Forest,EURPRD04,eurprd04
HDD - EDB,Consumer,Forest,EURPRD05,eurprd05
HDD - EDB,Consumer,Forest,EURPRD06,eurprd06
HDD - EDB,Consumer,Forest,EURPRD07,eurprd07
HDD - EDB,Consumer,Forest,EURPRD08,eurprd08
HDD - EDB,Consumer,Forest,EURPRD09,eurprd09
HDD - EDB,Consumer,Forest,EURPRD10,eurprd10
HDD - EDB,Consumer,Forest,EURPRD83,eurprd83
HDD - EDB,Consumer,Forest,FRAP264,frap264
HDD - EDB,Consumer,Forest,GBRP123,gbrp123
HDD - EDB,Consumer,Forest,GBRP265,gbrp265
HDD - EDB,Consumer,Forest,GBRP267,gbrp267
HDD - EDB,Consumer,Forest,GBRP302,gbrp302
HDD - EDB,Consumer,Forest,IDNP305,idnp305
HDD - EDB,Consumer,Forest,INDP287,indp287
HDD - EDB,Consumer,Forest,INDPRD01,indprd01
HDD - EDB,Consumer,Forest,ISRP290,isrp290
HDD - EDB,Consumer,Forest,ITAP293,itap293
HDD - EDB,Consumer,Forest,JPNP286,jpnp286
HDD - EDB,Consumer,Forest,JPNP301,jpnp301
HDD - EDB,Consumer,Forest,JPNPRD01,jpnprd01
HDD - EDB,Consumer,Forest,KORP216,korp216
HDD - EDB,Consumer,Forest,LAMP152,lamp152
HDD - EDB,Consumer,Forest,LAMP215,lamp215
HDD - EDB,Consumer,Forest,LAMPRD80,lamprd80
HDD - EDB,Consumer,Forest,MEXP297,mexp297
HDD - EDB,Consumer,Forest,MYSP306,mysp306
HDD - EDB,Consumer,Forest,NAMP100,namp100
HDD - EDB,Consumer,Forest,NAMP101,namp101
HDD - EDB,Consumer,Forest,NAMP103,namp103
HDD - EDB,Consumer,Forest,NAMP104,namp104
HDD - EDB,Consumer,Forest,NAMP105,namp105
HDD - EDB,Consumer,Forest,NAMP106,namp106
HDD - EDB,Consumer,Forest,NAMP108,namp108
HDD - EDB,Consumer,Forest,NAMP109,namp109
HDD - EDB,Consumer,Forest,NAMP113,namp113
HDD - EDB,Consumer,Forest,NAMP114,namp114
HDD - EDB,Consumer,Forest,NAMP115,namp115
HDD - EDB,Consumer,Forest,NAMP116,namp116
HDD - EDB,Consumer,Forest,NAMP118,namp118
HDD - EDB,Consumer,Forest,NAMP125,namp125
HDD - EDB,Consumer,Forest,NAMP126,namp126
HDD - EDB,Consumer,Forest,NAMP128,namp128
HDD - EDB,Consumer,Forest,NAMP129,namp129
HDD - EDB,Consumer,Forest,NAMP130,namp130
HDD - EDB,Consumer,Forest,NAMP131,namp131
HDD - EDB,Consumer,Forest,NAMP132,namp132
HDD - EDB,Consumer,Forest,NAMP133,namp133
HDD - EDB,Consumer,Forest,NAMP134,namp134
HDD - EDB,Consumer,Forest,NAMP135,namp135
HDD - EDB,Consumer,Forest,NAMP136,namp136
HDD - EDB,Consumer,Forest,NAMP154,namp154
HDD - EDB,Consumer,Forest,NAMP157,namp157
HDD - EDB,Consumer,Forest,NAMP158,namp158
HDD - EDB,Consumer,Forest,NAMP159,namp159
HDD - EDB,Consumer,Forest,NAMP161,namp161
HDD - EDB,Consumer,Forest,NAMP162,namp162
HDD - EDB,Consumer,Forest,NAMP163,namp163
HDD - EDB,Consumer,Forest,NAMP164,namp164
HDD - EDB,Consumer,Forest,NAMP166,namp166
HDD - EDB,Consumer,Forest,NAMP167,namp167
HDD - EDB,Consumer,Forest,NAMP169,namp169
HDD - EDB,Consumer,Forest,NAMP170,namp170
HDD - EDB,Consumer,Forest,NAMP171,namp171
HDD - EDB,Consumer,Forest,NAMP172,namp172
HDD - EDB,Consumer,Forest,NAMP173,namp173
HDD - EDB,Consumer,Forest,NAMP197,namp197
HDD - EDB,Consumer,Forest,NAMP220,namp220
HDD - EDB,Consumer,Forest,NAMP221,namp221
HDD - EDB,Consumer,Forest,NAMP222,namp222
HDD - EDB,Consumer,Forest,NAMP223,namp223
HDD - EDB,Consumer,Forest,NAMP283,namp283
HDD - EDB,Consumer,Forest,NAMPRD00,namprd00
HDD - EDB,Consumer,Forest,NAMPRD01,namprd01
HDD - EDB,Consumer,Forest,NAMPRD02,namprd02
HDD - EDB,Consumer,Forest,NAMPRD03,namprd03
HDD - EDB,Consumer,Forest,NAMPRD04,namprd04
HDD - EDB,Consumer,Forest,NAMPRD05,namprd05
HDD - EDB,Consumer,Forest,NAMPRD06,namprd06
HDD - EDB,Consumer,Forest,NAMPRD07,namprd07
HDD - EDB,Consumer,Forest,NAMPRD08,namprd08
HDD - EDB,Consumer,Forest,NAMPRD09,namprd09
HDD - EDB,Consumer,Forest,NAMPRD10,namprd10
HDD - EDB,Consumer,Forest,NAMPRD11,namprd11
HDD - EDB,Consumer,Forest,NAMPRD12,namprd12
HDD - EDB,Consumer,Forest,NAMPRD13,namprd13
HDD - EDB,Consumer,Forest,NAMPRD14,namprd14
HDD - EDB,Consumer,Forest,NAMPRD15,namprd15
HDD - EDB,Consumer,Forest,NAMPRD16,namprd16
HDD - EDB,Consumer,Forest,NAMPRD17,namprd17
HDD - EDB,Consumer,Forest,NAMPRD18,namprd18
HDD - EDB,Consumer,Forest,NAMPRD19,namprd19
HDD - EDB,Consumer,Forest,NAMPRD20,namprd20
HDD - EDB,Consumer,Forest,NAMPRD21,namprd21
HDD - EDB,Consumer,Forest,NAMPRD22,namprd22
HDD - EDB,Consumer,Forest,NAMPRD84,namprd84
HDD - EDB,Consumer,Forest,NAMPRD85,namprd85
HDD - EDB,Consumer,Forest,NORP279,norp279
HDD - EDB,Consumer,Forest,NZLP299,nzlp299
HDD - EDB,Consumer,Forest,POLP291,polp291
HDD - EDB,Consumer,Forest,QATP289,qatp289
HDD - EDB,Consumer,Forest,SGPP274,sgpp274
HDD - EDB,Consumer,Forest,SWEP280,swep280
HDD - EDB,Consumer,Forest,TWNP295,twnp295
HDD - EDB,Consumer,Forest,ZAFP275,zafp275
HDD - EDB,Consumer,Region,APC-Dedicated,apc-dedicated
HDD - EDB,Consumer,Region,APC-MSIT,apc-msit
HDD - EDB,Consumer,Region,APC-Multitenant,apc-multitenant
HDD - EDB,Consumer,Region,ARE-Go Local,are-go local
HDD - EDB,Consumer,Region,AUS-Go Local,aus-go local
HDD - EDB,Consumer,Region,AUT-Go Local,aut-go local
HDD - EDB,Consumer,Region,BRA-Go Local,bra-go local
HDD - EDB,Consumer,Region,CAN-Go Local,can-go local
HDD - EDB,Consumer,Region,CHE-Go Local,che-go local
HDD - EDB,Consumer,Region,CHL-Go Local,chl-go local
HDD - EDB,Consumer,Region,DEU-Go Local,deu-go local
HDD - EDB,Consumer,Region,DNK-Go Local,dnk-go local
HDD - EDB,Consumer,Region,ESP-Go Local,esp-go local
HDD - EDB,Consumer,Region,EUR-Dedicated,eur-dedicated
HDD - EDB,Consumer,Region,EUR-Go Local,eur-go local
HDD - EDB,Consumer,Region,EUR-MSIT,eur-msit
HDD - EDB,Consumer,Region,EUR-Multitenant,eur-multitenant
HDD - EDB,Consumer,Region,FRA-Go Local,fra-go local
HDD - EDB,Consumer,Region,GBR-Dedicated,gbr-dedicated
HDD - EDB,Consumer,Region,GBR-Go Local,gbr-go local
HDD - EDB,Consumer,Region,IDN-Go Local,idn-go local
HDD - EDB,Consumer,Region,IND-Go Local,ind-go local
HDD - EDB,Consumer,Region,ISR-Go Local,isr-go local
HDD - EDB,Consumer,Region,ITA-Go Local,ita-go local
HDD - EDB,Consumer,Region,JPN-Go Local,jpn-go local
HDD - EDB,Consumer,Region,KOR-Go Local,kor-go local
HDD - EDB,Consumer,Region,LAM-Multitenant,lam-multitenant
HDD - EDB,Consumer,Region,MEX-Go Local,mex-go local
HDD - EDB,Consumer,Region,MYS-Go Local,mys-go local
HDD - EDB,Consumer,Region,NAM-Dedicated,nam-dedicated
HDD - EDB,Consumer,Region,NAM-GCC Low,nam-gcc low
HDD - EDB,Consumer,Region,NAM-ITAR DoD,nam-itar dod
HDD - EDB,Consumer,Region,NAM-ITAR GCCH,nam-itar gcch
HDD - EDB,Consumer,Region,NAM-MSIT,nam-msit
HDD - EDB,Consumer,Region,NAM-Multitenant,nam-multitenant
HDD - EDB,Consumer,Region,NAM-SDF,nam-sdf
HDD - EDB,Consumer,Region,NAM-TDF,nam-tdf
HDD - EDB,Consumer,Region,NOR-Go Local,nor-go local
HDD - EDB,Consumer,Region,NZL-Go Local,nzl-go local
HDD - EDB,Consumer,Region,POL-Go Local,pol-go local
HDD - EDB,Consumer,Region,QAT-Go Local,qat-go local
HDD - EDB,Consumer,Region,SGP-Go Local,sgp-go local
HDD - EDB,Consumer,Region,SWE-Go Local,swe-go local
HDD - EDB,Consumer,Region,TWN-Go Local,twn-go local
HDD - EDB,Consumer,Region,ZAF-Go Local,zaf-go local
HDD - EDB,Enterprise,Forest,APCP150,apcp150
HDD - EDB,Enterprise,Forest,APCP153,apcp153
HDD - EDB,Enterprise,Forest,APCPRD01,apcprd01
HDD - EDB,Enterprise,Forest,APCPRD02,apcprd02
HDD - EDB,Enterprise,Forest,APCPRD03,apcprd03
HDD - EDB,Enterprise,Forest,APCPRD04,apcprd04
HDD - EDB,Enterprise,Forest,APCPRD06,apcprd06
HDD - EDB,Enterprise,Forest,AREP273,arep273
HDD - EDB,Enterprise,Forest,AUSP282,ausp282
HDD - EDB,Enterprise,Forest,AUSP300,ausp300
HDD - EDB,Enterprise,Forest,AUSPRD01,ausprd01
HDD - EDB,Enterprise,Forest,AUTP296,autp296
HDD - EDB,Enterprise,Forest,BRAP284,brap284
HDD - EDB,Enterprise,Forest,CANP288,canp288
HDD - EDB,Enterprise,Forest,CANPRD01,canprd01
HDD - EDB,Enterprise,Forest,CHEP278,chep278
HDD - EDB,Enterprise,Forest,CHLP298,chlp298
HDD - EDB,Enterprise,Forest,CHNPR01,chnpr01
HDD - EDB,Enterprise,Forest,DEUP281,deup281
HDD - EDB,Enterprise,Forest,DNKP307,dnkp307
HDD - EDB,Enterprise,Forest,ESPP292,espp292
HDD - EDB,Enterprise,Forest,EURP107,eurp107
HDD - EDB,Enterprise,Forest,EURP119,eurp119
HDD - EDB,Enterprise,Forest,EURP120,eurp120
HDD - EDB,Enterprise,Forest,EURP121,eurp121
HDD - EDB,Enterprise,Forest,EURP122,eurp122
HDD - EDB,Enterprise,Forest,EURP137,eurp137
HDD - EDB,Enterprise,Forest,EURP138,eurp138
HDD - EDB,Enterprise,Forest,EURP175,eurp175
HDD - EDB,Enterprise,Forest,EURP176,eurp176
HDD - EDB,Enterprise,Forest,EURP177,eurp177
HDD - EDB,Enterprise,Forest,EURP178,eurp178
HDD - EDB,Enterprise,Forest,EURP179,eurp179
HDD - EDB,Enterprise,Forest,EURP180,eurp180
HDD - EDB,Enterprise,Forest,EURP189,eurp189
HDD - EDB,Enterprise,Forest,EURP190,eurp190
HDD - EDB,Enterprise,Forest,EURP191,eurp191
HDD - EDB,Enterprise,Forest,EURP192,eurp192
HDD - EDB,Enterprise,Forest,EURP193,eurp193
HDD - EDB,Enterprise,Forest,EURP194,eurp194
HDD - EDB,Enterprise,Forest,EURP195,eurp195
HDD - EDB,Enterprise,Forest,EURP250,eurp250
HDD - EDB,Enterprise,Forest,EURP251,eurp251
HDD - EDB,Enterprise,Forest,EURP309,eurp309
HDD - EDB,Enterprise,Forest,EURPRD01,eurprd01
HDD - EDB,Enterprise,Forest,EURPRD02,eurprd02
HDD - EDB,Enterprise,Forest,EURPRD03,eurprd03
HDD - EDB,Enterprise,Forest,EURPRD04,eurprd04
HDD - EDB,Enterprise,Forest,EURPRD05,eurprd05
HDD - EDB,Enterprise,Forest,EURPRD06,eurprd06
HDD - EDB,Enterprise,Forest,EURPRD07,eurprd07
HDD - EDB,Enterprise,Forest,EURPRD08,eurprd08
HDD - EDB,Enterprise,Forest,EURPRD09,eurprd09
HDD - EDB,Enterprise,Forest,EURPRD10,eurprd10
HDD - EDB,Enterprise,Forest,EURPRD83,eurprd83
HDD - EDB,Enterprise,Forest,FRAP264,frap264
HDD - EDB,Enterprise,Forest,GBRP123,gbrp123
HDD - EDB,Enterprise,Forest,GBRP265,gbrp265
HDD - EDB,Enterprise,Forest,GBRP267,gbrp267
HDD - EDB,Enterprise,Forest,GBRP302,gbrp302
HDD - EDB,Enterprise,Forest,IDNP305,idnp305
HDD - EDB,Enterprise,Forest,INDP287,indp287
HDD - EDB,Enterprise,Forest,INDPRD01,indprd01
HDD - EDB,Enterprise,Forest,ISRP290,isrp290
HDD - EDB,Enterprise,Forest,ITAP293,itap293
HDD - EDB,Enterprise,Forest,JPNP286,jpnp286
HDD - EDB,Enterprise,Forest,JPNP301,jpnp301
HDD - EDB,Enterprise,Forest,JPNPRD01,jpnprd01
HDD - EDB,Enterprise,Forest,KORP216,korp216
HDD - EDB,Enterprise,Forest,LAMP152,lamp152
