metric,scenario_ui_label,granularity,model_type,raw_type,model_family
HDD - EDB,Consumer,Region,FixedGrowth3%,FixedGrowth3%,Fixed growth baseline
HDD - EDB,Consumer,Region,FixedGrowth4%,FixedGrowth4%,Fixed growth baseline
HDD - EDB,Consumer,Region,FixedGrowth5%,FixedGrowth5%,Fixed growth baseline
HDD - EDB,Consumer,Region,Arima,ARIMA,Statistical model
HDD - EDB,Consumer,Region,ExponentialSmoothing,ExponentialSmoothing,Statistical model
HDD - EDB,Enterprise,Forest,ExponentialSmoothing_ARIMA_Ensemble,ExponentialSmoothing_ARIMA_Ensemble,Ensemble
HDD - EDB,Enterprise,Forest,FixedGrowth1%_ARIMA_Ensemble,FixedGrowth1%_ARIMA_Ensemble,Ensemble
HDD - EDB,Enterprise,Forest,FixedGrowth1%_ExponentialSmoothing_Ensemble,FixedGrowth1%_ExponentialSmoothing_Ensemble,Ensemble
HDD - EDB,Enterprise,Forest,FixedGrowth1%_FixedGrowth2%_Ensemble,FixedGrowth1%_FixedGrowth2%_Ensemble,Ensemble
HDD - EDB,Enterprise,Forest,FixedGrowth1%_FixedGrowth3%_Ensemble,FixedGrowth1%_FixedGrowth3%_Ensemble,Ensemble
HDD - EDB,Enterprise,Forest,FixedGrowth1%_FixedGrowth5%_Ensemble,FixedGrowth1%_FixedGrowth5%_Ensemble,Ensemble
HDD - EDB,Enterprise,Forest,FixedGrowth2%_ARIMA_Ensemble,FixedGrowth2%_ARIMA_Ensemble,Ensemble
HDD - EDB,Enterprise,Forest,FixedGrowth2%_ExponentialSmoothing_Ensemble,FixedGrowth2%_ExponentialSmoothing_Ensemble,Ensemble
HDD - EDB,Enterprise,Forest,FixedGrowth2%_FixedGrowth1%_Ensemble,FixedGrowth2%_FixedGrowth1%_Ensemble,Ensemble
HDD - EDB,Enterprise,Forest,FixedGrowth2%_FixedGrowth3%_Ensemble,FixedGrowth2%_FixedGrowth3%_Ensemble,Ensemble
HDD - EDB,Enterprise,Forest,FixedGrowth3%_ARIMA_Ensemble,FixedGrowth3%_ARIMA_Ensemble,Ensemble
HDD - EDB,Enterprise,Forest,FixedGrowth3%_ExponentialSmoothing_Ensemble,FixedGrowth3%_ExponentialSmoothing_Ensemble,Ensemble
HDD - EDB,Enterprise,Forest,FixedGrowth3%_FixedGrowth2%_Ensemble,FixedGrowth3%_FixedGrowth2%_Ensemble,Ensemble
HDD - EDB,Enterprise,Forest,FixedGrowth4%_ARIMA_Ensemble,FixedGrowth4%_ARIMA_Ensemble,Ensemble
HDD - EDB,Enterprise,Forest,FixedGrowth4%_ExponentialSmoothing_Ensemble,FixedGrowth4%_ExponentialSmoothing_Ensemble,Ensemble
HDD - EDB,Enterprise,Forest,FixedGrowth5%_ARIMA_Ensemble,FixedGrowth5%_ARIMA_Ensemble,Ensemble
HDD - EDB,Enterprise,Forest,FixedGrowth5%_ExponentialSmoothing_Ensemble,FixedGrowth5%_ExponentialSmoothing_Ensemble,Ensemble
HDD - EDB,Enterprise,Forest,FixedGrowth5%_FixedGrowth2%_Ensemble,FixedGrowth5%_FixedGrowth2%_Ensemble,Ensemble
HDD - EDB,Enterprise,Forest,FixedGrowth1%,FixedGrowth1%,Fixed growth baseline
HDD - EDB,Enterprise,Forest,FixedGrowth2%,FixedGrowth2%,Fixed growth baseline
HDD - EDB,Enterprise,Forest,FixedGrowth3%,FixedGrowth3%,Fixed growth baseline
HDD - EDB,Enterprise,Forest,FixedGrowth5%,FixedGrowth5%,Fixed growth baseline
HDD - EDB,Enterprise,Forest,ARIMA,ARIMA,Statistical model
HDD - EDB,Enterprise,Forest,ExponentialSmoothing,ExponentialSmoothing,Statistical model
HDD - EDB,Enterprise,Region,ExponentialSmoothing_ARIMA_Ensemble,ExponentialSmoothing_ARIMA_Ensemble,Ensemble
HDD - EDB,Enterprise,Region,FixedGrowth1%_FixedGrowth2%_Ensemble,FixedGrowth1%_FixedGrowth2%_Ensemble,Ensemble
HDD - EDB,Enterprise,Region,FixedGrowth1%_FixedGrowth3%_Ensemble,FixedGrowth1%_FixedGrowth3%_Ensemble,Ensemble
HDD - EDB,Enterprise,Region,FixedGrowth1%_FixedGrowth4%_Ensemble,FixedGrowth1%_FixedGrowth4%_Ensemble,Ensemble
HDD - EDB,Enterprise,Region,FixedGrowth1%_FixedGrowth5%_Ensemble,FixedGrowth1%_FixedGrowth5%_Ensemble,Ensemble
HDD - EDB,Enterprise,Region,FixedGrowth2%_ARIMA_Ensemble,FixedGrowth2%_ARIMA_Ensemble,Ensemble
HDD - EDB,Enterprise,Region,FixedGrowth2%_FixedGrowth1%_Ensemble,FixedGrowth2%_FixedGrowth1%_Ensemble,Ensemble
HDD - EDB,Enterprise,Region,FixedGrowth2%_FixedGrowth3%_Ensemble,FixedGrowth2%_FixedGrowth3%_Ensemble,Ensemble
HDD - EDB,Enterprise,Region,FixedGrowth3%_ARIMA_Ensemble,FixedGrowth3%_ARIMA_Ensemble,Ensemble
HDD - EDB,Enterprise,Region,FixedGrowth3%_ExponentialSmoothing_Ensemble,FixedGrowth3%_ExponentialSmoothing_Ensemble,Ensemble
HDD - EDB,Enterprise,Region,FixedGrowth3%_FixedGrowth1%_Ensemble,FixedGrowth3%_FixedGrowth1%_Ensemble,Ensemble
HDD - EDB,Enterprise,Region,FixedGrowth4%_ARIMA_Ensemble,FixedGrowth4%_ARIMA_Ensemble,Ensemble
HDD - EDB,Enterprise,Region,FixedGrowth4%_ExponentialSmoothing_Ensemble,FixedGrowth4%_ExponentialSmoothing_Ensemble,Ensemble
HDD - EDB,Enterprise,Region,FixedGrowth5%_ARIMA_Ensemble,FixedGrowth5%_ARIMA_Ensemble,Ensemble
HDD - EDB,Enterprise,Region,FixedGrowth5%_ExponentialSmoothing_Ensemble,FixedGrowth5%_ExponentialSmoothing_Ensemble,Ensemble
HDD - EDB,Enterprise,Region,FixedGrowth1%,FixedGrowth1%,Fixed growth baseline
HDD - EDB,Enterprise,Region,FixedGrowth2%,FixedGrowth2%,Fixed growth baseline
HDD - EDB,Enterprise,Region,FixedGrowth3%,FixedGrowth3%,Fixed growth baseline
HDD - EDB,Enterprise,Region,FixedGrowth5%,FixedGrowth5%,Fixed growth baseline
HDD - EDB,Enterprise,Region,Arima,ARIMA,Statistical model
HDD - EDB,Enterprise,Region,ExponentialSmoothing,ExponentialSmoothing,Statistical model
