metric,scenario_ui_label,granularity,model_type,raw_type
HDD - EDB,Enterprise,Region,FixedGrowth4%_ExponentialSmoothing_Ensemble,FixedGrowth4%_ExponentialSmoothing_Ensemble
HDD - EDB,Enterprise,Region,FixedGrowth1%_FixedGrowth5%_Ensemble,FixedGrowth1%_FixedGrowth5%_Ensemble
HDD - EDB,Enterprise,Region,FixedGrowth1%_FixedGrowth3%_Ensemble,FixedGrowth1%_FixedGrowth3%_Ensemble
HDD - EDB,Consumer,Region,FixedGrowth1%,FixedGrowth1%
HDD - EDB,Consumer,Region,actual,actual
HDD - EDB,Consumer,Region,FixedGrowth5%_ExponentialSmoothing_Ensemble,FixedGrowth5%_ExponentialSmoothing_Ensemble
HDD - EDB,Consumer,Region,FixedGrowth5%,FixedGrowth5%
HDD - EDB,Consumer,Region,FixedGrowth4%,FixedGrowth4%
HDD - EDB,Consumer,Region,ExponentialSmoothing,ExponentialSmoothing
HDD - EDB,Consumer,Region,FixedGrowth2%,FixedGrowth2%
HDD - EDB,Consumer,Region,FixedGrowth4%_ARIMA_Ensemble,FixedGrowth4%_ARIMA_Ensemble
HDD - EDB,Consumer,Region,Arima,ARIMA
HDD - EDB,Consumer,Region,FixedGrowth1%_ExponentialSmoothing_Ensemble,FixedGrowth1%_ExponentialSmoothing_Ensemble
HDD - EDB,Consumer,Region,FixedGrowth2%_ARIMA_Ensemble,FixedGrowth2%_ARIMA_Ensemble
HDD - EDB,Consumer,Region,FixedGrowth3%,FixedGrowth3%
HDD - EDB,Consumer,Region,FixedGrowth1%_ARIMA_Ensemble,FixedGrowth1%_ARIMA_Ensemble
HDD - EDB,Consumer,Region,FixedGrowth2%_ExponentialSmoothing_Ensemble,FixedGrowth2%_ExponentialSmoothing_Ensemble
HDD - EDB,Consumer,Region,FixedGrowth3%_ExponentialSmoothing_Ensemble,FixedGrowth3%_ExponentialSmoothing_Ensemble
HDD - EDB,Consumer,Region,ExponentialSmoothing_ARIMA_Ensemble,ExponentialSmoothing_ARIMA_Ensemble
HDD - EDB,Consumer,Region,FixedGrowth4%_FixedGrowth5%_Ensemble,FixedGrowth4%_FixedGrowth5%_Ensemble
HDD - EDB,Consumer,Region,FixedGrowth1%_FixedGrowth2%_Ensemble,FixedGrowth1%_FixedGrowth2%_Ensemble
HDD - EDB,Consumer,Region,FixedGrowth2%_FixedGrowth1%_Ensemble,FixedGrowth2%_FixedGrowth1%_Ensemble
HDD - EDB,Consumer,Region,FixedGrowth3%_FixedGrowth5%_Ensemble,FixedGrowth3%_FixedGrowth5%_Ensemble
HDD - Basilisk,Basilisk,Region,FixedGrowth1.5%,FixedGrowth1.5%
HDD - Basilisk,Basilisk,Region,actual,actual
HDD - EDB,Enterprise,Forest,FixedGrowth2%_FixedGrowth1%_Ensemble,FixedGrowth2%_FixedGrowth1%_Ensemble
HDD - EDB,Enterprise,Forest,actual,actual
HDD - EDB,Enterprise,Forest,FixedGrowth2%_ARIMA_Ensemble,FixedGrowth2%_ARIMA_Ensemble
HDD - EDB,Enterprise,Forest,FixedGrowth2%,FixedGrowth2%
HDD - EDB,Enterprise,Forest,FixedGrowth2%_ExponentialSmoothing_Ensemble,FixedGrowth2%_ExponentialSmoothing_Ensemble
HDD - EDB,Enterprise,Forest,FixedGrowth1%_ExponentialSmoothing_Ensemble,FixedGrowth1%_ExponentialSmoothing_Ensemble
HDD - EDB,Enterprise,Forest,FixedGrowth5%_ExponentialSmoothing_Ensemble,FixedGrowth5%_ExponentialSmoothing_Ensemble
HDD - EDB,Enterprise,Forest,FixedGrowth4%_ExponentialSmoothing_Ensemble,FixedGrowth4%_ExponentialSmoothing_Ensemble
HDD - EDB,Enterprise,Forest,FixedGrowth1%,FixedGrowth1%
HDD - EDB,Enterprise,Forest,ExponentialSmoothing_ARIMA_Ensemble,ExponentialSmoothing_ARIMA_Ensemble
HDD - EDB,Enterprise,Forest,FixedGrowth1%_FixedGrowth2%_Ensemble,FixedGrowth1%_FixedGrowth2%_Ensemble
HDD - EDB,Enterprise,Forest,FixedGrowth1%_ARIMA_Ensemble,FixedGrowth1%_ARIMA_Ensemble
HDD - EDB,Enterprise,Forest,FixedGrowth2%_FixedGrowth3%_Ensemble,FixedGrowth2%_FixedGrowth3%_Ensemble
HDD - EDB,Enterprise,Forest,ExponentialSmoothing,ExponentialSmoothing
HDD - EDB,Enterprise,Forest,ARIMA,ARIMA
HDD - EDB,Enterprise,Forest,FixedGrowth3%_ExponentialSmoothing_Ensemble,FixedGrowth3%_ExponentialSmoothing_Ensemble
HDD - EDB,Enterprise,Forest,FixedGrowth3%_ARIMA_Ensemble,FixedGrowth3%_ARIMA_Ensemble
HDD - EDB,Enterprise,Forest,FixedGrowth1%_FixedGrowth3%_Ensemble,FixedGrowth1%_FixedGrowth3%_Ensemble
HDD - EDB,Enterprise,Forest,FixedGrowth1%_FixedGrowth5%_Ensemble,FixedGrowth1%_FixedGrowth5%_Ensemble
HDD - EDB,Enterprise,Forest,FixedGrowth5%,FixedGrowth5%
HDD - EDB,Enterprise,Forest,FixedGrowth4%_ARIMA_Ensemble,FixedGrowth4%_ARIMA_Ensemble
HDD - EDB,Enterprise,Forest,FixedGrowth3%,FixedGrowth3%
HDD - EDB,Enterprise,Forest,FixedGrowth5%_ARIMA_Ensemble,FixedGrowth5%_ARIMA_Ensemble
HDD - EDB,Enterprise,Forest,FixedGrowth5%_FixedGrowth2%_Ensemble,FixedGrowth5%_FixedGrowth2%_Ensemble
HDD - EDB,Enterprise,Forest,FixedGrowth3%_FixedGrowth2%_Ensemble,FixedGrowth3%_FixedGrowth2%_Ensemble
HDD - EDB,Consumer,Forest,actual,actual
HDD - EDB,Consumer,Forest,FixedGrowth4%,FixedGrowth4%
HDD - EDB,Consumer,Forest,FixedGrowth5%,FixedGrowth5%
HDD - EDB,Consumer,Forest,FixedGrowth1%,FixedGrowth1%
HDD - EDB,Consumer,Forest,FixedGrowth2%,FixedGrowth2%
HDD - EDB,Consumer,Forest,FixedGrowth3%,FixedGrowth3%
HDD - EDB,Consumer,Forest,FixedGrowth2%_ARIMA_Ensemble,FixedGrowth2%_ARIMA_Ensemble
HDD - EDB,Consumer,Forest,ARIMA,ARIMA
HDD - EDB,Consumer,Forest,FixedGrowth1%_ExponentialSmoothing_Ensemble,FixedGrowth1%_ExponentialSmoothing_Ensemble
HDD - EDB,Consumer,Forest,FixedGrowth1%_ARIMA_Ensemble,FixedGrowth1%_ARIMA_Ensemble
HDD - EDB,Consumer,Forest,FixedGrowth3%_ExponentialSmoothing_Ensemble,FixedGrowth3%_ExponentialSmoothing_Ensemble
HDD - EDB,Consumer,Forest,ExponentialSmoothing,ExponentialSmoothing
HDD - EDB,Consumer,Forest,ExponentialSmoothing_ARIMA_Ensemble,ExponentialSmoothing_ARIMA_Ensemble
HDD - EDB,Consumer,Forest,FixedGrowth2%_ExponentialSmoothing_Ensemble,FixedGrowth2%_ExponentialSmoothing_Ensemble
HDD - EDB,Consumer,Forest,FixedGrowth1%_FixedGrowth2%_Ensemble,FixedGrowth1%_FixedGrowth2%_Ensemble
HDD - EDB,Consumer,Forest,FixedGrowth4%_FixedGrowth5%_Ensemble,FixedGrowth4%_FixedGrowth5%_Ensemble
HDD - EDB,Consumer,Forest,FixedGrowth5%_ExponentialSmoothing_Ensemble,FixedGrowth5%_ExponentialSmoothing_Ensemble
HDD - Basilisk,Basilisk,Forest,actual,actual
HDD - Basilisk,Basilisk,Forest,FixedGrowth1.5%,FixedGrowth1.5%
