entity_key,date,target,lag_1,lag_7,lag_14,lag_30,lag_60,lag_90,rolling_mean_7,rolling_std_7,rolling_mean_30,rolling_std_30,year,month,quarter,day_of_month,day_of_week,week_of_year,is_month_start,is_month_end
APC-Dedicated,2019-07-25,134.568,133.913,130.584,126.785,,,,131.98335714285716,1.3227872943864114,,,2019,7,3,25,3,30,0,0
APC-Dedicated,2019-07-26,135.568,134.568,130.725,127.568,,,,132.5525,1.4693144943588285,,,2019,7,3,26,4,30,0,0
APC-Dedicated,2019-07-27,135.568,135.568,131.1815,127.59,,,,133.24435714285715,1.5997984434057186,,,2019,7,3,27,5,30,0,0
APC-Dedicated,2019-07-28,135.568,135.568,131.638,127.85,,,,133.871,1.5138966279107346,,,2019,7,3,28,6,30,0,0
APC-Dedicated,2019-07-29,136.338,135.568,132.324,128.533,,,,134.43242857142857,1.254219791628943,,,2019,7,3,29,0,31,0,0
APC-Dedicated,2019-07-30,136.884,136.338,133.518,129.147,,,,135.00585714285714,1.0265145604698305,,,2019,7,3,30,1,31,0,0
APC-Dedicated,2019-07-31,137.559,136.884,133.913,130.212,120.227,,,135.4867142857143,1.0014597203222668,128.95228333333333,4.9942492682244986,2019,7,3,31,2,31,0,1
APC-Dedicated,2019-08-01,138.382,137.559,134.568,130.584,120.873,,,136.00757142857145,0.9946754675338162,129.53001666666668,4.952411377966215,2019,8,3,1,3,31,1,0
APC-Dedicated,2019-08-02,138.866,138.382,135.568,130.725,121.788,,,136.55242857142858,1.1123350600037543,130.11365,4.928662861875879,2019,8,3,2,4,31,0,0
APC-Dedicated,2019-08-03,138.936,138.866,135.568,131.1815,122.638,,,137.02357142857142,1.3072502766163383,130.68291666666667,4.920138269159082,2019,8,3,3,5,31,0,0
APC-Dedicated,2019-08-04,138.951,138.936,135.568,131.638,123.561,,,137.5047142857143,1.302025692819094,131.22618333333335,4.900962598066195,2019,8,3,4,6,31,0,0
APC-Dedicated,2019-08-05,139.778,138.951,136.338,132.324,123.721,,,137.988,1.0706345470478733,131.73918333333333,4.8763549283910566,2019,8,3,5,0,32,0,0
APC-Dedicated,2019-08-06,140.536,139.778,136.884,133.518,123.824,,,138.47942857142857,0.9719941455824825,132.27441666666667,4.84705154615587,2019,8,3,6,1,32,0,0
APC-Dedicated,2019-08-07,141.276,140.536,137.559,133.913,124.545,,,139.00114285714284,0.9528403903711936,132.83148333333332,4.802506067208534,2019,8,3,7,2,32,0,0
APC-Dedicated,2019-08-08,141.974,141.276,138.382,134.568,125.24,,,139.53214285714287,1.0463349413656433,133.38918333333334,4.7784395383981275,2019,8,3,8,3,32,0,0
APC-Dedicated,2019-08-09,142.618,141.974,138.866,135.568,126.089,,,140.0452857142857,1.2493684690383895,133.94698333333335,4.771057539248103,2019,8,3,9,4,32,0,0
APC-Dedicated,2019-08-10,142.699,142.618,138.936,135.568,126.785,,,140.5812857142857,1.4481368160826262,134.49795,4.786685597157449,2019,8,3,10,5,32,0,0
APC-Dedicated,2019-08-11,142.755,142.699,138.951,135.568,127.568,,,141.11885714285714,1.4339612301322657,135.02841666666666,4.784256466000895,2019,8,3,11,6,32,0,0
APC-Dedicated,2019-08-12,143.188,142.755,139.778,136.338,127.59,,,141.6622857142857,1.172435174367352,135.53465,4.771099401876502,2019,8,3,12,0,33,0,0
APC-Dedicated,2019-08-13,143.914,143.188,140.536,136.884,127.85,,,142.14942857142856,0.945492791641542,136.05458333333334,4.725151623335049,2019,8,3,13,1,33,0,0
APC-Dedicated,2019-08-14,144.553,143.914,141.276,137.559,128.533,,,142.632,0.8410483537417937,136.59005,4.673248092084615,2019,8,3,14,2,33,0,0
APC-Dedicated,2019-08-15,144.895,144.553,141.974,138.382,129.147,,,143.10014285714286,0.8719303161313385,137.12405,4.635976340181665,2019,8,3,15,3,33,0,0
APC-Dedicated,2019-08-16,145.47199999999998,144.895,142.618,138.866,130.212,,,143.51742857142858,0.9395032121885885,137.64898333333335,4.592962041937447,2019,8,3,16,4,33,0,0
APC-Dedicated,2019-08-17,145.47199999999998,145.47199999999998,142.699,138.936,130.584,,,143.92514285714284,1.0911583185719735,138.15765000000002,4.585931727896856,2019,8,3,17,5,33,0,0
APC-Dedicated,2019-08-18,145.549,145.47199999999998,142.755,138.951,130.725,,,144.32128571428572,1.0750655351001595,138.65391666666667,4.543443354844226,2019,8,3,18,6,33,0,0
APC-Dedicated,2019-08-19,146.07999999999998,145.549,143.188,139.778,131.1815,,,144.72042857142858,0.9012418944873724,139.14804999999998,4.456660533345876,2019,8,3,19,0,34,0,0
APC-Dedicated,2019-08-20,146.629,146.07999999999998,143.914,140.536,131.638,,,145.13357142857143,0.7278632786307725,139.64466666666667,4.3675134512816784,2019,8,3,20,1,34,0,0
APC-Dedicated,2019-08-21,147.051,146.629,144.553,141.276,132.324,,,145.52142857142857,0.6921740766448129,140.14436666666668,4.276492427399949,2019,8,3,21,2,34,0,0
APC-Dedicated,2019-08-22,147.573,147.051,144.895,141.974,133.518,,,145.8782857142857,0.7511031252498015,140.63526666666667,4.192263818802039,2019,8,3,22,3,34,0,0
APC-Dedicated,2019-08-23,147.785,147.573,145.47199999999998,142.618,133.913,,,146.26085714285713,0.8431700952488221,141.10376666666664,4.15463635226238,2019,8,3,23,4,34,0,0
APC-Dedicated,2019-08-24,147.81,147.785,145.47199999999998,142.699,134.568,,,146.59128571428573,0.9311327714635065,141.56616666666667,4.098302567744532,2019,8,3,24,5,34,0,0
APC-Dedicated,2019-08-25,148.026,147.81,145.549,142.755,135.568,,,146.92528571428574,0.8806835818990973,142.00756666666666,4.031139709495452,2019,8,3,25,6,34,0,0
APC-Dedicated,2019-08-26,148.836,148.026,146.07999999999998,143.188,135.568,,,147.27914285714286,0.7181604808039208,142.42283333333333,3.9863243036690847,2019,8,3,26,0,35,0,0
APC-Dedicated,2019-08-27,149.562,148.836,146.629,143.914,135.568,,,147.67285714285714,0.706553944287687,142.86509999999998,3.9352721270317432,2019,8,3,27,1,35,0,0
APC-Dedicated,2019-08-28,149.949,149.562,147.051,144.553,136.338,,,148.09185714285715,0.8411903131011012,143.33156666666667,3.869320983675622,2019,8,3,28,2,35,0,0
APC-Dedicated,2019-08-29,150.791,149.949,147.573,144.895,136.884,,,148.50585714285717,0.9496868656852562,143.78526666666667,3.8186603530497267,2019,8,3,29,3,35,0,0
APC-Dedicated,2019-08-30,151.391,150.791,147.785,145.47199999999998,137.559,120.227,,148.96557142857142,1.1749982776067531,144.24883333333335,3.7960452931723463,2019,8,3,30,4,35,0,0
APC-Dedicated,2019-08-31,151.452,151.391,147.81,145.47199999999998,138.382,120.873,,149.4807142857143,1.348769527418626,144.7099,3.7954965905616804,2019,8,3,31,5,35,0,1
APC-Dedicated,2019-09-01,151.574,151.452,148.026,145.549,138.866,121.788,,150.001,1.2983884883440873,145.14556666666667,3.794221865464333,2019,9,3,1,6,35,1,0
APC-Dedicated,2019-09-02,151.916,151.574,148.836,146.07999999999998,138.936,122.638,,150.50785714285715,1.0716226681322532,145.56916666666666,3.7783236392596575,2019,9,3,2,0,36,0,0
APC-Dedicated,2019-09-03,152.58800000000002,151.916,149.562,146.629,138.951,123.561,,150.94785714285715,0.8872063699359123,146.00183333333334,3.7354939486271057,2019,9,3,3,1,36,0,0
APC-Dedicated,2019-09-04,153.187,152.58800000000002,149.949,147.051,139.778,123.721,,151.38014285714286,0.8350831153373389,146.4564,3.6771801002473374,2019,9,3,4,2,36,0,0
APC-Dedicated,2019-09-05,153.81,153.187,150.791,147.573,140.536,123.824,,151.84271428571427,0.8065295436371841,146.90336666666664,3.652276214989025,2019,9,3,5,3,36,0,0
APC-Dedicated,2019-09-06,154.409,153.81,151.391,147.785,141.276,124.545,,152.27400000000003,0.9456036872448367,147.34583333333333,3.658336951010154,2019,9,3,6,4,36,0,0
APC-Dedicated,2019-09-07,154.506,154.409,151.452,147.81,141.974,125.24,,152.70514285714287,1.1432661440750227,147.7836,3.692563380260545,2019,9,3,7,5,36,0,0
APC-Dedicated,2019-09-08,154.611,154.506,151.574,148.026,142.618,126.089,,153.14142857142858,1.16780761217134,148.20133333333334,3.7214192725758033,2019,9,3,8,6,36,0,0
APC-Dedicated,2019-09-09,154.917,154.611,151.916,148.836,142.699,126.785,,153.5752857142857,1.0462497653172038,148.6011,3.745045898618381,2019,9,3,9,0,37,0,0
APC-Dedicated,2019-09-10,155.78,154.917,152.58800000000002,149.562,142.755,127.568,,154.004,0.8493358189380065,149.00836666666666,3.745413374205561,2019,9,3,10,1,37,0,0
APC-Dedicated,2019-09-11,156.46,155.78,153.187,149.949,143.188,127.59,,154.46,0.81871810370307,149.44253333333333,3.7504524851913357,2019,9,3,11,2,37,0,0
APC-Dedicated,2019-09-12,157.127,156.46,153.81,150.791,143.914,127.85,,154.9275714285714,0.9010092225085697,149.88493333333332,3.769958564972416,2019,9,3,12,3,37,0,0
APC-Dedicated,2019-09-13,157.753,157.127,154.409,151.391,144.553,128.533,,155.40142857142857,1.0714197523436968,150.32536666666664,3.8198261332821684,2019,9,3,13,4,37,0,0
APC-Dedicated,2019-09-14,157.85399999999998,157.753,154.506,151.452,144.895,129.147,,155.87914285714285,1.2803084821720951,150.76536666666667,3.891558498927432,2019,9,3,14,5,37,0,0
APC-Dedicated,2019-09-15,158.063,157.85399999999998,154.611,151.574,145.47199999999998,130.212,,156.35742857142856,1.3069288245268083,151.19733333333332,3.936444486513417,2019,9,3,15,6,37,0,0
APC-Dedicated,2019-09-16,158.69299999999998,158.063,154.917,151.916,145.47199999999998,130.584,,156.8505714285714,1.1835687358067086,151.61703333333332,3.975987211900328,2019,9,3,16,0,38,0,0
APC-Dedicated,2019-09-17,159.346,158.69299999999998,155.78,152.58800000000002,145.549,130.725,,157.39000000000001,1.001995675305816,152.05773333333335,4.003994255165933,2019,9,3,17,1,38,0,0
APC-Dedicated,2019-09-18,159.77100000000002,159.346,156.46,153.187,146.07999999999998,131.1815,,157.8994285714286,0.9522942222404791,152.51763333333335,4.022939013854779,2019,9,3,18,2,38,0,0
APC-Dedicated,2019-09-19,160.652,159.77100000000002,157.127,153.81,146.629,131.638,,158.37242857142857,0.9403818120207154,152.97400000000002,4.043970394516205,2019,9,3,19,3,38,0,0
APC-Dedicated,2019-09-20,161.52100000000002,160.652,157.753,154.409,147.051,132.324,,158.87599999999998,1.0936309554256287,153.44143333333335,4.095392875628231,2019,9,3,20,4,38,0,0
APC-Dedicated,2019-09-21,161.52100000000002,161.52100000000002,157.85399999999998,154.506,147.573,133.518,,159.41428571428574,1.346774382773096,153.92376666666667,4.168260355586403,2019,9,3,21,5,38,0,0
APC-Dedicated,2019-09-22,161.683,161.52100000000002,158.063,154.611,147.785,133.913,,159.93814285714285,1.3518861427116797,154.3887,4.2131087068649515,2019,9,3,22,6,38,0,0
APC-Dedicated,2019-09-23,162.104,161.683,158.69299999999998,154.917,147.81,134.568,,160.4552857142857,1.1987413836022838,154.85196666666664,4.226018518190742,2019,9,3,23,0,39,0,0
APC-Dedicated,2019-09-24,163.097,162.104,159.346,155.78,148.026,135.568,,160.94257142857143,1.046610538379259,155.32843333333332,4.210454236149787,2019,9,3,24,1,39,0,0
APC-Dedicated,2019-09-25,163.791,163.097,159.77100000000002,156.46,148.836,135.568,,161.47842857142857,1.0531606172437808,155.8308,4.208217530761198,2019,9,3,25,2,39,0,0
APC-Dedicated,2019-09-26,164.504,163.791,160.652,157.127,149.562,135.568,,162.0527142857143,1.0629306522194757,156.3293,4.236728724641904,2019,9,3,26,3,39,0,0
APC-Dedicated,2019-09-27,165.023,164.504,161.52100000000002,157.753,149.949,136.338,,162.603,1.2045766891316052,156.82736666666668,4.291665929114861,2019,9,3,27,4,39,0,0
APC-Dedicated,2019-09-28,165.339,165.023,161.52100000000002,157.85399999999998,150.791,136.884,,163.1032857142857,1.3928212034433145,157.3298333333333,4.340728495058743,2019,9,3,28,5,39,0,0
APC-Dedicated,2019-09-29,165.404,165.339,161.683,158.063,151.391,137.559,120.227,163.64871428571428,1.417277285770649,157.81476666666666,4.39730086242816,2019,9,3,29,6,39,0,0
APC-Dedicated,2019-09-30,165.82600000000002,165.404,162.104,158.69299999999998,151.452,138.382,120.873,164.1802857142857,1.2443919149909561,158.28186666666667,4.4355056605044005,2019,9,3,30,0,40,0,1
APC-Dedicated,2019-10-01,166.615,165.82600000000002,163.097,159.346,151.574,138.866,121.788,164.712,0.9754862035585627,158.761,4.448624002682191,2019,10,4,1,1,40,1,0
APC-Dedicated,2019-10-02,167.001,166.615,163.791,159.77100000000002,151.916,138.936,122.638,165.21457142857142,0.9087150006359749,159.26236666666668,4.458268958048355,2019,10,4,2,2,40,0,0
APC-Dedicated,2019-10-03,167.785,167.001,164.504,160.652,152.58800000000002,138.951,123.561,165.67314285714286,0.8800885236860024,159.7652,4.451814054114622,2019,10,4,3,3,40,0,0
APC-Dedicated,2019-10-04,168.18699999999998,167.785,165.023,161.52100000000002,153.187,139.778,123.721,166.14185714285713,1.016737335561113,160.27176666666668,4.471547989951065,2019,10,4,4,4,40,0,0
APC-Dedicated,2019-10-05,168.31,168.18699999999998,165.339,161.52100000000002,153.81,140.536,123.824,166.59385714285713,1.1330761122672484,160.77176666666668,4.490620498429824,2019,10,4,5,5,40,0,0
APC-Dedicated,2019-10-06,168.337,168.31,165.404,161.683,154.409,141.276,124.545,167.01828571428572,1.141101180773287,161.2551,4.495802389739205,2019,10,4,6,6,40,0,0
APC-Dedicated,2019-10-07,169.003,168.337,165.82600000000002,162.104,154.506,141.974,125.24,167.43728571428574,0.9761176012289486,161.71936666666667,4.483582507582227,2019,10,4,7,0,41,0,0
APC-Dedicated,2019-10-08,169.333,169.003,166.615,163.097,154.611,142.618,126.089,167.89114285714285,0.8296735158227349,162.2026,4.460501259909429,2019,10,4,8,1,41,0,0
APC-Dedicated,2019-10-09,169.963,169.333,167.001,163.791,154.917,142.699,126.785,168.27942857142855,0.76650719873652,162.69333333333333,4.405997912981097,2019,10,4,9,2,41,0,0
APC-Dedicated,2019-10-10,170.698,169.963,167.785,164.504,155.78,142.755,127.568,168.70257142857145,0.7606886917228366,163.19486666666666,4.346232349608099,2019,10,4,10,3,41,0,0
APC-Dedicated,2019-10-11,171.11700000000002,170.698,168.18699999999998,165.023,156.46,143.188,127.59,169.11871428571428,0.948635636811827,163.69213333333335,4.321960249169419,2019,10,4,11,4,41,0,0
APC-Dedicated,2019-10-12,171.11700000000002,171.11700000000002,168.31,165.339,157.127,143.914,127.85,169.5372857142857,1.1028823923834672,164.1807,4.304627991856453,2019,10,4,12,5,41,0,0
APC-Dedicated,2019-10-13,171.18,171.11700000000002,168.337,165.404,157.753,144.553,128.533,169.9382857142857,1.0925320306957857,164.64703333333333,4.271793667393104,2019,10,4,13,6,41,0,0
APC-Dedicated,2019-10-14,171.653,171.18,169.003,165.82600000000002,157.85399999999998,144.895,129.147,170.34442857142858,0.9114852087200342,165.09459999999999,4.22774454093982,2019,10,4,14,0,42,0,0
APC-Dedicated,2019-10-15,172.029,171.653,169.333,166.615,158.063,145.47199999999998,130.212,170.723,0.8056618397325294,165.5545666666667,4.1629736361644705,2019,10,4,15,1,42,0,0
APC-Dedicated,2019-10-16,172.73399999999998,172.029,169.963,167.001,158.69299999999998,145.47199999999998,130.584,171.10814285714287,0.6620343466858554,166.0201,4.076311774056108,2019,10,4,16,2,42,0,0
APC-Dedicated,2019-10-17,173.19400000000002,172.73399999999998,170.698,167.785,159.346,145.549,130.725,171.504,0.6909987940182816,166.48813333333334,4.0115850142350045,2019,10,4,17,3,42,0,0
APC-Dedicated,2019-10-18,173.82999999999998,173.19400000000002,171.11700000000002,168.18699999999998,159.77100000000002,146.07999999999998,131.1815,171.8605714285714,0.8347991489269294,166.9497333333333,3.9577856830103584,2019,10,4,18,4,42,0,0
APC-Dedicated,2019-10-19,173.82999999999998,173.82999999999998,171.11700000000002,168.31,160.652,146.629,131.638,172.24814285714288,1.0372726142109947,167.41836666666666,3.9105220524869293,2019,10,4,19,5,42,0,0
APC-Dedicated,2019-10-20,174.12900000000002,173.82999999999998,171.18,168.337,161.52100000000002,147.051,132.324,172.6357142857143,1.0509450848785304,167.85763333333335,3.8641141509099355,2019,10,4,20,6,42,0,0
APC-Dedicated,2019-10-21,174.457,174.12900000000002,171.653,169.003,161.52100000000002,147.573,133.518,173.057,0.9570214208689011,168.27790000000002,3.836702799144541,2019,10,4,21,0,43,0,0
APC-Dedicated,2019-10-22,175.031,174.457,172.029,169.333,161.683,147.785,133.913,173.4575714285714,0.8525375567776189,168.7091,3.7775924585318426,2019,10,4,22,1,43,0,0
APC-Dedicated,2019-10-23,175.7,175.031,172.73399999999998,169.963,162.104,147.81,134.568,173.88642857142855,0.7646735375634782,169.15403333333333,3.706924122115863,2019,10,4,23,2,43,0,0
APC-Dedicated,2019-10-24,176.32,175.7,173.19400000000002,170.698,163.097,148.026,135.568,174.31014285714286,0.8379107805684586,169.60723333333334,3.645887193322746,2019,10,4,24,3,43,0,0
APC-Dedicated,2019-10-25,176.935,176.32,173.82999999999998,171.11700000000002,163.791,148.836,135.568,174.75671428571428,0.9669828875240954,170.04800000000003,3.6309595482981263,2019,10,4,25,4,43,0,0
APC-Dedicated,2019-10-26,176.999,176.935,173.82999999999998,171.11700000000002,164.504,149.562,135.568,175.2002857142857,1.1632694893121631,170.48613333333333,3.642914925443773,2019,10,4,26,5,43,0,0
APC-Dedicated,2019-10-27,176.999,176.999,174.12900000000002,171.18,165.023,149.949,136.338,175.653,1.1577430630337653,170.90263333333334,3.6496640892506584,2019,10,4,27,6,43,0,0
APC-Dedicated,2019-10-28,177.043,176.999,174.457,171.653,165.339,150.791,136.884,176.06300000000002,1.0291302152803243,171.30183333333335,3.6393262457474935,2019,10,4,28,0,44,0,0
APC-Dedicated,2019-10-29,177.61700000000002,177.043,175.031,172.029,165.404,151.391,137.559,176.43242857142857,0.7937753370553362,171.69196666666667,3.6052436091902647,2019,10,4,29,1,44,0,0
APC-Dedicated,2019-10-30,178.428,177.61700000000002,175.7,172.73399999999998,165.82600000000002,151.452,138.382,176.80185714285716,0.6143208793946916,172.09906666666666,3.559984724234035,2019,10,4,30,2,44,0,0
APC-Dedicated,2019-10-31,178.925,178.428,176.32,173.19400000000002,166.615,151.574,138.866,177.19157142857142,0.6622501685296056,172.51913333333331,3.5376867440247826,2019,10,4,31,3,44,0,1
APC-Dedicated,2019-11-01,179.097,178.925,176.935,173.82999999999998,167.001,151.916,138.936,177.56371428571427,0.8069652438396504,172.92946666666666,3.543165988630313,2019,11,4,1,4,44,1,0
APC-Dedicated,2019-11-02,179.19400000000002,179.097,176.999,173.82999999999998,167.785,152.58800000000002,138.951,177.87257142857146,0.9305098704747634,173.33266666666665,3.53349184853684,2019,11,4,2,5,44,0,0
APC-Dedicated,2019-11-03,179.19400000000002,179.19400000000002,176.999,174.12900000000002,168.18699999999998,153.187,139.778,178.18614285714287,0.9565431561237702,173.71296666666666,3.529780470689716,2019,11,4,3,6,44,0,0
APC-Dedicated,2019-11-04,179.47699999999998,179.19400000000002,177.043,174.457,168.31,153.81,140.536,178.4997142857143,0.8571296506939486,174.07986666666665,3.5075686906372034,2019,11,4,4,0,45,0,0
APC-Dedicated,2019-11-05,180.604,179.47699999999998,177.61700000000002,175.031,168.337,154.409,141.276,178.84742857142857,0.6317649502659336,174.4521,3.46643542790865,2019,11,4,5,1,45,0,0
APC-Dedicated,2019-11-06,181.296,180.604,178.428,175.7,169.003,154.506,141.974,179.27414285714283,0.6697953489891345,174.861,3.4436573981539187,2019,11,4,6,2,45,0,0
APC-Dedicated,2019-11-07,182.053,181.296,178.925,176.32,169.333,154.611,142.618,179.68385714285714,0.9026482202539039,175.27076666666667,3.4539348443758358,2019,11,4,7,3,45,0,0
APC-Dedicated,2019-11-08,182.42,182.053,179.097,176.935,169.963,154.917,142.699,180.1307142857143,1.1921861871225077,175.69476666666665,3.480530317136149,2019,11,4,8,4,45,0,0
APC-Dedicated,2019-11-09,182.42,182.42,179.19400000000002,176.999,170.698,155.78,142.755,180.60542857142855,1.3615331869078682,176.11,3.5160307754328883,2019,11,4,9,5,45,0,0
APC-Dedicated,2019-11-10,183.064,182.42,179.19400000000002,176.999,171.11700000000002,156.46,143.188,181.0662857142857,1.3500894679363042,176.50073333333333,3.5450688426106276,2019,11,4,10,6,45,0,0
APC-Dedicated,2019-11-11,183.624,183.064,179.47699999999998,177.043,171.11700000000002,157.127,143.914,181.61914285714286,1.2438047044698015,176.89896666666667,3.590178513315087,2019,11,4,11,0,46,0,0
APC-Dedicated,2019-11-12,184.24,183.624,180.604,177.61700000000002,171.18,157.753,144.553,182.2115714285714,1.021124846620188,177.3158666666667,3.6216439278631376,2019,11,4,12,1,46,0,0
APC-Dedicated,2019-11-13,184.964,184.24,181.296,178.428,171.653,157.85399999999998,144.895,182.73100000000002,0.9914442327589166,177.7512,3.643521159726857,2019,11,4,13,2,46,0,0
APC-Dedicated,2019-11-14,185.536,184.964,182.053,178.925,172.029,158.063,145.47199999999998,183.25500000000002,1.072598247250258,178.1949,3.685537890373305,2019,11,4,14,3,46,0,0
APC-Dedicated,2019-11-15,186.194,185.536,182.42,179.097,172.73399999999998,158.69299999999998,145.47199999999998,183.75257142857143,1.2198304331826926,178.64513333333335,3.731065399599682,2019,11,4,15,4,46,0,0
APC-Dedicated,2019-11-16,186.378,186.194,182.42,179.19400000000002,173.19400000000002,159.346,145.549,184.2917142857143,1.3587996803918616,179.09380000000002,3.8043054502259204,2019,11,4,16,5,46,0,0
APC-Dedicated,2019-11-17,186.701,186.378,183.064,179.19400000000002,173.82999999999998,159.77100000000002,146.07999999999998,184.85714285714286,1.2707823611965747,179.5332666666667,3.8603531188606044,2019,11,4,17,6,46,0,0
APC-Dedicated,2019-11-18,187.218,186.701,183.624,179.47699999999998,173.82999999999998,160.652,146.629,185.37671428571429,1.1535520092739076,179.9623,3.919423437102489,2019,11,4,18,0,47,0,0
APC-Dedicated,2019-11-19,188.016,187.218,184.24,180.604,174.12900000000002,161.52100000000002,147.051,185.89014285714282,1.037397132022516,180.40856666666664,3.9591011839880275,2019,11,4,19,1,47,0,0
APC-Dedicated,2019-11-20,188.834,188.016,184.964,181.296,174.457,161.52100000000002,147.573,186.42957142857145,1.0178876586928143,180.87146666666663,4.011069921185819,2019,11,4,20,2,47,0,0
APC-Dedicated,2019-11-21,189.359,188.834,185.536,182.053,175.031,161.683,147.785,186.98242857142856,1.1336072008060223,181.35070000000002,4.076587451744665,2019,11,4,21,3,47,0,0
APC-Dedicated,2019-11-22,190.15,189.359,186.194,182.42,175.7,162.104,147.81,187.5285714285714,1.236825487172462,181.8283,4.149323169983683,2019,11,4,22,4,47,0,0
APC-Dedicated,2019-11-23,190.15,190.15,186.378,182.42,176.32,163.097,148.026,188.09371428571427,1.4161876893384615,182.30996666666667,4.25085852167092,2019,11,4,23,5,47,0,0
APC-Dedicated,2019-11-24,190.336,190.15,186.701,183.064,176.935,163.791,148.836,188.63257142857142,1.3714707260405976,182.77096666666665,4.328075701129839,2019,11,4,24,6,47,0,0
APC-Dedicated,2019-11-25,191.249,190.336,187.218,183.624,176.999,164.504,149.562,189.15185714285712,1.1950375766181298,183.2176666666667,4.396001061570758,2019,11,4,25,0,48,0,0
APC-Dedicated,2019-11-26,191.823,191.249,188.016,184.24,176.999,165.023,149.949,189.72771428571428,1.0728166532237708,183.69266666666667,4.470137252643273,2019,11,4,26,1,48,0,0
APC-Dedicated,2019-11-27,192.425,191.823,188.834,184.964,177.043,165.339,150.791,190.27157142857143,1.0243213781426759,184.1868,4.523706897727746,2019,11,4,27,2,48,0,0
APC-Dedicated,2019-11-28,193.163,192.425,189.359,185.536,177.61700000000002,165.404,151.391,190.7845714285714,1.0819631628296038,184.69953333333333,4.557680124749663,2019,11,4,28,3,48,0,0
APC-Dedicated,2019-11-29,194.102,193.163,190.15,186.194,178.428,165.82600000000002,151.452,191.328,1.1959188935735137,185.21773333333334,4.60813765908261,2019,11,4,29,4,48,0,0
APC-Dedicated,2019-11-30,194.157,194.102,190.15,186.378,178.925,166.615,151.574,191.89257142857144,1.4524426388170595,185.74020000000002,4.699426306879486,2019,11,4,30,5,48,0,1
APC-Dedicated,2019-12-01,194.171,194.157,190.336,186.701,179.097,167.001,151.916,192.465,1.4407693546642801,186.24793333333335,4.76016298571515,2019,12,4,1,6,48,1,0
