series_key,model_name,model_family,horizon,n_points,MAE,RMSE,wMAPE,signed_bias,error_variability,std_score_MAE
NAM-Multitenant,LightGBM,machine_learning,30,12,197585.5446,343811.055,8.0315,-66504.2985,337317.6839,27.399
NAM-Multitenant,FixedGrowth_4,growth_baseline,30,12,194787.8455,383877.2404,7.9178,32077.6806,382534.6496,27.008
NAM-Multitenant,AutoARIMA,statistical,30,12,190183.7403,383665.4906,7.7306,-48466.2182,380591.9526,26.365
NAM-Multitenant,Theta,statistical,30,12,189421.9327,378660.5381,7.6996,-39135.3486,376632.749,26.258
NAM-GCC Low,FastNeuralAR_MLP,lightweight_neural,30,12,188026.9782,188338.8432,94.6566,-188026.9782,10833.9893,26.063
NAM-Multitenant,ETS Explicit,statistical,30,12,182422.0928,379617.9212,7.4151,-38238.6506,377687.1347,25.279
NAM-Multitenant,FixedGrowth_3,growth_baseline,30,12,181431.2486,380769.9089,7.3748,8114.0453,380683.4456,25.141
NAM-Multitenant,XGBoost,machine_learning,30,12,178237.8083,314349.378,7.245,-43501.7803,311324.7927,24.694
NAM-Multitenant,FixedGrowth_1_5,growth_baseline,30,12,175735.8106,378979.503,7.1433,-27831.4077,377956.1832,24.344
EUR-Multitenant,FixedGrowth_6,growth_baseline,30,12,169418.295,267579.7246,8.5425,57940.6943,261231.2863,23.461
LAM-Multitenant,FastNeuralAR_MLP,lightweight_neural,30,12,167052.6955,167623.0027,93.9949,-167052.6955,13815.4975,23.13
EUR-Multitenant,LightGBM,machine_learning,30,12,152825.939,260943.9464,7.7059,-67515.9567,252058.2051,21.141
CAN-Go Local,FastNeuralAR_MLP,lightweight_neural,30,12,149017.9928,149231.9474,93.9772,-149017.9928,7988.2381,20.609
EUR-Multitenant,AutoARIMA,statistical,30,12,146966.3608,282537.187,7.4104,-51442.1884,277814.6204,20.322
EUR-Multitenant,FixedGrowth_4,growth_baseline,30,12,142499.8714,259239.2459,7.1852,19427.9786,258510.2324,19.697
EUR-Multitenant,Theta,statistical,30,12,140659.6303,257827.1042,7.0924,-47526.541,253408.8467,19.44
AUS-Go Local,ETS_Current,statistical,30,12,138509.565,408068.3585,54.6289,-94600.327,396951.5881,19.14
EUR-Multitenant,ETS Explicit,statistical,30,12,136266.6127,257659.467,6.8709,-36641.2418,255040.8209,18.826
EUR-Multitenant,XGBoost,machine_learning,30,12,135145.3327,230668.0851,6.8144,-46281.5735,225977.3915,18.669
EUR-Multitenant,FixedGrowth_1_5,growth_baseline,30,12,133619.5659,256870.3725,6.7375,-28712.9161,255260.5663,18.456
EUR-Multitenant,FixedGrowth_3,growth_baseline,30,12,132131.5908,257189.8909,6.6624,171.6207,257189.8337,18.248
EUR-Multitenant,LinearRegression,machine_learning,30,12,119229.2898,207398.9151,6.0119,-9594.6845,207176.8617,16.444
APC-Multitenant,ETS_Current,statistical,30,12,105402.3708,283206.8353,20.2709,-62997.5005,276111.2574,14.511
FRA-Go Local,FastNeuralAR_MLP,lightweight_neural,30,12,91233.8048,91265.0142,93.2098,-91233.8048,2386.5651,12.53
DEU-Go Local,FastNeuralAR_MLP,lightweight_neural,30,12,77846.4843,78128.172,95.3981,-77846.4843,6628.4349,10.658
NAM-Dedicated,FastNeuralAR_MLP,lightweight_neural,30,12,76796.5417,76962.5344,83.9115,-76796.5417,5052.0178,10.511
AUS-Go Local,FixedGrowth_6,growth_baseline,30,12,54954.384,105494.2703,21.6743,13068.1519,104681.7294,7.457
GBR-Go Local,ARIMA_Fixed,statistical,30,12,51040.5242,92906.2408,20.2273,-43892.6248,81884.1075,6.91
ZAF-Go Local,FastNeuralAR_MLP,lightweight_neural,30,10,50266.4571,50339.6062,91.055,-50266.4571,2712.7927,6.801
AUS-Go Local,FixedGrowth_4,growth_baseline,30,12,49992.5674,103960.1703,19.7173,8037.6929,103648.987,6.763
APC-Multitenant,FixedGrowth_6,growth_baseline,30,12,48220.2254,80122.1122,9.2737,17618.6441,78160.9637,6.515
LAM-Multitenant,ARIMA_Fixed,statistical,30,12,47941.0648,152706.9527,26.9748,-41479.8301,146965.4282,6.476
AUS-Go Local,FixedGrowth_3,growth_baseline,30,12,47511.659,103283.6534,18.7389,5522.4634,103135.9077,6.416
BRA-Go Local,FastNeuralAR_MLP,lightweight_neural,30,12,45942.6037,45982.864,90.568,-45942.6037,1923.7843,6.197
IND-Go Local,ARIMA_Fixed,statistical,30,12,45611.9054,132932.0182,13.5631,-35066.9736,128223.3553,6.151
ARE-Go Local,FastNeuralAR_MLP,lightweight_neural,30,12,44560.6988,44815.7321,93.2492,-44560.6988,4774.3032,6.004
AUS-Go Local,FixedGrowth_1_5,growth_baseline,30,12,43922.4572,102385.4467,17.3233,1749.6191,102370.4964,5.914
CAN-Go Local,ARIMA_Fixed,statistical,30,12,43730.8666,127452.5919,27.5786,-37781.4845,121723.9608,5.888
APC-Multitenant,LightGBM,machine_learning,30,12,43440.3152,75454.2335,8.3544,-15823.2138,73776.4682,5.847
AUS-Go Local,ETS Explicit,statistical,30,12,43411.1459,102293.2671,17.1216,740.7936,102290.5847,5.843
AUS-Go Local,AutoARIMA,statistical,30,12,42899.4961,101183.3942,16.9198,-1082.6276,101177.6021,5.771
ITA-Go Local,LinearRegression,machine_learning,30,12,41595.4903,141504.1546,325.4468,40869.8051,135473.5576,5.589
APC-Multitenant,FixedGrowth_4,growth_baseline,30,12,39919.8147,77751.1487,7.6773,7475.4846,77390.9443,5.355
AUS-Go Local,Theta,statistical,30,12,39856.9224,93500.7796,15.7198,2956.6909,93454.0195,5.346
APC-Multitenant,Theta,statistical,30,12,38423.0683,76549.9247,7.3895,-9904.6682,75906.4459,5.146
APC-Multitenant,AutoARIMA,statistical,30,12,37647.825,79987.6598,7.2404,-8661.6628,79517.302,5.037
APC-Multitenant,ETS Explicit,statistical,30,12,36293.1362,76738.8008,6.9799,-7191.7549,76401.0616,4.848
APC-Multitenant,FixedGrowth_3,growth_baseline,30,12,36146.2812,77050.4071,6.9516,2403.9048,77012.8981,4.827
APC-Multitenant,XGBoost,machine_learning,30,12,36090.0112,61733.1333,6.9408,-8221.7186,61183.1928,4.819
JPN-Go Local,ARIMA_Fixed,statistical,30,12,36083.935,95622.4421,12.0403,-21353.8859,93207.6338,4.819
AUS-Go Local,LightGBM,machine_learning,30,12,35887.6456,78377.1512,14.1543,5519.5466,78182.5584,4.791
APC-Multitenant,FixedGrowth_1_5,growth_baseline,30,12,34988.4683,76631.5951,6.729,-5203.4649,76454.7273,4.665
AUS-Go Local,LinearRegression,machine_learning,30,12,32366.6896,77500.0724,12.7656,12336.1048,76511.9712,4.299
NAM-ITAR DoD,FastNeuralAR_MLP,lightweight_neural,30,12,31306.9973,32490.9013,91.5145,-30763.2374,10453.7981,4.151
SWE-Go Local,FastNeuralAR_MLP,lightweight_neural,30,12,30824.8402,31636.9392,92.2171,-30824.8402,7122.1591,4.083
APC-Multitenant,LinearRegression,machine_learning,30,12,30467.9512,62061.5394,5.8596,203.2356,62061.2066,4.033
CHE-Go Local,FastNeuralAR_MLP,lightweight_neural,30,12,30078.3136,30240.575,93.7708,-30078.3136,3128.4864,3.979
AUS-Go Local,XGBoost,machine_learning,30,12,27408.0918,72426.7887,10.8099,14104.1059,71040.2274,3.605
NAM-Dedicated,ARIMA_Fixed,statistical,30,12,24168.9407,74812.4395,26.4081,-20347.8302,71992.1308,3.153
NAM-GCC Low,ARIMA_Fixed,statistical,30,12,23240.4728,73680.6705,11.6997,-20856.6546,70667.1151,3.023
KOR-Go Local,FastNeuralAR_MLP,lightweight_neural,30,12,21401.6887,21855.4459,93.3566,-21401.6887,4430.3765,2.766
NAM-ITAR DoD,ETS_Current,statistical,30,12,21326.4035,49603.1107,62.3399,-6156.7909,49219.5339,2.755
NAM-ITAR GCCH,FastNeuralAR_MLP,lightweight_neural,30,12,19856.7117,21575.3827,94.5965,-19855.0093,8442.4963,2.55
NAM-ITAR GCCH,ETS_Current,statistical,30,12,17803.1349,33699.7117,84.8133,-4141.351,33444.2788,2.263
NOR-Go Local,FastNeuralAR_MLP,lightweight_neural,30,12,17215.4105,17818.8643,89.1945,-17215.4105,4597.9959,2.18
GBR-Go Local,ETS_Current,statistical,30,12,16855.2474,28330.1548,6.6797,-10874.4386,26159.9743,2.13
LAM-Multitenant,ETS_Current,statistical,30,12,15893.9509,44690.815,8.943,-9911.8693,43577.7901,1.996
DEU-Go Local,ARIMA_Fixed,statistical,30,12,15268.2227,48405.3956,18.7107,-13289.7991,46545.2851,1.908
IND-Go Local,FixedGrowth_6,growth_baseline,30,12,13692.1705,14773.8098,4.0715,12031.9423,8573.087,1.688
NAM-Dedicated,ETS Explicit,statistical,30,12,12985.0861,34928.9934,14.1881,-7055.3267,34209.0184,1.589
JPN-Go Local,FixedGrowth_6,growth_baseline,30,12,12901.4084,14352.062,4.3049,12901.4084,6287.7138,1.577
EUR-Dedicated,FastNeuralAR_MLP,lightweight_neural,30,12,12505.9348,12914.4209,50.8219,-12505.9348,3222.4,1.522
GBR-Go Local,FixedGrowth_6,growth_baseline,30,12,12447.5733,13719.7906,4.933,10661.4853,8635.125,1.514
LAM-Multitenant,ETS Explicit,statistical,30,12,12432.9462,33203.4846,6.9956,-7583.5197,32325.8661,1.512
ITA-Go Local,FastNeuralAR_MLP,lightweight_neural,30,12,12322.5533,13237.0741,96.4128,-12322.5533,4834.7504,1.496
LAM-Multitenant,FixedGrowth_6,growth_baseline,30,12,11669.4846,14752.6632,6.566,7591.0158,12649.8043,1.405
IND-Go Local,ETS_Current,statistical,30,12,11410.6013,28350.6294,3.393,-6047.6241,27698.0943,1.369
CAN-Go Local,ETS_Current,statistical,30,12,10590.7458,25592.1654,6.679,-6303.6643,24803.6841,1.254
JPN-Go Local,ETS_Current,statistical,30,12,10238.7087,21883.2044,3.4164,-2757.6862,21708.7494,1.205
IND-Go Local,LightGBM,machine_learning,30,12,10074.5379,10522.801,2.9957,-8859.0684,5678.578,1.182
ESP-Go Local,FastNeuralAR_MLP,lightweight_neural,30,12,9945.5661,11380.1886,92.7882,-9844.2547,5709.5835,1.164
NAM-ITAR GCCH,XGBoost,machine_learning,30,12,9533.5044,14198.8789,45.4172,-2569.6002,13964.4304,1.106
IND-Go Local,XGBoost,machine_learning,30,12,9356.4418,10041.0355,2.7822,-7864.326,6242.9777,1.081
GBR-Go Local,FixedGrowth_4,growth_baseline,30,12,9099.4376,10323.144,3.6061,5699.2848,8607.2908,1.046
CAN-Go Local,FixedGrowth_6,growth_baseline,30,12,9080.0996,10082.1234,5.7263,7428.1367,6817.0372,1.043
NAM-GCC Low,FixedGrowth_6,growth_baseline,30,12,9041.9489,9644.426,4.5519,8808.299,3927.954,1.038
FRA-Go Local,ARIMA_Fixed,statistical,30,12,8958.2856,22263.7236,9.1523,-6918.1446,21161.5846,1.026
DEU-Go Local,AutoARIMA,statistical,30,12,8887.5412,26533.754,10.8914,-7001.5567,25593.3254,1.016
NAM-ITAR GCCH,Theta,statistical,30,12,8859.5956,12301.5515,42.2067,-2788.719,11981.2861,1.012
LAM-Multitenant,FixedGrowth_4,growth_baseline,30,12,8649.7146,13178.5659,4.8669,4094.4836,12526.3643,0.983
POL-Go Local,FastNeuralAR_MLP,lightweight_neural,30,12,8494.6632,9941.1352,78.4898,-8028.2467,5862.8853,0.961
JPN-Go Local,LightGBM,machine_learning,30,12,8450.9725,9085.3917,2.8199,-6407.4189,6441.2207,0.955
NAM-ITAR GCCH,LinearRegression,machine_learning,30,12,8381.6972,12657.072,39.93,-1466.3086,12571.85,0.945
NAM-ITAR GCCH,LightGBM,machine_learning,30,12,8276.9624,12823.5662,39.4311,-1160.6654,12770.9321,0.931
NAM-ITAR GCCH,FixedGrowth_6,growth_baseline,30,12,8204.8789,13218.0442,39.0877,692.3094,13199.9016,0.92
ITA-Go Local,AutoARIMA,statistical,30,12,8130.1027,25228.2158,63.6106,-7244.8414,24165.5778,0.91
IND-Go Local,FixedGrowth_4,growth_baseline,30,12,8115.4951,10028.5114,2.4132,5459.733,8412.0365,0.908
JPN-Go Local,XGBoost,machine_learning,30,12,8004.4647,8905.8405,2.6709,-5774.3642,6780.1706,0.892
NAM-ITAR GCCH,ARIMA_Fixed,statistical,30,12,7915.6678,13224.2601,37.7099,-238.8979,13222.1021,0.88
NAM-Dedicated,FixedGrowth_6,growth_baseline,30,12,7813.9733,8417.7922,8.5379,6861.8568,4875.8739,0.866
NAM-ITAR GCCH,FixedGrowth_4,growth_baseline,30,12,7807.6382,13075.3779,37.1952,283.1911,13072.3108,0.865
JPN-Go Local,FixedGrowth_4,growth_baseline,30,12,7787.4284,9411.963,2.5985,7003.4143,6287.8642,0.862
NAM-ITAR GCCH,AutoARIMA,statistical,30,12,7769.2922,12819.1096,37.0126,-553.4813,12807.1554,0.86
IND-Go Local,Theta,statistical,30,12,7756.5036,9977.5334,2.3065,-5676.3529,8205.4976,0.858
GBR-Go Local,FixedGrowth_3,growth_baseline,30,12,7743.576,9179.1995,3.0688,3218.1845,8596.5686,0.856
NAM-ITAR GCCH,FixedGrowth_3,growth_baseline,30,12,7640.4788,13009.1288,36.3989,78.6319,13008.8911,0.842
NAM-ITAR GCCH,ETS Explicit,statistical,30,12,7611.8338,12906.8683,36.2624,-279.8425,12903.8342,0.838
LAM-Multitenant,LightGBM,machine_learning,30,12,7597.7252,11184.7905,4.275,-3215.8805,10712.4997,0.836
NAM-ITAR GCCH,FixedGrowth_1_5,growth_baseline,30,12,7577.1502,12916.2578,36.0972,-228.2068,12914.2417,0.833
GBR-Dedicated,FastNeuralAR_MLP,lightweight_neural,30,12,7563.6586,9312.0256,870.0267,7421.931,5623.9454,0.831
NAM-ITAR DoD,FixedGrowth_6,growth_baseline,30,12,7550.8794,15243.2406,22.0722,1460.9679,15173.0669,0.829
NAM-ITAR DoD,XGBoost,machine_learning,30,12,7553.9794,14636.6846,22.0813,-1622.1513,14546.5172,0.829
NAM-ITAR DoD,LightGBM,machine_learning,30,12,7482.3527,14301.3722,21.8719,-1618.5926,14209.4829,0.819
IND-Go Local,AutoARIMA,statistical,30,12,7235.5951,9828.0342,2.1516,-2484.5298,9508.8047,0.785
LAM-Multitenant,FixedGrowth_3,growth_baseline,30,12,7139.8296,12685.3297,4.0173,2346.2174,12466.4692,0.772
GBR-Go Local,LightGBM,machine_learning,30,12,7077.0003,9266.6189,2.8046,-3848.8772,8429.4941,0.763
NAM-SDF,FastNeuralAR_MLP,lightweight_neural,30,12,7055.4036,9606.1723,280.6036,5607.0512,7799.9694,0.76
NAM-ITAR DoD,FixedGrowth_4,growth_baseline,30,12,6976.8808,15045.2418,20.3943,787.9328,15024.5953,0.749
LAM-Multitenant,XGBoost,machine_learning,30,12,6929.1534,10594.4148,3.8988,-2469.1953,10302.6549,0.742
NAM-ITAR DoD,ARIMA_Fixed,statistical,30,12,6913.1251,15456.8205,20.208,-378.4264,15452.1873,0.74
NAM-ITAR DoD,AutoARIMA,statistical,30,12,6902.7949,14796.3373,20.1778,-854.0777,14771.6671,0.738
NAM-ITAR DoD,FixedGrowth_3,growth_baseline,30,12,6759.9326,14957.6857,19.7602,451.4153,14950.8724,0.718
NAM-ITAR DoD,Theta,statistical,30,12,6568.8712,14735.9122,19.2017,-398.6525,14730.5188,0.692
LAM-Multitenant,Theta,statistical,30,12,6562.317,12435.7997,3.6924,-1872.0079,12294.0921,0.691
NAM-ITAR DoD,FixedGrowth_1_5,growth_baseline,30,12,6502.4656,14841.0393,19.0076,-53.3611,14840.9434,0.682
NAM-ITAR DoD,ETS Explicit,statistical,30,12,6474.1274,14830.5186,18.9247,-142.5328,14829.8337,0.678
CAN-Go Local,FixedGrowth_4,growth_baseline,30,12,6413.6285,8004.3091,4.0447,4296.1292,6753.6832,0.67
NAM-MSIT,FastNeuralAR_MLP,lightweight_neural,30,12,6387.7636,6613.6722,61.5503,-6387.7636,1713.8075,0.666
GBR-Go Local,XGBoost,machine_learning,30,12,6370.3449,8392.694,2.5246,-3775.5859,7495.4829,0.664
NAM-Dedicated,ETS_Current,statistical,30,12,6351.4401,16315.626,6.9399,-3177.0872,16003.3049,0.661
QAT-Go Local,FastNeuralAR_MLP,lightweight_neural,30,12,6293.5627,6328.8336,93.4039,-6293.5627,667.2349,0.653
IND-Go Local,ETS Explicit,statistical,30,12,6284.0647,9031.2548,1.8686,-3659.1908,8256.7479,0.652
LAM-Multitenant,AutoARIMA,statistical,30,12,6234.9219,12142.9141,3.5082,-1382.0764,12064.0055,0.645
NAM-Dedicated,FixedGrowth_4,growth_baseline,30,12,6232.2612,6943.9755,6.8097,5005.5786,4812.7932,0.645
GBR-Go Local,Theta,statistical,30,12,6197.3382,8964.9971,2.456,-2596.3504,8580.8005,0.64
GBR-Go Local,FixedGrowth_1_5,growth_baseline,30,12,6077.9609,8599.2529,2.4087,-503.4659,8584.5019,0.623
GBR-Go Local,ETS Explicit,statistical,30,12,6029.6695,8710.1273,2.3895,-1259.634,8618.5637,0.616
ITA-Go Local,ETS Explicit,statistical,30,12,6003.0619,17873.5616,46.9685,-5172.4509,17108.7684,0.613
IND-Go Local,FixedGrowth_1_5,growth_baseline,30,12,5980.2678,8712.4383,1.7783,-2755.5286,8265.2068,0.609
ITA-Go Local,ARIMA_Fixed,statistical,30,12,5964.7581,17868.261,46.6688,-5287.649,17067.9677,0.607
EUR-Dedicated,ARIMA_Fixed,statistical,30,12,5956.9994,16094.9483,24.2082,-4312.9538,15506.3145,0.606
SWE-Go Local,ARIMA_Fixed,statistical,30,12,5896.5799,14517.8275,17.6405,-4075.5976,13934.0166,0.598
NAM-ITAR DoD,LinearRegression,machine_learning,30,12,5880.5017,12557.81,17.1895,362.7337,12552.5701,0.595
GBR-Go Local,AutoARIMA,statistical,30,12,5868.2231,8963.0182,2.3256,-842.8629,8923.2997,0.594
FRA-Go Local,FixedGrowth_6,growth_baseline,30,12,5767.61,6104.1569,5.8925,5372.8467,2897.1106,0.58
NAM-GCC Low,FixedGrowth_4,growth_baseline,30,12,5736.1946,6248.6533,2.8877,4894.1583,3884.956,0.575
GBR-Go Local,LinearRegression,machine_learning,30,12,5724.71,7603.9374,2.2687,-496.6933,7587.698,0.574
JPN-Go Local,Theta,statistical,30,12,5722.6118,6992.9954,1.9095,-2934.4162,6347.5338,0.573
ARE-Go Local,ARIMA_Fixed,statistical,30,12,5680.4838,12704.3401,11.8872,-3115.3927,12316.4356,0.568
LAM-Multitenant,LinearRegression,machine_learning,30,12,5522.9359,12056.6329,3.1076,-490.2609,12046.661,0.546
IND-Go Local,FixedGrowth_3,growth_baseline,30,12,5519.8981,8624.2749,1.6414,2173.6284,8345.8646,0.545
LAM-Multitenant,FixedGrowth_1_5,growth_baseline,30,12,5482.167,12382.0378,3.0846,-276.1818,12378.9573,0.54
NAM-GCC Low,ETS_Current,statistical,30,12,5476.562,14967.4749,2.757,-3434.2526,14568.1575,0.539
NAM-Dedicated,FixedGrowth_3,growth_baseline,30,12,5441.4051,6284.0987,5.9455,4077.4395,4781.6717,0.534
JPN-Go Local,FixedGrowth_3,growth_baseline,30,12,5290.6247,7488.1667,1.7654,4054.4172,6295.5811,0.513
CAN-Go Local,FixedGrowth_3,growth_baseline,30,12,5098.1639,7256.4172,3.2151,2730.1254,6723.2436,0.486
JPN-Go Local,AutoARIMA,statistical,30,12,4936.7363,6840.7454,1.6473,-1538.1594,6665.573,0.464
NAM-Dedicated,AutoARIMA,statistical,30,12,4812.5399,7776.1865,5.2584,1050.7331,7704.8709,0.446
JPN-Go Local,ETS Explicit,statistical,30,12,4757.7175,6512.6654,1.5875,-1342.5813,6372.777,0.439
IND-Go Local,LinearRegression,machine_learning,30,12,4473.6776,6785.985,1.3303,1425.3218,6634.61,0.399
NAM-Dedicated,LinearRegression,machine_learning,30,12,4378.2615,6591.9021,4.7839,1347.8501,6452.633,0.385
JPN-Go Local,LinearRegression,machine_learning,30,12,4357.2095,6401.0806,1.4539,-449.5615,6385.2742,0.383
JPN-Go Local,FixedGrowth_1_5,growth_baseline,30,12,4303.48,6327.4338,1.436,-369.0784,6316.6605,0.375
NAM-GCC Low,LightGBM,machine_learning,30,12,4282.87,4447.2801,2.1561,-3404.9181,2860.9147,0.372
NAM-Dedicated,FixedGrowth_1_5,growth_baseline,30,12,4255.1211,5443.8675,4.6493,2685.2308,4735.5284,0.368
FRA-Go Local,FixedGrowth_4,growth_baseline,30,12,4132.2091,4464.1634,4.2217,3424.6793,2863.6212,0.351
EUR-Dedicated,ETS Explicit,statistical,30,12,4090.9722,9669.3733,16.625,-2332.8469,9383.7416,0.345
NAM-GCC Low,FixedGrowth_3,growth_baseline,30,12,4083.3175,4856.5624,2.0556,2937.0879,3867.7788,0.344
NAM-GCC Low,XGBoost,machine_learning,30,12,3844.6915,4097.9243,1.9355,-2897.4609,2897.8792,0.311
FRA-Go Local,ETS_Current,statistical,30,12,3712.2111,7598.1026,3.7926,-2094.9511,7303.5843,0.292
CAN-Go Local,LightGBM,machine_learning,30,12,3615.8989,4846.9361,2.2803,-1407.0589,4638.2081,0.279
CAN-Go Local,Theta,statistical,30,12,3613.9341,6709.1235,2.2791,-981.1258,6636.9971,0.279
CAN-Go Local,FixedGrowth_1_5,growth_baseline,30,12,3574.7559,6690.0275,2.2544,381.1198,6679.1628,0.273
NAM-Dedicated,Theta,statistical,30,12,3570.1452,5029.0678,3.9009,1806.0885,4693.5666,0.272
DEU-Go Local,ETS_Current,statistical,30,12,3558.8984,9033.7834,4.3613,-1966.0878,8817.2412,0.271
ARE-Go Local,FixedGrowth_6,growth_baseline,30,12,3510.3199,5010.1831,7.3458,3329.1571,3744.1484,0.264
CAN-Go Local,AutoARIMA,statistical,30,12,3500.6775,6900.329,2.2077,-275.5448,6894.8252,0.263
DEU-Go Local,FixedGrowth_6,growth_baseline,30,12,3474.7675,3802.8834,4.2582,2918.1291,2438.5332,0.259
CAN-Go Local,XGBoost,machine_learning,30,12,3424.629,4889.4471,2.1597,-1162.2754,4749.2956,0.252
CAN-Go Local,ETS Explicit,statistical,30,12,3408.4855,6681.2538,2.1495,-139.0183,6679.8073,0.25
ESP-Go Local,LinearRegression,machine_learning,30,12,3373.2311,5560.0727,31.4709,2911.8491,4736.6173,0.245
ARE-Go Local,ETS_Current,statistical,30,12,3364.4023,5852.962,7.0405,-657.1319,5815.9558,0.244
FRA-Go Local,FixedGrowth_3,growth_baseline,30,12,3314.5087,3756.5139,3.3863,2450.5956,2847.0999,0.237
CAN-Go Local,LinearRegression,machine_learning,30,12,3150.9615,5799.3129,1.9871,648.9343,5762.8911,0.214
NAM-Dedicated,XGBoost,machine_learning,30,12,3122.3329,4243.031,3.4116,1573.0966,3940.6445,0.21
NAM-GCC Low,Theta,statistical,30,12,2998.1726,4222.8339,1.5093,-1772.0655,3833.0288,0.192
NAM-Dedicated,LightGBM,machine_learning,30,12,2967.3129,4265.039,3.2422,1393.3754,4031.0126,0.188
SWE-Go Local,FixedGrowth_6,growth_baseline,30,12,2841.2294,3408.6787,8.5,691.8265,3337.7338,0.171
FRA-Go Local,AutoARIMA,statistical,30,12,2815.6636,3480.9475,2.8766,104.4352,3479.3805,0.167
ESP-Go Local,ARIMA_Fixed,statistical,30,12,2777.6654,5325.6324,25.9145,-609.7105,5290.6157,0.162
ARE-Go Local,FixedGrowth_4,growth_baseline,30,12,2697.2033,4407.352,5.6443,2364.7075,3719.262,0.15
EUR-Dedicated,FixedGrowth_6,growth_baseline,30,12,2642.4051,3300.0003,10.7383,2274.3276,2391.1161,0.143
DEU-Go Local,LightGBM,machine_learning,30,12,2628.7236,2669.8245,3.2214,-2108.1485,1638.1919,0.141
SWE-Go Local,LightGBM,machine_learning,30,12,2623.5269,3899.3994,7.8487,-1576.0166,3566.7194,0.14
SWE-Go Local,FixedGrowth_4,growth_baseline,30,12,2529.0322,3240.4004,7.566,48.0869,3240.0436,0.127
ZAF-Go Local,FixedGrowth_6,growth_baseline,30,10,2506.3288,2625.7663,4.5401,2506.3288,782.9204,0.124
EUR-Dedicated,ETS_Current,statistical,30,12,2504.1947,4886.2577,10.1766,-702.3486,4835.5166,0.123
SWE-Go Local,FixedGrowth_3,growth_baseline,30,12,2384.4982,3204.8247,7.1336,-273.7828,3193.1089,0.107
SWE-Go Local,AutoARIMA,statistical,30,12,2353.302,3115.0721,7.0403,-186.282,3109.4972,0.102
NAM-GCC Low,AutoARIMA,statistical,30,12,2341.575,4247.3229,1.1788,-898.0636,4151.293,0.101
DEU-Go Local,XGBoost,machine_learning,30,12,2336.2287,2407.0519,2.863,-1763.3343,1638.4599,0.1
ARE-Go Local,LightGBM,machine_learning,30,12,2325.0588,3722.0148,4.8655,287.7123,3710.878,0.098
BRA-Go Local,ARIMA_Fixed,statistical,30,12,2320.7615,3998.8133,4.575,-938.9557,3887.013,0.098
ARE-Go Local,FixedGrowth_3,growth_baseline,30,12,2318.6646,4157.9446,4.8521,1882.4828,3707.3929,0.097
FRA-Go Local,LinearRegression,machine_learning,30,12,2295.8387,3011.9994,2.3456,1324.788,2705.0097,0.094
ARE-Go Local,ETS Explicit,statistical,30,12,2283.5761,4028.9077,4.7787,443.7059,4004.4004,0.093
ARE-Go Local,XGBoost,machine_learning,30,12,2236.8225,3674.5929,4.6809,389.5156,3653.8898,0.086
BRA-Go Local,FixedGrowth_6,growth_baseline,30,12,2235.41,2418.5779,4.4067,2235.41,923.2882,0.086
FRA-Go Local,FixedGrowth_1_5,growth_baseline,30,12,2205.9454,2991.0111,2.2537,989.47,2822.6045,0.082
EUR-Dedicated,FixedGrowth_4,growth_baseline,30,12,2203.8013,2934.1671,8.9559,1767.126,2342.3498,0.081
