"artifact","column","r_type","n_distinct","example"
"data/sample/recommendations.csv","current_model","character",7,"ExponentialSmoothing"
"data/sample/recommendations.csv","recommended_model","character",5,"AutoARIMA"
"data/sample/recommendations.csv","recommendation","character",4,"Replace"
"data/sample/recommendations.csv","confidence_level","character",3,"High"
"data/sample/recommendations.csv","wmape_improvement_pct","numeric",12,"-10.3"
"data/sample/recommendations.csv","primary_reason","character",11,"AutoARIMA captures trend change"
"outputs/model_lab/model_lab_closure_pack/model_lab_final_model_universe.csv","model_name","character",15,"ARIMA_Fixed"
"outputs/model_lab/model_lab_closure_pack/model_lab_final_model_universe.csv","model_origin","character",2,"baseline"
"outputs/model_lab/model_lab_closure_pack/model_lab_final_model_universe.csv","model_family","character",5,"statistical"
"outputs/model_lab/model_lab_closure_pack/model_lab_final_model_universe.csv","final_status","character",4,"active_tournament_model"
"outputs/model_lab/model_lab_closure_pack/model_lab_final_model_universe.csv","included_in_tournament","logical",2,"TRUE"
"outputs/model_lab/model_lab_closure_pack/model_lab_final_model_universe.csv","eligible_for_champion","logical",2,"TRUE"
"outputs/model_lab/model_lab_closure_pack/model_lab_final_model_universe.csv","selected_champion","logical",2,"FALSE"
"outputs/model_lab/model_lab_closure_pack/model_lab_final_model_universe.csv","deferred_reason","character",3,NA
"outputs/model_lab/model_lab_closure_pack/model_lab_final_model_universe.csv","risk_flag","logical",2,"FALSE"
"outputs/model_lab/model_lab_closure_pack/model_lab_final_model_universe.csv","created_timestamp","POSIXct",1,"2026-06-13 20:36:01"
"outputs/model_lab/tournament_engine/tournament_preliminary_standings.csv","run_id","character",1,"tournament_engine"
"outputs/model_lab/tournament_engine/tournament_preliminary_standings.csv","preliminary_position","numeric",13,"1"
"outputs/model_lab/tournament_engine/tournament_preliminary_standings.csv","model_name","character",13,"ETS Explicit"
"outputs/model_lab/tournament_engine/tournament_preliminary_standings.csv","model_origin","character",2,"challenger"
"outputs/model_lab/tournament_engine/tournament_preliminary_standings.csv","model_family","character",4,"statistical"
"outputs/model_lab/tournament_engine/tournament_preliminary_standings.csv","official_median_mase","numeric",13,"6.9011435333734"
"outputs/model_lab/tournament_engine/tournament_preliminary_standings.csv","official_median_rmsse","numeric",13,"1.8561932181843"
"outputs/model_lab/tournament_engine/tournament_preliminary_standings.csv","supported_better_count","numeric",8,"8"
"outputs/model_lab/tournament_engine/tournament_preliminary_standings.csv","supported_worse_count","numeric",6,"0"
"outputs/model_lab/tournament_engine/tournament_preliminary_standings.csv","risk_status","character",3,"low"
"outputs/model_lab/tournament_engine/tournament_preliminary_standings.csv","audit_risk_flag","logical",2,"FALSE"
"outputs/model_lab/tournament_engine/tournament_preliminary_standings.csv","eligible_for_champion_consideration","logical",2,"TRUE"
"outputs/model_lab/tournament_engine/tournament_preliminary_standings.csv","created_timestamp","POSIXct",1,"2026-06-13 18:07:40"
"outputs/model_lab/tournament_engine/tournament_model_scorecard.csv","run_id","character",1,"tournament_engine"
"outputs/model_lab/tournament_engine/tournament_model_scorecard.csv","model_name","character",13,"ARIMA_Fixed"
"outputs/model_lab/tournament_engine/tournament_model_scorecard.csv","model_origin","character",2,"baseline"
"outputs/model_lab/tournament_engine/tournament_model_scorecard.csv","model_family","character",4,"statistical"
"outputs/model_lab/tournament_engine/tournament_model_scorecard.csv","entity_count","numeric",1,"39"
"outputs/model_lab/tournament_engine/tournament_model_scorecard.csv","official_median_mase","numeric",13,"11.78991635032"
"outputs/model_lab/tournament_engine/tournament_model_scorecard.csv","official_median_rmsse","numeric",13,"3.49334506602668"
"outputs/model_lab/tournament_engine/tournament_model_scorecard.csv","median_wmape","numeric",7,NA
"outputs/model_lab/tournament_engine/tournament_model_scorecard.csv","median_smape","numeric",7,NA
"outputs/model_lab/tournament_engine/tournament_model_scorecard.csv","median_bias","numeric",7,NA
"outputs/model_lab/tournament_engine/tournament_model_scorecard.csv","mase_guardrail_status","character",3,"pass"
"outputs/model_lab/tournament_engine/tournament_model_scorecard.csv","rmsse_guardrail_status","character",3,"pass"
"outputs/model_lab/tournament_engine/tournament_model_scorecard.csv","risk_status","character",3,"low"
"outputs/model_lab/tournament_engine/tournament_model_scorecard.csv","audit_risk_flag","logical",2,"FALSE"
"outputs/model_lab/tournament_engine/tournament_model_scorecard.csv","eligible_for_champion_consideration","logical",2,"TRUE"
"outputs/model_lab/tournament_engine/tournament_model_scorecard.csv","champion_exclusion_reason","character",2,NA
"outputs/model_lab/tournament_engine/tournament_model_scorecard.csv","created_timestamp","POSIXct",1,"2026-06-13 18:07:40"
"outputs/model_lab/tournament_engine/tournament_pairwise_evidence.csv","run_id","character",1,"tournament_engine"
"outputs/model_lab/tournament_engine/tournament_pairwise_evidence.csv","model_a","character",12,"ARIMA_Fixed"
"outputs/model_lab/tournament_engine/tournament_pairwise_evidence.csv","model_b","character",12,"ETS_Current"
"outputs/model_lab/tournament_engine/tournament_pairwise_evidence.csv","model_a_origin","character",2,"baseline"
"outputs/model_lab/tournament_engine/tournament_pairwise_evidence.csv","model_b_origin","character",2,"baseline"
"outputs/model_lab/tournament_engine/tournament_pairwise_evidence.csv","paired_entity_count","numeric",1,"39"
"outputs/model_lab/tournament_engine/tournament_pairwise_evidence.csv","median_delta_mase","numeric",78,"3.49174902501704"
"outputs/model_lab/tournament_engine/tournament_pairwise_evidence.csv","bootstrap_ci_low","numeric",78,"0.614044236994808"
"outputs/model_lab/tournament_engine/tournament_pairwise_evidence.csv","bootstrap_ci_high","numeric",78,"4.76495042568311"
"outputs/model_lab/tournament_engine/tournament_pairwise_evidence.csv","sign_test_p_value","numeric",19,"0.0094753042794764"
"outputs/model_lab/tournament_engine/tournament_pairwise_evidence.csv","bh_adjusted_p_value","numeric",19,"0.0194493087841884"
"outputs/model_lab/tournament_engine/tournament_pairwise_evidence.csv","practical_threshold","numeric",1,"0.02"
"outputs/model_lab/tournament_engine/tournament_pairwise_evidence.csv","practically_meaningful","logical",2,"TRUE"
"outputs/model_lab/tournament_engine/tournament_pairwise_evidence.csv","statistically_supported","logical",2,"TRUE"
"outputs/model_lab/tournament_engine/tournament_pairwise_evidence.csv","comparison_status","character",2,"supported_difference"
"outputs/model_lab/tournament_engine/tournament_pairwise_evidence.csv","created_timestamp","POSIXct",1,"2026-06-13 18:07:40"
"outputs/model_lab/tournament_engine/tournament_entity_model_scores.csv","run_id","character",1,"tournament_engine"
"outputs/model_lab/tournament_engine/tournament_entity_model_scores.csv","model_name","character",13,"ARIMA_Fixed"
"outputs/model_lab/tournament_engine/tournament_entity_model_scores.csv","model_origin","character",2,"baseline"
"outputs/model_lab/tournament_engine/tournament_entity_model_scores.csv","model_family","character",4,"statistical"
"outputs/model_lab/tournament_engine/tournament_entity_model_scores.csv","entity_key","character",39,"APC-Dedicated"
"outputs/model_lab/tournament_engine/tournament_entity_model_scores.csv","median_mase","numeric",507,"3.28752621128542"
"outputs/model_lab/tournament_engine/tournament_entity_model_scores.csv","median_rmsse","numeric",507,"0.339011902486612"
"outputs/model_lab/tournament_engine/tournament_entity_model_scores.csv","median_wmape","numeric",235,NA
"outputs/model_lab/tournament_engine/tournament_entity_model_scores.csv","median_smape","numeric",235,NA
"outputs/model_lab/tournament_engine/tournament_entity_model_scores.csv","median_bias","numeric",235,NA
"outputs/model_lab/tournament_engine/tournament_entity_model_scores.csv","entity_weight","numeric",1,"1"
"outputs/model_lab/tournament_engine/tournament_entity_model_scores.csv","audit_risk_flag","logical",2,"FALSE"
"outputs/model_lab/tournament_engine/tournament_entity_model_scores.csv","created_timestamp","POSIXct",1,"2026-06-13 18:07:40"
"outputs/model_lab/challenger_metrics/challenger_metrics_by_model_diagnostic.csv","run_id","character",1,"challenger_metrics_scoring"
"outputs/model_lab/challenger_metrics/challenger_metrics_by_model_diagnostic.csv","model_name","character",6,"AutoARIMA"
"outputs/model_lab/challenger_metrics/challenger_metrics_by_model_diagnostic.csv","metric_rows","numeric",1,"454"
"outputs/model_lab/challenger_metrics/challenger_metrics_by_model_diagnostic.csv","median_mase","numeric",6,"7.57971729386249"
"outputs/model_lab/challenger_metrics/challenger_metrics_by_model_diagnostic.csv","mean_mase","numeric",6,"36.6442198176159"
"outputs/model_lab/challenger_metrics/challenger_metrics_by_model_diagnostic.csv","median_rmsse","numeric",6,"1.98108758723817"
"outputs/model_lab/challenger_metrics/challenger_metrics_by_model_diagnostic.csv","mean_rmsse","numeric",6,"9.54652058004606"
"outputs/model_lab/challenger_metrics/challenger_metrics_by_model_diagnostic.csv","median_wmape","numeric",6,"0.0103789787889942"
"outputs/model_lab/challenger_metrics/challenger_metrics_by_model_diagnostic.csv","mean_wmape","numeric",6,"0.0625288682564558"
"outputs/model_lab/challenger_metrics/challenger_metrics_by_model_diagnostic.csv","median_smape","numeric",6,"0.0103788162334995"
"outputs/model_lab/challenger_metrics/challenger_metrics_by_model_diagnostic.csv","mean_smape","numeric",6,"0.0813037351448362"
"outputs/model_lab/challenger_metrics/challenger_metrics_by_model_diagnostic.csv","median_rmse","numeric",6,"450.732959036474"
"outputs/model_lab/challenger_metrics/challenger_metrics_by_model_diagnostic.csv","mean_rmse","numeric",6,"7884.26528763389"
"outputs/model_lab/challenger_metrics/challenger_metrics_by_model_diagnostic.csv","median_bias","numeric",6,"-23.3081101073368"
"outputs/model_lab/challenger_metrics/challenger_metrics_by_model_diagnostic.csv","mean_bias","numeric",6,"-5561.65235041912"
"outputs/model_lab/challenger_metrics/challenger_metrics_by_model_diagnostic.csv","negative_forecast_rows","numeric",5,"115"
"outputs/model_lab/challenger_metrics/challenger_metrics_by_model_diagnostic.csv","created_timestamp","POSIXct",1,"2026-06-13 16:26:53"
"outputs/model_lab/challenger_metrics/challenger_actual_forecast_join.csv","run_id","character",1,"challenger_metrics_scoring"
"outputs/model_lab/challenger_metrics/challenger_actual_forecast_join.csv","model_name","character",6,"AutoARIMA"
"outputs/model_lab/challenger_metrics/challenger_actual_forecast_join.csv","entity_key","character",39,"APC-Dedicated"
"outputs/model_lab/challenger_metrics/challenger_actual_forecast_join.csv","window_id","numeric",12,"1"
"outputs/model_lab/challenger_metrics/challenger_actual_forecast_join.csv","forecast_date","Date",360,"2025-05-03"
"outputs/model_lab/challenger_metrics/challenger_actual_forecast_join.csv","horizon_day","numeric",30,"1"
"outputs/model_lab/challenger_metrics/challenger_actual_forecast_join.csv","actual_value","numeric",11296,"2427.007518"
"outputs/model_lab/challenger_metrics/challenger_actual_forecast_join.csv","forecast_value","numeric",58775,"2421.41472836936"
"outputs/model_lab/challenger_metrics/challenger_actual_forecast_join.csv","adjusted_forecast_value","numeric",58470,"2421.41472836936"
"outputs/model_lab/challenger_metrics/challenger_actual_forecast_join.csv","error","numeric",77901,"-5.59278963063798"
"outputs/model_lab/challenger_metrics/challenger_actual_forecast_join.csv","abs_error","numeric",77901,"5.59278963063798"
"outputs/model_lab/challenger_metrics/challenger_actual_forecast_join.csv","squared_error","numeric",77901,"31.2792958525717"
"outputs/model_lab/challenger_metrics/challenger_actual_forecast_join.csv","execution_mode","character",1,"official"
"outputs/model_lab/challenger_metrics/challenger_actual_forecast_join.csv","created_timestamp","POSIXct",1,"2026-06-13 16:26:53"
"outputs/model_lab/challenger_metrics/challenger_scoring_forecasts.csv","run_id","character",1,"challenger_metrics_scoring"
"outputs/model_lab/challenger_metrics/challenger_scoring_forecasts.csv","model_name","character",6,"AutoARIMA"
"outputs/model_lab/challenger_metrics/challenger_scoring_forecasts.csv","entity_key","character",39,"APC-Dedicated"
"outputs/model_lab/challenger_metrics/challenger_scoring_forecasts.csv","window_id","numeric",12,"1"
"outputs/model_lab/challenger_metrics/challenger_scoring_forecasts.csv","forecast_date","Date",360,"2025-05-03"
"outputs/model_lab/challenger_metrics/challenger_scoring_forecasts.csv","horizon_day","numeric",30,"1"
"outputs/model_lab/challenger_metrics/challenger_scoring_forecasts.csv","forecast_value","numeric",58775,"2421.41472836936"
"outputs/model_lab/challenger_metrics/challenger_scoring_forecasts.csv","adjusted_forecast_value","numeric",58470,"2421.41472836936"
"outputs/model_lab/challenger_metrics/challenger_scoring_forecasts.csv","negative_forecast_flag","logical",2,"FALSE"
"outputs/model_lab/challenger_metrics/challenger_scoring_forecasts.csv","negative_adjustment_amount","numeric",307,"0"
"outputs/model_lab/challenger_metrics/challenger_scoring_forecasts.csv","execution_mode","character",1,"official"
"outputs/model_lab/challenger_metrics/challenger_scoring_forecasts.csv","created_timestamp","POSIXct",1,"2026-06-13 16:26:53"
"outputs/model_lab/challenger_aggregation_significance/challenger_aggregation_by_model.csv","run_id","character",1,"challenger_aggregation_significance"
"outputs/model_lab/challenger_aggregation_significance/challenger_aggregation_by_model.csv","model_name","character",6,"AutoARIMA"
"outputs/model_lab/challenger_aggregation_significance/challenger_aggregation_by_model.csv","entity_count","numeric",1,"39"
"outputs/model_lab/challenger_aggregation_significance/challenger_aggregation_by_model.csv","entity_model_rows","numeric",1,"39"
"outputs/model_lab/challenger_aggregation_significance/challenger_aggregation_by_model.csv","official_median_mase","numeric",6,"8.08853032080819"
"outputs/model_lab/challenger_aggregation_significance/challenger_aggregation_by_model.csv","diagnostic_mean_mase","numeric",6,"14.0855777346244"
"outputs/model_lab/challenger_aggregation_significance/challenger_aggregation_by_model.csv","diagnostic_p95_mase","numeric",6,"50.0159184167538"
"outputs/model_lab/challenger_aggregation_significance/challenger_aggregation_by_model.csv","official_median_rmsse","numeric",6,"1.8590126984375"
"outputs/model_lab/challenger_aggregation_significance/challenger_aggregation_by_model.csv","diagnostic_mean_rmsse","numeric",6,"3.92920006984044"
"outputs/model_lab/challenger_aggregation_significance/challenger_aggregation_by_model.csv","diagnostic_p95_rmsse","numeric",6,"16.0403685848782"
"outputs/model_lab/challenger_aggregation_significance/challenger_aggregation_by_model.csv","median_wmape","numeric",6,"0.0099110042459386"
"outputs/model_lab/challenger_aggregation_significance/challenger_aggregation_by_model.csv","median_smape","numeric",6,"0.00991333596139675"
"outputs/model_lab/challenger_aggregation_significance/challenger_aggregation_by_model.csv","median_bias","numeric",6,"-8.62458126878015"
"outputs/model_lab/challenger_aggregation_significance/challenger_aggregation_by_model.csv","negative_forecast_rows","numeric",5,"115"
"outputs/model_lab/challenger_aggregation_significance/challenger_aggregation_by_model.csv","created_timestamp","POSIXct",1,"2026-06-13 17:27:28"
"outputs/model_lab/challenger_official_execution/challenger_official_forecasts.csv","run_id","character",1,"challenger_official_execution"
"outputs/model_lab/challenger_official_execution/challenger_official_forecasts.csv","model_name","character",6,"AutoARIMA"
"outputs/model_lab/challenger_official_execution/challenger_official_forecasts.csv","entity_key","character",39,"APC-Dedicated"
"outputs/model_lab/challenger_official_execution/challenger_official_forecasts.csv","window_id","numeric",12,"1"
"outputs/model_lab/challenger_official_execution/challenger_official_forecasts.csv","forecast_date","Date",360,"2025-05-03"
"outputs/model_lab/challenger_official_execution/challenger_official_forecasts.csv","horizon_day","numeric",30,"1"
"outputs/model_lab/challenger_official_execution/challenger_official_forecasts.csv","forecast_value","numeric",58777,"2421.41472836936"
"outputs/model_lab/challenger_official_execution/challenger_official_forecasts.csv","execution_mode","character",1,"official"
"outputs/model_lab/challenger_official_execution/challenger_official_forecasts.csv","created_timestamp","POSIXct",781,"2026-06-13 15:20:47"
"outputs/model_lab/forecasts/baseline_forecasts.csv","run_id","character",0,NA
"outputs/model_lab/forecasts/baseline_forecasts.csv","job_id","character",0,NA
"outputs/model_lab/forecasts/baseline_forecasts.csv","entity_key","character",0,NA
"outputs/model_lab/forecasts/baseline_forecasts.csv","window_id","character",0,NA
"outputs/model_lab/forecasts/baseline_forecasts.csv","model_name","character",0,NA
"outputs/model_lab/forecasts/baseline_forecasts.csv","model_family","character",0,NA
"outputs/model_lab/forecasts/baseline_forecasts.csv","forecast_date","character",0,NA
"outputs/model_lab/forecasts/baseline_forecasts.csv","horizon_day","character",0,NA
"outputs/model_lab/forecasts/baseline_forecasts.csv","forecast_value","character",0,NA
"outputs/model_lab/forecasts/baseline_forecasts.csv","created_timestamp","character",0,NA
"outputs/model_lab/full_baseline/full_baseline_forecasts.csv","run_id","character",1,"full_baseline_20260611_103953"
"outputs/model_lab/full_baseline/full_baseline_forecasts.csv","job_id","character",3178,"job_000001"
"outputs/model_lab/full_baseline/full_baseline_forecasts.csv","entity_key","character",39,"APC-Dedicated"
"outputs/model_lab/full_baseline/full_baseline_forecasts.csv","window_id","numeric",12,"1"
"outputs/model_lab/full_baseline/full_baseline_forecasts.csv","model_name","character",7,"ARIMA_Fixed"
"outputs/model_lab/full_baseline/full_baseline_forecasts.csv","model_family","character",1,"BaselineProduction"
"outputs/model_lab/full_baseline/full_baseline_forecasts.csv","forecast_date","Date",360,"2025-05-03"
"outputs/model_lab/full_baseline/full_baseline_forecasts.csv","horizon_day","numeric",30,"1"
"outputs/model_lab/full_baseline/full_baseline_forecasts.csv","forecast_value","numeric",75083,"2428.601522"
"outputs/model_lab/full_baseline/full_baseline_forecasts.csv","created_timestamp","POSIXct",1,"2026-06-11 10:39:53"
"outputs/model_lab/benchmark_reference/naive_benchmark_forecasts.csv","run_id","character",1,"naive_benchmark_20260612_115222"
"outputs/model_lab/benchmark_reference/naive_benchmark_forecasts.csv","entity_key","character",39,"APC-Dedicated"
"outputs/model_lab/benchmark_reference/naive_benchmark_forecasts.csv","window_id","numeric",12,"1"
"outputs/model_lab/benchmark_reference/naive_benchmark_forecasts.csv","forecast_date","Date",360,"2025-05-03"
"outputs/model_lab/benchmark_reference/naive_benchmark_forecasts.csv","horizon_day","numeric",30,"1"
"outputs/model_lab/benchmark_reference/naive_benchmark_forecasts.csv","naive_forecast_value","numeric",450,"2426.91726"
"outputs/model_lab/benchmark_reference/naive_benchmark_forecasts.csv","train_end_date","Date",12,"2025-05-02"
"outputs/model_lab/benchmark_reference/naive_benchmark_forecasts.csv","last_training_actual_value","numeric",450,"2426.91726"
"outputs/model_lab/benchmark_reference/naive_benchmark_forecasts.csv","created_timestamp","POSIXct",1,"2026-06-12 11:52:22"
"outputs/model_lab/seasonal_benchmark/seasonal_naive_forecasts.csv","run_id","character",1,"seasonal_naive_20260612_115936"
"outputs/model_lab/seasonal_benchmark/seasonal_naive_forecasts.csv","entity_key","character",39,"APC-Dedicated"
"outputs/model_lab/seasonal_benchmark/seasonal_naive_forecasts.csv","window_id","numeric",12,"1"
"outputs/model_lab/seasonal_benchmark/seasonal_naive_forecasts.csv","forecast_date","Date",360,"2025-05-03"
"outputs/model_lab/seasonal_benchmark/seasonal_naive_forecasts.csv","horizon_day","numeric",30,"1"
"outputs/model_lab/seasonal_benchmark/seasonal_naive_forecasts.csv","seasonal_naive_forecast_value","numeric",11363,"2356.352096"
"outputs/model_lab/seasonal_benchmark/seasonal_naive_forecasts.csv","reference_actual_date","Date",360,"2025-04-03"
"outputs/model_lab/seasonal_benchmark/seasonal_naive_forecasts.csv","created_timestamp","POSIXct",1,"2026-06-12 11:59:36"
"outputs/model_lab/non_negative_policy/non_negative_forecasts.csv","run_id","character",1,"non_negative_policy_20260612_144157"
"outputs/model_lab/non_negative_policy/non_negative_forecasts.csv","entity_key","character",39,"APC-Dedicated"
"outputs/model_lab/non_negative_policy/non_negative_forecasts.csv","window_id","numeric",12,"1"
"outputs/model_lab/non_negative_policy/non_negative_forecasts.csv","model_name","character",7,"ARIMA_Fixed"
"outputs/model_lab/non_negative_policy/non_negative_forecasts.csv","forecast_date","Date",360,"2025-05-03"
"outputs/model_lab/non_negative_policy/non_negative_forecasts.csv","horizon_day","numeric",30,"1"
"outputs/model_lab/non_negative_policy/non_negative_forecasts.csv","original_forecast_value","numeric",75078,"2428.601522"
"outputs/model_lab/non_negative_policy/non_negative_forecasts.csv","adjusted_forecast_value","numeric",74344,"2428.601522"
"outputs/model_lab/non_negative_policy/non_negative_forecasts.csv","was_clipped","logical",2,"FALSE"
"outputs/model_lab/non_negative_policy/non_negative_forecasts.csv","created_timestamp","POSIXct",1,"2026-06-12 14:41:57"
"outputs/model_lab/baseline_pilot/baseline_pilot_forecasts.csv","run_id","character",1,"baseline_pilot_20260611_102542"
"outputs/model_lab/baseline_pilot/baseline_pilot_forecasts.csv","job_id","character",70,"job_000155"
"outputs/model_lab/baseline_pilot/baseline_pilot_forecasts.csv","entity_key","character",10,"APC-Dedicated"
"outputs/model_lab/baseline_pilot/baseline_pilot_forecasts.csv","window_id","numeric",1,"12"
"outputs/model_lab/baseline_pilot/baseline_pilot_forecasts.csv","model_name","character",7,"ARIMA_Fixed"
"outputs/model_lab/baseline_pilot/baseline_pilot_forecasts.csv","model_family","character",1,"BaselineProduction"
"outputs/model_lab/baseline_pilot/baseline_pilot_forecasts.csv","forecast_date","Date",30,"2026-03-29"
"outputs/model_lab/baseline_pilot/baseline_pilot_forecasts.csv","horizon_day","numeric",30,"1"
"outputs/model_lab/baseline_pilot/baseline_pilot_forecasts.csv","forecast_value","numeric",1642,"28.622174"
"outputs/model_lab/baseline_pilot/baseline_pilot_forecasts.csv","created_timestamp","POSIXct",1,"2026-06-11 10:25:42"
"outputs/model_lab/challenger_sandbox/challenger_sandbox_forecasts.csv","run_id","character",1,"challenger_sandbox"
"outputs/model_lab/challenger_sandbox/challenger_sandbox_forecasts.csv","model_name","character",6,"AutoARIMA"
"outputs/model_lab/challenger_sandbox/challenger_sandbox_forecasts.csv","entity_key","character",5,"NAM-Dedicated"
"outputs/model_lab/challenger_sandbox/challenger_sandbox_forecasts.csv","window_id","numeric",1,"12"
"outputs/model_lab/challenger_sandbox/challenger_sandbox_forecasts.csv","forecast_date","Date",30,"2026-03-29"
"outputs/model_lab/challenger_sandbox/challenger_sandbox_forecasts.csv","horizon_day","numeric",30,"1"
"outputs/model_lab/challenger_sandbox/challenger_sandbox_forecasts.csv","forecast_value","numeric",736,"89831.1874893784"
"outputs/model_lab/challenger_sandbox/challenger_sandbox_forecasts.csv","execution_mode","character",1,"sandbox"
"outputs/model_lab/challenger_sandbox/challenger_sandbox_forecasts.csv","created_timestamp","POSIXct",5,"2026-06-12 15:50:53"
"outputs/model_lab/contracts/forecast_output_schema.csv","field_name","character",9,"run_id"
"outputs/model_lab/contracts/forecast_output_schema.csv","data_type","character",5,"string"
"outputs/model_lab/contracts/forecast_output_schema.csv","required","logical",1,"TRUE"
"outputs/model_lab/contracts/forecast_output_schema.csv","description","character",9,"Unique Model Lab run identifier."
"outputs/model_lab/contracts/forecast_output_schema.csv","example","logical",1,NA
