cohort_id,series_id,metric,db_type,variant_contract,scenario,segment,granularity,key,route_path,ui_filter_path
V6_24_MVP_0011,HDD__Basilisk__NA__Region__ITA-Go-Local,HDD,Basilisk,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,Region,ITA-Go Local,HDD|Organic|Basilisk|Region,Metric=HDD > DBType=Basilisk > Segment=NOT_APPLICABLE > Granularity=Region > Key=ITA-Go Local
V6_24_MVP_0012,HDD__Basilisk__NA__Region__are-Go-Local,HDD,Basilisk,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,Region,are-Go Local,HDD|Organic|Basilisk|Region,Metric=HDD > DBType=Basilisk > Segment=NOT_APPLICABLE > Granularity=Region > Key=are-Go Local
V6_24_MVP_0013,HDD__Basilisk__NA__Region__chl-Go-Local,HDD,Basilisk,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,Region,chl-Go Local,HDD|Organic|Basilisk|Region,Metric=HDD > DBType=Basilisk > Segment=NOT_APPLICABLE > Granularity=Region > Key=chl-Go Local
V6_24_MVP_0014,HDD__Basilisk__NA__Region__fra-Go-Local,HDD,Basilisk,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,Region,fra-Go Local,HDD|Organic|Basilisk|Region,Metric=HDD > DBType=Basilisk > Segment=NOT_APPLICABLE > Granularity=Region > Key=fra-Go Local
V6_24_MVP_0015,HDD__Basilisk__NA__Region__kor-Go-Local,HDD,Basilisk,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,Region,kor-Go Local,HDD|Organic|Basilisk|Region,Metric=HDD > DBType=Basilisk > Segment=NOT_APPLICABLE > Granularity=Region > Key=kor-Go Local
V6_24_MVP_0016,HDD__Basilisk__NA__Region__nam-ITAR-GCCH,HDD,Basilisk,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,Region,nam-ITAR GCCH,HDD|Organic|Basilisk|Region,Metric=HDD > DBType=Basilisk > Segment=NOT_APPLICABLE > Granularity=Region > Key=nam-ITAR GCCH
V6_24_MVP_0017,HDD__Basilisk__NA__Region__nzl-Go-Local,HDD,Basilisk,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,Region,nzl-Go Local,HDD|Organic|Basilisk|Region,Metric=HDD > DBType=Basilisk > Segment=NOT_APPLICABLE > Granularity=Region > Key=nzl-Go Local
V6_24_MVP_0018,HDD__EDB__Consumer__Forest__CANPRD01,HDD,EDB,NOT_APPLICABLE,NOT_APPLICABLE,Consumer,Forest,CANPRD01,HDD|Organic|EDB|Consumer|Forest,Metric=HDD > DBType=EDB > Segment=Consumer > Granularity=Forest > Key=CANPRD01
V6_24_MVP_0019,HDD__EDB__Consumer__Forest__EURP179,HDD,EDB,NOT_APPLICABLE,NOT_APPLICABLE,Consumer,Forest,EURP179,HDD|Organic|EDB|Consumer|Forest,Metric=HDD > DBType=EDB > Segment=Consumer > Granularity=Forest > Key=EURP179
V6_24_MVP_0020,HDD__EDB__Consumer__Forest__EURP309,HDD,EDB,NOT_APPLICABLE,NOT_APPLICABLE,Consumer,Forest,EURP309,HDD|Organic|EDB|Consumer|Forest,Metric=HDD > DBType=EDB > Segment=Consumer > Granularity=Forest > Key=EURP309
V6_24_MVP_0021,HDD__EDB__Consumer__Forest__EURPRD07,HDD,EDB,NOT_APPLICABLE,NOT_APPLICABLE,Consumer,Forest,EURPRD07,HDD|Organic|EDB|Consumer|Forest,Metric=HDD > DBType=EDB > Segment=Consumer > Granularity=Forest > Key=EURPRD07
V6_24_MVP_0022,HDD__EDB__Consumer__Forest__JPNPRD01,HDD,EDB,NOT_APPLICABLE,NOT_APPLICABLE,Consumer,Forest,JPNPRD01,HDD|Organic|EDB|Consumer|Forest,Metric=HDD > DBType=EDB > Segment=Consumer > Granularity=Forest > Key=JPNPRD01
V6_24_MVP_0023,HDD__EDB__Consumer__Forest__NAMP115,HDD,EDB,NOT_APPLICABLE,NOT_APPLICABLE,Consumer,Forest,NAMP115,HDD|Organic|EDB|Consumer|Forest,Metric=HDD > DBType=EDB > Segment=Consumer > Granularity=Forest > Key=NAMP115
V6_24_MVP_0024,HDD__EDB__Consumer__Forest__NAMP159,HDD,EDB,NOT_APPLICABLE,NOT_APPLICABLE,Consumer,Forest,NAMP159,HDD|Organic|EDB|Consumer|Forest,Metric=HDD > DBType=EDB > Segment=Consumer > Granularity=Forest > Key=NAMP159
V6_24_MVP_0025,HDD__EDB__Consumer__Forest__NAMP283,HDD,EDB,NOT_APPLICABLE,NOT_APPLICABLE,Consumer,Forest,NAMP283,HDD|Organic|EDB|Consumer|Forest,Metric=HDD > DBType=EDB > Segment=Consumer > Granularity=Forest > Key=NAMP283
V6_24_MVP_0026,HDD__EDB__Consumer__Forest__NAMPRD16,HDD,EDB,NOT_APPLICABLE,NOT_APPLICABLE,Consumer,Forest,NAMPRD16,HDD|Organic|EDB|Consumer|Forest,Metric=HDD > DBType=EDB > Segment=Consumer > Granularity=Forest > Key=NAMPRD16
V6_24_MVP_0027,HDD__EDB__Consumer__Region__APC-MSIT,HDD,EDB,NOT_APPLICABLE,NOT_APPLICABLE,Consumer,Region,APC-MSIT,HDD|Organic|EDB|Consumer|Region,Metric=HDD > DBType=EDB > Segment=Consumer > Granularity=Region > Key=APC-MSIT
V6_24_MVP_0028,HDD__EDB__Consumer__Region__CAN-Go-Local,HDD,EDB,NOT_APPLICABLE,NOT_APPLICABLE,Consumer,Region,CAN-Go Local,HDD|Organic|EDB|Consumer|Region,Metric=HDD > DBType=EDB > Segment=Consumer > Granularity=Region > Key=CAN-Go Local
V6_24_MVP_0029,HDD__EDB__Consumer__Region__EUR-Dedicated,HDD,EDB,NOT_APPLICABLE,NOT_APPLICABLE,Consumer,Region,EUR-Dedicated,HDD|Organic|EDB|Consumer|Region,Metric=HDD > DBType=EDB > Segment=Consumer > Granularity=Region > Key=EUR-Dedicated
V6_24_MVP_0030,HDD__EDB__Consumer__Region__IDN-Go-Local,HDD,EDB,NOT_APPLICABLE,NOT_APPLICABLE,Consumer,Region,IDN-Go Local,HDD|Organic|EDB|Consumer|Region,Metric=HDD > DBType=EDB > Segment=Consumer > Granularity=Region > Key=IDN-Go Local
V6_24_MVP_0031,HDD__EDB__Consumer__Region__LAM-Multitenant,HDD,EDB,NOT_APPLICABLE,NOT_APPLICABLE,Consumer,Region,LAM-Multitenant,HDD|Organic|EDB|Consumer|Region,Metric=HDD > DBType=EDB > Segment=Consumer > Granularity=Region > Key=LAM-Multitenant
V6_24_MVP_0032,HDD__EDB__Consumer__Region__NAM-ITAR-DoD,HDD,EDB,NOT_APPLICABLE,NOT_APPLICABLE,Consumer,Region,NAM-ITAR DoD,HDD|Organic|EDB|Consumer|Region,Metric=HDD > DBType=EDB > Segment=Consumer > Granularity=Region > Key=NAM-ITAR DoD
V6_24_MVP_0033,HDD__EDB__Consumer__Region__NAM-MSIT,HDD,EDB,NOT_APPLICABLE,NOT_APPLICABLE,Consumer,Region,NAM-MSIT,HDD|Organic|EDB|Consumer|Region,Metric=HDD > DBType=EDB > Segment=Consumer > Granularity=Region > Key=NAM-MSIT
V6_24_MVP_0034,HDD__EDB__Consumer__Region__POL-Go-Local,HDD,EDB,NOT_APPLICABLE,NOT_APPLICABLE,Consumer,Region,POL-Go Local,HDD|Organic|EDB|Consumer|Region,Metric=HDD > DBType=EDB > Segment=Consumer > Granularity=Region > Key=POL-Go Local
V6_24_MVP_0035,HDD__EDB__Enterprise__Forest__CHNPR01,HDD,EDB,NOT_APPLICABLE,NOT_APPLICABLE,Enterprise,Forest,CHNPR01,HDD|Organic|EDB|Enterprise|Forest,Metric=HDD > DBType=EDB > Segment=Enterprise > Granularity=Forest > Key=CHNPR01
V6_24_MVP_0036,HDD__EDB__Enterprise__Forest__EURP192,HDD,EDB,NOT_APPLICABLE,NOT_APPLICABLE,Enterprise,Forest,EURP192,HDD|Organic|EDB|Enterprise|Forest,Metric=HDD > DBType=EDB > Segment=Enterprise > Granularity=Forest > Key=EURP192
V6_24_MVP_0037,HDD__EDB__Enterprise__Forest__EURP309,HDD,EDB,NOT_APPLICABLE,NOT_APPLICABLE,Enterprise,Forest,EURP309,HDD|Organic|EDB|Enterprise|Forest,Metric=HDD > DBType=EDB > Segment=Enterprise > Granularity=Forest > Key=EURP309
V6_24_MVP_0038,HDD__EDB__Enterprise__Forest__GBRP265,HDD,EDB,NOT_APPLICABLE,NOT_APPLICABLE,Enterprise,Forest,GBRP265,HDD|Organic|EDB|Enterprise|Forest,Metric=HDD > DBType=EDB > Segment=Enterprise > Granularity=Forest > Key=GBRP265
V6_24_MVP_0039,HDD__EDB__Enterprise__Forest__NAMP103,HDD,EDB,NOT_APPLICABLE,NOT_APPLICABLE,Enterprise,Forest,NAMP103,HDD|Organic|EDB|Enterprise|Forest,Metric=HDD > DBType=EDB > Segment=Enterprise > Granularity=Forest > Key=NAMP103
V6_24_MVP_0040,HDD__EDB__Enterprise__Forest__NAMP134,HDD,EDB,NOT_APPLICABLE,NOT_APPLICABLE,Enterprise,Forest,NAMP134,HDD|Organic|EDB|Enterprise|Forest,Metric=HDD > DBType=EDB > Segment=Enterprise > Granularity=Forest > Key=NAMP134
V6_24_MVP_0041,HDD__EDB__Enterprise__Forest__NAMP220,HDD,EDB,NOT_APPLICABLE,NOT_APPLICABLE,Enterprise,Forest,NAMP220,HDD|Organic|EDB|Enterprise|Forest,Metric=HDD > DBType=EDB > Segment=Enterprise > Granularity=Forest > Key=NAMP220
V6_24_MVP_0042,HDD__EDB__Enterprise__Forest__NAMPRD14,HDD,EDB,NOT_APPLICABLE,NOT_APPLICABLE,Enterprise,Forest,NAMPRD14,HDD|Organic|EDB|Enterprise|Forest,Metric=HDD > DBType=EDB > Segment=Enterprise > Granularity=Forest > Key=NAMPRD14
V6_24_MVP_0043,HDD__EDB__Enterprise__Region__APC-MSIT,HDD,EDB,NOT_APPLICABLE,NOT_APPLICABLE,Enterprise,Region,APC-MSIT,HDD|Organic|EDB|Enterprise|Region,Metric=HDD > DBType=EDB > Segment=Enterprise > Granularity=Region > Key=APC-MSIT
V6_24_MVP_0044,HDD__EDB__Enterprise__Region__CAN-Go-Local,HDD,EDB,NOT_APPLICABLE,NOT_APPLICABLE,Enterprise,Region,CAN-Go Local,HDD|Organic|EDB|Enterprise|Region,Metric=HDD > DBType=EDB > Segment=Enterprise > Granularity=Region > Key=CAN-Go Local
V6_24_MVP_0045,HDD__EDB__Enterprise__Region__CHL-Go-Local,HDD,EDB,NOT_APPLICABLE,NOT_APPLICABLE,Enterprise,Region,CHL-Go Local,HDD|Organic|EDB|Enterprise|Region,Metric=HDD > DBType=EDB > Segment=Enterprise > Granularity=Region > Key=CHL-Go Local
V6_24_MVP_0046,HDD__EDB__Enterprise__Region__EUR-Go-Local,HDD,EDB,NOT_APPLICABLE,NOT_APPLICABLE,Enterprise,Region,EUR-Go Local,HDD|Organic|EDB|Enterprise|Region,Metric=HDD > DBType=EDB > Segment=Enterprise > Granularity=Region > Key=EUR-Go Local
V6_24_MVP_0047,HDD__EDB__Enterprise__Region__EUR-Multitenant,HDD,EDB,NOT_APPLICABLE,NOT_APPLICABLE,Enterprise,Region,EUR-Multitenant,HDD|Organic|EDB|Enterprise|Region,Metric=HDD > DBType=EDB > Segment=Enterprise > Granularity=Region > Key=EUR-Multitenant
V6_24_MVP_0048,HDD__EDB__Enterprise__Region__ITA-Go-Local,HDD,EDB,NOT_APPLICABLE,NOT_APPLICABLE,Enterprise,Region,ITA-Go Local,HDD|Organic|EDB|Enterprise|Region,Metric=HDD > DBType=EDB > Segment=Enterprise > Granularity=Region > Key=ITA-Go Local
V6_24_MVP_0049,HDD__EDB__Enterprise__Region__NAM-Dedicated,HDD,EDB,NOT_APPLICABLE,NOT_APPLICABLE,Enterprise,Region,NAM-Dedicated,HDD|Organic|EDB|Enterprise|Region,Metric=HDD > DBType=EDB > Segment=Enterprise > Granularity=Region > Key=NAM-Dedicated
V6_24_MVP_0050,HDD__EDB__Enterprise__Region__NAM-SDF,HDD,EDB,NOT_APPLICABLE,NOT_APPLICABLE,Enterprise,Region,NAM-SDF,HDD|Organic|EDB|Enterprise|Region,Metric=HDD > DBType=EDB > Segment=Enterprise > Granularity=Region > Key=NAM-SDF
V6_24_MVP_0051,SSD__Phoenix__Forest__APCP150,SSD,Phoenix,LVWE+LVNE (forecast variants),NOT_APPLICABLE,NOT_APPLICABLE,Forest,APCP150,SSD|Phoenix|LowVolume|Forest,Metric=SSD > DBType=Phoenix > Variant=LVWE|LVNE > Granularity=Forest > Key=APCP150
V6_24_MVP_0052,SSD__Phoenix__Forest__APCPRD01,SSD,Phoenix,LVWE+LVNE (forecast variants),NOT_APPLICABLE,NOT_APPLICABLE,Forest,APCPRD01,SSD|Phoenix|LowVolume|Forest,Metric=SSD > DBType=Phoenix > Variant=LVWE|LVNE > Granularity=Forest > Key=APCPRD01
V6_24_MVP_0053,SSD__Phoenix__Forest__APCPRD02,SSD,Phoenix,LVWE+LVNE (forecast variants),NOT_APPLICABLE,NOT_APPLICABLE,Forest,APCPRD02,SSD|Phoenix|LowVolume|Forest,Metric=SSD > DBType=Phoenix > Variant=LVWE|LVNE > Granularity=Forest > Key=APCPRD02
V6_24_MVP_0054,SSD__Phoenix__Forest__AREP273,SSD,Phoenix,LVWE+LVNE (forecast variants),NOT_APPLICABLE,NOT_APPLICABLE,Forest,AREP273,SSD|Phoenix|LowVolume|Forest,Metric=SSD > DBType=Phoenix > Variant=LVWE|LVNE > Granularity=Forest > Key=AREP273
V6_24_MVP_0055,SSD__Phoenix__Forest__AUSP282,SSD,Phoenix,LVWE+LVNE (forecast variants),NOT_APPLICABLE,NOT_APPLICABLE,Forest,AUSP282,SSD|Phoenix|LowVolume|Forest,Metric=SSD > DBType=Phoenix > Variant=LVWE|LVNE > Granularity=Forest > Key=AUSP282
V6_24_MVP_0056,SSD__Phoenix__Forest__AUSP300,SSD,Phoenix,LVWE+LVNE (forecast variants),NOT_APPLICABLE,NOT_APPLICABLE,Forest,AUSP300,SSD|Phoenix|LowVolume|Forest,Metric=SSD > DBType=Phoenix > Variant=LVWE|LVNE > Granularity=Forest > Key=AUSP300
V6_24_MVP_0057,SSD__Phoenix__Forest__AUSPRD01,SSD,Phoenix,LVWE+LVNE (forecast variants),NOT_APPLICABLE,NOT_APPLICABLE,Forest,AUSPRD01,SSD|Phoenix|LowVolume|Forest,Metric=SSD > DBType=Phoenix > Variant=LVWE|LVNE > Granularity=Forest > Key=AUSPRD01
V6_24_MVP_0058,SSD__Phoenix__Forest__AUTP296,SSD,Phoenix,LVWE+LVNE (forecast variants),NOT_APPLICABLE,NOT_APPLICABLE,Forest,AUTP296,SSD|Phoenix|LowVolume|Forest,Metric=SSD > DBType=Phoenix > Variant=LVWE|LVNE > Granularity=Forest > Key=AUTP296
V6_24_MVP_0059,SSD__Phoenix__Forest__BRAP284,SSD,Phoenix,LVWE+LVNE (forecast variants),NOT_APPLICABLE,NOT_APPLICABLE,Forest,BRAP284,SSD|Phoenix|LowVolume|Forest,Metric=SSD > DBType=Phoenix > Variant=LVWE|LVNE > Granularity=Forest > Key=BRAP284
V6_24_MVP_0060,SSD__Phoenix__Forest__CANP288,SSD,Phoenix,LVWE+LVNE (forecast variants),NOT_APPLICABLE,NOT_APPLICABLE,Forest,CANP288,SSD|Phoenix|LowVolume|Forest,Metric=SSD > DBType=Phoenix > Variant=LVWE|LVNE > Granularity=Forest > Key=CANP288
V6_24_MVP_0061,SSD__Phoenix__Forest__CANPRD01,SSD,Phoenix,LVWE+LVNE (forecast variants),NOT_APPLICABLE,NOT_APPLICABLE,Forest,CANPRD01,SSD|Phoenix|LowVolume|Forest,Metric=SSD > DBType=Phoenix > Variant=LVWE|LVNE > Granularity=Forest > Key=CANPRD01
V6_24_MVP_0062,SSD__Phoenix__Forest__CHEP278,SSD,Phoenix,LVWE+LVNE (forecast variants),NOT_APPLICABLE,NOT_APPLICABLE,Forest,CHEP278,SSD|Phoenix|LowVolume|Forest,Metric=SSD > DBType=Phoenix > Variant=LVWE|LVNE > Granularity=Forest > Key=CHEP278
V6_24_MVP_0063,SSD__Phoenix__Forest__CHLP298,SSD,Phoenix,LVWE+LVNE (forecast variants),NOT_APPLICABLE,NOT_APPLICABLE,Forest,CHLP298,SSD|Phoenix|LowVolume|Forest,Metric=SSD > DBType=Phoenix > Variant=LVWE|LVNE > Granularity=Forest > Key=CHLP298
V6_24_MVP_0064,SSD__Phoenix__Forest__DEUP281,SSD,Phoenix,LVWE+LVNE (forecast variants),NOT_APPLICABLE,NOT_APPLICABLE,Forest,DEUP281,SSD|Phoenix|LowVolume|Forest,Metric=SSD > DBType=Phoenix > Variant=LVWE|LVNE > Granularity=Forest > Key=DEUP281
V6_24_MVP_0065,SSD__Phoenix__Forest__DNKP307,SSD,Phoenix,LVWE+LVNE (forecast variants),NOT_APPLICABLE,NOT_APPLICABLE,Forest,DNKP307,SSD|Phoenix|LowVolume|Forest,Metric=SSD > DBType=Phoenix > Variant=LVWE|LVNE > Granularity=Forest > Key=DNKP307
V6_24_MVP_0066,SSD__Phoenix__Forest__ESPP292,SSD,Phoenix,LVWE+LVNE (forecast variants),NOT_APPLICABLE,NOT_APPLICABLE,Forest,ESPP292,SSD|Phoenix|LowVolume|Forest,Metric=SSD > DBType=Phoenix > Variant=LVWE|LVNE > Granularity=Forest > Key=ESPP292
V6_24_MVP_0067,SSD__Phoenix__Forest__EURP107,SSD,Phoenix,LVWE+LVNE (forecast variants),NOT_APPLICABLE,NOT_APPLICABLE,Forest,EURP107,SSD|Phoenix|LowVolume|Forest,Metric=SSD > DBType=Phoenix > Variant=LVWE|LVNE > Granularity=Forest > Key=EURP107
V6_24_MVP_0068,SSD__Phoenix__Forest__EURP119,SSD,Phoenix,LVWE+LVNE (forecast variants),NOT_APPLICABLE,NOT_APPLICABLE,Forest,EURP119,SSD|Phoenix|LowVolume|Forest,Metric=SSD > DBType=Phoenix > Variant=LVWE|LVNE > Granularity=Forest > Key=EURP119
V6_24_MVP_0069,SSD__Phoenix__Forest__EURP120,SSD,Phoenix,LVWE+LVNE (forecast variants),NOT_APPLICABLE,NOT_APPLICABLE,Forest,EURP120,SSD|Phoenix|LowVolume|Forest,Metric=SSD > DBType=Phoenix > Variant=LVWE|LVNE > Granularity=Forest > Key=EURP120
V6_24_MVP_0070,SSD__Phoenix__Forest__FRAP264,SSD,Phoenix,LVWE+LVNE (forecast variants),NOT_APPLICABLE,NOT_APPLICABLE,Forest,FRAP264,SSD|Phoenix|LowVolume|Forest,Metric=SSD > DBType=Phoenix > Variant=LVWE|LVNE > Granularity=Forest > Key=FRAP264
V6_24_MVP_0071,SSD__Phoenix__Forest__GBRP123,SSD,Phoenix,LVWE+LVNE (forecast variants),NOT_APPLICABLE,NOT_APPLICABLE,Forest,GBRP123,SSD|Phoenix|LowVolume|Forest,Metric=SSD > DBType=Phoenix > Variant=LVWE|LVNE > Granularity=Forest > Key=GBRP123
V6_24_MVP_0072,SSD__Phoenix__Forest__GBRP265,SSD,Phoenix,LVWE+LVNE (forecast variants),NOT_APPLICABLE,NOT_APPLICABLE,Forest,GBRP265,SSD|Phoenix|LowVolume|Forest,Metric=SSD > DBType=Phoenix > Variant=LVWE|LVNE > Granularity=Forest > Key=GBRP265
V6_24_MVP_0073,SSD__Phoenix__Forest__GBRP267,SSD,Phoenix,LVWE+LVNE (forecast variants),NOT_APPLICABLE,NOT_APPLICABLE,Forest,GBRP267,SSD|Phoenix|LowVolume|Forest,Metric=SSD > DBType=Phoenix > Variant=LVWE|LVNE > Granularity=Forest > Key=GBRP267
V6_24_MVP_0074,SSD__Phoenix__Forest__IDNP305,SSD,Phoenix,LVWE+LVNE (forecast variants),NOT_APPLICABLE,NOT_APPLICABLE,Forest,IDNP305,SSD|Phoenix|LowVolume|Forest,Metric=SSD > DBType=Phoenix > Variant=LVWE|LVNE > Granularity=Forest > Key=IDNP305
V6_24_MVP_0075,SSD__Phoenix__Forest__INDP287,SSD,Phoenix,LVWE+LVNE (forecast variants),NOT_APPLICABLE,NOT_APPLICABLE,Forest,INDP287,SSD|Phoenix|LowVolume|Forest,Metric=SSD > DBType=Phoenix > Variant=LVWE|LVNE > Granularity=Forest > Key=INDP287
V6_24_MVP_0076,SSD__Phoenix__Forest__INDPRD01,SSD,Phoenix,LVWE+LVNE (forecast variants),NOT_APPLICABLE,NOT_APPLICABLE,Forest,INDPRD01,SSD|Phoenix|LowVolume|Forest,Metric=SSD > DBType=Phoenix > Variant=LVWE|LVNE > Granularity=Forest > Key=INDPRD01
V6_24_MVP_0077,SSD__Phoenix__Forest__ISRP290,SSD,Phoenix,LVWE+LVNE (forecast variants),NOT_APPLICABLE,NOT_APPLICABLE,Forest,ISRP290,SSD|Phoenix|LowVolume|Forest,Metric=SSD > DBType=Phoenix > Variant=LVWE|LVNE > Granularity=Forest > Key=ISRP290
V6_24_MVP_0078,SSD__Phoenix__Forest__ITAP293,SSD,Phoenix,LVWE+LVNE (forecast variants),NOT_APPLICABLE,NOT_APPLICABLE,Forest,ITAP293,SSD|Phoenix|LowVolume|Forest,Metric=SSD > DBType=Phoenix > Variant=LVWE|LVNE > Granularity=Forest > Key=ITAP293
V6_24_MVP_0079,SSD__Phoenix__Forest__JPNP286,SSD,Phoenix,LVWE+LVNE (forecast variants),NOT_APPLICABLE,NOT_APPLICABLE,Forest,JPNP286,SSD|Phoenix|LowVolume|Forest,Metric=SSD > DBType=Phoenix > Variant=LVWE|LVNE > Granularity=Forest > Key=JPNP286
V6_24_MVP_0080,SSD__Phoenix__Forest__JPNP301,SSD,Phoenix,LVWE+LVNE (forecast variants),NOT_APPLICABLE,NOT_APPLICABLE,Forest,JPNP301,SSD|Phoenix|LowVolume|Forest,Metric=SSD > DBType=Phoenix > Variant=LVWE|LVNE > Granularity=Forest > Key=JPNP301
V6_24_MVP_0081,SSD__Phoenix__Forest__JPNPRD01,SSD,Phoenix,LVWE+LVNE (forecast variants),NOT_APPLICABLE,NOT_APPLICABLE,Forest,JPNPRD01,SSD|Phoenix|LowVolume|Forest,Metric=SSD > DBType=Phoenix > Variant=LVWE|LVNE > Granularity=Forest > Key=JPNPRD01
V6_24_MVP_0082,SSD__Phoenix__Forest__KORP216,SSD,Phoenix,LVWE+LVNE (forecast variants),NOT_APPLICABLE,NOT_APPLICABLE,Forest,KORP216,SSD|Phoenix|LowVolume|Forest,Metric=SSD > DBType=Phoenix > Variant=LVWE|LVNE > Granularity=Forest > Key=KORP216
V6_24_MVP_0083,SSD__Phoenix__Forest__LAMP152,SSD,Phoenix,LVWE+LVNE (forecast variants),NOT_APPLICABLE,NOT_APPLICABLE,Forest,LAMP152,SSD|Phoenix|LowVolume|Forest,Metric=SSD > DBType=Phoenix > Variant=LVWE|LVNE > Granularity=Forest > Key=LAMP152
V6_24_MVP_0084,SSD__Phoenix__Forest__LAMP215,SSD,Phoenix,LVWE+LVNE (forecast variants),NOT_APPLICABLE,NOT_APPLICABLE,Forest,LAMP215,SSD|Phoenix|LowVolume|Forest,Metric=SSD > DBType=Phoenix > Variant=LVWE|LVNE > Granularity=Forest > Key=LAMP215
V6_24_MVP_0085,SSD__Phoenix__Forest__LAMPRD80,SSD,Phoenix,LVWE+LVNE (forecast variants),NOT_APPLICABLE,NOT_APPLICABLE,Forest,LAMPRD80,SSD|Phoenix|LowVolume|Forest,Metric=SSD > DBType=Phoenix > Variant=LVWE|LVNE > Granularity=Forest > Key=LAMPRD80
V6_24_MVP_0086,SSD__Phoenix__Forest__MEXP297,SSD,Phoenix,LVWE+LVNE (forecast variants),NOT_APPLICABLE,NOT_APPLICABLE,Forest,MEXP297,SSD|Phoenix|LowVolume|Forest,Metric=SSD > DBType=Phoenix > Variant=LVWE|LVNE > Granularity=Forest > Key=MEXP297
V6_24_MVP_0087,SSD__Phoenix__Forest__MYSP306,SSD,Phoenix,LVWE+LVNE (forecast variants),NOT_APPLICABLE,NOT_APPLICABLE,Forest,MYSP306,SSD|Phoenix|LowVolume|Forest,Metric=SSD > DBType=Phoenix > Variant=LVWE|LVNE > Granularity=Forest > Key=MYSP306
