artifact,column_name,data_type,nullable,row_count,distinct_values,notes
actuals_normalized.parquet,cohort_id,large_string,True,48916,140,Written by P4. Schema normalization only.
actuals_normalized.parquet,series_id,large_string,True,48916,140,Written by P4. Schema normalization only.
actuals_normalized.parquet,metric,large_string,True,48916,4,Written by P4. Schema normalization only.
actuals_normalized.parquet,db_type,large_string,True,48916,5,Written by P4. Schema normalization only.
actuals_normalized.parquet,variant_contract,large_string,True,48916,2,Written by P4. Schema normalization only.
actuals_normalized.parquet,scenario,large_string,True,48916,3,Written by P4. Schema normalization only.
actuals_normalized.parquet,segment,large_string,True,48916,3,Written by P4. Schema normalization only.
actuals_normalized.parquet,demand_nature,large_string,True,48916,1,Written by P4. Schema normalization only.
actuals_normalized.parquet,granularity,large_string,True,48916,2,Written by P4. Schema normalization only.
actuals_normalized.parquet,key,large_string,True,48916,102,Written by P4. Schema normalization only.
actuals_normalized.parquet,route_path,large_string,True,48916,11,Written by P4. Schema normalization only.
actuals_normalized.parquet,series_date,timestamp[us],True,48916,1593,Written by P4. Schema normalization only.
actuals_normalized.parquet,actual_value,double,True,48916,43486,Written by P4. Schema normalization only.
actuals_normalized.parquet,actual_value_source_text,large_string,True,48916,5922,Written by P4. Schema normalization only.
actuals_normalized.parquet,source_object_or_artifact,large_string,True,48916,4,Written by P4. Schema normalization only.
actuals_normalized.parquet,source_file,large_string,True,48916,4,Written by P4. Schema normalization only.
actuals_normalized.parquet,source_row_hash_if_available,large_string,True,48916,48916,Written by P4. Schema normalization only.
actuals_normalized.parquet,raw_row_count_contribution,int64,True,48916,1,Written by P4. Schema normalization only.
actuals_normalized.parquet,duplicate_handling,large_string,True,48916,3,Written by P4. Schema normalization only.
actuals_normalized.parquet,freshness_status,large_string,True,48916,3,Written by P4. Schema normalization only.
actuals_normalized.parquet,caveat,large_string,True,48916,3,Written by P4. Schema normalization only.
source_forecast_baselines_normalized.parquet,cohort_id,large_string,True,13050,50,Written by P4. Schema normalization only.
source_forecast_baselines_normalized.parquet,series_id,large_string,True,13050,50,Written by P4. Schema normalization only.
source_forecast_baselines_normalized.parquet,metric,large_string,True,13050,1,Written by P4. Schema normalization only.
source_forecast_baselines_normalized.parquet,db_type,large_string,True,13050,1,Written by P4. Schema normalization only.
source_forecast_baselines_normalized.parquet,forecast_variant,large_string,True,13050,2,Written by P4. Schema normalization only.
source_forecast_baselines_normalized.parquet,scenario,large_string,True,13050,1,Written by P4. Schema normalization only.
source_forecast_baselines_normalized.parquet,granularity,large_string,True,13050,1,Written by P4. Schema normalization only.
source_forecast_baselines_normalized.parquet,key,large_string,True,13050,50,Written by P4. Schema normalization only.
source_forecast_baselines_normalized.parquet,series_date,timestamp[us],True,13050,131,Written by P4. Schema normalization only.
source_forecast_baselines_normalized.parquet,source_forecast_value,double,True,13050,8402,Written by P4. Schema normalization only.
source_forecast_baselines_normalized.parquet,source_forecast_column,large_string,True,13050,1,Written by P4. Schema normalization only.
source_forecast_baselines_normalized.parquet,source_object,large_string,True,13050,2,Written by P4. Schema normalization only.
source_forecast_baselines_normalized.parquet,source_file,large_string,True,13050,2,Written by P4. Schema normalization only.
source_forecast_baselines_normalized.parquet,caveat,large_string,True,13050,1,Written by P4. Schema normalization only.
