cohort_id,metric,db_type,variant,scenario,segment,demand_nature,granularity,key,route_path,ui_filter_path,source,p3_extraction_status,raw_parquet_relative_path,row_count,min_date,max_date,observed_series,freshness_status,has_15_governed_backtests,ui_visible_now,caveat
MVP018,HDD,EDB,NOT_APPLICABLE,NOT_APPLICABLE,Consumer,Organic,Forest,CANPRD01,HDD|Organic|EDB|Consumer|Forest,Metric=HDD > DBType=EDB > Segment=Consumer > Granularity=Forest > Key=CANPRD01,LOCAL parquet artifacts (v6_17 full generation),ALREADY_LOCAL_NOT_EXTRACTED,NOT_APPLICABLE,277,2025-10-16,2026-07-19,1,CURRENT,TRUE,TRUE,"None. Actuals, all 15 governed backtests and forecast already local."
MVP019,HDD,EDB,NOT_APPLICABLE,NOT_APPLICABLE,Consumer,Organic,Forest,EURP179,HDD|Organic|EDB|Consumer|Forest,Metric=HDD > DBType=EDB > Segment=Consumer > Granularity=Forest > Key=EURP179,LOCAL parquet artifacts (v6_17 full generation),ALREADY_LOCAL_NOT_EXTRACTED,NOT_APPLICABLE,277,2025-10-16,2026-07-19,1,CURRENT,TRUE,TRUE,"None. Actuals, all 15 governed backtests and forecast already local."
MVP020,HDD,EDB,NOT_APPLICABLE,NOT_APPLICABLE,Consumer,Organic,Forest,EURP309,HDD|Organic|EDB|Consumer|Forest,Metric=HDD > DBType=EDB > Segment=Consumer > Granularity=Forest > Key=EURP309,LOCAL parquet artifacts (v6_17 full generation),ALREADY_LOCAL_NOT_EXTRACTED,NOT_APPLICABLE,211,2025-12-21,2026-07-19,1,CURRENT,TRUE,TRUE,"None. Actuals, all 15 governed backtests and forecast already local."
MVP021,HDD,EDB,NOT_APPLICABLE,NOT_APPLICABLE,Consumer,Organic,Forest,EURPRD07,HDD|Organic|EDB|Consumer|Forest,Metric=HDD > DBType=EDB > Segment=Consumer > Granularity=Forest > Key=EURPRD07,LOCAL parquet artifacts (v6_17 full generation),ALREADY_LOCAL_NOT_EXTRACTED,NOT_APPLICABLE,277,2025-10-16,2026-07-19,1,CURRENT,TRUE,TRUE,"None. Actuals, all 15 governed backtests and forecast already local."
MVP022,HDD,EDB,NOT_APPLICABLE,NOT_APPLICABLE,Consumer,Organic,Forest,JPNPRD01,HDD|Organic|EDB|Consumer|Forest,Metric=HDD > DBType=EDB > Segment=Consumer > Granularity=Forest > Key=JPNPRD01,LOCAL parquet artifacts (v6_17 full generation),ALREADY_LOCAL_NOT_EXTRACTED,NOT_APPLICABLE,277,2025-10-16,2026-07-19,1,CURRENT,TRUE,TRUE,"None. Actuals, all 15 governed backtests and forecast already local."
MVP023,HDD,EDB,NOT_APPLICABLE,NOT_APPLICABLE,Consumer,Organic,Forest,NAMP115,HDD|Organic|EDB|Consumer|Forest,Metric=HDD > DBType=EDB > Segment=Consumer > Granularity=Forest > Key=NAMP115,LOCAL parquet artifacts (v6_17 full generation),ALREADY_LOCAL_NOT_EXTRACTED,NOT_APPLICABLE,277,2025-10-16,2026-07-19,1,CURRENT,TRUE,TRUE,"None. Actuals, all 15 governed backtests and forecast already local."
MVP024,HDD,EDB,NOT_APPLICABLE,NOT_APPLICABLE,Consumer,Organic,Forest,NAMP159,HDD|Organic|EDB|Consumer|Forest,Metric=HDD > DBType=EDB > Segment=Consumer > Granularity=Forest > Key=NAMP159,LOCAL parquet artifacts (v6_17 full generation),ALREADY_LOCAL_NOT_EXTRACTED,NOT_APPLICABLE,277,2025-10-16,2026-07-19,1,CURRENT,TRUE,TRUE,"None. Actuals, all 15 governed backtests and forecast already local."
MVP025,HDD,EDB,NOT_APPLICABLE,NOT_APPLICABLE,Consumer,Organic,Forest,NAMP283,HDD|Organic|EDB|Consumer|Forest,Metric=HDD > DBType=EDB > Segment=Consumer > Granularity=Forest > Key=NAMP283,LOCAL parquet artifacts (v6_17 full generation),ALREADY_LOCAL_NOT_EXTRACTED,NOT_APPLICABLE,277,2025-10-16,2026-07-19,1,CURRENT,TRUE,TRUE,"None. Actuals, all 15 governed backtests and forecast already local."
MVP026,HDD,EDB,NOT_APPLICABLE,NOT_APPLICABLE,Consumer,Organic,Forest,NAMPRD16,HDD|Organic|EDB|Consumer|Forest,Metric=HDD > DBType=EDB > Segment=Consumer > Granularity=Forest > Key=NAMPRD16,LOCAL parquet artifacts (v6_17 full generation),ALREADY_LOCAL_NOT_EXTRACTED,NOT_APPLICABLE,277,2025-10-16,2026-07-19,1,CURRENT,TRUE,TRUE,"None. Actuals, all 15 governed backtests and forecast already local."
MVP027,HDD,EDB,NOT_APPLICABLE,NOT_APPLICABLE,Consumer,Organic,Region,APC-MSIT,HDD|Organic|EDB|Consumer|Region,Metric=HDD > DBType=EDB > Segment=Consumer > Granularity=Region > Key=APC-MSIT,LOCAL parquet artifacts (v6_17 full generation),ALREADY_LOCAL_NOT_EXTRACTED,NOT_APPLICABLE,276,2025-10-16,2026-07-18,1,CURRENT,TRUE,TRUE,"None. Actuals, all 15 governed backtests and forecast already local."
MVP028,HDD,EDB,NOT_APPLICABLE,NOT_APPLICABLE,Consumer,Organic,Region,CAN-Go Local,HDD|Organic|EDB|Consumer|Region,Metric=HDD > DBType=EDB > Segment=Consumer > Granularity=Region > Key=CAN-Go Local,LOCAL parquet artifacts (v6_17 full generation),ALREADY_LOCAL_NOT_EXTRACTED,NOT_APPLICABLE,276,2025-10-16,2026-07-18,1,CURRENT,TRUE,TRUE,"None. Actuals, all 15 governed backtests and forecast already local."
MVP029,HDD,EDB,NOT_APPLICABLE,NOT_APPLICABLE,Consumer,Organic,Region,EUR-Dedicated,HDD|Organic|EDB|Consumer|Region,Metric=HDD > DBType=EDB > Segment=Consumer > Granularity=Region > Key=EUR-Dedicated,LOCAL parquet artifacts (v6_17 full generation),ALREADY_LOCAL_NOT_EXTRACTED,NOT_APPLICABLE,276,2025-10-16,2026-07-18,1,CURRENT,TRUE,TRUE,"None. Actuals, all 15 governed backtests and forecast already local."
MVP030,HDD,EDB,NOT_APPLICABLE,NOT_APPLICABLE,Consumer,Organic,Region,IDN-Go Local,HDD|Organic|EDB|Consumer|Region,Metric=HDD > DBType=EDB > Segment=Consumer > Granularity=Region > Key=IDN-Go Local,LOCAL parquet artifacts (v6_17 full generation),ALREADY_LOCAL_NOT_EXTRACTED,NOT_APPLICABLE,276,2025-10-16,2026-07-18,1,CURRENT,TRUE,TRUE,"None. Actuals, all 15 governed backtests and forecast already local."
MVP031,HDD,EDB,NOT_APPLICABLE,NOT_APPLICABLE,Consumer,Organic,Region,LAM-Multitenant,HDD|Organic|EDB|Consumer|Region,Metric=HDD > DBType=EDB > Segment=Consumer > Granularity=Region > Key=LAM-Multitenant,LOCAL parquet artifacts (v6_17 full generation),ALREADY_LOCAL_NOT_EXTRACTED,NOT_APPLICABLE,276,2025-10-16,2026-07-18,1,CURRENT,TRUE,TRUE,"None. Actuals, all 15 governed backtests and forecast already local."
MVP032,HDD,EDB,NOT_APPLICABLE,NOT_APPLICABLE,Consumer,Organic,Region,NAM-ITAR DoD,HDD|Organic|EDB|Consumer|Region,Metric=HDD > DBType=EDB > Segment=Consumer > Granularity=Region > Key=NAM-ITAR DoD,LOCAL parquet artifacts (v6_17 full generation),ALREADY_LOCAL_NOT_EXTRACTED,NOT_APPLICABLE,193,2025-10-16,2026-04-26,1,CURRENT,TRUE,TRUE,"None. Actuals, all 15 governed backtests and forecast already local."
MVP033,HDD,EDB,NOT_APPLICABLE,NOT_APPLICABLE,Consumer,Organic,Region,NAM-MSIT,HDD|Organic|EDB|Consumer|Region,Metric=HDD > DBType=EDB > Segment=Consumer > Granularity=Region > Key=NAM-MSIT,LOCAL parquet artifacts (v6_17 full generation),ALREADY_LOCAL_NOT_EXTRACTED,NOT_APPLICABLE,276,2025-10-16,2026-07-18,1,CURRENT,TRUE,TRUE,"None. Actuals, all 15 governed backtests and forecast already local."
MVP034,HDD,EDB,NOT_APPLICABLE,NOT_APPLICABLE,Consumer,Organic,Region,POL-Go Local,HDD|Organic|EDB|Consumer|Region,Metric=HDD > DBType=EDB > Segment=Consumer > Granularity=Region > Key=POL-Go Local,LOCAL parquet artifacts (v6_17 full generation),ALREADY_LOCAL_NOT_EXTRACTED,NOT_APPLICABLE,276,2025-10-16,2026-07-18,1,CURRENT,TRUE,TRUE,"None. Actuals, all 15 governed backtests and forecast already local."
MVP035,HDD,EDB,NOT_APPLICABLE,NOT_APPLICABLE,Enterprise,Organic,Forest,CHNPR01,HDD|Organic|EDB|Enterprise|Forest,Metric=HDD > DBType=EDB > Segment=Enterprise > Granularity=Forest > Key=CHNPR01,LOCAL parquet artifacts (v6_17 full generation),ALREADY_LOCAL_NOT_EXTRACTED,NOT_APPLICABLE,277,2025-10-16,2026-07-19,1,CURRENT,TRUE,TRUE,"None. Actuals, all 15 governed backtests and forecast already local."
MVP036,HDD,EDB,NOT_APPLICABLE,NOT_APPLICABLE,Enterprise,Organic,Forest,EURP192,HDD|Organic|EDB|Enterprise|Forest,Metric=HDD > DBType=EDB > Segment=Enterprise > Granularity=Forest > Key=EURP192,LOCAL parquet artifacts (v6_17 full generation),ALREADY_LOCAL_NOT_EXTRACTED,NOT_APPLICABLE,277,2025-10-16,2026-07-19,1,CURRENT,TRUE,TRUE,"None. Actuals, all 15 governed backtests and forecast already local."
MVP037,HDD,EDB,NOT_APPLICABLE,NOT_APPLICABLE,Enterprise,Organic,Forest,EURP309,HDD|Organic|EDB|Enterprise|Forest,Metric=HDD > DBType=EDB > Segment=Enterprise > Granularity=Forest > Key=EURP309,LOCAL parquet artifacts (v6_17 full generation),ALREADY_LOCAL_NOT_EXTRACTED,NOT_APPLICABLE,211,2025-12-21,2026-07-19,1,CURRENT,TRUE,TRUE,"None. Actuals, all 15 governed backtests and forecast already local."
MVP038,HDD,EDB,NOT_APPLICABLE,NOT_APPLICABLE,Enterprise,Organic,Forest,GBRP265,HDD|Organic|EDB|Enterprise|Forest,Metric=HDD > DBType=EDB > Segment=Enterprise > Granularity=Forest > Key=GBRP265,LOCAL parquet artifacts (v6_17 full generation),ALREADY_LOCAL_NOT_EXTRACTED,NOT_APPLICABLE,277,2025-10-16,2026-07-19,1,CURRENT,TRUE,TRUE,"None. Actuals, all 15 governed backtests and forecast already local."
MVP039,HDD,EDB,NOT_APPLICABLE,NOT_APPLICABLE,Enterprise,Organic,Forest,NAMP103,HDD|Organic|EDB|Enterprise|Forest,Metric=HDD > DBType=EDB > Segment=Enterprise > Granularity=Forest > Key=NAMP103,LOCAL parquet artifacts (v6_17 full generation),ALREADY_LOCAL_NOT_EXTRACTED,NOT_APPLICABLE,277,2025-10-16,2026-07-19,1,CURRENT,TRUE,TRUE,"None. Actuals, all 15 governed backtests and forecast already local."
MVP040,HDD,EDB,NOT_APPLICABLE,NOT_APPLICABLE,Enterprise,Organic,Forest,NAMP134,HDD|Organic|EDB|Enterprise|Forest,Metric=HDD > DBType=EDB > Segment=Enterprise > Granularity=Forest > Key=NAMP134,LOCAL parquet artifacts (v6_17 full generation),ALREADY_LOCAL_NOT_EXTRACTED,NOT_APPLICABLE,277,2025-10-16,2026-07-19,1,CURRENT,TRUE,TRUE,"None. Actuals, all 15 governed backtests and forecast already local."
MVP041,HDD,EDB,NOT_APPLICABLE,NOT_APPLICABLE,Enterprise,Organic,Forest,NAMP220,HDD|Organic|EDB|Enterprise|Forest,Metric=HDD > DBType=EDB > Segment=Enterprise > Granularity=Forest > Key=NAMP220,LOCAL parquet artifacts (v6_17 full generation),ALREADY_LOCAL_NOT_EXTRACTED,NOT_APPLICABLE,277,2025-10-16,2026-07-19,1,CURRENT,TRUE,TRUE,"None. Actuals, all 15 governed backtests and forecast already local."
MVP042,HDD,EDB,NOT_APPLICABLE,NOT_APPLICABLE,Enterprise,Organic,Forest,NAMPRD14,HDD|Organic|EDB|Enterprise|Forest,Metric=HDD > DBType=EDB > Segment=Enterprise > Granularity=Forest > Key=NAMPRD14,LOCAL parquet artifacts (v6_17 full generation),ALREADY_LOCAL_NOT_EXTRACTED,NOT_APPLICABLE,277,2025-10-16,2026-07-19,1,CURRENT,TRUE,TRUE,"None. Actuals, all 15 governed backtests and forecast already local."
MVP043,HDD,EDB,NOT_APPLICABLE,NOT_APPLICABLE,Enterprise,Organic,Region,APC-MSIT,HDD|Organic|EDB|Enterprise|Region,Metric=HDD > DBType=EDB > Segment=Enterprise > Granularity=Region > Key=APC-MSIT,LOCAL parquet artifacts (v6_17 full generation),ALREADY_LOCAL_NOT_EXTRACTED,NOT_APPLICABLE,360,2025-05-03,2026-04-27,1,CURRENT,TRUE,TRUE,"None. Actuals, all 15 governed backtests and forecast already local."
MVP044,HDD,EDB,NOT_APPLICABLE,NOT_APPLICABLE,Enterprise,Organic,Region,CAN-Go Local,HDD|Organic|EDB|Enterprise|Region,Metric=HDD > DBType=EDB > Segment=Enterprise > Granularity=Region > Key=CAN-Go Local,LOCAL parquet artifacts (v6_17 full generation),ALREADY_LOCAL_NOT_EXTRACTED,NOT_APPLICABLE,360,2025-05-03,2026-04-27,1,CURRENT,TRUE,TRUE,"None. Actuals, all 15 governed backtests and forecast already local."
MVP045,HDD,EDB,NOT_APPLICABLE,NOT_APPLICABLE,Enterprise,Organic,Region,CHL-Go Local,HDD|Organic|EDB|Enterprise|Region,Metric=HDD > DBType=EDB > Segment=Enterprise > Granularity=Region > Key=CHL-Go Local,LOCAL parquet artifacts (v6_17 full generation),ALREADY_LOCAL_NOT_EXTRACTED,NOT_APPLICABLE,276,2025-10-16,2026-07-18,1,CURRENT,TRUE,TRUE,"None. Actuals, all 15 governed backtests and forecast already local."
MVP046,HDD,EDB,NOT_APPLICABLE,NOT_APPLICABLE,Enterprise,Organic,Region,EUR-Go Local,HDD|Organic|EDB|Enterprise|Region,Metric=HDD > DBType=EDB > Segment=Enterprise > Granularity=Region > Key=EUR-Go Local,LOCAL parquet artifacts (v6_17 full generation),ALREADY_LOCAL_NOT_EXTRACTED,NOT_APPLICABLE,210,2025-12-21,2026-07-18,1,CURRENT,TRUE,TRUE,"None. Actuals, all 15 governed backtests and forecast already local."
MVP047,HDD,EDB,NOT_APPLICABLE,NOT_APPLICABLE,Enterprise,Organic,Region,EUR-Multitenant,HDD|Organic|EDB|Enterprise|Region,Metric=HDD > DBType=EDB > Segment=Enterprise > Granularity=Region > Key=EUR-Multitenant,LOCAL parquet artifacts (v6_17 full generation),ALREADY_LOCAL_NOT_EXTRACTED,NOT_APPLICABLE,360,2025-05-03,2026-04-27,1,CURRENT,TRUE,TRUE,"None. Actuals, all 15 governed backtests and forecast already local."
MVP048,HDD,EDB,NOT_APPLICABLE,NOT_APPLICABLE,Enterprise,Organic,Region,ITA-Go Local,HDD|Organic|EDB|Enterprise|Region,Metric=HDD > DBType=EDB > Segment=Enterprise > Granularity=Region > Key=ITA-Go Local,LOCAL parquet artifacts (v6_17 full generation),ALREADY_LOCAL_NOT_EXTRACTED,NOT_APPLICABLE,360,2025-05-03,2026-04-27,1,CURRENT,TRUE,TRUE,"None. Actuals, all 15 governed backtests and forecast already local."
MVP049,HDD,EDB,NOT_APPLICABLE,NOT_APPLICABLE,Enterprise,Organic,Region,NAM-Dedicated,HDD|Organic|EDB|Enterprise|Region,Metric=HDD > DBType=EDB > Segment=Enterprise > Granularity=Region > Key=NAM-Dedicated,LOCAL parquet artifacts (v6_17 full generation),ALREADY_LOCAL_NOT_EXTRACTED,NOT_APPLICABLE,360,2025-05-03,2026-04-27,1,CURRENT,TRUE,TRUE,"None. Actuals, all 15 governed backtests and forecast already local."
MVP050,HDD,EDB,NOT_APPLICABLE,NOT_APPLICABLE,Enterprise,Organic,Region,NAM-SDF,HDD|Organic|EDB|Enterprise|Region,Metric=HDD > DBType=EDB > Segment=Enterprise > Granularity=Region > Key=NAM-SDF,LOCAL parquet artifacts (v6_17 full generation),ALREADY_LOCAL_NOT_EXTRACTED,NOT_APPLICABLE,360,2025-05-03,2026-04-27,1,CURRENT,TRUE,TRUE,"None. Actuals, all 15 governed backtests and forecast already local."
OBS-SSD-APCP150,SSD,Phoenix,LVWE+LVNE,NOT_APPLICABLE,NOT_APPLICABLE,Organic,Forest,APCP150,SSD|Phoenix|LowVolume|Forest,Metric=SSD > DBType=Phoenix > Variant=LVWE+LVNE > Granularity=Forest > Key=APCP150,forecast_substrateBE_ssd_phx_lvwe_metrics,EXTRACTED_IN_P3,data/raw/v6_24_mvp_cohort/ssd/ssd_lvwe_raw.parquet,131,2026-04-13,2026-08-22,1,CURRENT (to 2026-08-22),FALSE,FALSE,AGGREGATED_WINDOW_ACTUALS (rolling window 1-7 days); Mean_Actual is varchar in source and was CAST; 1 exact-duplicate row per key on 2026-04-22; 15 governed model backtests DO NOT exist yet; must be generated in P5
OBS-SSD-APCPRD01,SSD,Phoenix,LVWE+LVNE,NOT_APPLICABLE,NOT_APPLICABLE,Organic,Forest,APCPRD01,SSD|Phoenix|LowVolume|Forest,Metric=SSD > DBType=Phoenix > Variant=LVWE+LVNE > Granularity=Forest > Key=APCPRD01,forecast_substrateBE_ssd_phx_lvwe_metrics,EXTRACTED_IN_P3,data/raw/v6_24_mvp_cohort/ssd/ssd_lvwe_raw.parquet,131,2026-04-13,2026-08-22,1,CURRENT (to 2026-08-22),FALSE,FALSE,AGGREGATED_WINDOW_ACTUALS (rolling window 1-7 days); Mean_Actual is varchar in source and was CAST; 1 exact-duplicate row per key on 2026-04-22; 15 governed model backtests DO NOT exist yet; must be generated in P5
OBS-SSD-APCPRD02,SSD,Phoenix,LVWE+LVNE,NOT_APPLICABLE,NOT_APPLICABLE,Organic,Forest,APCPRD02,SSD|Phoenix|LowVolume|Forest,Metric=SSD > DBType=Phoenix > Variant=LVWE+LVNE > Granularity=Forest > Key=APCPRD02,forecast_substrateBE_ssd_phx_lvwe_metrics,EXTRACTED_IN_P3,data/raw/v6_24_mvp_cohort/ssd/ssd_lvwe_raw.parquet,131,2026-04-13,2026-08-22,1,CURRENT (to 2026-08-22),FALSE,FALSE,AGGREGATED_WINDOW_ACTUALS (rolling window 1-7 days); Mean_Actual is varchar in source and was CAST; 1 exact-duplicate row per key on 2026-04-22; 15 governed model backtests DO NOT exist yet; must be generated in P5
OBS-SSD-AREP273,SSD,Phoenix,LVWE+LVNE,NOT_APPLICABLE,NOT_APPLICABLE,Organic,Forest,AREP273,SSD|Phoenix|LowVolume|Forest,Metric=SSD > DBType=Phoenix > Variant=LVWE+LVNE > Granularity=Forest > Key=AREP273,forecast_substrateBE_ssd_phx_lvwe_metrics,EXTRACTED_IN_P3,data/raw/v6_24_mvp_cohort/ssd/ssd_lvwe_raw.parquet,131,2026-04-13,2026-08-22,1,CURRENT (to 2026-08-22),FALSE,FALSE,AGGREGATED_WINDOW_ACTUALS (rolling window 1-7 days); Mean_Actual is varchar in source and was CAST; 1 exact-duplicate row per key on 2026-04-22; 15 governed model backtests DO NOT exist yet; must be generated in P5
