calibration_grain,series_key,horizon_bucket,n_residuals,q025,q10,q90,q975,resource,_g
entity_key_x_horizon_bucket,FRA-Go Local,15_30,2496,-5252.853131259508,-3320.7794412020085,6554.4144986256,96475.17201525038,,
entity_key_x_horizon_bucket,FRA-Go Local,1_7,1092,-1405.493653209945,-846.3367545207554,1586.7431908663186,90871.55351145066,,
entity_key_x_horizon_bucket,FRA-Go Local,8_14,1092,-2684.6852657668605,-1843.36071392163,3306.75719189091,94625.142567181,,
entity_key_x_horizon_bucket,GBR-Dedicated,15_30,2496,-4577.59488388794,-499.26585074803313,146.56749434327264,424.91412633984373,,
entity_key_x_horizon_bucket,GBR-Dedicated,1_7,1092,-500.50783989501355,-95.48525351757593,150.54844017781795,411.4652146811477,,
entity_key_x_horizon_bucket,GBR-Dedicated,8_14,1092,-1090.9777502224256,-245.70618107490205,174.79404344214674,426.4423163388796,,
entity_key_x_horizon_bucket,GBR-Go Local,15_30,2496,-11855.489450611742,-6362.573664255542,51513.79996425794,257844.68142984156,,
entity_key_x_horizon_bucket,GBR-Go Local,1_7,1092,-2884.6190229843933,-1713.3312012332722,13307.625838974678,255305.4954645748,,
entity_key_x_horizon_bucket,GBR-Go Local,8_14,1092,-7353.362951903463,-4490.443574405356,27333.221454901122,256279.49993866732,,
entity_key_x_horizon_bucket,IND-Go Local,15_30,2496,-12621.807669411013,-6877.998274354002,23316.300631738588,360576.4007631413,,
entity_key_x_horizon_bucket,IND-Go Local,1_7,1092,-4973.982300899959,-1483.7432019093364,14067.43094877812,352393.11594650213,,
entity_key_x_horizon_bucket,IND-Go Local,8_14,1092,-5934.919248745534,-3057.200083019992,19758.080373050856,354471.69575300073,,
entity_key_x_horizon_bucket,ISR-Go Local,15_30,2496,-440.9691240511779,-30.687171445988497,97.05297807672542,303.2980326131458,,
entity_key_x_horizon_bucket,ISR-Go Local,1_7,1092,-113.37334380146893,-7.702502863600171,52.372675861126254,112.88457830063983,,
entity_key_x_horizon_bucket,ISR-Go Local,8_14,1092,-203.9251203148826,-19.854993589607943,78.5450807920001,175.40253168688477,,
entity_key_x_horizon_bucket,ITA-Go Local,15_30,2496,-1538.8758702132156,-591.4139503070328,5307.947820782656,15897.538116867274,,
entity_key_x_horizon_bucket,ITA-Go Local,1_7,1092,-240.70238321442423,-109.76780126966841,2988.532978324732,13636.88491001037,,
entity_key_x_horizon_bucket,ITA-Go Local,8_14,1092,-658.4024662484986,-294.42882405666154,3948.8220590375286,17842.17097101152,,
entity_key_x_horizon_bucket,JPN-Go Local,15_30,2496,-12283.506776430979,-7456.687702203344,14308.398654349381,311257.97882272693,,
entity_key_x_horizon_bucket,JPN-Go Local,1_7,1092,-3517.7564893865024,-1771.9422825997638,10276.65430068175,306815.3353049496,,
entity_key_x_horizon_bucket,JPN-Go Local,8_14,1092,-6666.625488996249,-4027.7110130469255,15053.873751053306,307362.5151850157,,
entity_key_x_horizon_bucket,KOR-Go Local,15_30,2496,-2504.894004985183,-858.7157997793856,3965.178222693001,20239.97280323719,,
entity_key_x_horizon_bucket,KOR-Go Local,1_7,1092,-422.118274252313,-157.17319270813275,946.7358490000006,12853.887090029688,,
entity_key_x_horizon_bucket,KOR-Go Local,8_14,1092,-1191.4268341730317,-451.81629630151355,1748.2303312220356,15581.11240004668,,
entity_key_x_horizon_bucket,LAM-Multitenant,15_30,2496,-7855.747047343808,-3890.837275643338,32023.92516565592,182401.34052496724,,
entity_key_x_horizon_bucket,LAM-Multitenant,1_7,1092,-1437.9229242955014,-603.6484506921552,24663.10939093599,175499.40188724824,,
entity_key_x_horizon_bucket,LAM-Multitenant,8_14,1092,-3262.291835555055,-1801.488240589865,42657.22121678188,182112.49362474322,,
entity_key_x_horizon_bucket,MEX-Go Local,15_30,2496,-385.53904866696917,-38.95866275328012,117.56498239558852,235.84829530935934,,
entity_key_x_horizon_bucket,MEX-Go Local,1_7,1092,-145.74211727848007,-11.163579434180734,40.08265004297044,126.59310174010659,,
entity_key_x_horizon_bucket,MEX-Go Local,8_14,1092,-203.56479277747925,-19.023797994037942,90.15496609500009,187.91574374477128,,
entity_key_x_horizon_bucket,NAM-Dedicated,15_30,2496,-6699.3138530610195,-4697.3537934750275,19949.841904451598,87127.48307405792,,
entity_key_x_horizon_bucket,NAM-Dedicated,1_7,1092,-1949.5840260955915,-1269.3551774535997,7897.207226333391,89526.83770547842,,
entity_key_x_horizon_bucket,NAM-Dedicated,8_14,1092,-3440.3707961204127,-2530.24373495641,17477.761089255953,92150.75526084314,,
entity_key_x_horizon_bucket,NAM-GCC Low,15_30,2496,-7620.302418698197,-4111.261009749243,10565.336636384323,200793.44562981592,,
entity_key_x_horizon_bucket,NAM-GCC Low,1_7,1092,-1634.0141396407532,-755.8032360674202,6978.274065658505,195236.71933842573,,
entity_key_x_horizon_bucket,NAM-GCC Low,8_14,1092,-3612.5679224984124,-1938.264010079208,9737.272305631988,200876.63174208626,,
entity_key_x_horizon_bucket,NAM-ITAR DoD,15_30,2496,-26633.812634492166,-1328.533730126488,33855.33616536707,36970.631555353444,,
entity_key_x_horizon_bucket,NAM-ITAR DoD,1_7,1092,-849.3799316294301,-213.65556104921706,17182.903842,26653.51755192449,,
entity_key_x_horizon_bucket,NAM-ITAR DoD,8_14,1092,-742.9276298661135,-443.6219164767841,29759.89278022701,36262.828390450006,,
entity_key_x_horizon_bucket,NAM-ITAR GCCH,15_30,2496,-21906.334980884498,-9359.507965196095,22207.4008836875,24557.7138261488,,
entity_key_x_horizon_bucket,NAM-ITAR GCCH,1_7,1092,-293.5961717278059,-111.44253070559932,9123.7730559631,17515.73010394935,,
entity_key_x_horizon_bucket,NAM-ITAR GCCH,8_14,1092,-5104.862163044661,-306.3034889488044,18743.57659514386,23364.925845437498,,
entity_key_x_horizon_bucket,NAM-MSIT,15_30,2496,-1750.7955968408178,-1100.2531538625663,870.9093517932733,8639.81246995959,,
entity_key_x_horizon_bucket,NAM-MSIT,1_7,1092,-342.75672762941923,-63.16701653239597,330.4856175802643,4495.539362178595,,
entity_key_x_horizon_bucket,NAM-MSIT,8_14,1092,-862.8648463899408,-206.93681104246545,568.3879877944851,6883.455640527824,,
entity_key_x_horizon_bucket,NAM-Multitenant,15_30,2496,-170751.55490999995,-63743.8877005626,999327.2255246028,2792262.34856177,,
entity_key_x_horizon_bucket,NAM-Multitenant,1_7,1092,-50743.750455729256,-21505.050858869028,617401.0049067248,2681381.4433622854,,
entity_key_x_horizon_bucket,NAM-Multitenant,8_14,1092,-71031.00965470311,-32537.928795691438,931106.1216469407,2722474.9908870663,,
entity_key_x_horizon_bucket,NAM-SDF,15_30,2496,-4994.987854862837,-535.8860728566415,819.1395728305341,1732.3155271591136,,
entity_key_x_horizon_bucket,NAM-SDF,1_7,1092,-2393.3910721626667,-1255.038385401761,290.8463346724964,834.8160223984491,,
entity_key_x_horizon_bucket,NAM-SDF,8_14,1092,-2193.1825860412896,-797.9361845999941,599.4988131007626,1807.4619574243663,,
entity_key_x_horizon_bucket,NAM-TDF,15_30,2496,-39.10751523733182,-4.678726759984418,15.59154120849627,33.34905844284055,,
entity_key_x_horizon_bucket,NAM-TDF,1_7,1092,-51.13567255586667,-5.8710488479248895,5.124708264001915,17.121041993772437,,
entity_key_x_horizon_bucket,NAM-TDF,8_14,1092,-40.62035584486717,-5.778687774677092,9.243178668104006,23.17490611582681,,
entity_key_x_horizon_bucket,NOR-Go Local,15_30,2496,-1724.2684453161255,-623.7744303099989,8379.251000893411,16670.01375841422,,
entity_key_x_horizon_bucket,NOR-Go Local,1_7,1092,-282.4476754041513,-108.01414224378676,739.2094515268285,9603.490132910181,,
entity_key_x_horizon_bucket,NOR-Go Local,8_14,1092,-720.1061191060985,-287.43834288140096,3649.0053231753677,11684.269550062774,,
entity_key_x_horizon_bucket,NZL-Go Local,15_30,1456,-159.97913692762987,-21.984717886557917,202.68649634028208,222.0683061685625,,
entity_key_x_horizon_bucket,NZL-Go Local,1_7,637,-35.873130170245744,-4.081093430913074,23.06248654923107,74.73938350532237,,
entity_key_x_horizon_bucket,NZL-Go Local,8_14,637,-53.84864384457935,-11.035698935774406,123.40028495683306,182.45517642697283,,
entity_key_x_horizon_bucket,POL-Go Local,15_30,2496,-2139.1769634127677,-743.8930060519983,4429.964280561764,11589.274392994856,,
entity_key_x_horizon_bucket,POL-Go Local,1_7,1092,-270.7927549675918,-120.45341401939913,1233.8096803191972,9509.871385023092,,
entity_key_x_horizon_bucket,POL-Go Local,8_14,1092,-727.2982645411971,-298.3537858640061,2881.254898059098,10362.783055571366,,
entity_key_x_horizon_bucket,QAT-Go Local,15_30,2496,-1210.8784048494836,-442.2867656553158,1418.9316922522453,7219.987154915742,,
entity_key_x_horizon_bucket,QAT-Go Local,1_7,1092,-214.43133213806803,-67.44357652926864,797.9500047419874,4603.768064684184,,
entity_key_x_horizon_bucket,QAT-Go Local,8_14,1092,-478.5725328792325,-159.02063408582134,1383.913186007666,5731.82160505096,,
entity_key_x_horizon_bucket,SGP-Go Local,15_30,2080,-1196.3838631829724,-208.75797323997156,179.17271551683595,305.26524438502867,,
entity_key_x_horizon_bucket,SGP-Go Local,1_7,910,-490.1571907712448,-46.38402435216711,50.92995821255888,144.8017732659206,,
entity_key_x_horizon_bucket,SGP-Go Local,8_14,910,-704.3970483509237,-106.78659779200007,94.30850384651319,191.10897908272293,,
entity_key_x_horizon_bucket,SWE-Go Local,15_30,2496,-5485.664530323439,-2193.2495482652703,7627.777155580725,37138.338327914826,,
entity_key_x_horizon_bucket,SWE-Go Local,1_7,1092,-1966.0019563564774,-440.90283560999734,3226.7358791363877,31376.82071148049,,
entity_key_x_horizon_bucket,SWE-Go Local,8_14,1092,-4479.656899604024,-1059.0424429030738,4408.184726816207,33686.010452077084,,
entity_key_x_horizon_bucket,TWN-Go Local,15_30,1456,-1075.7027763431743,-172.53213175123702,925.6128102187495,1727.1367482520047,,
entity_key_x_horizon_bucket,TWN-Go Local,1_7,637,-155.4110485061939,-34.24233441294814,227.0298242285444,871.9686923560847,,
entity_key_x_horizon_bucket,TWN-Go Local,8_14,637,-486.11022614989747,-206.28352347140125,441.3784909654948,917.2050772229115,,
entity_key_x_horizon_bucket,ZAF-Go Local,15_30,2080,-2397.384338662579,-1544.3501413701574,1751.5069622016013,54204.615370331274,,
entity_key_x_horizon_bucket,ZAF-Go Local,1_7,910,-594.0645837517899,-336.7777140334197,1014.9605084703074,46774.735834686755,,
entity_key_x_horizon_bucket,ZAF-Go Local,8_14,910,-1447.1613853640094,-852.4171092272242,1183.1399237403643,50895.17650221895,,
resource_x_horizon_bucket,,15_30,94432,-11702.94281628286,-2389.237224736765,12207.22022204551,186500.26369911377,HDD,
resource_x_horizon_bucket,,1_7,41314,-2687.70382149719,-507.3571722364454,4546.84471979799,130853.67724232141,HDD,
resource_x_horizon_bucket,,8_14,41314,-5196.354387694228,-1235.7835303136642,9218.306986827803,178581.799997498,HDD,
global_x_horizon_bucket,,15_30,94432,-11702.94281628286,-2389.237224736765,12207.22022204551,186500.26369911377,,ALL
global_x_horizon_bucket,,1_7,41314,-2687.70382149719,-507.3571722364454,4546.84471979799,130853.67724232141,,ALL
global_x_horizon_bucket,,8_14,41314,-5196.354387694228,-1235.7835303136642,9218.306986827803,178581.799997498,,ALL
