calibration_grain,entity_key,horizon_bucket,n,coverage_80,coverage_95
entity_key_x_horizon_bucket,SGP-Go Local,1_7,910,0.8,0.9495
entity_key_x_horizon_bucket,SGP-Go Local,8_14,910,0.8033,0.9495
entity_key_x_horizon_bucket,SWE-Go Local,15_30,2496,0.7997,0.9495
entity_key_x_horizon_bucket,SWE-Go Local,1_7,1092,0.7985,0.9487
entity_key_x_horizon_bucket,SWE-Go Local,8_14,1092,0.7985,0.9487
entity_key_x_horizon_bucket,TWN-Go Local,15_30,1456,0.8049,0.9492
entity_key_x_horizon_bucket,TWN-Go Local,1_7,637,0.7991,0.9498
entity_key_x_horizon_bucket,TWN-Go Local,8_14,637,0.7991,0.9498
entity_key_x_horizon_bucket,ZAF-Go Local,15_30,2080,0.8,0.95
entity_key_x_horizon_bucket,ZAF-Go Local,1_7,910,0.8,0.9495
entity_key_x_horizon_bucket,ZAF-Go Local,8_14,910,0.8,0.9495
global_x_horizon_bucket,ALL,1_7,41314,0.8,0.95
global_x_horizon_bucket,ALL,8_14,41314,0.8,0.95
global_x_horizon_bucket,ALL,15_30,94432,0.8,0.95
