series_key,series_label,chart_ready,actual_line_available,forecast_lines_available,model_count,available_horizons,date_min,date_max,warning
KOR-Go Local,KOR-Go Local,True,True,True,13,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30",2025-05-03,2026-04-27,
LAM-Multitenant,LAM-Multitenant,True,True,True,13,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30",2025-05-03,2026-04-27,
MEX-Go Local,MEX-Go Local,True,True,True,13,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30",2025-05-03,2026-04-27,
NAM-Dedicated,NAM-Dedicated,True,True,True,13,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30",2025-05-03,2026-04-27,
NAM-GCC Low,NAM-GCC Low,True,True,True,13,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30",2025-05-03,2026-04-27,
NAM-ITAR DoD,NAM-ITAR DoD,True,True,True,13,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30",2025-05-03,2026-04-27,
NAM-ITAR GCCH,NAM-ITAR GCCH,True,True,True,13,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30",2025-05-03,2026-04-27,
NAM-MSIT,NAM-MSIT,True,True,True,13,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30",2025-05-03,2026-04-27,
NAM-Multitenant,NAM-Multitenant,True,True,True,13,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30",2025-05-03,2026-04-27,
NAM-SDF,NAM-SDF,True,True,True,13,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30",2025-05-03,2026-04-27,
NAM-TDF,NAM-TDF,True,True,True,13,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30",2025-05-03,2026-04-27,
NOR-Go Local,NOR-Go Local,True,True,True,13,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30",2025-05-03,2026-04-27,
NZL-Go Local,NZL-Go Local,True,True,True,13,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30",2025-09-30,2026-04-27,
POL-Go Local,POL-Go Local,True,True,True,13,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30",2025-05-03,2026-04-27,
QAT-Go Local,QAT-Go Local,True,True,True,13,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30",2025-05-03,2026-04-27,
SGP-Go Local,SGP-Go Local,True,True,True,13,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30",2025-05-03,2026-04-27,
SWE-Go Local,SWE-Go Local,True,True,True,13,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30",2025-05-03,2026-04-27,
TWN-Go Local,TWN-Go Local,True,True,True,13,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30",2025-09-30,2026-04-27,
ZAF-Go Local,ZAF-Go Local,True,True,True,13,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30",2025-05-03,2026-04-27,
