cohort_id,metric,db_type,variant,scenario,segment,demand_nature,granularity,key,route_path,source,p3_action,raw_parquet_relative_path,row_count,min_date,max_date,freshness_status,caveat
MVP011,HDD,Basilisk,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,Organic,Region,ITA-Go Local,HDD|Organic|Basilisk|Region,LOCAL parquet artifacts (v6_17 full generation),ALREADY_LOCAL_NOT_EXTRACTED,NOT_APPLICABLE,79,2026-03-08,2026-05-25,CURRENT,"None. Actuals, all 15 governed backtests and forecast already local."
MVP012,HDD,Basilisk,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,Organic,Region,are-Go Local,HDD|Organic|Basilisk|Region,LOCAL parquet artifacts (v6_17 full generation),ALREADY_LOCAL_NOT_EXTRACTED,NOT_APPLICABLE,79,2026-03-08,2026-05-25,CURRENT,"None. Actuals, all 15 governed backtests and forecast already local."
MVP013,HDD,Basilisk,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,Organic,Region,chl-Go Local,HDD|Organic|Basilisk|Region,LOCAL parquet artifacts (v6_17 full generation),ALREADY_LOCAL_NOT_EXTRACTED,NOT_APPLICABLE,79,2026-03-08,2026-05-25,CURRENT,"None. Actuals, all 15 governed backtests and forecast already local."
MVP014,HDD,Basilisk,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,Organic,Region,fra-Go Local,HDD|Organic|Basilisk|Region,LOCAL parquet artifacts (v6_17 full generation),ALREADY_LOCAL_NOT_EXTRACTED,NOT_APPLICABLE,79,2026-03-08,2026-05-25,CURRENT,"None. Actuals, all 15 governed backtests and forecast already local."
MVP015,HDD,Basilisk,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,Organic,Region,kor-Go Local,HDD|Organic|Basilisk|Region,LOCAL parquet artifacts (v6_17 full generation),ALREADY_LOCAL_NOT_EXTRACTED,NOT_APPLICABLE,79,2026-03-08,2026-05-25,CURRENT,"None. Actuals, all 15 governed backtests and forecast already local."
MVP016,HDD,Basilisk,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,Organic,Region,nam-ITAR GCCH,HDD|Organic|Basilisk|Region,LOCAL parquet artifacts (v6_17 full generation),ALREADY_LOCAL_NOT_EXTRACTED,NOT_APPLICABLE,79,2026-03-08,2026-05-25,CURRENT,"None. Actuals, all 15 governed backtests and forecast already local."
MVP017,HDD,Basilisk,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,Organic,Region,nzl-Go Local,HDD|Organic|Basilisk|Region,LOCAL parquet artifacts (v6_17 full generation),ALREADY_LOCAL_NOT_EXTRACTED,NOT_APPLICABLE,79,2026-03-08,2026-05-25,CURRENT,"None. Actuals, all 15 governed backtests and forecast already local."
MVP018,HDD,EDB,NOT_APPLICABLE,NOT_APPLICABLE,Consumer,Organic,Forest,CANPRD01,HDD|Organic|EDB|Consumer|Forest,LOCAL parquet artifacts (v6_17 full generation),ALREADY_LOCAL_NOT_EXTRACTED,NOT_APPLICABLE,277,2025-10-16,2026-07-19,CURRENT,"None. Actuals, all 15 governed backtests and forecast already local."
MVP019,HDD,EDB,NOT_APPLICABLE,NOT_APPLICABLE,Consumer,Organic,Forest,EURP179,HDD|Organic|EDB|Consumer|Forest,LOCAL parquet artifacts (v6_17 full generation),ALREADY_LOCAL_NOT_EXTRACTED,NOT_APPLICABLE,277,2025-10-16,2026-07-19,CURRENT,"None. Actuals, all 15 governed backtests and forecast already local."
MVP020,HDD,EDB,NOT_APPLICABLE,NOT_APPLICABLE,Consumer,Organic,Forest,EURP309,HDD|Organic|EDB|Consumer|Forest,LOCAL parquet artifacts (v6_17 full generation),ALREADY_LOCAL_NOT_EXTRACTED,NOT_APPLICABLE,211,2025-12-21,2026-07-19,CURRENT,"None. Actuals, all 15 governed backtests and forecast already local."
MVP021,HDD,EDB,NOT_APPLICABLE,NOT_APPLICABLE,Consumer,Organic,Forest,EURPRD07,HDD|Organic|EDB|Consumer|Forest,LOCAL parquet artifacts (v6_17 full generation),ALREADY_LOCAL_NOT_EXTRACTED,NOT_APPLICABLE,277,2025-10-16,2026-07-19,CURRENT,"None. Actuals, all 15 governed backtests and forecast already local."
MVP022,HDD,EDB,NOT_APPLICABLE,NOT_APPLICABLE,Consumer,Organic,Forest,JPNPRD01,HDD|Organic|EDB|Consumer|Forest,LOCAL parquet artifacts (v6_17 full generation),ALREADY_LOCAL_NOT_EXTRACTED,NOT_APPLICABLE,277,2025-10-16,2026-07-19,CURRENT,"None. Actuals, all 15 governed backtests and forecast already local."
MVP023,HDD,EDB,NOT_APPLICABLE,NOT_APPLICABLE,Consumer,Organic,Forest,NAMP115,HDD|Organic|EDB|Consumer|Forest,LOCAL parquet artifacts (v6_17 full generation),ALREADY_LOCAL_NOT_EXTRACTED,NOT_APPLICABLE,277,2025-10-16,2026-07-19,CURRENT,"None. Actuals, all 15 governed backtests and forecast already local."
MVP024,HDD,EDB,NOT_APPLICABLE,NOT_APPLICABLE,Consumer,Organic,Forest,NAMP159,HDD|Organic|EDB|Consumer|Forest,LOCAL parquet artifacts (v6_17 full generation),ALREADY_LOCAL_NOT_EXTRACTED,NOT_APPLICABLE,277,2025-10-16,2026-07-19,CURRENT,"None. Actuals, all 15 governed backtests and forecast already local."
MVP025,HDD,EDB,NOT_APPLICABLE,NOT_APPLICABLE,Consumer,Organic,Forest,NAMP283,HDD|Organic|EDB|Consumer|Forest,LOCAL parquet artifacts (v6_17 full generation),ALREADY_LOCAL_NOT_EXTRACTED,NOT_APPLICABLE,277,2025-10-16,2026-07-19,CURRENT,"None. Actuals, all 15 governed backtests and forecast already local."
MVP026,HDD,EDB,NOT_APPLICABLE,NOT_APPLICABLE,Consumer,Organic,Forest,NAMPRD16,HDD|Organic|EDB|Consumer|Forest,LOCAL parquet artifacts (v6_17 full generation),ALREADY_LOCAL_NOT_EXTRACTED,NOT_APPLICABLE,277,2025-10-16,2026-07-19,CURRENT,"None. Actuals, all 15 governed backtests and forecast already local."
MVP027,HDD,EDB,NOT_APPLICABLE,NOT_APPLICABLE,Consumer,Organic,Region,APC-MSIT,HDD|Organic|EDB|Consumer|Region,LOCAL parquet artifacts (v6_17 full generation),ALREADY_LOCAL_NOT_EXTRACTED,NOT_APPLICABLE,276,2025-10-16,2026-07-18,CURRENT,"None. Actuals, all 15 governed backtests and forecast already local."
MVP028,HDD,EDB,NOT_APPLICABLE,NOT_APPLICABLE,Consumer,Organic,Region,CAN-Go Local,HDD|Organic|EDB|Consumer|Region,LOCAL parquet artifacts (v6_17 full generation),ALREADY_LOCAL_NOT_EXTRACTED,NOT_APPLICABLE,276,2025-10-16,2026-07-18,CURRENT,"None. Actuals, all 15 governed backtests and forecast already local."
MVP029,HDD,EDB,NOT_APPLICABLE,NOT_APPLICABLE,Consumer,Organic,Region,EUR-Dedicated,HDD|Organic|EDB|Consumer|Region,LOCAL parquet artifacts (v6_17 full generation),ALREADY_LOCAL_NOT_EXTRACTED,NOT_APPLICABLE,276,2025-10-16,2026-07-18,CURRENT,"None. Actuals, all 15 governed backtests and forecast already local."
MVP030,HDD,EDB,NOT_APPLICABLE,NOT_APPLICABLE,Consumer,Organic,Region,IDN-Go Local,HDD|Organic|EDB|Consumer|Region,LOCAL parquet artifacts (v6_17 full generation),ALREADY_LOCAL_NOT_EXTRACTED,NOT_APPLICABLE,276,2025-10-16,2026-07-18,CURRENT,"None. Actuals, all 15 governed backtests and forecast already local."
MVP031,HDD,EDB,NOT_APPLICABLE,NOT_APPLICABLE,Consumer,Organic,Region,LAM-Multitenant,HDD|Organic|EDB|Consumer|Region,LOCAL parquet artifacts (v6_17 full generation),ALREADY_LOCAL_NOT_EXTRACTED,NOT_APPLICABLE,276,2025-10-16,2026-07-18,CURRENT,"None. Actuals, all 15 governed backtests and forecast already local."
MVP032,HDD,EDB,NOT_APPLICABLE,NOT_APPLICABLE,Consumer,Organic,Region,NAM-ITAR DoD,HDD|Organic|EDB|Consumer|Region,LOCAL parquet artifacts (v6_17 full generation),ALREADY_LOCAL_NOT_EXTRACTED,NOT_APPLICABLE,193,2025-10-16,2026-04-26,CURRENT,"None. Actuals, all 15 governed backtests and forecast already local."
MVP033,HDD,EDB,NOT_APPLICABLE,NOT_APPLICABLE,Consumer,Organic,Region,NAM-MSIT,HDD|Organic|EDB|Consumer|Region,LOCAL parquet artifacts (v6_17 full generation),ALREADY_LOCAL_NOT_EXTRACTED,NOT_APPLICABLE,276,2025-10-16,2026-07-18,CURRENT,"None. Actuals, all 15 governed backtests and forecast already local."
MVP034,HDD,EDB,NOT_APPLICABLE,NOT_APPLICABLE,Consumer,Organic,Region,POL-Go Local,HDD|Organic|EDB|Consumer|Region,LOCAL parquet artifacts (v6_17 full generation),ALREADY_LOCAL_NOT_EXTRACTED,NOT_APPLICABLE,276,2025-10-16,2026-07-18,CURRENT,"None. Actuals, all 15 governed backtests and forecast already local."
MVP035,HDD,EDB,NOT_APPLICABLE,NOT_APPLICABLE,Enterprise,Organic,Forest,CHNPR01,HDD|Organic|EDB|Enterprise|Forest,LOCAL parquet artifacts (v6_17 full generation),ALREADY_LOCAL_NOT_EXTRACTED,NOT_APPLICABLE,277,2025-10-16,2026-07-19,CURRENT,"None. Actuals, all 15 governed backtests and forecast already local."
MVP036,HDD,EDB,NOT_APPLICABLE,NOT_APPLICABLE,Enterprise,Organic,Forest,EURP192,HDD|Organic|EDB|Enterprise|Forest,LOCAL parquet artifacts (v6_17 full generation),ALREADY_LOCAL_NOT_EXTRACTED,NOT_APPLICABLE,277,2025-10-16,2026-07-19,CURRENT,"None. Actuals, all 15 governed backtests and forecast already local."
MVP037,HDD,EDB,NOT_APPLICABLE,NOT_APPLICABLE,Enterprise,Organic,Forest,EURP309,HDD|Organic|EDB|Enterprise|Forest,LOCAL parquet artifacts (v6_17 full generation),ALREADY_LOCAL_NOT_EXTRACTED,NOT_APPLICABLE,211,2025-12-21,2026-07-19,CURRENT,"None. Actuals, all 15 governed backtests and forecast already local."
MVP038,HDD,EDB,NOT_APPLICABLE,NOT_APPLICABLE,Enterprise,Organic,Forest,GBRP265,HDD|Organic|EDB|Enterprise|Forest,LOCAL parquet artifacts (v6_17 full generation),ALREADY_LOCAL_NOT_EXTRACTED,NOT_APPLICABLE,277,2025-10-16,2026-07-19,CURRENT,"None. Actuals, all 15 governed backtests and forecast already local."
MVP039,HDD,EDB,NOT_APPLICABLE,NOT_APPLICABLE,Enterprise,Organic,Forest,NAMP103,HDD|Organic|EDB|Enterprise|Forest,LOCAL parquet artifacts (v6_17 full generation),ALREADY_LOCAL_NOT_EXTRACTED,NOT_APPLICABLE,277,2025-10-16,2026-07-19,CURRENT,"None. Actuals, all 15 governed backtests and forecast already local."
MVP040,HDD,EDB,NOT_APPLICABLE,NOT_APPLICABLE,Enterprise,Organic,Forest,NAMP134,HDD|Organic|EDB|Enterprise|Forest,LOCAL parquet artifacts (v6_17 full generation),ALREADY_LOCAL_NOT_EXTRACTED,NOT_APPLICABLE,277,2025-10-16,2026-07-19,CURRENT,"None. Actuals, all 15 governed backtests and forecast already local."
MVP041,HDD,EDB,NOT_APPLICABLE,NOT_APPLICABLE,Enterprise,Organic,Forest,NAMP220,HDD|Organic|EDB|Enterprise|Forest,LOCAL parquet artifacts (v6_17 full generation),ALREADY_LOCAL_NOT_EXTRACTED,NOT_APPLICABLE,277,2025-10-16,2026-07-19,CURRENT,"None. Actuals, all 15 governed backtests and forecast already local."
MVP042,HDD,EDB,NOT_APPLICABLE,NOT_APPLICABLE,Enterprise,Organic,Forest,NAMPRD14,HDD|Organic|EDB|Enterprise|Forest,LOCAL parquet artifacts (v6_17 full generation),ALREADY_LOCAL_NOT_EXTRACTED,NOT_APPLICABLE,277,2025-10-16,2026-07-19,CURRENT,"None. Actuals, all 15 governed backtests and forecast already local."
MVP043,HDD,EDB,NOT_APPLICABLE,NOT_APPLICABLE,Enterprise,Organic,Region,APC-MSIT,HDD|Organic|EDB|Enterprise|Region,LOCAL parquet artifacts (v6_17 full generation),ALREADY_LOCAL_NOT_EXTRACTED,NOT_APPLICABLE,360,2025-05-03,2026-04-27,CURRENT,"None. Actuals, all 15 governed backtests and forecast already local."
MVP044,HDD,EDB,NOT_APPLICABLE,NOT_APPLICABLE,Enterprise,Organic,Region,CAN-Go Local,HDD|Organic|EDB|Enterprise|Region,LOCAL parquet artifacts (v6_17 full generation),ALREADY_LOCAL_NOT_EXTRACTED,NOT_APPLICABLE,360,2025-05-03,2026-04-27,CURRENT,"None. Actuals, all 15 governed backtests and forecast already local."
MVP045,HDD,EDB,NOT_APPLICABLE,NOT_APPLICABLE,Enterprise,Organic,Region,CHL-Go Local,HDD|Organic|EDB|Enterprise|Region,LOCAL parquet artifacts (v6_17 full generation),ALREADY_LOCAL_NOT_EXTRACTED,NOT_APPLICABLE,276,2025-10-16,2026-07-18,CURRENT,"None. Actuals, all 15 governed backtests and forecast already local."
MVP046,HDD,EDB,NOT_APPLICABLE,NOT_APPLICABLE,Enterprise,Organic,Region,EUR-Go Local,HDD|Organic|EDB|Enterprise|Region,LOCAL parquet artifacts (v6_17 full generation),ALREADY_LOCAL_NOT_EXTRACTED,NOT_APPLICABLE,210,2025-12-21,2026-07-18,CURRENT,"None. Actuals, all 15 governed backtests and forecast already local."
MVP047,HDD,EDB,NOT_APPLICABLE,NOT_APPLICABLE,Enterprise,Organic,Region,EUR-Multitenant,HDD|Organic|EDB|Enterprise|Region,LOCAL parquet artifacts (v6_17 full generation),ALREADY_LOCAL_NOT_EXTRACTED,NOT_APPLICABLE,360,2025-05-03,2026-04-27,CURRENT,"None. Actuals, all 15 governed backtests and forecast already local."
MVP048,HDD,EDB,NOT_APPLICABLE,NOT_APPLICABLE,Enterprise,Organic,Region,ITA-Go Local,HDD|Organic|EDB|Enterprise|Region,LOCAL parquet artifacts (v6_17 full generation),ALREADY_LOCAL_NOT_EXTRACTED,NOT_APPLICABLE,360,2025-05-03,2026-04-27,CURRENT,"None. Actuals, all 15 governed backtests and forecast already local."
MVP049,HDD,EDB,NOT_APPLICABLE,NOT_APPLICABLE,Enterprise,Organic,Region,NAM-Dedicated,HDD|Organic|EDB|Enterprise|Region,LOCAL parquet artifacts (v6_17 full generation),ALREADY_LOCAL_NOT_EXTRACTED,NOT_APPLICABLE,360,2025-05-03,2026-04-27,CURRENT,"None. Actuals, all 15 governed backtests and forecast already local."
MVP050,HDD,EDB,NOT_APPLICABLE,NOT_APPLICABLE,Enterprise,Organic,Region,NAM-SDF,HDD|Organic|EDB|Enterprise|Region,LOCAL parquet artifacts (v6_17 full generation),ALREADY_LOCAL_NOT_EXTRACTED,NOT_APPLICABLE,360,2025-05-03,2026-04-27,CURRENT,"None. Actuals, all 15 governed backtests and forecast already local."
MVP051,SSD,Phoenix,LVWE+LVNE,NOT_APPLICABLE,NOT_APPLICABLE,Organic,Forest,APCP150,SSD|Phoenix|LowVolume|Forest,forecast_substrateBE_ssd_phx_lvwe_metrics,EXTRACTED_IN_P3,data/raw/v6_24_mvp_cohort/ssd/ssd_lvwe_raw.parquet,131,2026-04-13,2026-08-22,CURRENT (to 2026-08-22),AGGREGATED_WINDOW_ACTUALS (window 1-7 days); Mean_Actual is varchar in source and was CAST via TRY_CAST; source contains 1 exact-duplicate row per key on 2026-04-22; 15 governed model backtests DO NOT exist yet and must be generated in P5
MVP052,SSD,Phoenix,LVWE+LVNE,NOT_APPLICABLE,NOT_APPLICABLE,Organic,Forest,APCPRD01,SSD|Phoenix|LowVolume|Forest,forecast_substrateBE_ssd_phx_lvwe_metrics,EXTRACTED_IN_P3,data/raw/v6_24_mvp_cohort/ssd/ssd_lvwe_raw.parquet,131,2026-04-13,2026-08-22,CURRENT (to 2026-08-22),AGGREGATED_WINDOW_ACTUALS (window 1-7 days); Mean_Actual is varchar in source and was CAST via TRY_CAST; source contains 1 exact-duplicate row per key on 2026-04-22; 15 governed model backtests DO NOT exist yet and must be generated in P5
MVP053,SSD,Phoenix,LVWE+LVNE,NOT_APPLICABLE,NOT_APPLICABLE,Organic,Forest,APCPRD02,SSD|Phoenix|LowVolume|Forest,forecast_substrateBE_ssd_phx_lvwe_metrics,EXTRACTED_IN_P3,data/raw/v6_24_mvp_cohort/ssd/ssd_lvwe_raw.parquet,131,2026-04-13,2026-08-22,CURRENT (to 2026-08-22),AGGREGATED_WINDOW_ACTUALS (window 1-7 days); Mean_Actual is varchar in source and was CAST via TRY_CAST; source contains 1 exact-duplicate row per key on 2026-04-22; 15 governed model backtests DO NOT exist yet and must be generated in P5
MVP054,SSD,Phoenix,LVWE+LVNE,NOT_APPLICABLE,NOT_APPLICABLE,Organic,Forest,AREP273,SSD|Phoenix|LowVolume|Forest,forecast_substrateBE_ssd_phx_lvwe_metrics,EXTRACTED_IN_P3,data/raw/v6_24_mvp_cohort/ssd/ssd_lvwe_raw.parquet,131,2026-04-13,2026-08-22,CURRENT (to 2026-08-22),AGGREGATED_WINDOW_ACTUALS (window 1-7 days); Mean_Actual is varchar in source and was CAST via TRY_CAST; source contains 1 exact-duplicate row per key on 2026-04-22; 15 governed model backtests DO NOT exist yet and must be generated in P5
MVP055,SSD,Phoenix,LVWE+LVNE,NOT_APPLICABLE,NOT_APPLICABLE,Organic,Forest,AUSP282,SSD|Phoenix|LowVolume|Forest,forecast_substrateBE_ssd_phx_lvwe_metrics,EXTRACTED_IN_P3,data/raw/v6_24_mvp_cohort/ssd/ssd_lvwe_raw.parquet,131,2026-04-13,2026-08-22,CURRENT (to 2026-08-22),AGGREGATED_WINDOW_ACTUALS (window 1-7 days); Mean_Actual is varchar in source and was CAST via TRY_CAST; source contains 1 exact-duplicate row per key on 2026-04-22; 15 governed model backtests DO NOT exist yet and must be generated in P5
MVP056,SSD,Phoenix,LVWE+LVNE,NOT_APPLICABLE,NOT_APPLICABLE,Organic,Forest,AUSP300,SSD|Phoenix|LowVolume|Forest,forecast_substrateBE_ssd_phx_lvwe_metrics,EXTRACTED_IN_P3,data/raw/v6_24_mvp_cohort/ssd/ssd_lvwe_raw.parquet,131,2026-04-13,2026-08-22,CURRENT (to 2026-08-22),AGGREGATED_WINDOW_ACTUALS (window 1-7 days); Mean_Actual is varchar in source and was CAST via TRY_CAST; source contains 1 exact-duplicate row per key on 2026-04-22; 15 governed model backtests DO NOT exist yet and must be generated in P5
MVP057,SSD,Phoenix,LVWE+LVNE,NOT_APPLICABLE,NOT_APPLICABLE,Organic,Forest,AUSPRD01,SSD|Phoenix|LowVolume|Forest,forecast_substrateBE_ssd_phx_lvwe_metrics,EXTRACTED_IN_P3,data/raw/v6_24_mvp_cohort/ssd/ssd_lvwe_raw.parquet,131,2026-04-13,2026-08-22,CURRENT (to 2026-08-22),AGGREGATED_WINDOW_ACTUALS (window 1-7 days); Mean_Actual is varchar in source and was CAST via TRY_CAST; source contains 1 exact-duplicate row per key on 2026-04-22; 15 governed model backtests DO NOT exist yet and must be generated in P5
MVP058,SSD,Phoenix,LVWE+LVNE,NOT_APPLICABLE,NOT_APPLICABLE,Organic,Forest,AUTP296,SSD|Phoenix|LowVolume|Forest,forecast_substrateBE_ssd_phx_lvwe_metrics,EXTRACTED_IN_P3,data/raw/v6_24_mvp_cohort/ssd/ssd_lvwe_raw.parquet,131,2026-04-13,2026-08-22,CURRENT (to 2026-08-22),AGGREGATED_WINDOW_ACTUALS (window 1-7 days); Mean_Actual is varchar in source and was CAST via TRY_CAST; source contains 1 exact-duplicate row per key on 2026-04-22; 15 governed model backtests DO NOT exist yet and must be generated in P5
MVP059,SSD,Phoenix,LVWE+LVNE,NOT_APPLICABLE,NOT_APPLICABLE,Organic,Forest,BRAP284,SSD|Phoenix|LowVolume|Forest,forecast_substrateBE_ssd_phx_lvwe_metrics,EXTRACTED_IN_P3,data/raw/v6_24_mvp_cohort/ssd/ssd_lvwe_raw.parquet,131,2026-04-13,2026-08-22,CURRENT (to 2026-08-22),AGGREGATED_WINDOW_ACTUALS (window 1-7 days); Mean_Actual is varchar in source and was CAST via TRY_CAST; source contains 1 exact-duplicate row per key on 2026-04-22; 15 governed model backtests DO NOT exist yet and must be generated in P5
MVP060,SSD,Phoenix,LVWE+LVNE,NOT_APPLICABLE,NOT_APPLICABLE,Organic,Forest,CANP288,SSD|Phoenix|LowVolume|Forest,forecast_substrateBE_ssd_phx_lvwe_metrics,EXTRACTED_IN_P3,data/raw/v6_24_mvp_cohort/ssd/ssd_lvwe_raw.parquet,131,2026-04-13,2026-08-22,CURRENT (to 2026-08-22),AGGREGATED_WINDOW_ACTUALS (window 1-7 days); Mean_Actual is varchar in source and was CAST via TRY_CAST; source contains 1 exact-duplicate row per key on 2026-04-22; 15 governed model backtests DO NOT exist yet and must be generated in P5
MVP061,SSD,Phoenix,LVWE+LVNE,NOT_APPLICABLE,NOT_APPLICABLE,Organic,Forest,CANPRD01,SSD|Phoenix|LowVolume|Forest,forecast_substrateBE_ssd_phx_lvwe_metrics,EXTRACTED_IN_P3,data/raw/v6_24_mvp_cohort/ssd/ssd_lvwe_raw.parquet,131,2026-04-13,2026-08-22,CURRENT (to 2026-08-22),AGGREGATED_WINDOW_ACTUALS (window 1-7 days); Mean_Actual is varchar in source and was CAST via TRY_CAST; source contains 1 exact-duplicate row per key on 2026-04-22; 15 governed model backtests DO NOT exist yet and must be generated in P5
MVP062,SSD,Phoenix,LVWE+LVNE,NOT_APPLICABLE,NOT_APPLICABLE,Organic,Forest,CHEP278,SSD|Phoenix|LowVolume|Forest,forecast_substrateBE_ssd_phx_lvwe_metrics,EXTRACTED_IN_P3,data/raw/v6_24_mvp_cohort/ssd/ssd_lvwe_raw.parquet,131,2026-04-13,2026-08-22,CURRENT (to 2026-08-22),AGGREGATED_WINDOW_ACTUALS (window 1-7 days); Mean_Actual is varchar in source and was CAST via TRY_CAST; source contains 1 exact-duplicate row per key on 2026-04-22; 15 governed model backtests DO NOT exist yet and must be generated in P5
MVP063,SSD,Phoenix,LVWE+LVNE,NOT_APPLICABLE,NOT_APPLICABLE,Organic,Forest,CHLP298,SSD|Phoenix|LowVolume|Forest,forecast_substrateBE_ssd_phx_lvwe_metrics,EXTRACTED_IN_P3,data/raw/v6_24_mvp_cohort/ssd/ssd_lvwe_raw.parquet,131,2026-04-13,2026-08-22,CURRENT (to 2026-08-22),AGGREGATED_WINDOW_ACTUALS (window 1-7 days); Mean_Actual is varchar in source and was CAST via TRY_CAST; source contains 1 exact-duplicate row per key on 2026-04-22; 15 governed model backtests DO NOT exist yet and must be generated in P5
MVP064,SSD,Phoenix,LVWE+LVNE,NOT_APPLICABLE,NOT_APPLICABLE,Organic,Forest,DEUP281,SSD|Phoenix|LowVolume|Forest,forecast_substrateBE_ssd_phx_lvwe_metrics,EXTRACTED_IN_P3,data/raw/v6_24_mvp_cohort/ssd/ssd_lvwe_raw.parquet,131,2026-04-13,2026-08-22,CURRENT (to 2026-08-22),AGGREGATED_WINDOW_ACTUALS (window 1-7 days); Mean_Actual is varchar in source and was CAST via TRY_CAST; source contains 1 exact-duplicate row per key on 2026-04-22; 15 governed model backtests DO NOT exist yet and must be generated in P5
MVP065,SSD,Phoenix,LVWE+LVNE,NOT_APPLICABLE,NOT_APPLICABLE,Organic,Forest,DNKP307,SSD|Phoenix|LowVolume|Forest,forecast_substrateBE_ssd_phx_lvwe_metrics,EXTRACTED_IN_P3,data/raw/v6_24_mvp_cohort/ssd/ssd_lvwe_raw.parquet,131,2026-04-13,2026-08-22,CURRENT (to 2026-08-22),AGGREGATED_WINDOW_ACTUALS (window 1-7 days); Mean_Actual is varchar in source and was CAST via TRY_CAST; source contains 1 exact-duplicate row per key on 2026-04-22; 15 governed model backtests DO NOT exist yet and must be generated in P5
