claim_id,page_id,claim,evidence_pack,source_artifacts,evidence_fields,card_id
forecast_viewer_04,forecast_viewer,"Forecast Viewer model labels (e.g., ExponentialSmoothing, ARIMA, FixedGrowth percentages) differ from tournament/governance model names (e.g., the champion name); this namespace difference must be shown so the two are never conflated.",v4_2_evidence_pack_forecast_viewer.json,forecasts_with_intervals.csv,forecast_subset.distinct_models | filters.model,forecast_viewer_04
forecast_viewer_91,forecast_viewer,V4 is evidence-only at this stage; no LLM provider is active. Insights are produced by deterministic rules.,v4_2_evidence_pack_forecast_viewer.json,v4_2_evidence_pack_forecast_viewer.json,pack_metadata.provider_stage,forecast_viewer_91
forecast_viewer_92,forecast_viewer,V4 uses snapshot 2026-06-28 as an accepted caveat for local LLM-layer development.,v4_2_evidence_pack_forecast_viewer.json,v4_2_evidence_pack_forecast_viewer.json,pack_metadata.snapshot_caveat,forecast_viewer_92
forecast_viewer_93,forecast_viewer,"No SQL, model refresh, Shiny mutation, champion mutation, or data/processed mutation occurred in V4.3.",v4_2_evidence_pack_forecast_viewer.json,v4_2_evidence_pack_forecast_viewer.json,pack_metadata.provider_stage,forecast_viewer_93
forecast_viewer_94,forecast_viewer,Each visible insight is traceable to evidence fields or source artifacts.,v4_2_evidence_pack_forecast_viewer.json,v4_2_evidence_pack_forecast_viewer.json,candidate_claims,forecast_viewer_94
governance_risks_01,governance_risks,Governance and risk explanation is limited to the artifacts available in the evidence pack; no risks are inferred beyond recorded data.,v4_2_evidence_pack_governance_risks.json,run_metadata.csv | ttl_months_to_live_snapshot.csv | model_runtime_guardrails.csv,run_metadata | ttl_snapshot | runtime_guardrails,governance_risks_01
governance_risks_02,governance_risks,"The governance snapshot covers 45 entities; months-to-live recorded min 5.23, median 18.60.",v4_2_evidence_pack_governance_risks.json,ttl_months_to_live_snapshot.csv,ttl_snapshot.entities_in_snapshot | ttl_snapshot.months_to_live_min | ttl_snapshot.months_to_live_median,governance_risks_02
governance_risks_03,governance_risks,Governed model scope is 15 with 0 model(s) carrying a recorded risk flag.,v4_2_evidence_pack_governance_risks.json,model_universe_canonical.csv,governance_scope.governed_model_rows | governance_scope.models_with_risk_flag,governance_risks_03
governance_risks_91,governance_risks,V4 is evidence-only at this stage; no LLM provider is active. Insights are produced by deterministic rules.,v4_2_evidence_pack_governance_risks.json,v4_2_evidence_pack_governance_risks.json,pack_metadata.provider_stage,governance_risks_91
governance_risks_92,governance_risks,V4 uses snapshot 2026-06-28 as an accepted caveat for local LLM-layer development.,v4_2_evidence_pack_governance_risks.json,v4_2_evidence_pack_governance_risks.json,pack_metadata.snapshot_caveat,governance_risks_92
governance_risks_93,governance_risks,"No SQL, model refresh, Shiny mutation, champion mutation, or data/processed mutation occurred in V4.3.",v4_2_evidence_pack_governance_risks.json,v4_2_evidence_pack_governance_risks.json,pack_metadata.provider_stage,governance_risks_93
governance_risks_94,governance_risks,Each visible insight is traceable to evidence fields or source artifacts.,v4_2_evidence_pack_governance_risks.json,v4_2_evidence_pack_governance_risks.json,candidate_claims,governance_risks_94
