artifact_id,logical_name,source_area,host_path,container_path,required_yes_no,runtime_used_yes_no,page_or_module,loader_function,expected_mount,read_only_expected,exists_on_host,exists_in_container,size_bytes,sha256_if_file,status,notes
tournament_pairwise,tournament_pairwise_evidence,outputs,./outputs/model_lab/tournament_engine/tournament_pairwise_evidence.csv,/app/outputs/model_lab/tournament_engine/tournament_pairwise_evidence.csv,no,yes,Tournament,load_governed_artifacts,outputs,yes,TRUE,TRUE,17160,tracked_via_aggregate_snapshot,optional_available,optional
tournament_evidence_summary,tournament_model_evidence_summary,outputs,./outputs/model_lab/tournament_engine/tournament_model_evidence_summary.csv,/app/outputs/model_lab/tournament_engine/tournament_model_evidence_summary.csv,no,yes,Tournament,load_governed_artifacts,outputs,yes,TRUE,TRUE,1403,tracked_via_aggregate_snapshot,optional_available,optional
challenger_metrics,challenger_metrics_by_model_diagnostic,outputs,./outputs/model_lab/challenger_metrics/challenger_metrics_by_model_diagnostic.csv,/app/outputs/model_lab/challenger_metrics/challenger_metrics_by_model_diagnostic.csv,no,yes,Tournament,load_governed_artifacts,outputs,yes,TRUE,TRUE,1968,tracked_via_aggregate_snapshot,optional_available,optional
challenger_aggregation,challenger_aggregation_by_model,outputs,./outputs/model_lab/challenger_aggregation_significance/challenger_aggregation_by_model.csv,/app/outputs/model_lab/challenger_aggregation_significance/challenger_aggregation_by_model.csv,no,yes,Tournament,load_governed_artifacts,outputs,yes,TRUE,TRUE,1727,tracked_via_aggregate_snapshot,optional_available,optional
champion_conditions,champion_conditions_protocol,outputs,./outputs/governance/6_3_champion_conditions/champion_conditions_protocol.csv,/app/outputs/governance/6_3_champion_conditions/champion_conditions_protocol.csv,yes,yes,Champion,load_governed_artifacts,outputs,yes,TRUE,TRUE,2294,tracked_via_aggregate_snapshot,required_available,critical governed
champion_dashboard_language,champion_dashboard_language,outputs,./outputs/governance/6_3_champion_conditions/champion_dashboard_language.csv,/app/outputs/governance/6_3_champion_conditions/champion_dashboard_language.csv,yes,yes,Champion,load_governed_artifacts,outputs,yes,TRUE,TRUE,2879,tracked_via_aggregate_snapshot,required_available,critical governed
audit_4_summary,audit_4_summary,outputs,./outputs/model_lab/audit_4/audit_4_summary.csv,/app/outputs/model_lab/audit_4/audit_4_summary.csv,no,yes,Audit,load_governed_artifacts,outputs,yes,TRUE,TRUE,260,tracked_via_aggregate_snapshot,optional_available,optional
audit_5_findings,audit_5_findings,outputs,./outputs/model_lab/audit_5/audit_5_findings.csv,/app/outputs/model_lab/audit_5/audit_5_findings.csv,no,yes,Audit,load_governed_artifacts,outputs,yes,TRUE,TRUE,8996,tracked_via_aggregate_snapshot,optional_available,optional
audit_5_report,audit_5_final_report,outputs,./outputs/model_lab/audit_5/audit_5_final_report.md,/app/outputs/model_lab/audit_5/audit_5_final_report.md,no,yes,Audit,load_governed_artifacts,outputs,yes,TRUE,TRUE,8769,tracked_via_aggregate_snapshot,optional_available,optional text
audit_6_summary,audit_6_summary,outputs,./outputs/governance/audit_6/audit_6_summary.csv,/app/outputs/governance/audit_6/audit_6_summary.csv,no,yes,Overview,load_governed_artifacts,outputs,yes,TRUE,TRUE,418,tracked_via_aggregate_snapshot,optional_available,optional
tournament_sanity_summary,tournament_sanity_summary,outputs,./outputs/model_lab/tournament_sanity_review/tournament_sanity_summary.csv,/app/outputs/model_lab/tournament_sanity_review/tournament_sanity_summary.csv,no,yes,Audit,load_governed_artifacts,outputs,yes,TRUE,TRUE,349,tracked_via_aggregate_snapshot,optional_available,optional
benchmark_semantics,benchmark_semantics_v1,docs,./docs/benchmark_semantics/benchmark_semantics_v1.md,/app/docs/benchmark_semantics/benchmark_semantics_v1.md,no,no,Methodology,load_governed_artifacts,not_mounted_docs,n/a,FALSE,FALSE,0,n/a,optional_missing,"optional text; docs/ NOT copied into image and NOT mounted; page repurposed away from benchmark (V3); non-blocking"
champion_decision_report,champion_decision_report,outputs,./outputs/model_lab/champion_decision/champion_decision_report.md,/app/outputs/model_lab/champion_decision/champion_decision_report.md,no,yes,Methodology,load_governed_artifacts,outputs,yes,TRUE,TRUE,1887,tracked_via_aggregate_snapshot,optional_available,optional text
forecasts,forecasts,data_processed,./data/processed/forecasts.csv,/app/data/processed/forecasts.csv,no,yes,Forecast,load_governed_artifacts,data/processed,yes,TRUE,TRUE,8559916,tracked_via_aggregate_snapshot,optional_available,forecast data
forecasts_with_intervals,forecasts_with_intervals_relative,data_processed,./data/processed/forecasts_with_intervals_relative.csv,/app/data/processed/forecasts_with_intervals_relative.csv,no,yes,Forecast,load_governed_artifacts,data/processed,yes,TRUE,TRUE,20033057,tracked_via_aggregate_snapshot,optional_available,interval artifact
forecasts_with_intervals_60d_calibrated,forecasts_with_intervals_relative_60d_calibrated,data_processed,./data/processed/forecasts_with_intervals_relative_60d_calibrated.csv,/app/data/processed/forecasts_with_intervals_relative_60d_calibrated.csv,no,yes,Forecast,load_governed_artifacts,data/processed,yes,TRUE,TRUE,20847730,tracked_via_aggregate_snapshot,optional_available,preferred 80% 1-60 interval
actuals,actuals,data_processed,./data/processed/actuals.csv,/app/data/processed/actuals.csv,no,yes,Forecast/Viewer,load_governed_artifacts,data/processed,yes,TRUE,TRUE,7359186,tracked_via_aggregate_snapshot,optional_available,forecast data
forecast_comparison,forecast_comparison,data_processed,./data/processed/forecast_comparison.csv,/app/data/processed/forecast_comparison.csv,no,no,unused,load_governed_artifacts,data/processed,yes,TRUE,TRUE,133,tracked_via_aggregate_snapshot,optional_available,empty/unused
entities,entities,data_processed,./data/processed/entities.csv,/app/data/processed/entities.csv,no,yes,Viewer,load_governed_artifacts,data/processed,yes,TRUE,TRUE,3259,tracked_via_aggregate_snapshot,optional_available,forecast data
run_metadata,run_metadata,data_processed,./data/processed/run_metadata.csv,/app/data/processed/run_metadata.csv,no,yes,Header/Methodology/Version,load_governed_artifacts,data/processed,yes,TRUE,TRUE,412,tracked_via_aggregate_snapshot,optional_available,last-update source
forecast_viewer_full,forecast_viewer_model_outputs,data_processed,./data/processed/forecast_viewer_model_outputs.csv,/app/data/processed/forecast_viewer_model_outputs.csv,no,yes,Viewer/Accuracy,load_governed_artifacts,data/processed,yes,TRUE,TRUE,51467614,tracked_via_aggregate_snapshot,optional_available,active viewer artifact
forecast_viewer_full_manifest,forecast_viewer_model_outputs_manifest,data_processed,./data/processed/forecast_viewer_model_outputs_manifest.csv,/app/data/processed/forecast_viewer_model_outputs_manifest.csv,no,yes,Viewer,load_governed_artifacts,data/processed,yes,TRUE,TRUE,3026,tracked_via_aggregate_snapshot,optional_available,manifest
forecast_viewer_pilot,forecast_viewer_model_outputs_pilot,data_processed,./data/processed/forecast_viewer_model_outputs_pilot.csv,/app/data/processed/forecast_viewer_model_outputs_pilot.csv,no,no,provenance_only,load_governed_artifacts,data/processed,yes,TRUE,TRUE,3573931,tracked_via_aggregate_snapshot,optional_available,"legacy pilot; active viewer no longer reads it"
forecast_viewer_pilot_manifest,forecast_viewer_model_outputs_pilot_manifest,data_processed,./data/processed/forecast_viewer_model_outputs_pilot_manifest.csv,/app/data/processed/forecast_viewer_model_outputs_pilot_manifest.csv,no,no,provenance_only,load_governed_artifacts,data/processed,yes,TRUE,TRUE,1126,tracked_via_aggregate_snapshot,optional_available,legacy provenance
ttl_capacity,ttl_capacity_view,outputs,./outputs/model_lab/ttl/ttl_capacity_view.csv,/app/outputs/model_lab/ttl/ttl_capacity_view.csv,no,no,TTL,load_governed_artifacts,outputs,yes,FALSE,FALSE,0,n/a,roadmap,"roadmap placeholder; not produced; TTL uses prototype artifacts below"
ttl_supply_demand_timeseries,ttl_supply_demand_timeseries,data_processed,./data/processed/ttl_supply_demand_timeseries.csv,/app/data/processed/ttl_supply_demand_timeseries.csv,no,yes,TTL,load_governed_artifacts,data/processed,yes,TRUE,TRUE,323211,tracked_via_aggregate_snapshot,optional_available,TTL prototype
ttl_months_to_live_snapshot,ttl_months_to_live_snapshot,data_processed,./data/processed/ttl_months_to_live_snapshot.csv,/app/data/processed/ttl_months_to_live_snapshot.csv,no,yes,TTL,load_governed_artifacts,data/processed,yes,TRUE,TRUE,13247,tracked_via_aggregate_snapshot,optional_available,TTL prototype
model_evaluation_summary,model_evaluation_summary,data_processed,./data/processed/model_evaluation_summary.csv,/app/data/processed/model_evaluation_summary.csv,no,yes,Models,load_governed_artifacts,data/processed,yes,TRUE,TRUE,1722,tracked_via_aggregate_snapshot,optional_available,model eval
model_evaluation_ranking,model_evaluation_ranking,data_processed,./data/processed/model_evaluation_ranking.csv,/app/data/processed/model_evaluation_ranking.csv,no,yes,Models,load_governed_artifacts,data/processed,yes,TRUE,TRUE,646,tracked_via_aggregate_snapshot,optional_available,model eval
model_champion_comparison,model_champion_comparison,data_processed,./data/processed/model_champion_comparison.csv,/app/data/processed/model_champion_comparison.csv,no,yes,Champion,load_governed_artifacts,data/processed,yes,TRUE,TRUE,759,tracked_via_aggregate_snapshot,optional_available,model eval
model_runtime_guardrails,model_runtime_guardrails,data_processed,./data/processed/model_runtime_guardrails.csv,/app/data/processed/model_runtime_guardrails.csv,no,yes,Models,load_governed_artifacts,data/processed,yes,TRUE,TRUE,639,tracked_via_aggregate_snapshot,optional_available,model eval
model_dashboard_summary,model_dashboard_summary,data_processed,./data/processed/model_dashboard_summary.csv,/app/data/processed/model_dashboard_summary.csv,no,yes,Models,load_governed_artifacts,data/processed,yes,TRUE,TRUE,621,tracked_via_aggregate_snapshot,optional_available,model eval
model_universe_canonical,model_universe_canonical,data_processed,./data/processed/model_universe_canonical.csv,/app/data/processed/model_universe_canonical.csv,no,yes,Universe/Tournament/Champion,load_governed_artifacts,data/processed,yes,TRUE,TRUE,2669,tracked_via_aggregate_snapshot,optional_available,15-model canonical source
LLM_JSON,v4_4_mock_responses,outputs,./outputs/v4_4_mock_provider/v4_4_mock_responses.json,/app/outputs/v4_4_mock_provider/v4_4_mock_responses.json,yes,yes,10 assistants (llm_explain),llm_explain_load,outputs,yes,TRUE,TRUE,74152,tracked_via_aggregate_snapshot,required_available,mock LLM narratives (read-only)
