grain,entity_key,horizon_bucket,n,q10,q90
entity_key_x_horizon_bucket,GBR-Dedicated,15_30,2464,-0.5991,0.0512
entity_key_x_horizon_bucket,GBR-Dedicated,1_7,1086,-0.0495,0.023
entity_key_x_horizon_bucket,GBR-Dedicated,31_45,2310,-0.282,0.0385
entity_key_x_horizon_bucket,GBR-Dedicated,46_60,2310,-0.6158,0.0298
entity_key_x_horizon_bucket,GBR-Dedicated,8_14,1081,-0.068,0.0337
entity_key_x_horizon_bucket,GBR-Go Local,15_30,2316,-0.0256,0.0579
entity_key_x_horizon_bucket,GBR-Go Local,1_7,1015,-0.0051,0.0288
entity_key_x_horizon_bucket,GBR-Go Local,31_45,2163,-0.0436,0.0594
entity_key_x_horizon_bucket,GBR-Go Local,46_60,2160,-0.0591,0.0781
entity_key_x_horizon_bucket,GBR-Go Local,8_14,1013,-0.0143,0.0375
entity_key_x_horizon_bucket,IND-Go Local,15_30,2294,-0.0196,0.0325
entity_key_x_horizon_bucket,IND-Go Local,1_7,1008,-0.0028,0.0111
entity_key_x_horizon_bucket,IND-Go Local,31_45,2145,-0.031,0.0459
entity_key_x_horizon_bucket,IND-Go Local,46_60,2145,-0.0376,0.0565
entity_key_x_horizon_bucket,IND-Go Local,8_14,1008,-0.0099,0.0207
entity_key_x_horizon_bucket,ISR-Go Local,15_30,2064,-0.0266,0.1142
entity_key_x_horizon_bucket,ISR-Go Local,1_7,910,-0.005,0.0582
entity_key_x_horizon_bucket,ISR-Go Local,31_45,1935,-0.0342,0.143
entity_key_x_horizon_bucket,ISR-Go Local,46_60,1923,-0.0536,0.1788
entity_key_x_horizon_bucket,ISR-Go Local,8_14,907,-0.0104,0.0996
entity_key_x_horizon_bucket,ITA-Go Local,15_30,2023,-0.0251,0.6648
entity_key_x_horizon_bucket,ITA-Go Local,1_7,900,-0.0059,0.3005
entity_key_x_horizon_bucket,ITA-Go Local,31_45,1887,-0.0385,0.9613
entity_key_x_horizon_bucket,ITA-Go Local,46_60,1884,-0.0452,1.9138
entity_key_x_horizon_bucket,ITA-Go Local,8_14,882,-0.0105,0.3864
entity_key_x_horizon_bucket,JPN-Go Local,15_30,2299,-0.0251,0.0231
entity_key_x_horizon_bucket,JPN-Go Local,1_7,1008,-0.0061,0.0104
entity_key_x_horizon_bucket,JPN-Go Local,31_45,2145,-0.0436,0.0328
entity_key_x_horizon_bucket,JPN-Go Local,46_60,2145,-0.0579,0.044
entity_key_x_horizon_bucket,JPN-Go Local,8_14,1008,-0.0136,0.0162
entity_key_x_horizon_bucket,KOR-Go Local,15_30,2496,-0.0204,0.1717
entity_key_x_horizon_bucket,KOR-Go Local,1_7,1092,-0.0046,0.0325
entity_key_x_horizon_bucket,KOR-Go Local,31_45,2340,-0.0365,0.217
entity_key_x_horizon_bucket,KOR-Go Local,46_60,2340,-0.0501,0.2532
entity_key_x_horizon_bucket,KOR-Go Local,8_14,1092,-0.009,0.0789
entity_key_x_horizon_bucket,LAM-Multitenant,15_30,2445,-0.022,0.2031
entity_key_x_horizon_bucket,LAM-Multitenant,1_7,1092,-0.004,0.1714
entity_key_x_horizon_bucket,LAM-Multitenant,31_45,2315,-0.0337,0.2122
entity_key_x_horizon_bucket,LAM-Multitenant,46_60,2304,-0.0477,0.2164
entity_key_x_horizon_bucket,LAM-Multitenant,8_14,1065,-0.0111,0.203
entity_key_x_horizon_bucket,MEX-Go Local,15_30,2064,-0.0478,0.2078
entity_key_x_horizon_bucket,MEX-Go Local,1_7,909,-0.0124,0.0562
entity_key_x_horizon_bucket,MEX-Go Local,31_45,1935,-0.048,0.4681
entity_key_x_horizon_bucket,MEX-Go Local,46_60,1922,-0.0768,0.584
entity_key_x_horizon_bucket,MEX-Go Local,8_14,903,-0.0225,0.1267
entity_key_x_horizon_bucket,NAM-Dedicated,15_30,2472,-0.0404,0.1635
entity_key_x_horizon_bucket,NAM-Dedicated,1_7,1092,-0.011,0.0994
entity_key_x_horizon_bucket,NAM-Dedicated,31_45,2310,-0.0574,0.1232
entity_key_x_horizon_bucket,NAM-Dedicated,46_60,2304,-0.0826,0.1046
entity_key_x_horizon_bucket,NAM-Dedicated,8_14,1060,-0.0226,0.114
entity_key_x_horizon_bucket,NAM-GCC Low,15_30,2444,-0.0199,0.0415
entity_key_x_horizon_bucket,NAM-GCC Low,1_7,1092,-0.0036,0.038
entity_key_x_horizon_bucket,NAM-GCC Low,31_45,2325,-0.0306,0.0564
entity_key_x_horizon_bucket,NAM-GCC Low,46_60,2325,-0.042,0.0568
entity_key_x_horizon_bucket,NAM-GCC Low,8_14,1070,-0.01,0.0458
entity_key_x_horizon_bucket,NAM-ITAR DoD,15_30,2350,-0.1204,1.4816
entity_key_x_horizon_bucket,NAM-ITAR DoD,1_7,1029,-0.0083,0.11
entity_key_x_horizon_bucket,NAM-ITAR DoD,31_45,2220,-0.1002,4.7801
entity_key_x_horizon_bucket,NAM-ITAR DoD,46_60,2220,-0.0883,2.0478
entity_key_x_horizon_bucket,NAM-ITAR DoD,8_14,1029,-0.0314,1.495
entity_key_x_horizon_bucket,NAM-ITAR GCCH,15_30,2267,-0.1608,4.6505
entity_key_x_horizon_bucket,NAM-ITAR GCCH,1_7,1013,-0.0062,0.8473
entity_key_x_horizon_bucket,NAM-ITAR GCCH,31_45,2142,-0.1048,6.6664
entity_key_x_horizon_bucket,NAM-ITAR GCCH,46_60,2135,-0.1154,6.5722
entity_key_x_horizon_bucket,NAM-ITAR GCCH,8_14,1000,-0.0165,2.6584
entity_key_x_horizon_bucket,NAM-MSIT,15_30,2496,-0.0575,0.1111
entity_key_x_horizon_bucket,NAM-MSIT,1_7,1092,-0.011,0.0461
entity_key_x_horizon_bucket,NAM-MSIT,31_45,2340,-0.1682,0.1292
entity_key_x_horizon_bucket,NAM-MSIT,46_60,2340,-0.2243,0.171
entity_key_x_horizon_bucket,NAM-MSIT,8_14,1092,-0.0432,0.0896
entity_key_x_horizon_bucket,NAM-Multitenant,15_30,2272,-0.0232,0.0536
entity_key_x_horizon_bucket,NAM-Multitenant,1_7,1003,-0.0068,0.0265
entity_key_x_horizon_bucket,NAM-Multitenant,31_45,2130,-0.0422,0.0973
entity_key_x_horizon_bucket,NAM-Multitenant,46_60,2130,-0.0515,0.1464
entity_key_x_horizon_bucket,NAM-Multitenant,8_14,999,-0.0123,0.0418
entity_key_x_horizon_bucket,NAM-SDF,15_30,2300,-0.268,2.0776
entity_key_x_horizon_bucket,NAM-SDF,1_7,1013,-0.95,0.5046
entity_key_x_horizon_bucket,NAM-SDF,31_45,2139,-0.9206,1.4684
entity_key_x_horizon_bucket,NAM-SDF,46_60,2174,-0.6908,2.1652
entity_key_x_horizon_bucket,NAM-SDF,8_14,1005,-0.4399,0.7748
entity_key_x_horizon_bucket,NAM-TDF,15_30,2239,-0.4359,9.4423
entity_key_x_horizon_bucket,NAM-TDF,1_7,979,-0.9489,0.57
entity_key_x_horizon_bucket,NAM-TDF,31_45,2100,-0.8868,4.6669
entity_key_x_horizon_bucket,NAM-TDF,46_60,2097,-0.2199,15.5216
entity_key_x_horizon_bucket,NAM-TDF,8_14,980,-0.8169,1.1173
entity_key_x_horizon_bucket,NOR-Go Local,15_30,2483,-0.0313,0.6358
entity_key_x_horizon_bucket,NOR-Go Local,1_7,1092,-0.0044,0.0472
entity_key_x_horizon_bucket,NOR-Go Local,31_45,2340,-0.0493,0.7384
entity_key_x_horizon_bucket,NOR-Go Local,46_60,2332,-0.0566,0.7423
entity_key_x_horizon_bucket,NOR-Go Local,8_14,1092,-0.0126,0.2899
entity_key_x_horizon_bucket,NZL-Go Local,15_30,624,-0.0509,0.6628
entity_key_x_horizon_bucket,NZL-Go Local,1_7,273,-0.0154,0.1882
entity_key_x_horizon_bucket,NZL-Go Local,31_45,585,-0.0817,0.6428
entity_key_x_horizon_bucket,NZL-Go Local,46_60,585,-0.1112,0.6198
entity_key_x_horizon_bucket,NZL-Go Local,8_14,273,-0.0298,0.5227
entity_key_x_horizon_bucket,POL-Go Local,15_30,2496,-0.1657,0.6336
entity_key_x_horizon_bucket,POL-Go Local,1_7,1092,-0.0342,0.1427
entity_key_x_horizon_bucket,POL-Go Local,31_45,2331,-0.0754,1.1552
entity_key_x_horizon_bucket,POL-Go Local,46_60,2295,-0.1242,1.5413
entity_key_x_horizon_bucket,POL-Go Local,8_14,1092,-0.038,0.2962
entity_key_x_horizon_bucket,QAT-Go Local,15_30,2395,-0.0216,0.1097
entity_key_x_horizon_bucket,QAT-Go Local,1_7,1092,-0.0028,0.1498
entity_key_x_horizon_bucket,QAT-Go Local,31_45,2310,-0.042,0.1451
entity_key_x_horizon_bucket,QAT-Go Local,46_60,2309,-0.0577,0.1604
entity_key_x_horizon_bucket,QAT-Go Local,8_14,1086,-0.0068,0.2349
entity_key_x_horizon_bucket,SGP-Go Local,15_30,2080,-0.0466,0.0617
entity_key_x_horizon_bucket,SGP-Go Local,1_7,910,-0.0218,0.0135
entity_key_x_horizon_bucket,SGP-Go Local,31_45,1950,-0.0706,0.0978
entity_key_x_horizon_bucket,SGP-Go Local,46_60,1950,-0.096,0.1288
entity_key_x_horizon_bucket,SGP-Go Local,8_14,910,-0.0268,0.029
entity_key_x_horizon_bucket,SWE-Go Local,15_30,2480,-0.0538,0.1446
entity_key_x_horizon_bucket,SWE-Go Local,1_7,1092,-0.0102,0.0975
entity_key_x_horizon_bucket,SWE-Go Local,31_45,2325,-0.0746,0.1984
entity_key_x_horizon_bucket,SWE-Go Local,46_60,2325,-0.0928,0.4443
entity_key_x_horizon_bucket,SWE-Go Local,8_14,1083,-0.0291,0.1299
entity_key_x_horizon_bucket,TWN-Go Local,15_30,624,-0.2695,0.3827
entity_key_x_horizon_bucket,TWN-Go Local,1_7,273,-0.0446,0.2077
entity_key_x_horizon_bucket,TWN-Go Local,31_45,585,-0.3855,1.2416
entity_key_x_horizon_bucket,TWN-Go Local,46_60,585,-0.4657,2.8032
entity_key_x_horizon_bucket,TWN-Go Local,8_14,273,-0.1341,0.1868
entity_key_x_horizon_bucket,ZAF-Go Local,15_30,2064,-0.0222,0.0312
entity_key_x_horizon_bucket,ZAF-Go Local,1_7,910,-0.0047,0.0161
entity_key_x_horizon_bucket,ZAF-Go Local,31_45,1950,-0.0381,0.0449
entity_key_x_horizon_bucket,ZAF-Go Local,46_60,1950,-0.0525,0.0627
entity_key_x_horizon_bucket,ZAF-Go Local,8_14,910,-0.0119,0.0222
resource_x_horizon_bucket,HDD,15_30,87611,-0.0393,0.2754
resource_x_horizon_bucket,HDD,1_7,38673,-0.0079,0.0709
resource_x_horizon_bucket,HDD,31_45,82353,-0.0643,0.4271
resource_x_horizon_bucket,HDD,46_60,82248,-0.0817,0.5584
resource_x_horizon_bucket,HDD,8_14,38461,-0.0192,0.1648
