"path","size_kb"
"outputs/model_lab/challenger_official_execution/challenger_official_execution_manifest_final.csv",1
"outputs/model_lab/challenger_official_execution/challenger_official_execution_status.csv",474.8
"outputs/model_lab/challenger_official_execution/challenger_official_execution_summary.csv",0.4
"outputs/model_lab/challenger_official_execution/challenger_official_forecasts.csv",9337.5
"outputs/model_lab/challenger_official_execution/challenger_official_model_summary.csv",1.1
"outputs/model_lab/challenger_official_execution_prep/official_challenger_candidate_list.csv",1.3
"outputs/model_lab/challenger_onboarding/challenger_dependency_matrix.csv",1.3
"outputs/model_lab/challenger_onboarding/challenger_leakage_control_mapping.csv",8.8
"outputs/model_lab/challenger_onboarding/challenger_onboarding_summary.csv",0.3
"outputs/model_lab/challenger_onboarding/challenger_readiness_matrix.csv",0.9
"outputs/model_lab/challenger_onboarding/challenger_registry_snapshot.csv",2.4
"outputs/model_lab/challenger_sandbox/challenger_sandbox_contract_validation.csv",4.5
"outputs/model_lab/challenger_sandbox/challenger_sandbox_dependency_check.csv",1.5
"outputs/model_lab/challenger_sandbox/challenger_sandbox_execution_status.csv",0.9
"outputs/model_lab/challenger_sandbox/challenger_sandbox_forecasts.csv",91.6
"outputs/model_lab/challenger_sandbox/challenger_sandbox_scope.csv",4.8
"outputs/model_lab/challenger_sandbox/challenger_sandbox_summary.csv",0.2
"outputs/model_lab/contracts/forecast_output_schema.csv",0.5
"outputs/model_lab/contracts/model_output_schema.csv",0.9
"outputs/model_lab/contracts/tournament_output_schema.csv",0.4
"outputs/model_lab/forecasts/baseline_execution_status.csv",506.7
"outputs/model_lab/forecasts/baseline_forecasts.csv",0.1
"outputs/model_lab/full_baseline/full_baseline_execution_status.csv",404.3
"outputs/model_lab/full_baseline/full_baseline_forecasts.csv",13183.1
"outputs/model_lab/full_baseline/full_baseline_summary.csv",0.2
"outputs/model_lab/implementation_issue/implementation_issue_actuals.csv",0.7
"outputs/model_lab/implementation_issue/implementation_issue_forecast.csv",0.8
"outputs/model_lab/metrics/baseline_metrics.csv",564.8
"outputs/model_lab/metrics/baseline_metrics_by_entity.csv",4.4
"outputs/model_lab/metrics/baseline_metrics_by_model.csv",0.9
"outputs/model_lab/metrics/baseline_metrics_summary.csv",0.3
"outputs/model_lab/no_tuning_leakage_contract/challenger_preregistration_template.csv",1
"outputs/model_lab/non_negative_policy/non_negative_forecasts.csv",13084
"outputs/model_lab/ranking_dry_run/baseline_ranking_by_entity.csv",28.2
"outputs/model_lab/ranking_dry_run/baseline_ranking_by_model.csv",1.3
"outputs/model_lab/ranking_dry_run/baseline_ranking_distribution.csv",0.3
"outputs/model_lab/ranking_dry_run/baseline_ranking_flags.csv",0
"outputs/model_lab/ranking_dry_run/baseline_ranking_scores.csv",1301.3
"outputs/model_lab/ranking_dry_run/baseline_ranking_summary.csv",0.3
"outputs/model_lab/sanity_review/forecast_sanity_by_entity.csv",0.8
"outputs/model_lab/sanity_review/forecast_sanity_by_model.csv",1.1
"outputs/model_lab/sanity_review/forecast_sanity_flags.csv",0
"outputs/model_lab/sanity_review/forecast_sanity_summary.csv",0.3
"outputs/model_lab/seasonal_benchmark/seasonal_naive_forecasts.csv",1412
"outputs/model_lab/smoke_test/smoke_forecasts.csv",27.5
"outputs/model_lab/smoke_test_broader/broader_smoke_forecasts.csv",87.5
"outputs/model_lab/tournament_engine/tournament_entity_model_scores.csv",80.2
"outputs/model_lab/tournament_engine/tournament_model_evidence_summary.csv",1.4
"outputs/model_lab/tournament_engine/tournament_model_scorecard.csv",2.5
"outputs/model_lab/tournament_engine/tournament_model_universe.csv",1.5
"outputs/model_lab/tournament_engine/tournament_pairwise_evidence.csv",16.8
"outputs/model_lab/tournament_engine/tournament_preliminary_standings.csv",1.9
"outputs/model_lab/tournament_engine/tournament_risk_register.csv",6.6
"outputs/model_lab/tournament_engine/tournament_summary.csv",0.3
"outputs/model_lab/tournament_engine/tournament_validation.csv",1.2
"outputs/model_lab/tournament_sanity_review/tournament_candidate_readiness_for_5_31.csv",1.5
"outputs/model_lab/tournament_sanity_review/tournament_pairwise_sanity_review.csv",17.2
"outputs/model_lab/tournament_sanity_review/tournament_preliminary_standings_review.csv",3.1
"outputs/model_lab/tournament_sanity_review/tournament_risk_sanity_review.csv",6.9
"outputs/model_lab/tournament_sanity_review/tournament_sanity_checklist.csv",1.9
"outputs/model_lab/tournament_sanity_review/tournament_sanity_findings.csv",1.1
"outputs/model_lab/tournament_sanity_review/tournament_sanity_summary.csv",0.3
"outputs/shiny_mvp/7_0A_reference_intake/massiveforecasting_reference_architecture_map.csv",2.5
"outputs/shiny_mvp/7_0A_reference_intake/massiveforecasting_reference_dependency_inventory.csv",2.9
"outputs/shiny_mvp/7_0A_reference_intake/massiveforecasting_reference_file_inventory.csv",2.3
"outputs/shiny_mvp/7_0A_reference_intake/massiveforecasting_reference_runtime_risk_scan.csv",249
"outputs/shiny_mvp/7_0A_reference_intake/massiveforecasting_reference_ui_patterns.csv",2.5
"outputs/shiny_mvp/7_0A_reference_intake/massiveforecasting_to_tesseract_fit_gap.csv",1.6
"outputs/shiny_mvp/7_0B_shell_plan/stage07_baseline_app_launch_validation.csv",0.7
"outputs/shiny_mvp/7_0E_governed_data_loader/stage07_0E_forecasting_data_discovery.csv",0.4
"outputs/shiny_mvp/7_11_DIAG_forecast_data_coverage/stage07_11_DIAG_forecast_artifact_inventory.csv",3.2
"outputs/shiny_mvp/7_11_DIAG_forecast_data_coverage/stage07_11_DIAG_forecast_schema_summary.csv",28.8
"outputs/shiny_mvp/7_11_DIAG_forecast_data_coverage/stage07_11_DIAG_models_per_entity_forecast_comparison.csv",0.1
"outputs/shiny_mvp/7_11_DIAG_forecast_data_coverage/stage07_11_DIAG_models_per_entity_forecasts.csv",3.3
"outputs/shiny_mvp/7_11_DIAG_forecast_data_coverage/stage07_11_DIAG_required_forecast_viewer_schema.csv",0.8
"outputs/shiny_mvp/7_11_forecast_viewer/stage07_11_forecast_data_schema.csv",2.7
"outputs/shiny_mvp/7_11_forecast_viewer/stage07_11_forecast_viewer_data_binding_summary.csv",0.6
"outputs/shiny_mvp/7_11_forecast_viewer/stage07_11_forecast_viewer_empty_state_tests.csv",0.6
"outputs/shiny_mvp/7_11_forecast_viewer/stage07_11_forecast_viewer_modified_files_manifest.csv",1
"outputs/shiny_mvp/7_11_forecast_viewer/stage07_11_forecast_viewer_validation.csv",2.2
"outputs/shiny_mvp/7_11_forecast_viewer/stage07_11_forecast_viewer_visual_check.csv",0.7
"outputs/shiny_mvp/7_11_REV1_forecast_viewer_refinement/stage07_11_REV1_forecast_viewer_data_binding_summary.csv",1.2
"outputs/shiny_mvp/7_11_REV1_forecast_viewer_refinement/stage07_11_REV1_forecast_viewer_modified_files_manifest.csv",0.9
"outputs/shiny_mvp/7_11_REV1_forecast_viewer_refinement/stage07_11_REV1_forecast_viewer_validation.csv",2.8
"outputs/shiny_mvp/7_11_REV1_forecast_viewer_refinement/stage07_11_REV1_forecast_viewer_visual_check.csv",1.1
