series_id,metric,source_generation_status,models_present,expected_models,rows,distinct_origins,distinct_target_dates,min_target,max_target,result
HDD__EDB__Consumer__Region__POL-Go-Local,HDD,REUSED_HDD_EXISTING_ARTIFACT,15,15,4950,11,276,2025-10-16,2026-07-18,PASS
HDD__EDB__Enterprise__Forest__CHNPR01,HDD,REUSED_HDD_EXISTING_ARTIFACT,15,15,4950,11,277,2025-10-16,2026-07-19,PASS
HDD__EDB__Enterprise__Forest__EURP192,HDD,REUSED_HDD_EXISTING_ARTIFACT,15,15,4950,11,277,2025-10-16,2026-07-19,PASS
HDD__EDB__Enterprise__Forest__EURP309,HDD,REUSED_HDD_EXISTING_ARTIFACT,15,15,4950,11,211,2025-12-21,2026-07-19,PASS
HDD__EDB__Enterprise__Forest__GBRP265,HDD,REUSED_HDD_EXISTING_ARTIFACT,15,15,4950,11,277,2025-10-16,2026-07-19,PASS
HDD__EDB__Enterprise__Forest__NAMP103,HDD,REUSED_HDD_EXISTING_ARTIFACT,15,15,4950,11,277,2025-10-16,2026-07-19,PASS
HDD__EDB__Enterprise__Forest__NAMP134,HDD,REUSED_HDD_EXISTING_ARTIFACT,15,15,4950,11,277,2025-10-16,2026-07-19,PASS
HDD__EDB__Enterprise__Forest__NAMP220,HDD,REUSED_HDD_EXISTING_ARTIFACT,15,15,4950,11,277,2025-10-16,2026-07-19,PASS
HDD__EDB__Enterprise__Forest__NAMPRD14,HDD,REUSED_HDD_EXISTING_ARTIFACT,15,15,4950,11,277,2025-10-16,2026-07-19,PASS
HDD__EDB__Enterprise__Region__APC-MSIT,HDD,REUSED_HDD_EXISTING_ARTIFACT,15,15,5400,12,360,2025-05-03,2026-04-27,PASS
HDD__EDB__Enterprise__Region__CAN-Go-Local,HDD,REUSED_HDD_EXISTING_ARTIFACT,15,15,5400,12,360,2025-05-03,2026-04-27,PASS
HDD__EDB__Enterprise__Region__CHL-Go-Local,HDD,REUSED_HDD_EXISTING_ARTIFACT,15,15,4950,11,276,2025-10-16,2026-07-18,PASS
HDD__EDB__Enterprise__Region__EUR-Go-Local,HDD,REUSED_HDD_EXISTING_ARTIFACT,15,15,4950,11,210,2025-12-21,2026-07-18,PASS
HDD__EDB__Enterprise__Region__EUR-Multitenant,HDD,REUSED_HDD_EXISTING_ARTIFACT,15,15,5400,12,360,2025-05-03,2026-04-27,PASS
HDD__EDB__Enterprise__Region__ITA-Go-Local,HDD,REUSED_HDD_EXISTING_ARTIFACT,15,15,5400,12,360,2025-05-03,2026-04-27,PASS
HDD__EDB__Enterprise__Region__NAM-Dedicated,HDD,REUSED_HDD_EXISTING_ARTIFACT,15,15,5400,12,360,2025-05-03,2026-04-27,PASS
HDD__EDB__Enterprise__Region__NAM-SDF,HDD,REUSED_HDD_EXISTING_ARTIFACT,15,15,5400,12,360,2025-05-03,2026-04-27,PASS
IOPS__Consumed__Region__APC-Multitenant,IOPS,GENERATED_P5,15,15,4845,11,323,2020-08-27,2023-07-20,PASS
IOPS__Consumed__Region__ARE-Go-Local,IOPS,GENERATED_P5,15,15,4830,11,322,2020-08-27,2023-07-20,PASS
IOPS__Consumed__Region__AUS-Go-Local,IOPS,GENERATED_P5,15,15,4845,11,323,2020-08-27,2023-07-20,PASS
IOPS__Consumed__Region__BRA-Go-Local,IOPS,GENERATED_P5,15,15,4425,10,295,2021-02-28,2023-07-20,PASS
IOPS__Consumed__Region__CAN-Go-Local,IOPS,GENERATED_P5,15,15,4830,11,322,2020-08-27,2023-07-20,PASS
IOPS__Consumed__Region__CHE-Go-Local,IOPS,GENERATED_P5,15,15,4830,11,322,2020-08-27,2023-07-20,PASS
IOPS__Consumed__Region__CHN-Gallatin,IOPS,GENERATED_P5,15,15,4395,10,293,2022-08-17,2023-07-20,PASS
IOPS__Consumed__Region__DEU-Go-Local,IOPS,GENERATED_P5,15,15,4830,11,322,2020-08-27,2023-07-20,PASS
IOPS__Consumed__Region__EUR-Multitenant,IOPS,GENERATED_P5,15,15,4830,11,322,2020-08-27,2023-07-20,PASS
IOPS__Consumed__Region__FRA-Go-Local,IOPS,GENERATED_P5,15,15,4830,11,322,2020-08-27,2023-07-20,PASS
IOPS__Failover__Region__APC-Multitenant,IOPS,GENERATED_P5,15,15,4845,11,323,2020-08-27,2023-07-20,PASS
IOPS__Failover__Region__ARE-Go-Local,IOPS,GENERATED_P5,15,15,4830,11,322,2020-08-27,2023-07-20,PASS
IOPS__Failover__Region__AUS-Go-Local,IOPS,GENERATED_P5,15,15,4845,11,323,2020-08-27,2023-07-20,PASS
IOPS__Failover__Region__BRA-Go-Local,IOPS,GENERATED_P5,15,15,4425,10,295,2021-02-28,2023-07-20,PASS
IOPS__Failover__Region__CAN-Go-Local,IOPS,GENERATED_P5,15,15,4830,11,322,2020-08-27,2023-07-20,PASS
IOPS__Failover__Region__CHE-Go-Local,IOPS,GENERATED_P5,15,15,4830,11,322,2020-08-27,2023-07-20,PASS
IOPS__Failover__Region__CHN-Gallatin,IOPS,GENERATED_P5,15,15,4395,10,293,2022-08-17,2023-07-20,PASS
IOPS__Failover__Region__DEU-Go-Local,IOPS,GENERATED_P5,15,15,4830,11,322,2020-08-27,2023-07-20,PASS
IOPS__Failover__Region__EUR-Multitenant,IOPS,GENERATED_P5,15,15,4830,11,322,2020-08-27,2023-07-20,PASS
IOPS__Failover__Region__FRA-Go-Local,IOPS,GENERATED_P5,15,15,4830,11,322,2020-08-27,2023-07-20,PASS
SSD__Phoenix__Forest__APCP150,SSD,GENERATED_P5,15,15,4500,10,63,2026-06-21,2026-08-22,PASS
SSD__Phoenix__Forest__APCPRD01,SSD,GENERATED_P5,15,15,4500,10,63,2026-06-21,2026-08-22,PASS
SSD__Phoenix__Forest__APCPRD02,SSD,GENERATED_P5,15,15,4500,10,63,2026-06-21,2026-08-22,PASS
SSD__Phoenix__Forest__AREP273,SSD,GENERATED_P5,15,15,4500,10,63,2026-06-21,2026-08-22,PASS
SSD__Phoenix__Forest__AUSP282,SSD,GENERATED_P5,15,15,4500,10,63,2026-06-21,2026-08-22,PASS
SSD__Phoenix__Forest__AUSP300,SSD,GENERATED_P5,15,15,4500,10,63,2026-06-21,2026-08-22,PASS
SSD__Phoenix__Forest__AUSPRD01,SSD,GENERATED_P5,15,15,4500,10,63,2026-06-21,2026-08-22,PASS
SSD__Phoenix__Forest__AUTP296,SSD,GENERATED_P5,15,15,4500,10,63,2026-06-21,2026-08-22,PASS
SSD__Phoenix__Forest__BRAP284,SSD,GENERATED_P5,15,15,4500,10,63,2026-06-21,2026-08-22,PASS
SSD__Phoenix__Forest__CANP288,SSD,GENERATED_P5,15,15,4500,10,63,2026-06-21,2026-08-22,PASS
SSD__Phoenix__Forest__CANPRD01,SSD,GENERATED_P5,15,15,4500,10,63,2026-06-21,2026-08-22,PASS
SSD__Phoenix__Forest__CHEP278,SSD,GENERATED_P5,15,15,4500,10,63,2026-06-21,2026-08-22,PASS
SSD__Phoenix__Forest__CHLP298,SSD,GENERATED_P5,15,15,4500,10,63,2026-06-21,2026-08-22,PASS
SSD__Phoenix__Forest__DEUP281,SSD,GENERATED_P5,15,15,4500,10,63,2026-06-21,2026-08-22,PASS
SSD__Phoenix__Forest__DNKP307,SSD,GENERATED_P5,15,15,4500,10,63,2026-06-21,2026-08-22,PASS
SSD__Phoenix__Forest__ESPP292,SSD,GENERATED_P5,15,15,4500,10,63,2026-06-21,2026-08-22,PASS
SSD__Phoenix__Forest__EURP107,SSD,GENERATED_P5,15,15,4500,10,63,2026-06-21,2026-08-22,PASS
SSD__Phoenix__Forest__EURP119,SSD,GENERATED_P5,15,15,4500,10,63,2026-06-21,2026-08-22,PASS
SSD__Phoenix__Forest__EURP120,SSD,GENERATED_P5,15,15,4500,10,63,2026-06-21,2026-08-22,PASS
SSD__Phoenix__Forest__FRAP264,SSD,GENERATED_P5,15,15,4500,10,63,2026-06-21,2026-08-22,PASS
SSD__Phoenix__Forest__GBRP123,SSD,GENERATED_P5,15,15,4500,10,63,2026-06-21,2026-08-22,PASS
SSD__Phoenix__Forest__GBRP265,SSD,GENERATED_P5,15,15,4500,10,63,2026-06-21,2026-08-22,PASS
SSD__Phoenix__Forest__GBRP267,SSD,GENERATED_P5,15,15,4500,10,63,2026-06-21,2026-08-22,PASS
SSD__Phoenix__Forest__IDNP305,SSD,GENERATED_P5,15,15,4500,10,63,2026-06-21,2026-08-22,PASS
SSD__Phoenix__Forest__INDP287,SSD,GENERATED_P5,15,15,4500,10,63,2026-06-21,2026-08-22,PASS
SSD__Phoenix__Forest__INDPRD01,SSD,GENERATED_P5,15,15,4500,10,63,2026-06-21,2026-08-22,PASS
SSD__Phoenix__Forest__ISRP290,SSD,GENERATED_P5,15,15,4500,10,63,2026-06-21,2026-08-22,PASS
SSD__Phoenix__Forest__ITAP293,SSD,GENERATED_P5,15,15,4500,10,63,2026-06-21,2026-08-22,PASS
SSD__Phoenix__Forest__JPNP286,SSD,GENERATED_P5,15,15,4500,10,63,2026-06-21,2026-08-22,PASS
SSD__Phoenix__Forest__JPNP301,SSD,GENERATED_P5,15,15,4500,10,63,2026-06-21,2026-08-22,PASS
SSD__Phoenix__Forest__JPNPRD01,SSD,GENERATED_P5,15,15,4500,10,63,2026-06-21,2026-08-22,PASS
SSD__Phoenix__Forest__KORP216,SSD,GENERATED_P5,15,15,4500,10,63,2026-06-21,2026-08-22,PASS
SSD__Phoenix__Forest__LAMP152,SSD,GENERATED_P5,15,15,4500,10,63,2026-06-21,2026-08-22,PASS
SSD__Phoenix__Forest__LAMP215,SSD,GENERATED_P5,15,15,4500,10,63,2026-06-21,2026-08-22,PASS
SSD__Phoenix__Forest__LAMPRD80,SSD,GENERATED_P5,15,15,4500,10,63,2026-06-21,2026-08-22,PASS
SSD__Phoenix__Forest__MEXP297,SSD,GENERATED_P5,15,15,4500,10,63,2026-06-21,2026-08-22,PASS
SSD__Phoenix__Forest__MYSP306,SSD,GENERATED_P5,15,15,4500,10,63,2026-06-21,2026-08-22,PASS
SSD__Phoenix__Forest__NAMP100,SSD,GENERATED_P5,15,15,4500,10,63,2026-06-21,2026-08-22,PASS
SSD__Phoenix__Forest__NAMP101,SSD,GENERATED_P5,15,15,4500,10,63,2026-06-21,2026-08-22,PASS
SSD__Phoenix__Forest__NAMP104,SSD,GENERATED_P5,15,15,4500,10,63,2026-06-21,2026-08-22,PASS
SSD__Phoenix__Forest__NAMPRD07,SSD,GENERATED_P5,15,15,4500,10,63,2026-06-21,2026-08-22,PASS
SSD__Phoenix__Forest__NAMPRD08,SSD,GENERATED_P5,15,15,4500,10,63,2026-06-21,2026-08-22,PASS
SSD__Phoenix__Forest__NORP279,SSD,GENERATED_P5,15,15,4500,10,63,2026-06-21,2026-08-22,PASS
SSD__Phoenix__Forest__NZLP299,SSD,GENERATED_P5,15,15,4500,10,63,2026-06-21,2026-08-22,PASS
SSD__Phoenix__Forest__POLP291,SSD,GENERATED_P5,15,15,4500,10,63,2026-06-21,2026-08-22,PASS
SSD__Phoenix__Forest__QATP289,SSD,GENERATED_P5,15,15,4500,10,63,2026-06-21,2026-08-22,PASS
SSD__Phoenix__Forest__SGPP274,SSD,GENERATED_P5,15,15,4500,10,63,2026-06-21,2026-08-22,PASS
SSD__Phoenix__Forest__SWEP280,SSD,GENERATED_P5,15,15,4500,10,63,2026-06-21,2026-08-22,PASS
SSD__Phoenix__Forest__TWNP295,SSD,GENERATED_P5,15,15,4500,10,63,2026-06-21,2026-08-22,PASS
SSD__Phoenix__Forest__ZAFP275,SSD,GENERATED_P5,15,15,4500,10,63,2026-06-21,2026-08-22,PASS
