relative_path,area,role,size_bytes,sha256_prechange,touched_by_p8,note
R\plots.R,R,,2572,53F5DB2402B1D0EB107B8B5CA75E085D3CF5604CCE32655B3453F02E800F5100,FALSE,
R\scenario_resolver.R,R,"R7 resolver, intentionally unwired",11941,9782B008544C5073081392BF19A625C9D04CEB24B262BE9222C7952EB13056E9,FALSE,
R\tables.R,R,,524,9D7D65236DC09D0D4106D992C6DCB0628CA2C56166BBCEB0C35C5CA3550BC72B,FALSE,
R\taxonomy_navigation.R,R,V6.18 taxonomy contract,19202,F5C15C9AB074AE6863CADD32D62BA18C4AAEBC0896C0D64017318DBBC57729E4,FALSE,
R\ttl_provider.R,R,,15910,F9FD52319D79896E61FB368C2E9EF1493FAE73E1F0C2A6BFB8547EAFCE4A0DC1,FALSE,
R\viewer_pilot.R,R,V6.17 read-only viewer provider,17702,5B64ED8B8A4FD7DE88F1B61E1D58941B37F9E58D8C88509E0F7E67D89B94E0F0,FALSE,
server\accuracy_server.R,server,,351,06CCE60C9A71A5377822B255C61451209ECB6A136948142B25F76846E42248B9,FALSE,
server\backtesting_server.R,server,,367,AF9B1B9E787E9E80D4D5D0CA71953BCE3190E6739613D580168667E30FF1D0B6,FALSE,
server\forecast_overlay_server.R,server,,839,46F6DC8C2CE1FBC4CCCADFCB612833CA649C878AFFB8E70B075717E31515B4A6,FALSE,
server\governance_server.R,server,,363,063163F5DBEAAB416BD06684A2D6EBB48EA551270DA5CE937A3947DD786B639C,FALSE,
server\models_server.R,server,,333,D4DFF0CB22C6D90DCC8543EFD9AE9ABC89E5ADE9B500B55999C7F58DF4BF1CA6,FALSE,
server\overview_server.R,server,,2892,05300DCBDF8CE60B19FA3A2C839656D3FC7F5609C9B0CE02CAF2FA892177E26C,FALSE,
server\server.R,server,root server function,25670,D74788528F8BAB0611ADB43B140DCA2D10E1B75AA9441B5E4919DEC34189D76D,TRUE,
server\settings_server.R,server,,129,BF5CD85A2350FF8400461BBA233ACB4745F4DDFE8DFAFF57902337E65E1A0409,FALSE,
ui\body.R,ui,UI shell composition,10989,09E599B83AC468EC4EEFBEF8AB689DBFFB22C30BA28C7E506CB28A2B2285BC8D,TRUE,
ui\footer.R,ui,footer,226,C494B81C3CF0A8F46AB67C5571F1B2301F0D3D673ADB886F51656D2AFC652693,FALSE,
ui\header.R,ui,header,2511,D170EECCF43C7186BFF714D0495BE541F93BCCF0AEC930B516D41E141C1CECDA,FALSE,
ui\sidebar.R,ui,left navigation menu,3294,6BFA10640C71F59337BC899D18F2D06789E8F3728B7CBD4E425C34B00FF204C7,TRUE,
ui\tabs_v6_16_viewer.R,ui,V6.16 viewer sections,12517,4CF55CB8207FE88D7C69535C2709DB200E823047D82CD8374CECD21340CF766C,FALSE,
ui\tabs.R,ui,legacy section definitions,129496,7D934067658A3FAFF79B74CDA0E9D3E5E5B9BEE49D54A10C907E45353BCEFFDA,TRUE,
ui\tabs\accuracy_tab.R,ui,,250,6396A1E26E9BA2D24AB63EF9C8EE52735017DE727F347E63113D51C1C1626B80,FALSE,
ui\tabs\backtesting_tab.R,ui,,263,C770074B7B312B6FCF8806CAE4408B8E92DDC43E8AF1DE5F86E8ACDC8310045A,FALSE,
ui\tabs\forecast_overlay_tab.R,ui,,2289,5386DC4A36DE56020A2E886F9A846BBDA36782EC472CB77180E496212ECDD784,FALSE,
ui\tabs\governance_tab.R,ui,,258,2ACA6C0FA0FDC3188C7F914B0EF769327E9FCA97CFEF6E99240782FE571262F5,FALSE,
ui\tabs\models_tab.R,ui,,248,31ED05C12450687DE35128FE2B0FFD3CF2A2F7203B5171682E43179035530D8C,FALSE,
ui\tabs\overview_tab.R,ui,,1115,A9AC08F6EE39299DFFF7D13F638A95F776062FAD57F3BFDF7E678095248134FA,FALSE,
ui\tabs\settings_tab.R,ui,,315,0171FC9B57154ED87F1870DD169D12003A6137210AABA17DD73EC3D299427892,FALSE,
www\custom.css,www,stylesheet,85738,4A3A45701D3FC35EE30A78BD65B0F9CAD6DA03465B963FE9B262C3145A12E012,TRUE,
www\custom.js,www,,6490,A452703D303A263E5AAA3AB3C150589F98AF4C08F09355C7F248D588F0AF5B64,FALSE,
www\favicon.ico,www,,1,01BA4719C80B6FE911B091A7C05124B64EEECE964E09C058EF8F9805DACA546B,FALSE,
www\reference\aegis_v3_architecture_diagram_visual_v3.png,www,,221136,3F70AD72A9BC9A0B40A27D78161877B212B58B235735B452C6C30D804035684F,FALSE,
www\reference\aegis_v3_architecture_diagram.png,www,,113280,14B1289EF40D3FBE089AB343CEFEFEE615A56187F402F49A055AE1C220B15D11,FALSE,
www\reference\aegis_v3_project_documentation.pdf,www,,127547,273E18B07F81B769485C62CC8B15611A0D0522183999B8691D59AF9347A8D2C6,FALSE,
