"relative_path","size_bytes","sha256","last_write_utc","captured_at","phase"
"R\llm_compose.R","12137","B462D2D9ACB6B56B5EB1EB74C0F4ECC4A08F4A44AEB0A1C5E93D0330E9EB9472","2026-06-29T21:20:30Z","2026-08-23T23:05:42Z","POSTCHANGE"
"R\llm_explain.R","34525","762DE95FCA86B705A2361D5CDC2CA9B1588054EDDC045E98FD518E0F8AEFDF82","2026-06-30T00:58:06Z","2026-08-23T23:05:42Z","POSTCHANGE"
"R\plots.R","2572","53F5DB2402B1D0EB107B8B5CA75E085D3CF5604CCE32655B3453F02E800F5100","2026-06-09T15:35:50Z","2026-08-23T23:05:42Z","POSTCHANGE"
"R\scenario_resolver.R","11941","9782B008544C5073081392BF19A625C9D04CEB24B262BE9222C7952EB13056E9","2026-08-12T21:38:39Z","2026-08-23T23:05:42Z","POSTCHANGE"
"R\tables.R","524","9D7D65236DC09D0D4106D992C6DCB0628CA2C56166BBCEB0C35C5CA3550BC72B","2026-06-09T15:35:50Z","2026-08-23T23:05:42Z","POSTCHANGE"
"R\taxonomy_navigation.R","19202","F5C15C9AB074AE6863CADD32D62BA18C4AAEBC0896C0D64017318DBBC57729E4","2026-08-20T20:11:43Z","2026-08-23T23:05:42Z","POSTCHANGE"
"R\ttl_provider.R","15910","F9FD52319D79896E61FB368C2E9EF1493FAE73E1F0C2A6BFB8547EAFCE4A0DC1","2026-06-22T22:52:15Z","2026-08-23T23:05:42Z","POSTCHANGE"
"R\v6_24_read_only_loader.R","15373","0CAC188700A52A41E481B6EEED80B2B39AAD6215E1CE8463B7C8C7587AFC0439","2026-08-23T23:01:42Z","2026-08-23T23:05:42Z","POSTCHANGE"
"R\viewer_pilot.R","17702","5B64ED8B8A4FD7DE88F1B61E1D58941B37F9E58D8C88509E0F7E67D89B94E0F0","2026-08-20T19:07:28Z","2026-08-23T23:05:42Z","POSTCHANGE"
"server\accuracy_server.R","351","06CCE60C9A71A5377822B255C61451209ECB6A136948142B25F76846E42248B9","2026-06-09T15:40:34Z","2026-08-23T23:05:43Z","POSTCHANGE"
"server\backtesting_server.R","367","AF9B1B9E787E9E80D4D5D0CA71953BCE3190E6739613D580168667E30FF1D0B6","2026-06-09T15:40:34Z","2026-08-23T23:05:43Z","POSTCHANGE"
"server\forecast_overlay_server.R","839","46F6DC8C2CE1FBC4CCCADFCB612833CA649C878AFFB8E70B075717E31515B4A6","2026-06-09T15:40:34Z","2026-08-23T23:05:43Z","POSTCHANGE"
"server\governance_server.R","363","063163F5DBEAAB416BD06684A2D6EBB48EA551270DA5CE937A3947DD786B639C","2026-06-09T15:40:34Z","2026-08-23T23:05:43Z","POSTCHANGE"
"server\models_server.R","333","D4DFF0CB22C6D90DCC8543EFD9AE9ABC89E5ADE9B500B55999C7F58DF4BF1CA6","2026-06-09T15:40:34Z","2026-08-23T23:05:43Z","POSTCHANGE"
"server\overview_server.R","2892","05300DCBDF8CE60B19FA3A2C839656D3FC7F5609C9B0CE02CAF2FA892177E26C","2026-06-09T15:40:34Z","2026-08-23T23:05:43Z","POSTCHANGE"
"server\server.R","25781","1240CF7A96CB3BE695B3C937D90252355CC66EA850D375D08F5AC5E5FB2E33CF","2026-08-23T22:59:20Z","2026-08-23T23:05:43Z","POSTCHANGE"
"server\settings_server.R","129","BF5CD85A2350FF8400461BBA233ACB4745F4DDFE8DFAFF57902337E65E1A0409","2026-06-09T15:40:34Z","2026-08-23T23:05:43Z","POSTCHANGE"
"server\v6_24_mvp_server.R","19350","81394D5A890771C3C9A4CF5BFE1F9B39D18677369ED6334FBA8B07CC755AED1B","2026-08-23T22:58:43Z","2026-08-23T23:05:43Z","POSTCHANGE"
"ui\body.R","11062","F57DB0B042ED91F2AC93B1A53E831430B68B8706BD2F78605AD740E2ED181A81","2026-08-23T22:58:57Z","2026-08-23T23:05:43Z","POSTCHANGE"
"ui\footer.R","226","C494B81C3CF0A8F46AB67C5571F1B2301F0D3D673ADB886F51656D2AFC652693","2026-06-24T02:14:43Z","2026-08-23T23:05:43Z","POSTCHANGE"
"ui\header.R","2511","D170EECCF43C7186BFF714D0495BE541F93BCCF0AEC930B516D41E141C1CECDA","2026-06-23T20:23:48Z","2026-08-23T23:05:43Z","POSTCHANGE"
"ui\sidebar.R","3837","11A257E4682A258E2DE38D35789602FBB00240B642C9F8EC7031262877E17219","2026-08-23T22:59:04Z","2026-08-23T23:05:43Z","POSTCHANGE"
"ui\tabs_v6_16_viewer.R","12517","4CF55CB8207FE88D7C69535C2709DB200E823047D82CD8374CECD21340CF766C","2026-08-20T20:12:17Z","2026-08-23T23:05:43Z","POSTCHANGE"
"ui\tabs_v6_24_mvp.R","7858","36F74ED2A0169E4D5D9545B17D0152867D8753F665A3F481A6874550C473A08B","2026-08-23T23:01:50Z","2026-08-23T23:05:43Z","POSTCHANGE"
"ui\tabs.R","129606","3C0BF45E4DDB56E421077AA6916E1F49C6F057A927390A97E5D56C662EC98DB1","2026-08-23T22:59:08Z","2026-08-23T23:05:43Z","POSTCHANGE"
"ui\tabs\accuracy_tab.R","250","6396A1E26E9BA2D24AB63EF9C8EE52735017DE727F347E63113D51C1C1626B80","2026-06-09T15:36:41Z","2026-08-23T23:05:43Z","POSTCHANGE"
"ui\tabs\backtesting_tab.R","263","C770074B7B312B6FCF8806CAE4408B8E92DDC43E8AF1DE5F86E8ACDC8310045A","2026-06-09T15:36:41Z","2026-08-23T23:05:43Z","POSTCHANGE"
"ui\tabs\forecast_overlay_tab.R","2289","5386DC4A36DE56020A2E886F9A846BBDA36782EC472CB77180E496212ECDD784","2026-06-09T15:36:41Z","2026-08-23T23:05:43Z","POSTCHANGE"
"ui\tabs\governance_tab.R","258","2ACA6C0FA0FDC3188C7F914B0EF769327E9FCA97CFEF6E99240782FE571262F5","2026-06-09T15:42:36Z","2026-08-23T23:05:43Z","POSTCHANGE"
"ui\tabs\models_tab.R","248","31ED05C12450687DE35128FE2B0FFD3CF2A2F7203B5171682E43179035530D8C","2026-06-09T15:36:41Z","2026-08-23T23:05:43Z","POSTCHANGE"
"ui\tabs\overview_tab.R","1115","A9AC08F6EE39299DFFF7D13F638A95F776062FAD57F3BFDF7E678095248134FA","2026-06-09T15:36:41Z","2026-08-23T23:05:43Z","POSTCHANGE"
"ui\tabs\settings_tab.R","315","0171FC9B57154ED87F1870DD169D12003A6137210AABA17DD73EC3D299427892","2026-06-09T15:36:41Z","2026-08-23T23:05:43Z","POSTCHANGE"
"www\custom.css","88721","C145EEF25E110879884046A363240742491A1FF8FC1B019EA3034B08502DEC8B","2026-08-23T22:59:46Z","2026-08-23T23:05:43Z","POSTCHANGE"
"www\custom.js","6490","A452703D303A263E5AAA3AB3C150589F98AF4C08F09355C7F248D588F0AF5B64","2026-06-24T15:03:43Z","2026-08-23T23:05:43Z","POSTCHANGE"
"www\favicon.ico","1","01BA4719C80B6FE911B091A7C05124B64EEECE964E09C058EF8F9805DACA546B","2026-06-09T15:41:02Z","2026-08-23T23:05:43Z","POSTCHANGE"
"www\reference\aegis_v3_architecture_diagram_visual_v3.png","221136","3F70AD72A9BC9A0B40A27D78161877B212B58B235735B452C6C30D804035684F","2026-06-25T23:21:34Z","2026-08-23T23:05:43Z","POSTCHANGE"
"www\reference\aegis_v3_architecture_diagram.png","113280","14B1289EF40D3FBE089AB343CEFEFEE615A56187F402F49A055AE1C220B15D11","2026-06-25T22:53:38Z","2026-08-23T23:05:43Z","POSTCHANGE"
"www\reference\aegis_v3_project_documentation.pdf","127547","273E18B07F81B769485C62CC8B15611A0D0522183999B8691D59AF9347A8D2C6","2026-06-25T23:01:10Z","2026-08-23T23:05:43Z","POSTCHANGE"
