entity_key,window_id,train_start_date,train_end_date,test_start_date,test_end_date,train_observations,test_observations
FRA-Go Local,1,2019-07-01,2024-05-07,2024-05-08,2024-07-06,1773,60
FRA-Go Local,2,2019-07-01,2024-07-06,2024-07-07,2024-09-04,1833,60
FRA-Go Local,3,2019-07-01,2024-09-04,2024-09-05,2024-11-03,1893,60
FRA-Go Local,4,2019-07-01,2024-11-03,2024-11-04,2025-01-02,1953,60
FRA-Go Local,5,2019-07-01,2025-01-02,2025-01-03,2025-03-03,2013,60
FRA-Go Local,6,2019-07-01,2025-03-03,2025-03-04,2025-05-02,2073,60
FRA-Go Local,7,2019-07-01,2025-05-02,2025-05-03,2025-07-01,2133,60
FRA-Go Local,8,2019-07-01,2025-07-01,2025-07-02,2025-08-30,2193,60
FRA-Go Local,9,2019-07-01,2025-08-30,2025-08-31,2025-10-29,2253,60
FRA-Go Local,10,2019-07-01,2025-10-29,2025-10-30,2025-12-28,2313,60
FRA-Go Local,11,2019-07-01,2025-12-28,2025-12-29,2026-02-26,2373,60
FRA-Go Local,12,2019-07-01,2026-02-26,2026-02-27,2026-04-27,2433,60
GBR-Dedicated,1,2019-07-01,2024-05-07,2024-05-08,2024-07-06,1773,60
GBR-Dedicated,2,2019-07-01,2024-07-06,2024-07-07,2024-09-04,1833,60
GBR-Dedicated,3,2019-07-01,2024-09-04,2024-09-05,2024-11-03,1893,60
GBR-Dedicated,4,2019-07-01,2024-11-03,2024-11-04,2025-01-02,1953,60
GBR-Dedicated,5,2019-07-01,2025-01-02,2025-01-03,2025-03-03,2013,60
GBR-Dedicated,6,2019-07-01,2025-03-03,2025-03-04,2025-05-02,2073,60
GBR-Dedicated,7,2019-07-01,2025-05-02,2025-05-03,2025-07-01,2133,60
GBR-Dedicated,8,2019-07-01,2025-07-01,2025-07-02,2025-08-30,2193,60
GBR-Dedicated,9,2019-07-01,2025-08-30,2025-08-31,2025-10-29,2253,60
GBR-Dedicated,10,2019-07-01,2025-10-29,2025-10-30,2025-12-28,2313,60
GBR-Dedicated,11,2019-07-01,2025-12-28,2025-12-29,2026-02-26,2373,60
GBR-Dedicated,12,2019-07-01,2026-02-26,2026-02-27,2026-04-27,2433,60
GBR-Go Local,1,2019-07-01,2024-05-07,2024-05-08,2024-07-06,1773,60
GBR-Go Local,2,2019-07-01,2024-07-06,2024-07-07,2024-09-04,1833,60
GBR-Go Local,3,2019-07-01,2024-09-04,2024-09-05,2024-11-03,1893,60
GBR-Go Local,4,2019-07-01,2024-11-03,2024-11-04,2025-01-02,1953,60
GBR-Go Local,5,2019-07-01,2025-01-02,2025-01-03,2025-03-03,2013,60
GBR-Go Local,6,2019-07-01,2025-03-03,2025-03-04,2025-05-02,2073,60
GBR-Go Local,7,2019-07-01,2025-05-02,2025-05-03,2025-07-01,2133,60
GBR-Go Local,8,2019-07-01,2025-07-01,2025-07-02,2025-08-30,2193,60
GBR-Go Local,9,2019-07-01,2025-08-30,2025-08-31,2025-10-29,2253,60
GBR-Go Local,10,2019-07-01,2025-10-29,2025-10-30,2025-12-28,2313,60
GBR-Go Local,11,2019-07-01,2025-12-28,2025-12-29,2026-02-26,2373,60
GBR-Go Local,12,2019-07-01,2026-02-26,2026-02-27,2026-04-27,2433,60
IND-Go Local,1,2019-07-01,2024-05-07,2024-05-08,2024-07-06,1773,60
IND-Go Local,2,2019-07-01,2024-07-06,2024-07-07,2024-09-04,1833,60
IND-Go Local,3,2019-07-01,2024-09-04,2024-09-05,2024-11-03,1893,60
IND-Go Local,4,2019-07-01,2024-11-03,2024-11-04,2025-01-02,1953,60
IND-Go Local,5,2019-07-01,2025-01-02,2025-01-03,2025-03-03,2013,60
IND-Go Local,6,2019-07-01,2025-03-03,2025-03-04,2025-05-02,2073,60
IND-Go Local,7,2019-07-01,2025-05-02,2025-05-03,2025-07-01,2133,60
IND-Go Local,8,2019-07-01,2025-07-01,2025-07-02,2025-08-30,2193,60
IND-Go Local,9,2019-07-01,2025-08-30,2025-08-31,2025-10-29,2253,60
IND-Go Local,10,2019-07-01,2025-10-29,2025-10-30,2025-12-28,2313,60
IND-Go Local,11,2019-07-01,2025-12-28,2025-12-29,2026-02-26,2373,60
IND-Go Local,12,2019-07-01,2026-02-26,2026-02-27,2026-04-27,2433,60
ISR-Go Local,3,2023-07-26,2024-09-04,2024-09-05,2024-11-03,407,60
ISR-Go Local,4,2023-07-26,2024-11-03,2024-11-04,2025-01-02,467,60
ISR-Go Local,5,2023-07-26,2025-01-02,2025-01-03,2025-03-03,527,60
ISR-Go Local,6,2023-07-26,2025-03-03,2025-03-04,2025-05-02,587,60
ISR-Go Local,7,2023-07-26,2025-05-02,2025-05-03,2025-07-01,647,60
ISR-Go Local,8,2023-07-26,2025-07-01,2025-07-02,2025-08-30,707,60
ISR-Go Local,9,2023-07-26,2025-08-30,2025-08-31,2025-10-29,767,60
ISR-Go Local,10,2023-07-26,2025-10-29,2025-10-30,2025-12-28,827,60
ISR-Go Local,11,2023-07-26,2025-12-28,2025-12-29,2026-02-26,887,60
ISR-Go Local,12,2023-07-26,2026-02-26,2026-02-27,2026-04-27,947,60
ITA-Go Local,3,2023-07-26,2024-09-04,2024-09-05,2024-11-03,407,60
ITA-Go Local,4,2023-07-26,2024-11-03,2024-11-04,2025-01-02,467,60
ITA-Go Local,5,2023-07-26,2025-01-02,2025-01-03,2025-03-03,527,60
ITA-Go Local,6,2023-07-26,2025-03-03,2025-03-04,2025-05-02,587,60
ITA-Go Local,7,2023-07-26,2025-05-02,2025-05-03,2025-07-01,647,60
ITA-Go Local,8,2023-07-26,2025-07-01,2025-07-02,2025-08-30,707,60
ITA-Go Local,9,2023-07-26,2025-08-30,2025-08-31,2025-10-29,767,60
ITA-Go Local,10,2023-07-26,2025-10-29,2025-10-30,2025-12-28,827,60
ITA-Go Local,11,2023-07-26,2025-12-28,2025-12-29,2026-02-26,887,60
ITA-Go Local,12,2023-07-26,2026-02-26,2026-02-27,2026-04-27,947,60
JPN-Go Local,1,2019-07-01,2024-05-07,2024-05-08,2024-07-06,1773,60
JPN-Go Local,2,2019-07-01,2024-07-06,2024-07-07,2024-09-04,1833,60
JPN-Go Local,3,2019-07-01,2024-09-04,2024-09-05,2024-11-03,1893,60
JPN-Go Local,4,2019-07-01,2024-11-03,2024-11-04,2025-01-02,1953,60
JPN-Go Local,5,2019-07-01,2025-01-02,2025-01-03,2025-03-03,2013,60
JPN-Go Local,6,2019-07-01,2025-03-03,2025-03-04,2025-05-02,2073,60
JPN-Go Local,7,2019-07-01,2025-05-02,2025-05-03,2025-07-01,2133,60
JPN-Go Local,8,2019-07-01,2025-07-01,2025-07-02,2025-08-30,2193,60
JPN-Go Local,9,2019-07-01,2025-08-30,2025-08-31,2025-10-29,2253,60
JPN-Go Local,10,2019-07-01,2025-10-29,2025-10-30,2025-12-28,2313,60
JPN-Go Local,11,2019-07-01,2025-12-28,2025-12-29,2026-02-26,2373,60
JPN-Go Local,12,2019-07-01,2026-02-26,2026-02-27,2026-04-27,2433,60
KOR-Go Local,1,2019-07-01,2024-05-07,2024-05-08,2024-07-06,1773,60
KOR-Go Local,2,2019-07-01,2024-07-06,2024-07-07,2024-09-04,1833,60
KOR-Go Local,3,2019-07-01,2024-09-04,2024-09-05,2024-11-03,1893,60
KOR-Go Local,4,2019-07-01,2024-11-03,2024-11-04,2025-01-02,1953,60
KOR-Go Local,5,2019-07-01,2025-01-02,2025-01-03,2025-03-03,2013,60
KOR-Go Local,6,2019-07-01,2025-03-03,2025-03-04,2025-05-02,2073,60
KOR-Go Local,7,2019-07-01,2025-05-02,2025-05-03,2025-07-01,2133,60
KOR-Go Local,8,2019-07-01,2025-07-01,2025-07-02,2025-08-30,2193,60
KOR-Go Local,9,2019-07-01,2025-08-30,2025-08-31,2025-10-29,2253,60
KOR-Go Local,10,2019-07-01,2025-10-29,2025-10-30,2025-12-28,2313,60
KOR-Go Local,11,2019-07-01,2025-12-28,2025-12-29,2026-02-26,2373,60
KOR-Go Local,12,2019-07-01,2026-02-26,2026-02-27,2026-04-27,2433,60
LAM-Multitenant,1,2019-07-01,2024-05-07,2024-05-08,2024-07-06,1773,60
LAM-Multitenant,2,2019-07-01,2024-07-06,2024-07-07,2024-09-04,1833,60
LAM-Multitenant,3,2019-07-01,2024-09-04,2024-09-05,2024-11-03,1893,60
LAM-Multitenant,4,2019-07-01,2024-11-03,2024-11-04,2025-01-02,1953,60
LAM-Multitenant,5,2019-07-01,2025-01-02,2025-01-03,2025-03-03,2013,60
LAM-Multitenant,6,2019-07-01,2025-03-03,2025-03-04,2025-05-02,2073,60
LAM-Multitenant,7,2019-07-01,2025-05-02,2025-05-03,2025-07-01,2133,60
LAM-Multitenant,8,2019-07-01,2025-07-01,2025-07-02,2025-08-30,2193,60
LAM-Multitenant,9,2019-07-01,2025-08-30,2025-08-31,2025-10-29,2253,60
LAM-Multitenant,10,2019-07-01,2025-10-29,2025-10-30,2025-12-28,2313,60
LAM-Multitenant,11,2019-07-01,2025-12-28,2025-12-29,2026-02-26,2373,60
LAM-Multitenant,12,2019-07-01,2026-02-26,2026-02-27,2026-04-27,2433,60
MEX-Go Local,3,2023-07-26,2024-09-04,2024-09-05,2024-11-03,407,60
MEX-Go Local,4,2023-07-26,2024-11-03,2024-11-04,2025-01-02,467,60
MEX-Go Local,5,2023-07-26,2025-01-02,2025-01-03,2025-03-03,527,60
MEX-Go Local,6,2023-07-26,2025-03-03,2025-03-04,2025-05-02,587,60
MEX-Go Local,7,2023-07-26,2025-05-02,2025-05-03,2025-07-01,647,60
MEX-Go Local,8,2023-07-26,2025-07-01,2025-07-02,2025-08-30,707,60
MEX-Go Local,9,2023-07-26,2025-08-30,2025-08-31,2025-10-29,767,60
MEX-Go Local,10,2023-07-26,2025-10-29,2025-10-30,2025-12-28,827,60
MEX-Go Local,11,2023-07-26,2025-12-28,2025-12-29,2026-02-26,887,60
MEX-Go Local,12,2023-07-26,2026-02-26,2026-02-27,2026-04-27,947,60
NAM-Dedicated,1,2019-07-01,2024-05-07,2024-05-08,2024-07-06,1773,60
NAM-Dedicated,2,2019-07-01,2024-07-06,2024-07-07,2024-09-04,1833,60
NAM-Dedicated,3,2019-07-01,2024-09-04,2024-09-05,2024-11-03,1893,60
NAM-Dedicated,4,2019-07-01,2024-11-03,2024-11-04,2025-01-02,1953,60
NAM-Dedicated,5,2019-07-01,2025-01-02,2025-01-03,2025-03-03,2013,60
NAM-Dedicated,6,2019-07-01,2025-03-03,2025-03-04,2025-05-02,2073,60
NAM-Dedicated,7,2019-07-01,2025-05-02,2025-05-03,2025-07-01,2133,60
NAM-Dedicated,8,2019-07-01,2025-07-01,2025-07-02,2025-08-30,2193,60
NAM-Dedicated,9,2019-07-01,2025-08-30,2025-08-31,2025-10-29,2253,60
NAM-Dedicated,10,2019-07-01,2025-10-29,2025-10-30,2025-12-28,2313,60
NAM-Dedicated,11,2019-07-01,2025-12-28,2025-12-29,2026-02-26,2373,60
NAM-Dedicated,12,2019-07-01,2026-02-26,2026-02-27,2026-04-27,2433,60
NAM-GCC Low,1,2019-07-01,2024-05-07,2024-05-08,2024-07-06,1773,60
NAM-GCC Low,2,2019-07-01,2024-07-06,2024-07-07,2024-09-04,1833,60
NAM-GCC Low,3,2019-07-01,2024-09-04,2024-09-05,2024-11-03,1893,60
NAM-GCC Low,4,2019-07-01,2024-11-03,2024-11-04,2025-01-02,1953,60
NAM-GCC Low,5,2019-07-01,2025-01-02,2025-01-03,2025-03-03,2013,60
NAM-GCC Low,6,2019-07-01,2025-03-03,2025-03-04,2025-05-02,2073,60
NAM-GCC Low,7,2019-07-01,2025-05-02,2025-05-03,2025-07-01,2133,60
NAM-GCC Low,8,2019-07-01,2025-07-01,2025-07-02,2025-08-30,2193,60
NAM-GCC Low,9,2019-07-01,2025-08-30,2025-08-31,2025-10-29,2253,60
NAM-GCC Low,10,2019-07-01,2025-10-29,2025-10-30,2025-12-28,2313,60
NAM-GCC Low,11,2019-07-01,2025-12-28,2025-12-29,2026-02-26,2373,60
NAM-GCC Low,12,2019-07-01,2026-02-26,2026-02-27,2026-04-27,2433,60
NAM-ITAR DoD,1,2019-07-01,2024-05-07,2024-05-08,2024-07-06,1773,60
NAM-ITAR DoD,2,2019-07-01,2024-07-06,2024-07-07,2024-09-04,1833,60
NAM-ITAR DoD,3,2019-07-01,2024-09-04,2024-09-05,2024-11-03,1893,60
NAM-ITAR DoD,4,2019-07-01,2024-11-03,2024-11-04,2025-01-02,1953,60
NAM-ITAR DoD,5,2019-07-01,2025-01-02,2025-01-03,2025-03-03,2013,60
NAM-ITAR DoD,6,2019-07-01,2025-03-03,2025-03-04,2025-05-02,2073,60
NAM-ITAR DoD,7,2019-07-01,2025-05-02,2025-05-03,2025-07-01,2133,60
NAM-ITAR DoD,8,2019-07-01,2025-07-01,2025-07-02,2025-08-30,2193,60
NAM-ITAR DoD,9,2019-07-01,2025-08-30,2025-08-31,2025-10-29,2253,60
NAM-ITAR DoD,10,2019-07-01,2025-10-29,2025-10-30,2025-12-28,2313,60
NAM-ITAR DoD,11,2019-07-01,2025-12-28,2025-12-29,2026-02-26,2373,60
NAM-ITAR DoD,12,2019-07-01,2026-02-26,2026-02-27,2026-04-27,2433,60
NAM-ITAR GCCH,1,2019-07-01,2024-05-07,2024-05-08,2024-07-06,1773,60
NAM-ITAR GCCH,2,2019-07-01,2024-07-06,2024-07-07,2024-09-04,1833,60
NAM-ITAR GCCH,3,2019-07-01,2024-09-04,2024-09-05,2024-11-03,1893,60
NAM-ITAR GCCH,4,2019-07-01,2024-11-03,2024-11-04,2025-01-02,1953,60
NAM-ITAR GCCH,5,2019-07-01,2025-01-02,2025-01-03,2025-03-03,2013,60
NAM-ITAR GCCH,6,2019-07-01,2025-03-03,2025-03-04,2025-05-02,2073,60
NAM-ITAR GCCH,7,2019-07-01,2025-05-02,2025-05-03,2025-07-01,2133,60
NAM-ITAR GCCH,8,2019-07-01,2025-07-01,2025-07-02,2025-08-30,2193,60
NAM-ITAR GCCH,9,2019-07-01,2025-08-30,2025-08-31,2025-10-29,2253,60
NAM-ITAR GCCH,10,2019-07-01,2025-10-29,2025-10-30,2025-12-28,2313,60
NAM-ITAR GCCH,11,2019-07-01,2025-12-28,2025-12-29,2026-02-26,2373,60
NAM-ITAR GCCH,12,2019-07-01,2026-02-26,2026-02-27,2026-04-27,2433,60
NAM-MSIT,1,2019-07-01,2024-05-07,2024-05-08,2024-07-06,1773,60
