file_path,risk_type,detected_pattern,line_number_or_location,risk_level,why_it_matters,recommended_action
_30_engine.R,forecast_execution,backtest = list(,line 264,high,Forecast execution is prohibited in TESSERACT Shiny.,Do not reuse directly; adapt only layout/display pattern after manual review.
_30_engine.R,governance_violation,winner = list(,line 269,high,Potential language or behavior conflicts with governance.,Do not reuse directly; adapt only layout/display pattern after manual review.
_30_engine.R,governance_violation,"model_id = winner_model_id,",line 270,high,Potential language or behavior conflicts with governance.,Do not reuse directly; adapt only layout/display pattern after manual review.
_30_engine.R,project_specific_text,"score = .safe_num(winner_row$score),",line 273,medium,Reference domain labels must not be copied into TESSERACT.,Do not reuse directly; adapt only layout/display pattern after manual review.
_30_engine.R,governance_violation,"score = .safe_num(winner_row$score),",line 273,high,Potential language or behavior conflicts with governance.,Do not reuse directly; adapt only layout/display pattern after manual review.
_30_engine.R,project_specific_text,"wMAPE_mean = .safe_num(winner_row$wMAPE_mean),",line 275,medium,Reference domain labels must not be copied into TESSERACT.,Do not reuse directly; adapt only layout/display pattern after manual review.
_30_engine.R,governance_violation,"wMAPE_mean = .safe_num(winner_row$wMAPE_mean),",line 275,high,Potential language or behavior conflicts with governance.,Do not reuse directly; adapt only layout/display pattern after manual review.
_30_engine.R,project_specific_text,"wMAPE_sd   = .safe_num(winner_row$wMAPE_sd),",line 276,medium,Reference domain labels must not be copied into TESSERACT.,Do not reuse directly; adapt only layout/display pattern after manual review.
_30_engine.R,governance_violation,"wMAPE_sd   = .safe_num(winner_row$wMAPE_sd),",line 276,high,Potential language or behavior conflicts with governance.,Do not reuse directly; adapt only layout/display pattern after manual review.
_30_engine.R,project_specific_text,"sMAPE_mean = .safe_num(winner_row$sMAPE_mean),",line 277,medium,Reference domain labels must not be copied into TESSERACT.,Do not reuse directly; adapt only layout/display pattern after manual review.
_30_engine.R,governance_violation,"sMAPE_mean = .safe_num(winner_row$sMAPE_mean),",line 277,high,Potential language or behavior conflicts with governance.,Do not reuse directly; adapt only layout/display pattern after manual review.
_30_engine.R,project_specific_text,"sMAPE_sd   = .safe_num(winner_row$sMAPE_sd),",line 278,medium,Reference domain labels must not be copied into TESSERACT.,Do not reuse directly; adapt only layout/display pattern after manual review.
_30_engine.R,governance_violation,"sMAPE_sd   = .safe_num(winner_row$sMAPE_sd),",line 278,high,Potential language or behavior conflicts with governance.,Do not reuse directly; adapt only layout/display pattern after manual review.
_30_engine.R,project_specific_text,"RMSE_mean  = .safe_num(winner_row$RMSE_mean),",line 279,medium,Reference domain labels must not be copied into TESSERACT.,Do not reuse directly; adapt only layout/display pattern after manual review.
_30_engine.R,governance_violation,"RMSE_mean  = .safe_num(winner_row$RMSE_mean),",line 279,high,Potential language or behavior conflicts with governance.,Do not reuse directly; adapt only layout/display pattern after manual review.
_30_engine.R,project_specific_text,"RMSE_sd    = .safe_num(winner_row$RMSE_sd),",line 280,medium,Reference domain labels must not be copied into TESSERACT.,Do not reuse directly; adapt only layout/display pattern after manual review.
_30_engine.R,governance_violation,"RMSE_sd    = .safe_num(winner_row$RMSE_sd),",line 280,high,Potential language or behavior conflicts with governance.,Do not reuse directly; adapt only layout/display pattern after manual review.
_30_engine.R,project_specific_text,"MAE_mean   = .safe_num(winner_row$MAE_mean),",line 281,medium,Reference domain labels must not be copied into TESSERACT.,Do not reuse directly; adapt only layout/display pattern after manual review.
_30_engine.R,governance_violation,"MAE_mean   = .safe_num(winner_row$MAE_mean),",line 281,high,Potential language or behavior conflicts with governance.,Do not reuse directly; adapt only layout/display pattern after manual review.
_30_engine.R,project_specific_text,"MAE_sd     = .safe_num(winner_row$MAE_sd),",line 282,medium,Reference domain labels must not be copied into TESSERACT.,Do not reuse directly; adapt only layout/display pattern after manual review.
_30_engine.R,governance_violation,"MAE_sd     = .safe_num(winner_row$MAE_sd),",line 282,high,Potential language or behavior conflicts with governance.,Do not reuse directly; adapt only layout/display pattern after manual review.
_30_engine.R,project_specific_text,"MAPE_mean  = .safe_num(winner_row$MAPE_mean),",line 283,medium,Reference domain labels must not be copied into TESSERACT.,Do not reuse directly; adapt only layout/display pattern after manual review.
_30_engine.R,governance_violation,"MAPE_mean  = .safe_num(winner_row$MAPE_mean),",line 283,high,Potential language or behavior conflicts with governance.,Do not reuse directly; adapt only layout/display pattern after manual review.
_30_engine.R,project_specific_text,"MAPE_sd    = .safe_num(winner_row$MAPE_sd),",line 284,medium,Reference domain labels must not be copied into TESSERACT.,Do not reuse directly; adapt only layout/display pattern after manual review.
_30_engine.R,governance_violation,"MAPE_sd    = .safe_num(winner_row$MAPE_sd),",line 284,high,Potential language or behavior conflicts with governance.,Do not reuse directly; adapt only layout/display pattern after manual review.
_30_engine.R,project_specific_text,n_splits   = .safe_num(winner_row$n_splits),line 285,medium,Reference domain labels must not be copied into TESSERACT.,Do not reuse directly; adapt only layout/display pattern after manual review.
_30_engine.R,governance_violation,n_splits   = .safe_num(winner_row$n_splits),line 285,high,Potential language or behavior conflicts with governance.,Do not reuse directly; adapt only layout/display pattern after manual review.
AI_SAF.R,project_specific_text,# AI_SAF.R,line 2,medium,Reference domain labels must not be copied into TESSERACT.,Do not reuse directly; adapt only layout/display pattern after manual review.
AI_SAF.R,forecast_execution,# Massive Forecasting Income — Shiny App Runner,line 4,high,Forecast execution is prohibited in TESSERACT Shiny.,Do not reuse directly; adapt only layout/display pattern after manual review.
AI_SAF.R,pipeline_execution,#   La app NO cocina datos en runtime; eso se hace vía pipeline.,line 8,high,Pipeline execution is not allowed in read-only dashboard.,Do not reuse directly; adapt only layout/display pattern after manual review.
AI_SAF.R,project_specific_text,#   Rscript AI_SAF.R,line 12,medium,Reference domain labels must not be copied into TESSERACT.,Do not reuse directly; adapt only layout/display pattern after manual review.
AI_SAF.R,pipeline_execution,"# Modo mantenimiento (pipeline, sin Shiny):",line 14,high,Pipeline execution is not allowed in read-only dashboard.,Do not reuse directly; adapt only layout/display pattern after manual review.
AI_SAF.R,pipeline_execution,#   RUN_PIPELINE=1 Rscript AI_SAF.R,line 15,high,Pipeline execution is not allowed in read-only dashboard.,Do not reuse directly; adapt only layout/display pattern after manual review.
AI_SAF.R,project_specific_text,#   RUN_PIPELINE=1 Rscript AI_SAF.R,line 15,medium,Reference domain labels must not be copied into TESSERACT.,Do not reuse directly; adapt only layout/display pattern after manual review.
AI_SAF.R,project_specific_text,#   APP_VERBOSE=1 Rscript AI_SAF.R,line 18,medium,Reference domain labels must not be copied into TESSERACT.,Do not reuse directly; adapt only layout/display pattern after manual review.
AI_SAF.R,project_specific_text,"""\nAsegurate de correr desde V2 o ejecutar: Rscript AI_SAF.R desde la carpeta V2."",",line 74,medium,Reference domain labels must not be copied into TESSERACT.,Do not reuse directly; adapt only layout/display pattern after manual review.
AI_SAF.R,hardcoded_path,setwd(app_dir),line 80,high,Hardcoded paths reduce V1 portability.,Do not reuse directly; adapt only layout/display pattern after manual review.
AI_SAF.R,runtime_data_cooking,# IMPORTANTE: antes de UI/Server,line 94,medium,Data cooking in Shiny can violate governed artifact consumption.,Do not reuse directly; adapt only layout/display pattern after manual review.
AI_SAF.R,forecast_execution,#   3) backtesting (usa registry + helpers),line 99,high,Forecast execution is prohibited in TESSERACT Shiny.,Do not reuse directly; adapt only layout/display pattern after manual review.
AI_SAF.R,forecast_execution,#   4) engine + runners (usan todo lo anterior),line 100,high,Forecast execution is prohibited in TESSERACT Shiny.,Do not reuse directly; adapt only layout/display pattern after manual review.
AI_SAF.R,model_execution,".source_maybe_quiet(.src(""forecast_models_registry.R""))   # run_model_forecast()",line 102,high,Model execution is prohibited in TESSERACT Shiny.,Do not reuse directly; adapt only layout/display pattern after manual review.
AI_SAF.R,forecast_execution,".source_maybe_quiet(.src(""forecast_models_registry.R""))   # run_model_forecast()",line 102,high,Forecast execution is prohibited in TESSERACT Shiny.,Do not reuse directly; adapt only layout/display pattern after manual review.
AI_SAF.R,forecast_execution,".source_maybe_quiet(.src(""forecast_backtesting.R""))       # backtest_rolling_origin()",line 104,high,Forecast execution is prohibited in TESSERACT Shiny.,Do not reuse directly; adapt only layout/display pattern after manual review.
AI_SAF.R,pipeline_execution,".source_maybe_quiet(.src(""forecast_engine/_30_engine.R""))",line 107,high,Pipeline execution is not allowed in read-only dashboard.,Do not reuse directly; adapt only layout/display pattern after manual review.
AI_SAF.R,forecast_execution,".source_maybe_quiet(.src(""forecast_engine/_20_forecast_runner.R""))",line 108,high,Forecast execution is prohibited in TESSERACT Shiny.,Do not reuse directly; adapt only layout/display pattern after manual review.
AI_SAF.R,pipeline_execution,".source_maybe_quiet(.src(""forecast_engine/_20_forecast_runner.R""))",line 108,high,Pipeline execution is not allowed in read-only dashboard.,Do not reuse directly; adapt only layout/display pattern after manual review.
AI_SAF.R,pipeline_execution,"run_pipeline <- identical(Sys.getenv(""RUN_PIPELINE"", ""0""), ""1"")",line 113,high,Pipeline execution is not allowed in read-only dashboard.,Do not reuse directly; adapt only layout/display pattern after manual review.
AI_SAF.R,pipeline_execution,if (run_pipeline) {,line 115,high,Pipeline execution is not allowed in read-only dashboard.,Do not reuse directly; adapt only layout/display pattern after manual review.
AI_SAF.R,pipeline_execution,".vmsg(""🛠️ RUN_PIPELINE=1 -> ejecutando pipeline (validación + rebuild RDS) ..."")",line 117,high,Pipeline execution is not allowed in read-only dashboard.,Do not reuse directly; adapt only layout/display pattern after manual review.
AI_SAF.R,pipeline_execution,".vmsg(""✅ Pipeline completado. (RDS actualizado en exports/)"")",line 126,high,Pipeline execution is not allowed in read-only dashboard.,Do not reuse directly; adapt only layout/display pattern after manual review.
AI_SAF.R,pipeline_execution,"cat(""✅ Pipeline: OK\n"")",line 128,high,Pipeline execution is not allowed in read-only dashboard.,Do not reuse directly; adapt only layout/display pattern after manual review.
AI_SAF.R,runtime_data_cooking,".source_maybe_quiet(.src(""importacion.R""))",line 137,medium,Data cooking in Shiny can violate governed artifact consumption.,Do not reuse directly; adapt only layout/display pattern after manual review.
body.R,project_specific_text,"#   - Ingresos, Ingresos_mensual, Impuestos, Estacionalidad, etc.",line 14,medium,Reference domain labels must not be copied into TESSERACT.,Do not reuse directly; adapt only layout/display pattern after manual review.
body.R,pipeline_execution,#   - Este archivo debe ser estable aunque cambie el pipeline.,line 19,high,Pipeline execution is not allowed in read-only dashboard.,Do not reuse directly; adapt only layout/display pattern after manual review.
body.R,runtime_data_cooking,.sidebar-collapse .main-sidebar                                        { width: 60px !important; transform: none !important; },line 66,medium,Data cooking in Shiny can violate governed artifact consumption.,Do not reuse directly; adapt only layout/display pattern after manual review.
