run_id,metric,series_id,model_name,model_family,forecast_steps_emitted,model_status,runtime_seconds,error
P6B_20260823T220902,HDD,HDD__Basilisk__NA__Forest__eurp180,FixedGrowth_4,Baseline,30,OK,0.0006,
P6B_20260823T220902,HDD,HDD__Basilisk__NA__Forest__eurp180,FixedGrowth_6,Baseline,30,OK,0.0006,
P6B_20260823T220902,HDD,HDD__Basilisk__NA__Forest__eurp180,ARIMA_Fixed,Baseline,30,OK,0.001,
P6B_20260823T220902,HDD,HDD__Basilisk__NA__Forest__eurp180,AutoARIMA,Challenger,30,OK,0.0064,
P6B_20260823T220902,HDD,HDD__Basilisk__NA__Forest__eurp180,ETS Explicit,Challenger,30,OK,0.0071,
P6B_20260823T220902,HDD,HDD__Basilisk__NA__Forest__eurp180,ETS_Current,Baseline,30,OK,0.0009,
P6B_20260823T220902,HDD,HDD__Basilisk__NA__Forest__eurp180,Theta,Challenger,30,OK,0.0067,
P6B_20260823T220902,HDD,HDD__Basilisk__NA__Forest__eurp180,LightGBM,Challenger,30,OK,0.0076,
P6B_20260823T220902,HDD,HDD__Basilisk__NA__Forest__eurp180,LinearRegression,Baseline,30,OK,0.0012,
P6B_20260823T220902,HDD,HDD__Basilisk__NA__Forest__eurp180,XGBoost,Challenger,30,OK,0.0114,
P6B_20260823T220902,HDD,HDD__Basilisk__NA__Forest__eurp180,FNAR-V2,Neural,30,OK,0.0056,
P6B_20260823T220902,HDD,HDD__Basilisk__NA__Forest__eurp180,NLIN-DLIN_FIXED,Neural,30,OK,0.001,
P6B_20260823T220902,HDD,HDD__Basilisk__NA__Forest__eurp180,SMLP-TCN,Neural,30,OK,0.0006,
P6B_20260823T220902,HDD,HDD__Basilisk__NA__Forest__eurprd07,FixedGrowth_1_5,Baseline,30,OK,0.0009,
P6B_20260823T220902,HDD,HDD__Basilisk__NA__Forest__eurprd07,FixedGrowth_3,Baseline,30,OK,0.0006,
P6B_20260823T220902,HDD,HDD__Basilisk__NA__Forest__eurprd07,FixedGrowth_4,Baseline,30,OK,0.0006,
P6B_20260823T220902,HDD,HDD__Basilisk__NA__Forest__eurprd07,FixedGrowth_6,Baseline,30,OK,0.0006,
P6B_20260823T220902,HDD,HDD__Basilisk__NA__Forest__eurprd07,ARIMA_Fixed,Baseline,30,OK,0.0007,
P6B_20260823T220902,HDD,HDD__Basilisk__NA__Forest__eurprd07,AutoARIMA,Challenger,30,OK,0.3216,
P6B_20260823T220902,HDD,HDD__Basilisk__NA__Forest__eurprd07,ETS Explicit,Challenger,30,OK,0.0097,
P6B_20260823T220902,HDD,HDD__Basilisk__NA__Forest__eurprd07,ETS_Current,Baseline,30,OK,0.001,
P6B_20260823T220902,HDD,HDD__Basilisk__NA__Forest__eurprd07,Theta,Challenger,30,OK,0.0083,
P6B_20260823T220902,HDD,HDD__Basilisk__NA__Forest__eurprd07,LightGBM,Challenger,30,OK,0.0108,
P6B_20260823T220902,HDD,HDD__Basilisk__NA__Forest__eurprd07,LinearRegression,Baseline,30,OK,0.0013,
P6B_20260823T220902,HDD,HDD__Basilisk__NA__Forest__eurprd07,XGBoost,Challenger,30,OK,0.0219,
P6B_20260823T220902,HDD,HDD__Basilisk__NA__Forest__eurprd07,FNAR-V2,Neural,30,OK,0.0721,
P6B_20260823T220902,HDD,HDD__Basilisk__NA__Forest__eurprd07,NLIN-DLIN_FIXED,Neural,30,OK,0.0012,
P6B_20260823T220902,HDD,HDD__Basilisk__NA__Forest__eurprd07,SMLP-TCN,Neural,30,OK,0.0007,
P6B_20260823T220902,HDD,HDD__Basilisk__NA__Forest__jpnprd01,FixedGrowth_1_5,Baseline,30,OK,0.001,
P6B_20260823T220902,HDD,HDD__Basilisk__NA__Forest__jpnprd01,FixedGrowth_3,Baseline,30,OK,0.0007,
P6B_20260823T220902,HDD,HDD__Basilisk__NA__Forest__jpnprd01,FixedGrowth_4,Baseline,30,OK,0.0006,
P6B_20260823T220902,HDD,HDD__Basilisk__NA__Forest__jpnprd01,FixedGrowth_6,Baseline,30,OK,0.0006,
P6B_20260823T220902,HDD,HDD__Basilisk__NA__Forest__jpnprd01,ARIMA_Fixed,Baseline,30,OK,0.0007,
P6B_20260823T220902,HDD,HDD__Basilisk__NA__Forest__jpnprd01,AutoARIMA,Challenger,30,OK,0.6278,
P6B_20260823T220902,HDD,HDD__Basilisk__NA__Forest__jpnprd01,ETS Explicit,Challenger,30,OK,0.0111,
P6B_20260823T220902,HDD,HDD__Basilisk__NA__Forest__jpnprd01,ETS_Current,Baseline,30,OK,0.0014,
P6B_20260823T220902,HDD,HDD__Basilisk__NA__Forest__jpnprd01,Theta,Challenger,30,OK,0.0106,
P6B_20260823T220902,HDD,HDD__Basilisk__NA__Forest__jpnprd01,LightGBM,Challenger,30,OK,0.0118,
P6B_20260823T220902,HDD,HDD__Basilisk__NA__Forest__jpnprd01,LinearRegression,Baseline,30,OK,0.0014,
P6B_20260823T220902,HDD,HDD__Basilisk__NA__Forest__jpnprd01,XGBoost,Challenger,30,OK,0.0212,
P6B_20260823T220902,HDD,HDD__Basilisk__NA__Forest__jpnprd01,FNAR-V2,Neural,30,OK,0.07,
P6B_20260823T220902,HDD,HDD__Basilisk__NA__Forest__jpnprd01,NLIN-DLIN_FIXED,Neural,30,OK,0.0026,
P6B_20260823T220902,HDD,HDD__Basilisk__NA__Forest__jpnprd01,SMLP-TCN,Neural,30,OK,0.001,
P6B_20260823T220902,HDD,HDD__Basilisk__NA__Forest__namp113,FixedGrowth_1_5,Baseline,30,OK,0.0011,
P6B_20260823T220902,HDD,HDD__Basilisk__NA__Forest__namp113,FixedGrowth_3,Baseline,30,OK,0.0006,
P6B_20260823T220902,HDD,HDD__Basilisk__NA__Forest__namp113,FixedGrowth_4,Baseline,30,OK,0.0006,
P6B_20260823T220902,HDD,HDD__Basilisk__NA__Forest__namp113,FixedGrowth_6,Baseline,30,OK,0.0006,
P6B_20260823T220902,HDD,HDD__Basilisk__NA__Forest__namp113,ARIMA_Fixed,Baseline,30,OK,0.0007,
P6B_20260823T220902,HDD,HDD__Basilisk__NA__Forest__namp113,AutoARIMA,Challenger,30,OK,0.0833,
P6B_20260823T220902,HDD,HDD__Basilisk__NA__Forest__namp113,ETS Explicit,Challenger,30,OK,0.0099,
P6B_20260823T220902,HDD,HDD__Basilisk__NA__Forest__namp113,ETS_Current,Baseline,30,OK,0.0015,
P6B_20260823T220902,HDD,HDD__Basilisk__NA__Forest__namp113,Theta,Challenger,30,OK,0.0089,
P6B_20260823T220902,HDD,HDD__Basilisk__NA__Forest__namp113,LightGBM,Challenger,30,OK,0.0111,
P6B_20260823T220902,HDD,HDD__Basilisk__NA__Forest__namp113,LinearRegression,Baseline,30,OK,0.0013,
P6B_20260823T220902,HDD,HDD__Basilisk__NA__Forest__namp113,XGBoost,Challenger,30,OK,0.0189,
P6B_20260823T220902,HDD,HDD__Basilisk__NA__Forest__namp113,FNAR-V2,Neural,30,OK,0.0669,
P6B_20260823T220902,HDD,HDD__Basilisk__NA__Forest__namp113,NLIN-DLIN_FIXED,Neural,30,OK,0.0011,
P6B_20260823T220902,HDD,HDD__Basilisk__NA__Forest__namp113,SMLP-TCN,Neural,30,OK,0.0007,
P6B_20260823T220902,HDD,HDD__Basilisk__NA__Forest__namp157,FixedGrowth_1_5,Baseline,30,OK,0.0009,
P6B_20260823T220902,HDD,HDD__Basilisk__NA__Forest__namp157,FixedGrowth_3,Baseline,30,OK,0.0006,
P6B_20260823T220902,HDD,HDD__Basilisk__NA__Forest__namp157,FixedGrowth_4,Baseline,30,OK,0.0006,
P6B_20260823T220902,HDD,HDD__Basilisk__NA__Forest__namp157,FixedGrowth_6,Baseline,30,OK,0.0006,
P6B_20260823T220902,HDD,HDD__Basilisk__NA__Forest__namp157,ARIMA_Fixed,Baseline,30,OK,0.0007,
P6B_20260823T220902,HDD,HDD__Basilisk__NA__Forest__namp157,AutoARIMA,Challenger,30,OK,0.0081,
P6B_20260823T220902,HDD,HDD__Basilisk__NA__Forest__namp157,ETS Explicit,Challenger,30,OK,0.0071,
P6B_20260823T220902,HDD,HDD__Basilisk__NA__Forest__namp157,ETS_Current,Baseline,30,OK,0.0009,
P6B_20260823T220902,HDD,HDD__Basilisk__NA__Forest__namp157,Theta,Challenger,30,OK,0.0075,
P6B_20260823T220902,HDD,HDD__Basilisk__NA__Forest__namp157,LightGBM,Challenger,30,OK,0.0075,
P6B_20260823T220902,HDD,HDD__Basilisk__NA__Forest__namp157,LinearRegression,Baseline,30,OK,0.001,
P6B_20260823T220902,HDD,HDD__Basilisk__NA__Forest__namp157,XGBoost,Challenger,30,OK,0.013,
P6B_20260823T220902,HDD,HDD__Basilisk__NA__Forest__namp157,FNAR-V2,Neural,30,OK,0.0055,
P6B_20260823T220902,HDD,HDD__Basilisk__NA__Forest__namp157,NLIN-DLIN_FIXED,Neural,30,OK,0.001,
P6B_20260823T220902,HDD,HDD__Basilisk__NA__Forest__namp157,SMLP-TCN,Neural,30,OK,0.0006,
P6B_20260823T220902,HDD,HDD__Basilisk__NA__Forest__namp222,FixedGrowth_1_5,Baseline,30,OK,0.0011,
P6B_20260823T220902,HDD,HDD__Basilisk__NA__Forest__namp222,FixedGrowth_3,Baseline,30,OK,0.001,
P6B_20260823T220902,HDD,HDD__Basilisk__NA__Forest__namp222,FixedGrowth_4,Baseline,30,OK,0.0008,
P6B_20260823T220902,HDD,HDD__Basilisk__NA__Forest__namp222,FixedGrowth_6,Baseline,30,OK,0.0006,
P6B_20260823T220902,HDD,HDD__Basilisk__NA__Forest__namp222,ARIMA_Fixed,Baseline,30,OK,0.0007,
P6B_20260823T220902,HDD,HDD__Basilisk__NA__Forest__namp222,AutoARIMA,Challenger,30,OK,0.253,
P6B_20260823T220902,HDD,HDD__Basilisk__NA__Forest__namp222,ETS Explicit,Challenger,30,OK,0.0069,
P6B_20260823T220902,HDD,HDD__Basilisk__NA__Forest__namp222,ETS_Current,Baseline,30,OK,0.001,
P6B_20260823T220902,HDD,HDD__Basilisk__NA__Forest__namp222,Theta,Challenger,30,OK,0.0096,
P6B_20260823T220902,HDD,HDD__Basilisk__NA__Forest__namp222,LightGBM,Challenger,30,OK,0.0099,
P6B_20260823T220902,HDD,HDD__Basilisk__NA__Forest__namp222,LinearRegression,Baseline,30,OK,0.0015,
P6B_20260823T220902,HDD,HDD__Basilisk__NA__Forest__namp222,XGBoost,Challenger,30,OK,0.0139,
P6B_20260823T220902,HDD,HDD__Basilisk__NA__Forest__namp222,FNAR-V2,Neural,30,OK,0.0055,
P6B_20260823T220902,HDD,HDD__Basilisk__NA__Forest__namp222,NLIN-DLIN_FIXED,Neural,30,OK,0.001,
P6B_20260823T220902,HDD,HDD__Basilisk__NA__Forest__namp222,SMLP-TCN,Neural,30,OK,0.0006,
P6B_20260823T220902,HDD,HDD__Basilisk__NA__Forest__namprd15,FixedGrowth_1_5,Baseline,30,OK,0.0009,
P6B_20260823T220902,HDD,HDD__Basilisk__NA__Forest__namprd15,FixedGrowth_3,Baseline,30,OK,0.0006,
P6B_20260823T220902,HDD,HDD__Basilisk__NA__Forest__namprd15,FixedGrowth_4,Baseline,30,OK,0.0006,
P6B_20260823T220902,HDD,HDD__Basilisk__NA__Forest__namprd15,FixedGrowth_6,Baseline,30,OK,0.0006,
P6B_20260823T220902,HDD,HDD__Basilisk__NA__Forest__namprd15,ARIMA_Fixed,Baseline,30,OK,0.0007,
P6B_20260823T220902,HDD,HDD__Basilisk__NA__Forest__namprd15,AutoARIMA,Challenger,30,OK,0.1016,
P6B_20260823T220902,HDD,HDD__Basilisk__NA__Forest__namprd15,ETS Explicit,Challenger,30,OK,0.0097,
P6B_20260823T220902,HDD,HDD__Basilisk__NA__Forest__namprd15,ETS_Current,Baseline,30,OK,0.0009,
P6B_20260823T220902,HDD,HDD__Basilisk__NA__Forest__namprd15,Theta,Challenger,30,OK,0.0068,
P6B_20260823T220902,HDD,HDD__Basilisk__NA__Forest__namprd15,LightGBM,Challenger,30,OK,0.0099,
P6B_20260823T220902,HDD,HDD__Basilisk__NA__Forest__namprd15,LinearRegression,Baseline,30,OK,0.0015,
P6B_20260823T220902,HDD,HDD__Basilisk__NA__Forest__namprd15,XGBoost,Challenger,30,OK,0.0217,
P6B_20260823T220902,HDD,HDD__Basilisk__NA__Forest__namprd15,FNAR-V2,Neural,30,OK,0.0565,
P6B_20260823T220902,HDD,HDD__Basilisk__NA__Forest__namprd15,NLIN-DLIN_FIXED,Neural,30,OK,0.0011,
P6B_20260823T220902,HDD,HDD__Basilisk__NA__Forest__namprd15,SMLP-TCN,Neural,30,OK,0.0007,
P6B_20260823T220902,HDD,HDD__Basilisk__NA__Region__GBR-Go-Local,FixedGrowth_1_5,Baseline,30,OK,0.001,
P6B_20260823T220902,HDD,HDD__Basilisk__NA__Region__GBR-Go-Local,FixedGrowth_3,Baseline,30,OK,0.0006,
P6B_20260823T220902,HDD,HDD__Basilisk__NA__Region__GBR-Go-Local,FixedGrowth_4,Baseline,30,OK,0.0006,
P6B_20260823T220902,HDD,HDD__Basilisk__NA__Region__GBR-Go-Local,FixedGrowth_6,Baseline,30,OK,0.0006,
P6B_20260823T220902,HDD,HDD__Basilisk__NA__Region__GBR-Go-Local,ARIMA_Fixed,Baseline,30,OK,0.0007,
P6B_20260823T220902,HDD,HDD__Basilisk__NA__Region__GBR-Go-Local,AutoARIMA,Challenger,30,OK,0.0616,
P6B_20260823T220902,HDD,HDD__Basilisk__NA__Region__GBR-Go-Local,ETS Explicit,Challenger,30,OK,0.0075,
P6B_20260823T220902,HDD,HDD__Basilisk__NA__Region__GBR-Go-Local,ETS_Current,Baseline,30,OK,0.0009,
P6B_20260823T220902,HDD,HDD__Basilisk__NA__Region__GBR-Go-Local,Theta,Challenger,30,OK,0.0088,
P6B_20260823T220902,HDD,HDD__Basilisk__NA__Region__GBR-Go-Local,LightGBM,Challenger,30,OK,0.0102,
P6B_20260823T220902,HDD,HDD__Basilisk__NA__Region__GBR-Go-Local,LinearRegression,Baseline,30,OK,0.0013,
P6B_20260823T220902,HDD,HDD__Basilisk__NA__Region__GBR-Go-Local,XGBoost,Challenger,30,OK,0.0203,
P6B_20260823T220902,HDD,HDD__Basilisk__NA__Region__GBR-Go-Local,FNAR-V2,Neural,30,OK,0.02,
P6B_20260823T220902,HDD,HDD__Basilisk__NA__Region__GBR-Go-Local,NLIN-DLIN_FIXED,Neural,30,OK,0.0011,
P6B_20260823T220902,HDD,HDD__Basilisk__NA__Region__GBR-Go-Local,SMLP-TCN,Neural,30,OK,0.0007,
P6B_20260823T220902,HDD,HDD__Basilisk__NA__Region__ITA-Go-Local,FixedGrowth_1_5,Baseline,30,OK,0.0009,
P6B_20260823T220902,HDD,HDD__Basilisk__NA__Region__ITA-Go-Local,FixedGrowth_3,Baseline,30,OK,0.0006,
P6B_20260823T220902,HDD,HDD__Basilisk__NA__Region__ITA-Go-Local,FixedGrowth_4,Baseline,30,OK,0.0006,
P6B_20260823T220902,HDD,HDD__Basilisk__NA__Region__ITA-Go-Local,FixedGrowth_6,Baseline,30,OK,0.0006,
P6B_20260823T220902,HDD,HDD__Basilisk__NA__Region__ITA-Go-Local,ARIMA_Fixed,Baseline,30,OK,0.0007,
P6B_20260823T220902,HDD,HDD__Basilisk__NA__Region__ITA-Go-Local,AutoARIMA,Challenger,30,OK,0.0069,
P6B_20260823T220902,HDD,HDD__Basilisk__NA__Region__ITA-Go-Local,ETS Explicit,Challenger,30,OK,0.0075,
P6B_20260823T220902,HDD,HDD__Basilisk__NA__Region__ITA-Go-Local,ETS_Current,Baseline,30,OK,0.0009,
P6B_20260823T220902,HDD,HDD__Basilisk__NA__Region__ITA-Go-Local,Theta,Challenger,30,OK,0.0071,
P6B_20260823T220902,HDD,HDD__Basilisk__NA__Region__ITA-Go-Local,LightGBM,Challenger,30,OK,0.0082,
P6B_20260823T220902,HDD,HDD__Basilisk__NA__Region__ITA-Go-Local,LinearRegression,Baseline,30,OK,0.0012,
P6B_20260823T220902,HDD,HDD__Basilisk__NA__Region__ITA-Go-Local,XGBoost,Challenger,30,OK,0.0121,
P6B_20260823T220902,HDD,HDD__Basilisk__NA__Region__ITA-Go-Local,FNAR-V2,Neural,30,OK,0.0053,
P6B_20260823T220902,HDD,HDD__Basilisk__NA__Region__ITA-Go-Local,NLIN-DLIN_FIXED,Neural,30,OK,0.0009,
P6B_20260823T220902,HDD,HDD__Basilisk__NA__Region__ITA-Go-Local,SMLP-TCN,Neural,30,OK,0.0006,
P6B_20260823T220902,HDD,HDD__Basilisk__NA__Region__are-Go-Local,FixedGrowth_1_5,Baseline,30,OK,0.0008,
P6B_20260823T220902,HDD,HDD__Basilisk__NA__Region__are-Go-Local,FixedGrowth_3,Baseline,30,OK,0.0006,
P6B_20260823T220902,HDD,HDD__Basilisk__NA__Region__are-Go-Local,FixedGrowth_4,Baseline,30,OK,0.0006,
P6B_20260823T220902,HDD,HDD__Basilisk__NA__Region__are-Go-Local,FixedGrowth_6,Baseline,30,OK,0.0006,
P6B_20260823T220902,HDD,HDD__Basilisk__NA__Region__are-Go-Local,ARIMA_Fixed,Baseline,30,OK,0.0007,
P6B_20260823T220902,HDD,HDD__Basilisk__NA__Region__are-Go-Local,AutoARIMA,Challenger,30,OK,0.1801,
P6B_20260823T220902,HDD,HDD__Basilisk__NA__Region__are-Go-Local,ETS Explicit,Challenger,30,OK,0.0101,
P6B_20260823T220902,HDD,HDD__Basilisk__NA__Region__are-Go-Local,ETS_Current,Baseline,30,OK,0.001,
P6B_20260823T220902,HDD,HDD__Basilisk__NA__Region__are-Go-Local,Theta,Challenger,30,OK,0.0068,
P6B_20260823T220902,HDD,HDD__Basilisk__NA__Region__are-Go-Local,LightGBM,Challenger,30,OK,0.0097,
P6B_20260823T220902,HDD,HDD__Basilisk__NA__Region__are-Go-Local,LinearRegression,Baseline,30,OK,0.0013,
P6B_20260823T220902,HDD,HDD__Basilisk__NA__Region__are-Go-Local,XGBoost,Challenger,30,OK,0.0211,
P6B_20260823T220902,HDD,HDD__Basilisk__NA__Region__are-Go-Local,FNAR-V2,Neural,30,OK,0.0681,
P6B_20260823T220902,HDD,HDD__Basilisk__NA__Region__are-Go-Local,NLIN-DLIN_FIXED,Neural,30,OK,0.0011,
P6B_20260823T220902,HDD,HDD__Basilisk__NA__Region__are-Go-Local,SMLP-TCN,Neural,30,OK,0.0007,
P6B_20260823T220902,HDD,HDD__Basilisk__NA__Region__chl-Go-Local,FixedGrowth_1_5,Baseline,30,OK,0.0009,
P6B_20260823T220902,HDD,HDD__Basilisk__NA__Region__chl-Go-Local,FixedGrowth_3,Baseline,30,OK,0.0007,
P6B_20260823T220902,HDD,HDD__Basilisk__NA__Region__chl-Go-Local,FixedGrowth_4,Baseline,30,OK,0.0006,
P6B_20260823T220902,HDD,HDD__Basilisk__NA__Region__chl-Go-Local,FixedGrowth_6,Baseline,30,OK,0.0006,
P6B_20260823T220902,HDD,HDD__Basilisk__NA__Region__chl-Go-Local,ARIMA_Fixed,Baseline,30,OK,0.0007,
P6B_20260823T220902,HDD,HDD__Basilisk__NA__Region__chl-Go-Local,AutoARIMA,Challenger,30,OK,0.0073,
P6B_20260823T220902,HDD,HDD__Basilisk__NA__Region__chl-Go-Local,ETS Explicit,Challenger,30,OK,0.007,
P6B_20260823T220902,HDD,HDD__Basilisk__NA__Region__chl-Go-Local,ETS_Current,Baseline,30,OK,0.001,
P6B_20260823T220902,HDD,HDD__Basilisk__NA__Region__chl-Go-Local,Theta,Challenger,30,OK,0.0082,
P6B_20260823T220902,HDD,HDD__Basilisk__NA__Region__chl-Go-Local,LightGBM,Challenger,30,OK,0.0076,
P6B_20260823T220902,HDD,HDD__Basilisk__NA__Region__chl-Go-Local,LinearRegression,Baseline,30,OK,0.0012,
P6B_20260823T220902,HDD,HDD__Basilisk__NA__Region__chl-Go-Local,XGBoost,Challenger,30,OK,0.0147,
P6B_20260823T220902,HDD,HDD__Basilisk__NA__Region__chl-Go-Local,FNAR-V2,Neural,30,OK,0.0056,
P6B_20260823T220902,HDD,HDD__Basilisk__NA__Region__chl-Go-Local,NLIN-DLIN_FIXED,Neural,30,OK,0.0011,
P6B_20260823T220902,HDD,HDD__Basilisk__NA__Region__chl-Go-Local,SMLP-TCN,Neural,30,OK,0.0007,
P6B_20260823T220902,HDD,HDD__Basilisk__NA__Region__fra-Go-Local,FixedGrowth_1_5,Baseline,30,OK,0.0009,
P6B_20260823T220902,HDD,HDD__Basilisk__NA__Region__fra-Go-Local,FixedGrowth_3,Baseline,30,OK,0.0006,
P6B_20260823T220902,HDD,HDD__Basilisk__NA__Region__fra-Go-Local,FixedGrowth_4,Baseline,30,OK,0.0006,
P6B_20260823T220902,HDD,HDD__Basilisk__NA__Region__fra-Go-Local,FixedGrowth_6,Baseline,30,OK,0.0006,
P6B_20260823T220902,HDD,HDD__Basilisk__NA__Region__fra-Go-Local,ARIMA_Fixed,Baseline,30,OK,0.0007,
P6B_20260823T220902,HDD,HDD__Basilisk__NA__Region__fra-Go-Local,AutoARIMA,Challenger,30,OK,0.3321,
P6B_20260823T220902,HDD,HDD__Basilisk__NA__Region__fra-Go-Local,ETS Explicit,Challenger,30,OK,0.0117,
P6B_20260823T220902,HDD,HDD__Basilisk__NA__Region__fra-Go-Local,ETS_Current,Baseline,30,OK,0.0011,
P6B_20260823T220902,HDD,HDD__Basilisk__NA__Region__fra-Go-Local,Theta,Challenger,30,OK,0.0076,
P6B_20260823T220902,HDD,HDD__Basilisk__NA__Region__fra-Go-Local,LightGBM,Challenger,30,OK,0.01,
P6B_20260823T220902,HDD,HDD__Basilisk__NA__Region__fra-Go-Local,LinearRegression,Baseline,30,OK,0.0013,
P6B_20260823T220902,HDD,HDD__Basilisk__NA__Region__fra-Go-Local,XGBoost,Challenger,30,OK,0.0214,
P6B_20260823T220902,HDD,HDD__Basilisk__NA__Region__fra-Go-Local,FNAR-V2,Neural,30,OK,0.0073,
P6B_20260823T220902,HDD,HDD__Basilisk__NA__Region__fra-Go-Local,NLIN-DLIN_FIXED,Neural,30,OK,0.001,
P6B_20260823T220902,HDD,HDD__Basilisk__NA__Region__fra-Go-Local,SMLP-TCN,Neural,30,OK,0.0006,
P6B_20260823T220902,HDD,HDD__Basilisk__NA__Region__kor-Go-Local,FixedGrowth_1_5,Baseline,30,OK,0.0009,
P6B_20260823T220902,HDD,HDD__Basilisk__NA__Region__kor-Go-Local,FixedGrowth_3,Baseline,30,OK,0.0007,
P6B_20260823T220902,HDD,HDD__Basilisk__NA__Region__kor-Go-Local,FixedGrowth_4,Baseline,30,OK,0.0006,
P6B_20260823T220902,HDD,HDD__Basilisk__NA__Region__kor-Go-Local,FixedGrowth_6,Baseline,30,OK,0.0006,
P6B_20260823T220902,HDD,HDD__Basilisk__NA__Region__kor-Go-Local,ARIMA_Fixed,Baseline,30,OK,0.0007,
P6B_20260823T220902,HDD,HDD__Basilisk__NA__Region__kor-Go-Local,AutoARIMA,Challenger,30,OK,0.0696,
P6B_20260823T220902,HDD,HDD__Basilisk__NA__Region__kor-Go-Local,ETS Explicit,Challenger,30,OK,0.0076,
P6B_20260823T220902,HDD,HDD__Basilisk__NA__Region__kor-Go-Local,ETS_Current,Baseline,30,OK,0.0009,
P6B_20260823T220902,HDD,HDD__Basilisk__NA__Region__kor-Go-Local,Theta,Challenger,30,OK,0.0088,
P6B_20260823T220902,HDD,HDD__Basilisk__NA__Region__kor-Go-Local,LightGBM,Challenger,30,OK,0.0093,
P6B_20260823T220902,HDD,HDD__Basilisk__NA__Region__kor-Go-Local,LinearRegression,Baseline,30,OK,0.0012,
