schema,table_name,table_type,matched_terms
dbo,SubstrateBE_HDD_TTL_Region_History_88,BASE TABLE,hdd
dbo,SubstrateBE_HDD_TTL_Region_History_89,BASE TABLE,hdd
dbo,SubstrateBE_HDD_TTL_Region_History_90,BASE TABLE,hdd
dbo,SubstrateBE_HDD_TTL_Region_History_91,BASE TABLE,hdd
dbo,SubstrateBE_HDD_TTL_Region_History_92,BASE TABLE,hdd
dbo,SubstrateBE_HDD_TTL_Region_History_93,BASE TABLE,hdd
dbo,SubstrateBE_HDD_TTL_Region_History_94,BASE TABLE,hdd
dbo,SubstrateBE_HddProdForecastRegion,BASE TABLE,hdd
dbo,SubstrateBE_IOPS_Efficiency_Changes,BASE TABLE,iops
dbo,SubstrateBE_IOPS_Future_Supply,BASE TABLE,iops
dbo,substrateBE_iops_perturb_parameter,BASE TABLE,iops
dbo,substrateBE_iops_perturbation_list,BASE TABLE,iops
dbo,SubstrateBE_IOPSConsumed_TTL_Region_History,BASE TABLE,iops
dbo,SubstrateBE_IOPSEffi_TTL_Region_History,BASE TABLE,iops
dbo,SubstrateBE_IOPSFailover_TTL_Region_History,BASE TABLE,iops
dbo,SubstrateBE_IOPSFailoverEffi_TTL_Region_History,BASE TABLE,iops
dbo,substrateBE_SKU_DagIOPS,BASE TABLE,iops
dbo,substrateBE_SKU_IOPS_DagMaxMountedDatabases,BASE TABLE,iops
dbo,substrateBE_SKU_IOPS_Limit,BASE TABLE,iops
dbo,SubstrateBE_SSD_Demand_History,BASE TABLE,ssd
dbo,SubstrateBE_Ssd_MCDB_ForecastForestSKU,BASE TABLE,ssd|mcdb
dbo,SubstrateBE_Ssd_MCDB_ForecastRegion,BASE TABLE,ssd|mcdb
dbo,SubstrateBE_SSD_MCDB_TTL_Region_History,BASE TABLE,ssd|mcdb
dbo,SubstrateBE_SSD_Phoenix_TTL_Region_History,BASE TABLE,ssd|phoenix
dbo,SubstrateBE_Ssd_PhoenixDB_ForecastForest,BASE TABLE,ssd|phoenix
dbo,SubstrateBE_Ssd_PhoenixDB_ForecastRegion,BASE TABLE,ssd|phoenix
dbo,SubstrateBE_SSD_TTL_Region_History,BASE TABLE,ssd
dbo,SubstrateBE_SsdForecastForestSKU,BASE TABLE,ssd
dbo,SubstrateBE_SsdForecastRegion,BASE TABLE,ssd
dbo,SubstrateBE_Storage_CPU_IOPS_by_Forest_SKU,BASE TABLE,iops|cpu
dbo,Teams_CPUTime_Daily,BASE TABLE,cpu
dbo,Teams_CPUTime_Daily_ChatServiceAggregator,BASE TABLE,cpu
dbo,Teams_CPUTime_Daily_SettingsStore,BASE TABLE,cpu
dbo,Teams_CPUTime_Daily_TACO,BASE TABLE,cpu
dbo,Teams_CPUTime_Daily_WebHooks,BASE TABLE,cpu
dbo,Teams_CPUTime_PerMinute,BASE TABLE,cpu
dbo,Teams_MaxAvg_CPUTime_Daily_ChatServiceAggregator,BASE TABLE,cpu
dbo,Teams_MaxAvg_CPUTime_Daily_ChatServiceAggregator_AzSC,BASE TABLE,cpu
dbo,Teams_MaxAvg_CPUTime_Daily_MT,BASE TABLE,cpu
dbo,Teams_MaxAvg_CPUTime_Daily_MT_New,BASE TABLE,cpu
dbo,Teams_MaxAvg_CPUTime_Daily_WebHooks,BASE TABLE,cpu
dbo,Teams_MaxCount_CPU_Daily_Auth,BASE TABLE,cpu
dbo,Teams_MaxCount_CPU_Daily_ChatServiceAggregator,BASE TABLE,cpu
dbo,Teams_MaxCount_CPU_Daily_ChatServiceAggregator_AzSC,BASE TABLE,cpu
dbo,Teams_MaxCount_CPU_Daily_MT,BASE TABLE,cpu
dbo,Teams_MaxCount_CPU_Daily_MT_New,BASE TABLE,cpu
dbo,Teams_MaxCount_CPU_Daily_WebHooks,BASE TABLE,cpu
dbo,vw_DAG_CPU_Metrics,VIEW,cpu
dbo,vw_DAG_CPU_Metrics_old,VIEW,cpu
dbo,vw_DemandPlan_SubstrateBE_SSD_Demand,VIEW,ssd
dbo,vw_DemandPlan_SubstrateBE_SSD_Demand_Region,VIEW,ssd
dbo,vw_Forecast_HDD_Aggregate_v2,VIEW,hdd
dbo,vw_Forecast_SubstrateBE_CPU,VIEW,cpu
dbo,vw_forecast_substrateBE_hdd_accuracy,VIEW,hdd
dbo,vw_Forecast_SubstrateBE_IOPS,VIEW,iops
dbo,vw_Future_Sellables_by_Region_CpuIops,VIEW,iops|cpu
dbo,vw_HLC_GCyclesPerPhoenixTBPerDay,VIEW,phoenix
dbo,vw_HLC_GCyclesPerPhoenixTBPerDayPerForest,VIEW,phoenix
dbo,vw_SubstrateBE_CPU_Demand_Actual_Forecast,VIEW,cpu
dbo,vw_SubstrateBE_CPU_Demand_Supply_Cores,VIEW,cpu
dbo,vw_SubstrateBE_CPU_Demand_Supply_Region,VIEW,cpu
dbo,vw_SubstrateBE_CPU_Efficiencies,VIEW,cpu
dbo,vw_SubstrateBE_CPU_Forecast,VIEW,cpu
dbo,vw_SubstrateBE_CPU_Forecast_Gap,VIEW,cpu
dbo,vw_SubstrateBE_CPU_Forecast_with_Perturbation,VIEW,cpu
dbo,vw_SubstrateBE_CPU_Forest_TTLs,VIEW,cpu
dbo,vw_SubstrateBE_CPU_Future_Supply,VIEW,cpu
dbo,vw_SubstrateBE_CPU_IOPS_Future_Supply,VIEW,iops|cpu
dbo,vw_SubstrateBE_CPU_Latest_Forecast_Perturbation_Forest-AggUpTo-Region,VIEW,cpu
dbo,vw_SubstrateBE_CPU_Latest_Total_Forecast_Region,VIEW,cpu
dbo,vw_SubstrateBE_CPU_Latest_Total_Forecast_Region_Perturbation,VIEW,cpu
dbo,vw_SubstrateBE_CPU_Limit_by_Forest_SKU,VIEW,cpu
dbo,vw_SubstrateBE_CPU_Region_Env_Forecast_Accuracy,VIEW,cpu
dbo,vw_SubstrateBE_CPU_Region_Env_Forecast_Accuracy_for_HotBuffer,VIEW,cpu
dbo,vw_SubstrateBE_CPU_SemanticIndex_Forecast_Region,VIEW,cpu
dbo,vw_SubstrateBE_CPU_Total_Forecast_Region,VIEW,cpu
dbo,vw_SubstrateBE_Demand_Cpu_Forest,VIEW,cpu
dbo,vw_SubstrateBE_Demand_Cpu_Region,VIEW,cpu
dbo,vw_SubstrateBE_Demand_CpuBasilisk_Forest,VIEW,basilisk|cpu
dbo,vw_SubstrateBE_Demand_CpuBasilisk_Region,VIEW,basilisk|cpu
dbo,vw_SubstrateBE_Demand_CpuBasiliskFailover_Forest,VIEW,basilisk|cpu
dbo,vw_SubstrateBE_Demand_CpuBasiliskFailover_Region,VIEW,basilisk|cpu
dbo,vw_SubstrateBE_Demand_CpuFailover_Forest,VIEW,cpu
dbo,vw_SubstrateBE_Demand_CpuFailover_Region,VIEW,cpu
dbo,vw_SubstrateBE_Demand_CpuNonPhoenix_Forest,VIEW,phoenix|cpu
dbo,vw_SubstrateBE_Demand_CpuNonPhoenix_Region,VIEW,phoenix|cpu
dbo,vw_SubstrateBE_Demand_CpuNonPhoenixFailover_Forest,VIEW,phoenix|cpu
dbo,vw_SubstrateBE_Demand_CpuNonPhoenixFailover_Region,VIEW,phoenix|cpu
dbo,vw_SubstrateBE_Demand_CpuPhoenix_Forest,VIEW,phoenix|cpu
dbo,vw_SubstrateBE_Demand_CpuPhoenix_Region,VIEW,phoenix|cpu
dbo,vw_SubstrateBE_Demand_CpuPhoenixFailover_Forest,VIEW,phoenix|cpu
dbo,vw_SubstrateBE_Demand_CpuPhoenixFailover_Region,VIEW,phoenix|cpu
dbo,vw_SubstrateBE_Demand_Hdd_Forest,VIEW,hdd
dbo,vw_SubstrateBE_Demand_Hdd_Region,VIEW,hdd
dbo,vw_SubstrateBE_Demand_HddBasilisk_Forest,VIEW,basilisk|hdd
dbo,vw_SubstrateBE_Demand_HddBasilisk_Region,VIEW,basilisk|hdd
dbo,vw_SubstrateBE_Demand_HddEdb_Forest,VIEW,hdd
dbo,vw_SubstrateBE_Demand_HddEdb_Region,VIEW,hdd
dbo,vw_SubstrateBE_Demand_HddEdbConsumer_Forest,VIEW,hdd
dbo,vw_SubstrateBE_Demand_HddEdbConsumer_Region,VIEW,hdd
dbo,vw_SubstrateBE_Demand_HddEdbEnterprise_Forest,VIEW,hdd
dbo,vw_SubstrateBE_Demand_HddEdbEnterprise_Region,VIEW,hdd
dbo,vw_SubstrateBE_Demand_Iops_Forest,VIEW,iops
dbo,vw_SubstrateBE_Demand_Iops_Region,VIEW,iops
dbo,vw_SubstrateBE_Demand_IopsFailover_Forest,VIEW,iops
dbo,vw_SubstrateBE_Demand_IopsFailover_Region,VIEW,iops
dbo,vw_SubstrateBE_Demand_Memory_Forest,VIEW,memory
dbo,vw_SubstrateBE_Demand_Memory_Region,VIEW,memory
dbo,vw_SubstrateBE_Demand_Ssd_Forest,VIEW,ssd
dbo,vw_SubstrateBE_Demand_Ssd_Region,VIEW,ssd
dbo,vw_SubstrateBE_Demand_SsdMcdb_Forest,VIEW,ssd|mcdb
dbo,vw_SubstrateBE_Demand_SsdMcdb_Region,VIEW,ssd|mcdb
dbo,vw_SubstrateBE_Demand_SsdPhoenix_Forest,VIEW,ssd|phoenix
dbo,vw_SubstrateBE_Demand_SsdPhoenix_Region,VIEW,ssd|phoenix
dbo,vw_SubstrateBE_HDD_Consumer_Forecast_with_Perturbation,VIEW,hdd
dbo,vw_SubstrateBE_HDD_Demand_Actual_Forecast,VIEW,hdd
dbo,vw_SubstrateBE_HDD_Demand_Supply_Region,VIEW,hdd
dbo,vw_SubstrateBE_HDD_Enterprise_Forecast_with_Perturbation,VIEW,hdd
dbo,vw_SubstrateBE_HDD_Forecasts_with_Perturbation,VIEW,hdd
dbo,vw_SubstrateBE_HDD_Forecasts_with_Perturbation_v1_old,VIEW,hdd
dbo,vw_SubstrateBE_HDD_Forecasts_with_Perturbation_v2,VIEW,hdd
dbo,vw_SubstrateBE_HDD_Forecasts_with_Perturbation_v3,VIEW,hdd
dbo,vw_SubstrateBE_HDD_Forecasts_with_Perturbation_v5,VIEW,hdd
dbo,vw_SubstrateBE_HDD_GoLocal_Mirgation_Forecast_Region,VIEW,hdd
dbo,vw_SubstrateBE_HDD_Latest_Total_Forecast_Region,VIEW,hdd
dbo,vw_SubstrateBE_HDD_Latest_Total_Forecast_Region_Perturbation,VIEW,hdd
dbo,vw_SubstrateBE_HDD_ODC_Forecast_Region,VIEW,hdd
dbo,vw_SubstrateBE_HDD_Region_Env_Forecast_Accuracy,VIEW,hdd
dbo,vw_SubstrateBE_HDD_Region_Env_Forecast_Accuracy_for_HotBuffer,VIEW,hdd
dbo,vw_SubstrateBE_HDD_Region_Env_Scenario_Forecast_Accuracy,VIEW,hdd
dbo,vw_SubstrateBE_HDD_Total_Forecast_Region,VIEW,hdd
dbo,vw_SubstrateBE_IOPS_Demand_Actual_Forecast,VIEW,iops
dbo,vw_SubstrateBE_IOPS_Demand_Supply_Region,VIEW,iops
dbo,vw_SubstrateBE_IOPS_Efficiencies,VIEW,iops
dbo,vw_SubstrateBE_IOPS_Forecast,VIEW,iops
dbo,vw_SubstrateBE_IOPS_Forecast_Gap,VIEW,iops
dbo,vw_SubstrateBE_IOPS_Forecast_with_Perturbation,VIEW,iops
dbo,vw_SubstrateBE_IOPS_Future_Supply,VIEW,iops
dbo,vw_SubstrateBE_IOPS_Latest_Forecast_Perturbation_Forest-AggUpTo-Region,VIEW,iops
dbo,vw_SubstrateBE_IOPS_Latest_Total_Forecast_Region,VIEW,iops
dbo,vw_SubstrateBE_IOPS_Latest_Total_Forecast_Region_Perturbation,VIEW,iops
dbo,vw_SubstrateBE_IOPS_Limit_by_Forest_SKU,VIEW,iops
dbo,vw_SubstrateBE_IOPS_Region_Env_Forecast_Accuracy,VIEW,iops
dbo,vw_SubstrateBE_IOPS_Region_Env_Forecast_Accuracy_for_HotBuffer,VIEW,iops
dbo,vw_SubstrateBE_IOPS_Total_Forecast_Region,VIEW,iops
dbo,vw_SubstrateBE_MemoryRawData,VIEW,memory
dbo,vw_SubstrateBE_SSD_Demand_Actual_Forecast,VIEW,ssd
dbo,vw_SubstrateBE_SSD_Demand_Supply_Region,VIEW,ssd
dbo,vw_SubstrateBE_ssd_Efficiency_Changes,VIEW,ssd
dbo,vw_SubstrateBE_ssd_Efficiencys,VIEW,ssd
dbo,vw_SubstrateBE_ssd_Forecast_With_Perturbation,VIEW,ssd
dbo,vw_SubstrateBE_ssd_Forecast_With_Perturbation_old,VIEW,ssd
dbo,vw_SubstrateBE_ssd_Forest_Efficiencys,VIEW,ssd
dbo,vw_SubstrateBE_SSD_Latest_Total_Forecast_Forest,VIEW,ssd
dbo,vw_SubstrateBE_SSD_Latest_Total_Forecast_Forest_Perturbation,VIEW,ssd
dbo,vw_SubstrateBE_SSD_Latest_Total_Forecast_Region,VIEW,ssd
dbo,vw_SubstrateBE_SSD_Latest_Total_Forecast_Region_Perturbation,VIEW,ssd
dbo,vw_SubstrateBE_SSD_MCDB_Demand_Supply_Region,VIEW,ssd|mcdb
dbo,vw_SubstrateBE_SSD_MCDB_Latest_Total_Forecast_Forest,VIEW,ssd|mcdb
dbo,vw_SubstrateBE_SSD_MCDB_Latest_Total_Forecast_Forest_Perturbation,VIEW,ssd|mcdb
dbo,vw_SubstrateBE_SSD_MCDB_Latest_Total_Forecast_Region,VIEW,ssd|mcdb
dbo,vw_SubstrateBE_SSD_MCDB_Latest_Total_Forecast_Region_Perturbation,VIEW,ssd|mcdb
dbo,vw_SubstrateBE_ssd_MCDB_Region_Efficiencys,VIEW,ssd|mcdb
dbo,vw_SubstrateBE_SSD_MCPhoenixDB_Latest_Total_Forecast_Forest_Perturbation,VIEW,ssd|phoenix
dbo,vw_SubstrateBE_SSD_MCPhoenixDB_Latest_Total_Forecast_Region_Perturbation,VIEW,ssd|phoenix
dbo,vw_SubstrateBE_SSD_PhoenixDB_Demand_Supply_Region,VIEW,ssd|phoenix
dbo,vw_SubstrateBE_SSD_PhoenixDB_Latest_Total_Forecast_Forest,VIEW,ssd|phoenix
dbo,vw_SubstrateBE_SSD_PhoenixDB_Latest_Total_Forecast_Forest_Perturbation,VIEW,ssd|phoenix
dbo,vw_SubstrateBE_SSD_PhoenixDB_Latest_Total_Forecast_Region,VIEW,ssd|phoenix
dbo,vw_SubstrateBE_SSD_PhoenixDB_Latest_Total_Forecast_Region_Perturbation,VIEW,ssd|phoenix
dbo,vw_SubstrateBE_ssd_PhoenixDB_Region_Efficiencys,VIEW,ssd|phoenix
dbo,vw_SubstrateBE_ssd_Region_Efficiencys,VIEW,ssd
dbo,vw_SubstrateBE_SSD_Region_Env_Forecast_Accuracy,VIEW,ssd
dbo,vw_SubstrateBE_SSD_Region_Env_Forecast_Accuracy_for_HotBuffer,VIEW,ssd
dbo,vw_SubstrateBE_ssd_SKURatio,VIEW,ssd
