schema,table_name,column_name,data_type,ordinal
dbo,SubstrateBE_SSD_Demand_History,Forest,nvarchar,4
dbo,SubstrateBE_SSD_Demand_History,SKU,nvarchar,5
dbo,SubstrateBE_SSD_Demand_History,SubstrateSSDDemandTB,float,6
dbo,SubstrateBE_SSD_Demand_History,SubstrateSSDTotalSpaceTB,float,7
dbo,SubstrateBE_Ssd_PhoenixDB_ForecastForest,Fleet,nvarchar,1
dbo,SubstrateBE_Ssd_PhoenixDB_ForecastForest,Workload,nvarchar,2
dbo,SubstrateBE_Ssd_PhoenixDB_ForecastForest,Resource,nvarchar,3
dbo,SubstrateBE_Ssd_PhoenixDB_ForecastForest,Unit,nvarchar,4
dbo,SubstrateBE_Ssd_PhoenixDB_ForecastForest,Type,nvarchar,5
dbo,SubstrateBE_Ssd_PhoenixDB_ForecastForest,Scenario,nvarchar,6
dbo,SubstrateBE_Ssd_PhoenixDB_ForecastForest,DateTime,date,7
dbo,SubstrateBE_Ssd_PhoenixDB_ForecastForest,Key,nvarchar,8
dbo,SubstrateBE_Ssd_PhoenixDB_ForecastForest,Value,float,9
dbo,SubstrateBE_Ssd_PhoenixDB_ForecastForest,ValueType,nvarchar,10
dbo,SubstrateBE_Ssd_PhoenixDB_ForecastForest,ModelVersion,nvarchar,11
dbo,SubstrateBE_Ssd_PhoenixDB_ForecastForest,ForecastVersion,date,12
dbo,SubstrateBE_Ssd_PhoenixDB_ForecastRegion,Fleet,nvarchar,1
dbo,SubstrateBE_Ssd_PhoenixDB_ForecastRegion,Workload,nvarchar,2
dbo,SubstrateBE_Ssd_PhoenixDB_ForecastRegion,Resource,nvarchar,3
dbo,SubstrateBE_Ssd_PhoenixDB_ForecastRegion,Unit,nvarchar,4
dbo,SubstrateBE_Ssd_PhoenixDB_ForecastRegion,Type,nvarchar,5
dbo,SubstrateBE_Ssd_PhoenixDB_ForecastRegion,Scenario,nvarchar,6
dbo,SubstrateBE_Ssd_PhoenixDB_ForecastRegion,DateTime,date,7
dbo,SubstrateBE_Ssd_PhoenixDB_ForecastRegion,Key,nvarchar,8
dbo,SubstrateBE_Ssd_PhoenixDB_ForecastRegion,Value,float,9
dbo,SubstrateBE_Ssd_PhoenixDB_ForecastRegion,ValueType,nvarchar,10
dbo,SubstrateBE_Ssd_PhoenixDB_ForecastRegion,ModelVersion,nvarchar,11
dbo,SubstrateBE_Ssd_PhoenixDB_ForecastRegion,ForecastVersion,date,12
dbo,SubstrateBE_Ssd_MCDB_ForecastRegion,Fleet,nvarchar,1
dbo,SubstrateBE_Ssd_MCDB_ForecastRegion,Workload,nvarchar,2
dbo,SubstrateBE_Ssd_MCDB_ForecastRegion,Resource,nvarchar,3
dbo,SubstrateBE_Ssd_MCDB_ForecastRegion,Unit,nvarchar,4
dbo,SubstrateBE_Ssd_MCDB_ForecastRegion,Type,nvarchar,5
dbo,SubstrateBE_Ssd_MCDB_ForecastRegion,Scenario,nvarchar,6
dbo,SubstrateBE_Ssd_MCDB_ForecastRegion,DateTime,date,7
dbo,SubstrateBE_Ssd_MCDB_ForecastRegion,Key,nvarchar,8
dbo,SubstrateBE_Ssd_MCDB_ForecastRegion,Value,float,9
dbo,SubstrateBE_Ssd_MCDB_ForecastRegion,ValueType,nvarchar,10
dbo,SubstrateBE_Ssd_MCDB_ForecastRegion,ModelVersion,nvarchar,11
dbo,SubstrateBE_Ssd_MCDB_ForecastRegion,ForecastVersion,date,12
dbo,SubstrateBE_SsdForecastForestSKU,Fleet,nvarchar,1
dbo,SubstrateBE_SsdForecastForestSKU,Workload,nvarchar,2
dbo,SubstrateBE_SsdForecastForestSKU,Resource,nvarchar,3
dbo,SubstrateBE_SsdForecastForestSKU,Unit,nvarchar,4
dbo,SubstrateBE_SsdForecastForestSKU,Type,nvarchar,5
dbo,SubstrateBE_SsdForecastForestSKU,Scenario,nvarchar,6
dbo,SubstrateBE_SsdForecastForestSKU,DateTime,date,7
dbo,SubstrateBE_SsdForecastForestSKU,Key,nvarchar,8
dbo,SubstrateBE_SsdForecastForestSKU,Value,float,9
dbo,SubstrateBE_SsdForecastForestSKU,ValueType,nvarchar,10
dbo,SubstrateBE_SsdForecastForestSKU,ModelVersion,nvarchar,11
dbo,SubstrateBE_SsdForecastForestSKU,ForecastVersion,date,12
dbo,SubstrateBE_SsdForecastRegion,Fleet,nvarchar,1
dbo,SubstrateBE_SsdForecastRegion,Workload,nvarchar,2
dbo,SubstrateBE_SsdForecastRegion,Resource,nvarchar,3
dbo,SubstrateBE_SsdForecastRegion,Unit,nvarchar,4
dbo,SubstrateBE_SsdForecastRegion,Type,nvarchar,5
dbo,SubstrateBE_SsdForecastRegion,Scenario,nvarchar,6
dbo,SubstrateBE_SsdForecastRegion,DateTime,date,7
dbo,SubstrateBE_SsdForecastRegion,Key,nvarchar,8
dbo,SubstrateBE_SsdForecastRegion,Value,float,9
dbo,SubstrateBE_SsdForecastRegion,ValueType,nvarchar,10
dbo,SubstrateBE_SsdForecastRegion,ModelVersion,nvarchar,11
dbo,SubstrateBE_SsdForecastRegion,ForecastVersion,date,12
dbo,forecast_substrateBE_hdd_region_metrics,Key,varchar,1
dbo,forecast_substrateBE_hdd_region_metrics,Count,bigint,2
dbo,forecast_substrateBE_hdd_region_metrics,Mean_Actual,float,3
dbo,forecast_substrateBE_hdd_region_metrics,Mean_Forecast,float,4
dbo,forecast_substrateBE_hdd_region_metrics,MAE,float,5
dbo,forecast_substrateBE_hdd_region_metrics,RMSE,float,6
dbo,forecast_substrateBE_hdd_region_metrics,Bias,float,7
dbo,forecast_substrateBE_hdd_region_metrics,Bias_Pct,float,8
dbo,forecast_substrateBE_hdd_region_metrics,MAPE,float,9
dbo,forecast_substrateBE_hdd_region_metrics,SMAPE,float,10
dbo,forecast_substrateBE_hdd_region_metrics,Accuracy,float,11
dbo,forecast_substrateBE_hdd_region_metrics,Forecast_Version,varchar,12
dbo,forecast_substrateBE_hdd_region_metrics,Start_Date,datetime,13
dbo,forecast_substrateBE_hdd_region_metrics,End_Date,datetime,14
dbo,forecast_substrateBE_hdd_region_metrics,Execution_Date,varchar,15
dbo,forecast_substrateBE_hdd_forest_metrics,Key,varchar,1
dbo,forecast_substrateBE_hdd_forest_metrics,Count,bigint,2
dbo,forecast_substrateBE_hdd_forest_metrics,Mean_Actual,float,3
dbo,forecast_substrateBE_hdd_forest_metrics,Mean_Forecast,float,4
dbo,forecast_substrateBE_hdd_forest_metrics,MAE,float,5
dbo,forecast_substrateBE_hdd_forest_metrics,RMSE,float,6
dbo,forecast_substrateBE_hdd_forest_metrics,Bias,float,7
dbo,forecast_substrateBE_hdd_forest_metrics,Bias_Pct,float,8
dbo,forecast_substrateBE_hdd_forest_metrics,MAPE,float,9
dbo,forecast_substrateBE_hdd_forest_metrics,SMAPE,float,10
dbo,forecast_substrateBE_hdd_forest_metrics,Accuracy,float,11
dbo,forecast_substrateBE_hdd_forest_metrics,Forecast_Version,datetime,12
dbo,forecast_substrateBE_hdd_forest_metrics,Start_Date,datetime,13
dbo,forecast_substrateBE_hdd_forest_metrics,End_Date,datetime,14
dbo,forecast_substrateBE_hdd_forest_metrics,Execution_Date,varchar,15
dbo,forecast_substrateBE_ssd_phx_lvwe_metrics,Key,varchar,1
dbo,forecast_substrateBE_ssd_phx_lvwe_metrics,Count,varchar,2
dbo,forecast_substrateBE_ssd_phx_lvwe_metrics,Mean_Actual,varchar,3
dbo,forecast_substrateBE_ssd_phx_lvwe_metrics,Mean_Forecast,float,4
dbo,forecast_substrateBE_ssd_phx_lvwe_metrics,MAE,varchar,5
dbo,forecast_substrateBE_ssd_phx_lvwe_metrics,RMSE,varchar,6
dbo,forecast_substrateBE_ssd_phx_lvwe_metrics,Bias,varchar,7
dbo,forecast_substrateBE_ssd_phx_lvwe_metrics,Bias_Pct,float,8
dbo,forecast_substrateBE_ssd_phx_lvwe_metrics,MAPE,float,9
dbo,forecast_substrateBE_ssd_phx_lvwe_metrics,SMAPE,float,10
dbo,forecast_substrateBE_ssd_phx_lvwe_metrics,Accuracy,float,11
dbo,forecast_substrateBE_ssd_phx_lvwe_metrics,Forecast_Version,varchar,12
dbo,forecast_substrateBE_ssd_phx_lvwe_metrics,Start_Date,datetime,13
dbo,forecast_substrateBE_ssd_phx_lvwe_metrics,End_Date,datetime,14
dbo,forecast_substrateBE_ssd_phx_lvwe_metrics,Execution_Date,varchar,15
dbo,forecast_substrateBE_ssd_phx_lvne_metrics,Key,varchar,1
dbo,forecast_substrateBE_ssd_phx_lvne_metrics,Count,varchar,2
dbo,forecast_substrateBE_ssd_phx_lvne_metrics,Mean_Actual,varchar,3
dbo,forecast_substrateBE_ssd_phx_lvne_metrics,Mean_Forecast,float,4
dbo,forecast_substrateBE_ssd_phx_lvne_metrics,MAE,varchar,5
dbo,forecast_substrateBE_ssd_phx_lvne_metrics,RMSE,varchar,6
dbo,forecast_substrateBE_ssd_phx_lvne_metrics,Bias,varchar,7
dbo,forecast_substrateBE_ssd_phx_lvne_metrics,Bias_Pct,float,8
dbo,forecast_substrateBE_ssd_phx_lvne_metrics,MAPE,float,9
dbo,forecast_substrateBE_ssd_phx_lvne_metrics,SMAPE,float,10
dbo,forecast_substrateBE_ssd_phx_lvne_metrics,Accuracy,float,11
dbo,forecast_substrateBE_ssd_phx_lvne_metrics,Forecast_Version,varchar,12
dbo,forecast_substrateBE_ssd_phx_lvne_metrics,Start_Date,datetime,13
dbo,forecast_substrateBE_ssd_phx_lvne_metrics,End_Date,datetime,14
dbo,forecast_substrateBE_ssd_phx_lvne_metrics,Execution_Date,varchar,15
