series_id,metric,scenario,granularity,key,signal_quality_status,champion_model,champion_validity,primary_rank_metric,primary_rank_value,runner_up_model,runner_up_value,previous_champion_p6,champion_changed
CPU__Failover__Region__ARE-Go-Local,CPU,Failover,Region,ARE-Go Local,SIGNAL_PRESENT,AutoARIMA,MEANINGFUL_ACCURACY_RANKING,wape,0.02561585,NLIN-DLIN_FIXED,0.02804718,AutoARIMA,FALSE
CPU__Failover__Region__AUS-Go-Local,CPU,Failover,Region,AUS-Go Local,SIGNAL_PRESENT,Theta,MEANINGFUL_ACCURACY_RANKING,wape,0.03759486,AutoARIMA,0.03832497,Theta,FALSE
CPU__Failover__Region__BRA-Go-Local,CPU,Failover,Region,BRA-Go Local,SIGNAL_PRESENT,Theta,MEANINGFUL_ACCURACY_RANKING,wape,0.04628095,FixedGrowth_1_5,0.04651218,Theta,FALSE
CPU__Failover__Region__CAN-Go-Local,CPU,Failover,Region,CAN-Go Local,SIGNAL_PRESENT,AutoARIMA,MEANINGFUL_ACCURACY_RANKING,wape,0.03769659,Theta,0.03862101,AutoARIMA,FALSE
CPU__Failover__Region__CHE-Go-Local,CPU,Failover,Region,CHE-Go Local,SIGNAL_PRESENT,XGBoost,MEANINGFUL_ACCURACY_RANKING,wape,0.04969388,AutoARIMA,0.05000131,XGBoost,FALSE
CPU__Failover__Region__CHN-Gallatin,CPU,Failover,Region,CHN-Gallatin,SIGNAL_PRESENT,XGBoost,MEANINGFUL_ACCURACY_RANKING,wape,0.04293393,LightGBM,0.04369898,XGBoost,FALSE
CPU__Failover__Region__DEU-Go-Local,CPU,Failover,Region,DEU-Go Local,SIGNAL_PRESENT,Theta,MEANINGFUL_ACCURACY_RANKING,wape,0.04065187,FixedGrowth_1_5,0.04116312,Theta,FALSE
CPU__Failover__Region__EUR-MSIT,CPU,Failover,Region,EUR-MSIT,SIGNAL_PRESENT,AutoARIMA,MEANINGFUL_ACCURACY_RANKING,wape,0.07045551,LinearRegression,0.08364471,AutoARIMA,FALSE
CPU__Failover__Region__FRA-Go-Local,CPU,Failover,Region,FRA-Go Local,SIGNAL_PRESENT,LightGBM,MEANINGFUL_ACCURACY_RANKING,wape,0.03071989,XGBoost,0.0316059,LightGBM,FALSE
HDD__Basilisk__NA__Forest__apcp150,HDD,NOT_APPLICABLE,Forest,apcp150,NO_SIGNAL_ALL_ZERO_ACTUALS,ETS Explicit,NOT_MEANINGFUL_NO_SIGNAL,mae,0.0,ARIMA_Fixed,0.0,FNAR-V2,TRUE
HDD__Basilisk__NA__Forest__chnpr01,HDD,NOT_APPLICABLE,Forest,chnpr01,NO_SIGNAL_ALL_ZERO_ACTUALS,ETS Explicit,NOT_MEANINGFUL_NO_SIGNAL,mae,0.0,ARIMA_Fixed,0.0,FNAR-V2,TRUE
HDD__Basilisk__NA__Forest__eurp180,HDD,NOT_APPLICABLE,Forest,eurp180,NO_SIGNAL_ALL_ZERO_ACTUALS,ETS Explicit,NOT_MEANINGFUL_NO_SIGNAL,mae,0.0,ARIMA_Fixed,0.0,FNAR-V2,TRUE
HDD__Basilisk__NA__Forest__eurprd07,HDD,NOT_APPLICABLE,Forest,eurprd07,SIGNAL_PRESENT,ETS_Current,MEANINGFUL_ACCURACY_RANKING,wape,0.01649489,FixedGrowth_6,0.01960099,ETS_Current,FALSE
HDD__Basilisk__NA__Forest__jpnprd01,HDD,NOT_APPLICABLE,Forest,jpnprd01,SIGNAL_PRESENT,ETS_Current,MEANINGFUL_ACCURACY_RANKING,wape,0.04392269,FixedGrowth_6,0.04508741,ETS_Current,FALSE
HDD__Basilisk__NA__Forest__namp113,HDD,NOT_APPLICABLE,Forest,namp113,SIGNAL_PRESENT,ETS_Current,MEANINGFUL_ACCURACY_RANKING,wape,0.18446342,ETS Explicit,0.19716726,ETS_Current,FALSE
HDD__Basilisk__NA__Forest__namp157,HDD,NOT_APPLICABLE,Forest,namp157,NO_SIGNAL_ALL_ZERO_ACTUALS,ETS Explicit,NOT_MEANINGFUL_NO_SIGNAL,mae,0.0,ARIMA_Fixed,0.0,FNAR-V2,TRUE
HDD__Basilisk__NA__Forest__namp222,HDD,NOT_APPLICABLE,Forest,namp222,SIGNAL_PRESENT,ARIMA_Fixed,MEANINGFUL_ACCURACY_RANKING,wape,0.7725059,ETS Explicit,0.7725059,ARIMA_Fixed,FALSE
HDD__Basilisk__NA__Forest__namprd15,HDD,NOT_APPLICABLE,Forest,namprd15,SIGNAL_PRESENT,FixedGrowth_3,MEANINGFUL_ACCURACY_RANKING,wape,0.00630508,FixedGrowth_4,0.00728263,FixedGrowth_3,FALSE
HDD__Basilisk__NA__Region__GBR-Go-Local,HDD,NOT_APPLICABLE,Region,GBR-Go Local,SIGNAL_PRESENT,FixedGrowth_6,MEANINGFUL_ACCURACY_RANKING,wape,0.00731148,AutoARIMA,0.00915425,FixedGrowth_6,FALSE
HDD__Basilisk__NA__Region__ITA-Go-Local,HDD,NOT_APPLICABLE,Region,ITA-Go Local,NO_SIGNAL_ALL_ZERO_ACTUALS,ETS Explicit,NOT_MEANINGFUL_NO_SIGNAL,mae,0.0,ARIMA_Fixed,0.0,FNAR-V2,TRUE
HDD__Basilisk__NA__Region__are-Go-Local,HDD,NOT_APPLICABLE,Region,are-Go Local,SIGNAL_PRESENT,ETS_Current,MEANINGFUL_ACCURACY_RANKING,wape,0.01349511,ETS Explicit,0.01495564,ETS_Current,FALSE
HDD__Basilisk__NA__Region__chl-Go-Local,HDD,NOT_APPLICABLE,Region,chl-Go Local,NO_SIGNAL_ALL_ZERO_ACTUALS,ETS Explicit,NOT_MEANINGFUL_NO_SIGNAL,mae,0.0,ARIMA_Fixed,0.0,FNAR-V2,TRUE
HDD__Basilisk__NA__Region__fra-Go-Local,HDD,NOT_APPLICABLE,Region,fra-Go Local,SIGNAL_PRESENT,AutoARIMA,MEANINGFUL_ACCURACY_RANKING,wape,0.01503788,ARIMA_Fixed,0.01577745,AutoARIMA,FALSE
HDD__Basilisk__NA__Region__kor-Go-Local,HDD,NOT_APPLICABLE,Region,kor-Go Local,SIGNAL_PRESENT,ARIMA_Fixed,MEANINGFUL_ACCURACY_RANKING,wape,0.00066554,ETS Explicit,0.00067914,ARIMA_Fixed,FALSE
HDD__Basilisk__NA__Region__nam-ITAR-GCCH,HDD,NOT_APPLICABLE,Region,nam-ITAR GCCH,NO_SIGNAL_ALL_ZERO_ACTUALS,ETS Explicit,NOT_MEANINGFUL_NO_SIGNAL,mae,0.0,ARIMA_Fixed,0.0,FNAR-V2,TRUE
HDD__Basilisk__NA__Region__nzl-Go-Local,HDD,NOT_APPLICABLE,Region,nzl-Go Local,NO_SIGNAL_ALL_ZERO_ACTUALS,ETS Explicit,NOT_MEANINGFUL_NO_SIGNAL,mae,0.0,ARIMA_Fixed,0.0,FNAR-V2,TRUE
HDD__EDB__Consumer__Forest__CANPRD01,HDD,NOT_APPLICABLE,Forest,CANPRD01,SIGNAL_PRESENT,XGBoost,MEANINGFUL_ACCURACY_RANKING,wape,0.05842478,Theta,0.05909763,XGBoost,FALSE
HDD__EDB__Consumer__Forest__EURP179,HDD,NOT_APPLICABLE,Forest,EURP179,NO_SIGNAL_ALL_ZERO_ACTUALS,ETS Explicit,NOT_MEANINGFUL_NO_SIGNAL,mae,0.0,ARIMA_Fixed,0.0,FNAR-V2,TRUE
HDD__EDB__Consumer__Forest__EURP309,HDD,NOT_APPLICABLE,Forest,EURP309,NO_SIGNAL_ALL_ZERO_ACTUALS,ETS Explicit,NOT_MEANINGFUL_NO_SIGNAL,mae,0.0,ARIMA_Fixed,0.0,FNAR-V2,TRUE
HDD__EDB__Consumer__Forest__EURPRD07,HDD,NOT_APPLICABLE,Forest,EURPRD07,SIGNAL_PRESENT,ARIMA_Fixed,MEANINGFUL_ACCURACY_RANKING,wape,0.06617838,ETS Explicit,0.06783434,ARIMA_Fixed,FALSE
HDD__EDB__Consumer__Forest__JPNPRD01,HDD,NOT_APPLICABLE,Forest,JPNPRD01,SIGNAL_PRESENT,LightGBM,MEANINGFUL_ACCURACY_RANKING,wape,0.00647155,XGBoost,0.00850083,LightGBM,FALSE
HDD__EDB__Consumer__Forest__NAMP115,HDD,NOT_APPLICABLE,Forest,NAMP115,NO_SIGNAL_ALL_ZERO_ACTUALS,ETS Explicit,NOT_MEANINGFUL_NO_SIGNAL,mae,0.0,ARIMA_Fixed,0.0,FNAR-V2,TRUE
HDD__EDB__Consumer__Forest__NAMP159,HDD,NOT_APPLICABLE,Forest,NAMP159,NO_SIGNAL_ALL_ZERO_ACTUALS,ETS Explicit,NOT_MEANINGFUL_NO_SIGNAL,mae,0.0,ARIMA_Fixed,0.0,FNAR-V2,TRUE
HDD__EDB__Consumer__Forest__NAMP283,HDD,NOT_APPLICABLE,Forest,NAMP283,SIGNAL_PRESENT,FixedGrowth_1_5,MEANINGFUL_ACCURACY_RANKING,wape,0.10661539,FixedGrowth_3,0.10779079,FixedGrowth_1_5,FALSE
HDD__EDB__Consumer__Forest__NAMPRD16,HDD,NOT_APPLICABLE,Forest,NAMPRD16,SIGNAL_PRESENT,SMLP-TCN,MEANINGFUL_ACCURACY_RANKING,wape,0.08793934,FixedGrowth_1_5,0.09075504,SMLP-TCN,FALSE
HDD__EDB__Consumer__Region__APC-MSIT,HDD,NOT_APPLICABLE,Region,APC-MSIT,TRAILING_ZERO_LATEST_ACTUAL,AutoARIMA,MEANINGFUL_ACCURACY_RANKING,wape,1.0,NLIN-DLIN_FIXED,1.0,AutoARIMA,FALSE
HDD__EDB__Consumer__Region__CAN-Go-Local,HDD,NOT_APPLICABLE,Region,CAN-Go Local,SIGNAL_PRESENT,Theta,MEANINGFUL_ACCURACY_RANKING,wape,0.01655515,AutoARIMA,0.0196974,Theta,FALSE
HDD__EDB__Consumer__Region__EUR-Dedicated,HDD,NOT_APPLICABLE,Region,EUR-Dedicated,NO_SIGNAL_ALL_ZERO_ACTUALS,ETS Explicit,NOT_MEANINGFUL_NO_SIGNAL,mae,0.0,ARIMA_Fixed,0.0,FNAR-V2,TRUE
HDD__EDB__Consumer__Region__IDN-Go-Local,HDD,NOT_APPLICABLE,Region,IDN-Go Local,NO_SIGNAL_ALL_ZERO_ACTUALS,ETS Explicit,NOT_MEANINGFUL_NO_SIGNAL,mae,0.0,ARIMA_Fixed,0.0,FNAR-V2,TRUE
HDD__EDB__Consumer__Region__LAM-Multitenant,HDD,NOT_APPLICABLE,Region,LAM-Multitenant,SIGNAL_PRESENT,ARIMA_Fixed,MEANINGFUL_ACCURACY_RANKING,wape,0.01120461,ETS_Current,0.01821266,ARIMA_Fixed,FALSE
HDD__EDB__Consumer__Region__NAM-ITAR-DoD,HDD,NOT_APPLICABLE,Region,NAM-ITAR DoD,NO_SIGNAL_ALL_ZERO_ACTUALS,ETS Explicit,NOT_MEANINGFUL_NO_SIGNAL,mae,0.0,ARIMA_Fixed,0.0,FNAR-V2,TRUE
HDD__EDB__Consumer__Region__NAM-MSIT,HDD,NOT_APPLICABLE,Region,NAM-MSIT,TRAILING_ZERO_LATEST_ACTUAL,NLIN-DLIN_FIXED,MEANINGFUL_ACCURACY_RANKING,wape,1.0,AutoARIMA,1.31976371,NLIN-DLIN_FIXED,FALSE
HDD__EDB__Consumer__Region__POL-Go-Local,HDD,NOT_APPLICABLE,Region,POL-Go Local,SIGNAL_PRESENT,FixedGrowth_1_5,MEANINGFUL_ACCURACY_RANKING,wape,0.02909053,Theta,0.03060184,FixedGrowth_1_5,FALSE
HDD__EDB__Enterprise__Forest__CHNPR01,HDD,NOT_APPLICABLE,Forest,CHNPR01,TRAILING_ZERO_LATEST_ACTUAL,ETS Explicit,MEANINGFUL_ACCURACY_RANKING,wape,9.96343784,NLIN-DLIN_FIXED,10.64958371,ETS Explicit,FALSE
HDD__EDB__Enterprise__Forest__EURP192,HDD,NOT_APPLICABLE,Forest,EURP192,SIGNAL_PRESENT,XGBoost,MEANINGFUL_ACCURACY_RANKING,wape,0.00927459,ETS_Current,0.009302,XGBoost,FALSE
HDD__EDB__Enterprise__Forest__EURP309,HDD,NOT_APPLICABLE,Forest,EURP309,SIGNAL_PRESENT,AutoARIMA,MEANINGFUL_ACCURACY_RANKING,wape,0.03910606,ARIMA_Fixed,0.04416837,AutoARIMA,FALSE
HDD__EDB__Enterprise__Forest__GBRP265,HDD,NOT_APPLICABLE,Forest,GBRP265,SIGNAL_PRESENT,FixedGrowth_1_5,MEANINGFUL_ACCURACY_RANKING,wape,0.01307588,ETS Explicit,0.01392149,FixedGrowth_1_5,FALSE
HDD__EDB__Enterprise__Forest__NAMP103,HDD,NOT_APPLICABLE,Forest,NAMP103,SIGNAL_PRESENT,Theta,MEANINGFUL_ACCURACY_RANKING,wape,0.04658905,NLIN-DLIN_FIXED,0.04662092,Theta,FALSE
HDD__EDB__Enterprise__Forest__NAMP134,HDD,NOT_APPLICABLE,Forest,NAMP134,SIGNAL_PRESENT,FixedGrowth_1_5,MEANINGFUL_ACCURACY_RANKING,wape,0.00193995,ETS_Current,0.00225358,FixedGrowth_1_5,FALSE
HDD__EDB__Enterprise__Forest__NAMP220,HDD,NOT_APPLICABLE,Forest,NAMP220,SIGNAL_PRESENT,FixedGrowth_1_5,MEANINGFUL_ACCURACY_RANKING,wape,0.0052547,ETS_Current,0.0057301,FixedGrowth_1_5,FALSE
HDD__EDB__Enterprise__Forest__NAMPRD14,HDD,NOT_APPLICABLE,Forest,NAMPRD14,SIGNAL_PRESENT,Theta,MEANINGFUL_ACCURACY_RANKING,wape,0.00677881,FixedGrowth_1_5,0.00711414,Theta,FALSE
HDD__EDB__Enterprise__Region__APC-MSIT,HDD,NOT_APPLICABLE,Region,APC-MSIT,SIGNAL_PRESENT,ETS Explicit,MEANINGFUL_ACCURACY_RANKING,wape,0.02085772,FixedGrowth_1_5,0.02197454,ETS Explicit,FALSE
HDD__EDB__Enterprise__Region__CAN-Go-Local,HDD,NOT_APPLICABLE,Region,CAN-Go Local,SIGNAL_PRESENT,XGBoost,MEANINGFUL_ACCURACY_RANKING,wape,0.01061295,LinearRegression,0.0110726,XGBoost,FALSE
HDD__EDB__Enterprise__Region__CHL-Go-Local,HDD,NOT_APPLICABLE,Region,CHL-Go Local,SIGNAL_PRESENT,Theta,MEANINGFUL_ACCURACY_RANKING,wape,0.05539015,AutoARIMA,0.05558784,Theta,FALSE
HDD__EDB__Enterprise__Region__EUR-Go-Local,HDD,NOT_APPLICABLE,Region,EUR-Go Local,SIGNAL_PRESENT,AutoARIMA,MEANINGFUL_ACCURACY_RANKING,wape,0.03961971,ETS Explicit,0.04840244,AutoARIMA,FALSE
HDD__EDB__Enterprise__Region__EUR-Multitenant,HDD,NOT_APPLICABLE,Region,EUR-Multitenant,SIGNAL_PRESENT,NLIN-DLIN_FIXED,MEANINGFUL_ACCURACY_RANKING,wape,0.02820979,LinearRegression,0.03119907,NLIN-DLIN_FIXED,FALSE
HDD__EDB__Enterprise__Region__ITA-Go-Local,HDD,NOT_APPLICABLE,Region,ITA-Go Local,SIGNAL_PRESENT,XGBoost,MEANINGFUL_ACCURACY_RANKING,wape,0.05673961,FixedGrowth_1_5,0.06371131,XGBoost,FALSE
HDD__EDB__Enterprise__Region__NAM-Dedicated,HDD,NOT_APPLICABLE,Region,NAM-Dedicated,SIGNAL_PRESENT,XGBoost,MEANINGFUL_ACCURACY_RANKING,wape,0.01614753,LightGBM,0.01718703,XGBoost,FALSE
HDD__EDB__Enterprise__Region__NAM-SDF,HDD,NOT_APPLICABLE,Region,NAM-SDF,SIGNAL_PRESENT,FixedGrowth_6,MEANINGFUL_ACCURACY_RANKING,wape,0.0848742,FixedGrowth_4,0.08526079,FixedGrowth_6,FALSE
IOPS__Consumed__Region__APC-Multitenant,IOPS,Consumed,Region,APC-Multitenant,SIGNAL_PRESENT,XGBoost,MEANINGFUL_ACCURACY_RANKING,wape,0.06383675,FixedGrowth_1_5,0.0667182,XGBoost,FALSE
IOPS__Consumed__Region__ARE-Go-Local,IOPS,Consumed,Region,ARE-Go Local,SIGNAL_PRESENT,FixedGrowth_1_5,MEANINGFUL_ACCURACY_RANKING,wape,0.05916094,NLIN-DLIN_FIXED,0.05983667,FixedGrowth_1_5,FALSE
IOPS__Consumed__Region__AUS-Go-Local,IOPS,Consumed,Region,AUS-Go Local,SIGNAL_PRESENT,FixedGrowth_1_5,MEANINGFUL_ACCURACY_RANKING,wape,0.05247701,AutoARIMA,0.05277504,FixedGrowth_1_5,FALSE
IOPS__Consumed__Region__BRA-Go-Local,IOPS,Consumed,Region,BRA-Go Local,SIGNAL_PRESENT,FixedGrowth_1_5,MEANINGFUL_ACCURACY_RANKING,wape,0.06519513,FixedGrowth_3,0.06748322,FixedGrowth_1_5,FALSE
IOPS__Consumed__Region__CAN-Go-Local,IOPS,Consumed,Region,CAN-Go Local,SIGNAL_PRESENT,FixedGrowth_1_5,MEANINGFUL_ACCURACY_RANKING,wape,0.0708243,FixedGrowth_3,0.07162484,FixedGrowth_1_5,FALSE
IOPS__Consumed__Region__CHE-Go-Local,IOPS,Consumed,Region,CHE-Go Local,SIGNAL_PRESENT,NLIN-DLIN_FIXED,MEANINGFUL_ACCURACY_RANKING,wape,0.0659018,FixedGrowth_1_5,0.06607211,NLIN-DLIN_FIXED,FALSE
IOPS__Consumed__Region__CHN-Gallatin,IOPS,Consumed,Region,CHN-Gallatin,SIGNAL_PRESENT,AutoARIMA,MEANINGFUL_ACCURACY_RANKING,wape,0.08045617,LightGBM,0.08286851,AutoARIMA,FALSE
IOPS__Consumed__Region__DEU-Go-Local,IOPS,Consumed,Region,DEU-Go Local,SIGNAL_PRESENT,FixedGrowth_6,MEANINGFUL_ACCURACY_RANKING,wape,0.04705992,FixedGrowth_4,0.04789058,FixedGrowth_6,FALSE
IOPS__Consumed__Region__EUR-Multitenant,IOPS,Consumed,Region,EUR-Multitenant,SIGNAL_PRESENT,FixedGrowth_1_5,MEANINGFUL_ACCURACY_RANKING,wape,0.04514479,Theta,0.04632528,FixedGrowth_1_5,FALSE
IOPS__Consumed__Region__FRA-Go-Local,IOPS,Consumed,Region,FRA-Go Local,SIGNAL_PRESENT,XGBoost,MEANINGFUL_ACCURACY_RANKING,wape,0.0526291,FixedGrowth_3,0.05287785,XGBoost,FALSE
IOPS__Failover__Region__APC-Multitenant,IOPS,Failover,Region,APC-Multitenant,SIGNAL_PRESENT,AutoARIMA,MEANINGFUL_ACCURACY_RANKING,wape,0.05791343,FixedGrowth_1_5,0.05897948,AutoARIMA,FALSE
IOPS__Failover__Region__ARE-Go-Local,IOPS,Failover,Region,ARE-Go Local,SIGNAL_PRESENT,LightGBM,MEANINGFUL_ACCURACY_RANKING,wape,0.0727122,FixedGrowth_1_5,0.07385434,LightGBM,FALSE
IOPS__Failover__Region__AUS-Go-Local,IOPS,Failover,Region,AUS-Go Local,SIGNAL_PRESENT,FixedGrowth_4,MEANINGFUL_ACCURACY_RANKING,wape,0.05010922,FixedGrowth_3,0.05020847,FixedGrowth_4,FALSE
IOPS__Failover__Region__BRA-Go-Local,IOPS,Failover,Region,BRA-Go Local,SIGNAL_PRESENT,FixedGrowth_1_5,MEANINGFUL_ACCURACY_RANKING,wape,0.0685655,FixedGrowth_3,0.07147161,FixedGrowth_1_5,FALSE
IOPS__Failover__Region__CAN-Go-Local,IOPS,Failover,Region,CAN-Go Local,SIGNAL_PRESENT,FixedGrowth_1_5,MEANINGFUL_ACCURACY_RANKING,wape,0.06537531,Theta,0.06743256,FixedGrowth_1_5,FALSE
IOPS__Failover__Region__CHE-Go-Local,IOPS,Failover,Region,CHE-Go Local,SIGNAL_PRESENT,FixedGrowth_3,MEANINGFUL_ACCURACY_RANKING,wape,0.05592615,FixedGrowth_4,0.05612058,FixedGrowth_3,FALSE
IOPS__Failover__Region__CHN-Gallatin,IOPS,Failover,Region,CHN-Gallatin,SIGNAL_PRESENT,AutoARIMA,MEANINGFUL_ACCURACY_RANKING,wape,0.07437397,Theta,0.07783479,AutoARIMA,FALSE
IOPS__Failover__Region__DEU-Go-Local,IOPS,Failover,Region,DEU-Go Local,SIGNAL_PRESENT,FixedGrowth_4,MEANINGFUL_ACCURACY_RANKING,wape,0.05292907,FixedGrowth_6,0.05305516,FixedGrowth_4,FALSE
IOPS__Failover__Region__EUR-Multitenant,IOPS,Failover,Region,EUR-Multitenant,SIGNAL_PRESENT,XGBoost,MEANINGFUL_ACCURACY_RANKING,wape,0.05395288,ETS Explicit,0.05646627,XGBoost,FALSE
IOPS__Failover__Region__FRA-Go-Local,IOPS,Failover,Region,FRA-Go Local,SIGNAL_PRESENT,FixedGrowth_3,MEANINGFUL_ACCURACY_RANKING,wape,0.05764602,FixedGrowth_4,0.05796398,FixedGrowth_3,FALSE
SSD__Phoenix__Forest__APCP150,SSD,NOT_APPLICABLE,Forest,APCP150,SIGNAL_PRESENT,ETS Explicit,MEANINGFUL_ACCURACY_RANKING,wape,0.08316463,ETS_Current,0.08798109,ETS Explicit,FALSE
SSD__Phoenix__Forest__APCPRD01,SSD,NOT_APPLICABLE,Forest,APCPRD01,SIGNAL_PRESENT,FixedGrowth_6,MEANINGFUL_ACCURACY_RANKING,wape,0.04288221,Theta,0.05143001,FixedGrowth_6,FALSE
SSD__Phoenix__Forest__APCPRD02,SSD,NOT_APPLICABLE,Forest,APCPRD02,SIGNAL_PRESENT,Theta,MEANINGFUL_ACCURACY_RANKING,wape,0.02806414,FixedGrowth_6,0.02968411,Theta,FALSE
SSD__Phoenix__Forest__AREP273,SSD,NOT_APPLICABLE,Forest,AREP273,SIGNAL_PRESENT,FixedGrowth_1_5,MEANINGFUL_ACCURACY_RANKING,wape,0.01130195,Theta,0.01266861,FixedGrowth_1_5,FALSE
SSD__Phoenix__Forest__AUSP282,SSD,NOT_APPLICABLE,Forest,AUSP282,SIGNAL_PRESENT,AutoARIMA,MEANINGFUL_ACCURACY_RANKING,wape,0.01808139,NLIN-DLIN_FIXED,0.02245541,AutoARIMA,FALSE
SSD__Phoenix__Forest__AUSP300,SSD,NOT_APPLICABLE,Forest,AUSP300,SIGNAL_PRESENT,NLIN-DLIN_FIXED,MEANINGFUL_ACCURACY_RANKING,wape,0.02121104,FixedGrowth_4,0.02138858,NLIN-DLIN_FIXED,FALSE
SSD__Phoenix__Forest__AUSPRD01,SSD,NOT_APPLICABLE,Forest,AUSPRD01,SIGNAL_PRESENT,AutoARIMA,MEANINGFUL_ACCURACY_RANKING,wape,0.00751496,ETS_Current,0.0181592,AutoARIMA,FALSE
SSD__Phoenix__Forest__AUTP296,SSD,NOT_APPLICABLE,Forest,AUTP296,SIGNAL_PRESENT,Theta,MEANINGFUL_ACCURACY_RANKING,wape,0.01632209,FixedGrowth_6,0.01914684,Theta,FALSE
SSD__Phoenix__Forest__BRAP284,SSD,NOT_APPLICABLE,Forest,BRAP284,SIGNAL_PRESENT,FixedGrowth_6,MEANINGFUL_ACCURACY_RANKING,wape,0.08456829,Theta,0.09266262,FixedGrowth_6,FALSE
SSD__Phoenix__Forest__CANP288,SSD,NOT_APPLICABLE,Forest,CANP288,SIGNAL_PRESENT,ARIMA_Fixed,MEANINGFUL_ACCURACY_RANKING,wape,0.13414956,FixedGrowth_6,0.15263973,ARIMA_Fixed,FALSE
SSD__Phoenix__Forest__CANPRD01,SSD,NOT_APPLICABLE,Forest,CANPRD01,SIGNAL_PRESENT,ETS_Current,MEANINGFUL_ACCURACY_RANKING,wape,0.03106147,ETS Explicit,0.03785512,ETS_Current,FALSE
SSD__Phoenix__Forest__CHEP278,SSD,NOT_APPLICABLE,Forest,CHEP278,SIGNAL_PRESENT,ETS Explicit,MEANINGFUL_ACCURACY_RANKING,wape,0.02682139,ARIMA_Fixed,0.02745548,ETS Explicit,FALSE
SSD__Phoenix__Forest__CHLP298,SSD,NOT_APPLICABLE,Forest,CHLP298,SIGNAL_PRESENT,FixedGrowth_6,MEANINGFUL_ACCURACY_RANKING,wape,0.02534576,FixedGrowth_4,0.03153344,FixedGrowth_6,FALSE
SSD__Phoenix__Forest__DEUP281,SSD,NOT_APPLICABLE,Forest,DEUP281,SIGNAL_PRESENT,AutoARIMA,MEANINGFUL_ACCURACY_RANKING,wape,0.03907251,ETS Explicit,0.03937081,AutoARIMA,FALSE
SSD__Phoenix__Forest__DNKP307,SSD,NOT_APPLICABLE,Forest,DNKP307,SIGNAL_PRESENT,ETS_Current,MEANINGFUL_ACCURACY_RANKING,wape,0.38743352,ARIMA_Fixed,0.40534241,ETS_Current,FALSE
SSD__Phoenix__Forest__ESPP292,SSD,NOT_APPLICABLE,Forest,ESPP292,SIGNAL_PRESENT,ARIMA_Fixed,MEANINGFUL_ACCURACY_RANKING,wape,0.12145835,ETS Explicit,0.12153889,ARIMA_Fixed,FALSE
