filter_name,filter_value,filter_label,parent_filter,parent_value,metric_id,db_type,scenario,scenario_status,granularity,entity_key,forecast_version,availability_status,computability_status,enabled,visible,reason_if_disabled,display_order,source_artifact
Key,hdd_edb::EDB::not_applicable::region::POL-Go Local,POL-Go Local,Granularity,hdd_edb::EDB::not_applicable::region,hdd_edb,EDB,not_applicable,,region,POL-Go Local,,,,true,true,,18,official_metrics_normalized.csv
Key,hdd_edb::EDB::not_applicable::region::APC-MSIT,APC-MSIT,Granularity,hdd_edb::EDB::not_applicable::region,hdd_edb,EDB,not_applicable,,region,APC-MSIT,,,,true,true,,19,official_metrics_normalized.csv
Key,hdd_edb::EDB::not_applicable::region::NAM-SDF,NAM-SDF,Granularity,hdd_edb::EDB::not_applicable::region,hdd_edb,EDB,not_applicable,,region,NAM-SDF,,,,true,true,,20,official_metrics_normalized.csv
Key,hdd_edb::EDB::not_applicable::region::ZAF-Go Local,ZAF-Go Local,Granularity,hdd_edb::EDB::not_applicable::region,hdd_edb,EDB,not_applicable,,region,ZAF-Go Local,,,,true,true,,21,official_metrics_normalized.csv
Key,hdd_edb::EDB::not_applicable::region::AUT-Go Local,AUT-Go Local,Granularity,hdd_edb::EDB::not_applicable::region,hdd_edb,EDB,not_applicable,,region,AUT-Go Local,,,,true,true,,22,official_metrics_normalized.csv
Key,hdd_edb::EDB::not_applicable::region::CHL-Go Local,CHL-Go Local,Granularity,hdd_edb::EDB::not_applicable::region,hdd_edb,EDB,not_applicable,,region,CHL-Go Local,,,,true,true,,23,official_metrics_normalized.csv
Key,hdd_edb::EDB::not_applicable::region::NAM-GCC Low,NAM-GCC Low,Granularity,hdd_edb::EDB::not_applicable::region,hdd_edb,EDB,not_applicable,,region,NAM-GCC Low,,,,true,true,,24,official_metrics_normalized.csv
Key,hdd_edb::EDB::not_applicable::region::ARE-Go Local,ARE-Go Local,Granularity,hdd_edb::EDB::not_applicable::region,hdd_edb,EDB,not_applicable,,region,ARE-Go Local,,,,true,true,,25,official_metrics_normalized.csv
Key,hdd_edb::EDB::not_applicable::region::EUR-Dedicated,EUR-Dedicated,Granularity,hdd_edb::EDB::not_applicable::region,hdd_edb,EDB,not_applicable,,region,EUR-Dedicated,,,,true,true,,26,official_metrics_normalized.csv
Key,hdd_edb::EDB::not_applicable::region::AUS-Go Local,AUS-Go Local,Granularity,hdd_edb::EDB::not_applicable::region,hdd_edb,EDB,not_applicable,,region,AUS-Go Local,,,,true,true,,27,official_metrics_normalized.csv
Key,hdd_edb::EDB::not_applicable::region::DEU-Go Local,DEU-Go Local,Granularity,hdd_edb::EDB::not_applicable::region,hdd_edb,EDB,not_applicable,,region,DEU-Go Local,,,,true,true,,28,official_metrics_normalized.csv
Key,hdd_edb::EDB::not_applicable::region::BRA-Go Local,BRA-Go Local,Granularity,hdd_edb::EDB::not_applicable::region,hdd_edb,EDB,not_applicable,,region,BRA-Go Local,,,,true,true,,29,official_metrics_normalized.csv
Key,hdd_edb::EDB::not_applicable::region::ISR-Go Local,ISR-Go Local,Granularity,hdd_edb::EDB::not_applicable::region,hdd_edb,EDB,not_applicable,,region,ISR-Go Local,,,,true,true,,30,official_metrics_normalized.csv
Key,hdd_edb::EDB::not_applicable::region::NAM-ITAR DoD,NAM-ITAR DoD,Granularity,hdd_edb::EDB::not_applicable::region,hdd_edb,EDB,not_applicable,,region,NAM-ITAR DoD,,,,true,true,,31,official_metrics_normalized.csv
Key,hdd_edb::EDB::not_applicable::region::NZL-Go Local,NZL-Go Local,Granularity,hdd_edb::EDB::not_applicable::region,hdd_edb,EDB,not_applicable,,region,NZL-Go Local,,,,true,true,,32,official_metrics_normalized.csv
Key,hdd_edb::EDB::not_applicable::region::CHE-Go Local,CHE-Go Local,Granularity,hdd_edb::EDB::not_applicable::region,hdd_edb,EDB,not_applicable,,region,CHE-Go Local,,,,true,true,,33,official_metrics_normalized.csv
Key,hdd_edb::EDB::not_applicable::region::SWE-Go Local,SWE-Go Local,Granularity,hdd_edb::EDB::not_applicable::region,hdd_edb,EDB,not_applicable,,region,SWE-Go Local,,,,true,true,,34,official_metrics_normalized.csv
Key,hdd_edb::EDB::not_applicable::region::TWN-Go Local,TWN-Go Local,Granularity,hdd_edb::EDB::not_applicable::region,hdd_edb,EDB,not_applicable,,region,TWN-Go Local,,,,true,true,,35,official_metrics_normalized.csv
Key,hdd_edb::EDB::not_applicable::region::ESP-Go Local,ESP-Go Local,Granularity,hdd_edb::EDB::not_applicable::region,hdd_edb,EDB,not_applicable,,region,ESP-Go Local,,,,true,true,,36,official_metrics_normalized.csv
Key,hdd_edb::EDB::not_applicable::region::EUR-MSIT,EUR-MSIT,Granularity,hdd_edb::EDB::not_applicable::region,hdd_edb,EDB,not_applicable,,region,EUR-MSIT,,,,true,true,,37,official_metrics_normalized.csv
Key,hdd_edb::EDB::not_applicable::region::GBR-Dedicated,GBR-Dedicated,Granularity,hdd_edb::EDB::not_applicable::region,hdd_edb,EDB,not_applicable,,region,GBR-Dedicated,,,,true,true,,38,official_metrics_normalized.csv
Key,hdd_edb::EDB::not_applicable::region::MYS-Go Local,MYS-Go Local,Granularity,hdd_edb::EDB::not_applicable::region,hdd_edb,EDB,not_applicable,,region,MYS-Go Local,,,,true,true,,39,official_metrics_normalized.csv
Key,hdd_edb::EDB::not_applicable::region::FRA-Go Local,FRA-Go Local,Granularity,hdd_edb::EDB::not_applicable::region,hdd_edb,EDB,not_applicable,,region,FRA-Go Local,,,,true,true,,40,official_metrics_normalized.csv
Key,hdd_edb::EDB::not_applicable::region::QAT-Go Local,QAT-Go Local,Granularity,hdd_edb::EDB::not_applicable::region,hdd_edb,EDB,not_applicable,,region,QAT-Go Local,,,,true,true,,41,official_metrics_normalized.csv
Key,hdd_edb::EDB::not_applicable::region::NAM-Dedicated,NAM-Dedicated,Granularity,hdd_edb::EDB::not_applicable::region,hdd_edb,EDB,not_applicable,,region,NAM-Dedicated,,,,true,true,,42,official_metrics_normalized.csv
Key,hdd_edb::EDB::not_applicable::region::ITA-Go Local,ITA-Go Local,Granularity,hdd_edb::EDB::not_applicable::region,hdd_edb,EDB,not_applicable,,region,ITA-Go Local,,,,true,true,,43,official_metrics_normalized.csv
Key,hdd_edb::EDB::not_applicable::region::JPN-Go Local,JPN-Go Local,Granularity,hdd_edb::EDB::not_applicable::region,hdd_edb,EDB,not_applicable,,region,JPN-Go Local,,,,true,true,,44,official_metrics_normalized.csv
Key,hdd_edb::EDB::not_applicable::region::NAM-ITAR GCCH,NAM-ITAR GCCH,Granularity,hdd_edb::EDB::not_applicable::region,hdd_edb,EDB,not_applicable,,region,NAM-ITAR GCCH,,,,true,true,,45,official_metrics_normalized.csv
Key,hdd_edb::EDB::not_applicable::forest::NAMP108,NAMP108,Granularity,hdd_edb::EDB::not_applicable::forest,hdd_edb,EDB,not_applicable,,forest,NAMP108,,,,true,true,,46,official_metrics_normalized.csv
Key,hdd_edb::EDB::not_applicable::forest::BRAP284,BRAP284,Granularity,hdd_edb::EDB::not_applicable::forest,hdd_edb,EDB,not_applicable,,forest,BRAP284,,,,true,true,,47,official_metrics_normalized.csv
Key,hdd_edb::EDB::not_applicable::forest::NAMPRD01,NAMPRD01,Granularity,hdd_edb::EDB::not_applicable::forest,hdd_edb,EDB,not_applicable,,forest,NAMPRD01,,,,true,true,,48,official_metrics_normalized.csv
Key,hdd_edb::EDB::not_applicable::forest::EURP195,EURP195,Granularity,hdd_edb::EDB::not_applicable::forest,hdd_edb,EDB,not_applicable,,forest,EURP195,,,,true,true,,49,official_metrics_normalized.csv
Key,hdd_edb::EDB::not_applicable::forest::EURPRD07,EURPRD07,Granularity,hdd_edb::EDB::not_applicable::forest,hdd_edb,EDB,not_applicable,,forest,EURPRD07,,,,true,true,,50,official_metrics_normalized.csv
Key,hdd_edb::EDB::not_applicable::forest::APCP150,APCP150,Granularity,hdd_edb::EDB::not_applicable::forest,hdd_edb,EDB,not_applicable,,forest,APCP150,,,,true,true,,51,official_metrics_normalized.csv
Key,hdd_edb::EDB::not_applicable::forest::EURP191,EURP191,Granularity,hdd_edb::EDB::not_applicable::forest,hdd_edb,EDB,not_applicable,,forest,EURP191,,,,true,true,,52,official_metrics_normalized.csv
Key,hdd_edb::EDB::not_applicable::forest::AUSPRD01,AUSPRD01,Granularity,hdd_edb::EDB::not_applicable::forest,hdd_edb,EDB,not_applicable,,forest,AUSPRD01,,,,true,true,,53,official_metrics_normalized.csv
Key,hdd_edb::EDB::not_applicable::forest::DEUP281,DEUP281,Granularity,hdd_edb::EDB::not_applicable::forest,hdd_edb,EDB,not_applicable,,forest,DEUP281,,,,true,true,,54,official_metrics_normalized.csv
Key,hdd_edb::EDB::not_applicable::forest::NAMPRD11,NAMPRD11,Granularity,hdd_edb::EDB::not_applicable::forest,hdd_edb,EDB,not_applicable,,forest,NAMPRD11,,,,true,true,,55,official_metrics_normalized.csv
Key,hdd_edb::EDB::not_applicable::forest::EURPRD01,EURPRD01,Granularity,hdd_edb::EDB::not_applicable::forest,hdd_edb,EDB,not_applicable,,forest,EURPRD01,,,,true,true,,56,official_metrics_normalized.csv
Key,hdd_edb::EDB::not_applicable::forest::NAMP104,NAMP104,Granularity,hdd_edb::EDB::not_applicable::forest,hdd_edb,EDB,not_applicable,,forest,NAMP104,,,,true,true,,57,official_metrics_normalized.csv
Key,hdd_edb::EDB::not_applicable::forest::CANP288,CANP288,Granularity,hdd_edb::EDB::not_applicable::forest,hdd_edb,EDB,not_applicable,,forest,CANP288,,,,true,true,,58,official_metrics_normalized.csv
Key,hdd_edb::EDB::not_applicable::forest::KORP216,KORP216,Granularity,hdd_edb::EDB::not_applicable::forest,hdd_edb,EDB,not_applicable,,forest,KORP216,,,,true,true,,59,official_metrics_normalized.csv
Key,hdd_edb::EDB::not_applicable::forest::NAMPRD15,NAMPRD15,Granularity,hdd_edb::EDB::not_applicable::forest,hdd_edb,EDB,not_applicable,,forest,NAMPRD15,,,,true,true,,60,official_metrics_normalized.csv
Key,hdd_edb::EDB::not_applicable::forest::NAMP131,NAMP131,Granularity,hdd_edb::EDB::not_applicable::forest,hdd_edb,EDB,not_applicable,,forest,NAMP131,,,,true,true,,61,official_metrics_normalized.csv
Key,hdd_edb::EDB::not_applicable::forest::EURPRD10,EURPRD10,Granularity,hdd_edb::EDB::not_applicable::forest,hdd_edb,EDB,not_applicable,,forest,EURPRD10,,,,true,true,,62,official_metrics_normalized.csv
Key,hdd_edb::EDB::not_applicable::forest::EURPRD05,EURPRD05,Granularity,hdd_edb::EDB::not_applicable::forest,hdd_edb,EDB,not_applicable,,forest,EURPRD05,,,,true,true,,63,official_metrics_normalized.csv
Key,hdd_edb::EDB::not_applicable::forest::GBRP267,GBRP267,Granularity,hdd_edb::EDB::not_applicable::forest,hdd_edb,EDB,not_applicable,,forest,GBRP267,,,,true,true,,64,official_metrics_normalized.csv
Key,hdd_edb::EDB::not_applicable::forest::EURP190,EURP190,Granularity,hdd_edb::EDB::not_applicable::forest,hdd_edb,EDB,not_applicable,,forest,EURP190,,,,true,true,,65,official_metrics_normalized.csv
Key,hdd_edb::EDB::not_applicable::forest::NAMP109,NAMP109,Granularity,hdd_edb::EDB::not_applicable::forest,hdd_edb,EDB,not_applicable,,forest,NAMP109,,,,true,true,,66,official_metrics_normalized.csv
Key,hdd_edb::EDB::not_applicable::forest::AUTP296,AUTP296,Granularity,hdd_edb::EDB::not_applicable::forest,hdd_edb,EDB,not_applicable,,forest,AUTP296,,,,true,true,,67,official_metrics_normalized.csv
Key,hdd_edb::EDB::not_applicable::forest::NAMP130,NAMP130,Granularity,hdd_edb::EDB::not_applicable::forest,hdd_edb,EDB,not_applicable,,forest,NAMP130,,,,true,true,,68,official_metrics_normalized.csv
Key,hdd_edb::EDB::not_applicable::forest::EURP193,EURP193,Granularity,hdd_edb::EDB::not_applicable::forest,hdd_edb,EDB,not_applicable,,forest,EURP193,,,,true,true,,69,official_metrics_normalized.csv
Key,hdd_edb::EDB::not_applicable::forest::AUSP300,AUSP300,Granularity,hdd_edb::EDB::not_applicable::forest,hdd_edb,EDB,not_applicable,,forest,AUSP300,,,,true,true,,70,official_metrics_normalized.csv
Key,hdd_edb::EDB::not_applicable::forest::NAMP172,NAMP172,Granularity,hdd_edb::EDB::not_applicable::forest,hdd_edb,EDB,not_applicable,,forest,NAMP172,,,,true,true,,71,official_metrics_normalized.csv
Key,hdd_edb::EDB::not_applicable::forest::APCPRD06,APCPRD06,Granularity,hdd_edb::EDB::not_applicable::forest,hdd_edb,EDB,not_applicable,,forest,APCPRD06,,,,true,true,,72,official_metrics_normalized.csv
Key,hdd_edb::EDB::not_applicable::forest::APCP153,APCP153,Granularity,hdd_edb::EDB::not_applicable::forest,hdd_edb,EDB,not_applicable,,forest,APCP153,,,,true,true,,73,official_metrics_normalized.csv
Key,hdd_edb::EDB::not_applicable::forest::EURP250,EURP250,Granularity,hdd_edb::EDB::not_applicable::forest,hdd_edb,EDB,not_applicable,,forest,EURP250,,,,true,true,,74,official_metrics_normalized.csv
Key,hdd_edb::EDB::not_applicable::forest::EURP309,EURP309,Granularity,hdd_edb::EDB::not_applicable::forest,hdd_edb,EDB,not_applicable,,forest,EURP309,,,,true,true,,75,official_metrics_normalized.csv
Key,hdd_edb::EDB::not_applicable::forest::NAMP163,NAMP163,Granularity,hdd_edb::EDB::not_applicable::forest,hdd_edb,EDB,not_applicable,,forest,NAMP163,,,,true,true,,76,official_metrics_normalized.csv
Key,hdd_edb::EDB::not_applicable::forest::CANPRD01,CANPRD01,Granularity,hdd_edb::EDB::not_applicable::forest,hdd_edb,EDB,not_applicable,,forest,CANPRD01,,,,true,true,,77,official_metrics_normalized.csv
Key,hdd_edb::EDB::not_applicable::forest::EURP119,EURP119,Granularity,hdd_edb::EDB::not_applicable::forest,hdd_edb,EDB,not_applicable,,forest,EURP119,,,,true,true,,78,official_metrics_normalized.csv
Key,hdd_edb::EDB::not_applicable::forest::NAMP116,NAMP116,Granularity,hdd_edb::EDB::not_applicable::forest,hdd_edb,EDB,not_applicable,,forest,NAMP116,,,,true,true,,79,official_metrics_normalized.csv
Key,hdd_edb::EDB::not_applicable::forest::LAMPRD80,LAMPRD80,Granularity,hdd_edb::EDB::not_applicable::forest,hdd_edb,EDB,not_applicable,,forest,LAMPRD80,,,,true,true,,80,official_metrics_normalized.csv
Key,hdd_edb::EDB::not_applicable::forest::EURP194,EURP194,Granularity,hdd_edb::EDB::not_applicable::forest,hdd_edb,EDB,not_applicable,,forest,EURP194,,,,true,true,,81,official_metrics_normalized.csv
Key,hdd_edb::EDB::not_applicable::forest::JPNP301,JPNP301,Granularity,hdd_edb::EDB::not_applicable::forest,hdd_edb,EDB,not_applicable,,forest,JPNP301,,,,true,true,,82,official_metrics_normalized.csv
Key,hdd_edb::EDB::not_applicable::forest::NAMPRD22,NAMPRD22,Granularity,hdd_edb::EDB::not_applicable::forest,hdd_edb,EDB,not_applicable,,forest,NAMPRD22,,,,true,true,,83,official_metrics_normalized.csv
Key,hdd_edb::EDB::not_applicable::forest::EURP107,EURP107,Granularity,hdd_edb::EDB::not_applicable::forest,hdd_edb,EDB,not_applicable,,forest,EURP107,,,,true,true,,84,official_metrics_normalized.csv
Key,hdd_edb::EDB::not_applicable::forest::NAMP113,NAMP113,Granularity,hdd_edb::EDB::not_applicable::forest,hdd_edb,EDB,not_applicable,,forest,NAMP113,,,,true,true,,85,official_metrics_normalized.csv
Key,hdd_edb::EDB::not_applicable::forest::NAMP134,NAMP134,Granularity,hdd_edb::EDB::not_applicable::forest,hdd_edb,EDB,not_applicable,,forest,NAMP134,,,,true,true,,86,official_metrics_normalized.csv
Key,hdd_edb::EDB::not_applicable::forest::EURP174,EURP174,Granularity,hdd_edb::EDB::not_applicable::forest,hdd_edb,EDB,not_applicable,,forest,EURP174,,,,true,true,,87,official_metrics_normalized.csv
Key,hdd_edb::EDB::not_applicable::forest::APCPRD02,APCPRD02,Granularity,hdd_edb::EDB::not_applicable::forest,hdd_edb,EDB,not_applicable,,forest,APCPRD02,,,,true,true,,88,official_metrics_normalized.csv
Key,hdd_edb::EDB::not_applicable::forest::NAMP125,NAMP125,Granularity,hdd_edb::EDB::not_applicable::forest,hdd_edb,EDB,not_applicable,,forest,NAMP125,,,,true,true,,89,official_metrics_normalized.csv
Key,hdd_edb::EDB::not_applicable::forest::NAMP111,NAMP111,Granularity,hdd_edb::EDB::not_applicable::forest,hdd_edb,EDB,not_applicable,,forest,NAMP111,,,,true,true,,90,official_metrics_normalized.csv
Key,hdd_edb::EDB::not_applicable::forest::NAMP154,NAMP154,Granularity,hdd_edb::EDB::not_applicable::forest,hdd_edb,EDB,not_applicable,,forest,NAMP154,,,,true,true,,91,official_metrics_normalized.csv
Key,hdd_edb::EDB::not_applicable::forest::NAMP221,NAMP221,Granularity,hdd_edb::EDB::not_applicable::forest,hdd_edb,EDB,not_applicable,,forest,NAMP221,,,,true,true,,92,official_metrics_normalized.csv
Key,hdd_edb::EDB::not_applicable::forest::EURP138,EURP138,Granularity,hdd_edb::EDB::not_applicable::forest,hdd_edb,EDB,not_applicable,,forest,EURP138,,,,true,true,,93,official_metrics_normalized.csv
Key,hdd_edb::EDB::not_applicable::forest::EURP120,EURP120,Granularity,hdd_edb::EDB::not_applicable::forest,hdd_edb,EDB,not_applicable,,forest,EURP120,,,,true,true,,94,official_metrics_normalized.csv
Key,hdd_edb::EDB::not_applicable::forest::NAMPRD14,NAMPRD14,Granularity,hdd_edb::EDB::not_applicable::forest,hdd_edb,EDB,not_applicable,,forest,NAMPRD14,,,,true,true,,95,official_metrics_normalized.csv
Key,hdd_edb::EDB::not_applicable::forest::LAMP215,LAMP215,Granularity,hdd_edb::EDB::not_applicable::forest,hdd_edb,EDB,not_applicable,,forest,LAMP215,,,,true,true,,96,official_metrics_normalized.csv
Key,hdd_edb::EDB::not_applicable::forest::NAMP223,NAMP223,Granularity,hdd_edb::EDB::not_applicable::forest,hdd_edb,EDB,not_applicable,,forest,NAMP223,,,,true,true,,97,official_metrics_normalized.csv
Key,hdd_edb::EDB::not_applicable::forest::NAMP115,NAMP115,Granularity,hdd_edb::EDB::not_applicable::forest,hdd_edb,EDB,not_applicable,,forest,NAMP115,,,,true,true,,98,official_metrics_normalized.csv
Key,hdd_edb::EDB::not_applicable::forest::SWEP280,SWEP280,Granularity,hdd_edb::EDB::not_applicable::forest,hdd_edb,EDB,not_applicable,,forest,SWEP280,,,,true,true,,99,official_metrics_normalized.csv
Key,hdd_edb::EDB::not_applicable::forest::POLP291,POLP291,Granularity,hdd_edb::EDB::not_applicable::forest,hdd_edb,EDB,not_applicable,,forest,POLP291,,,,true,true,,100,official_metrics_normalized.csv
Key,hdd_edb::EDB::not_applicable::forest::NAMP162,NAMP162,Granularity,hdd_edb::EDB::not_applicable::forest,hdd_edb,EDB,not_applicable,,forest,NAMP162,,,,true,true,,101,official_metrics_normalized.csv
