check_id,source_object,metric_id,check_name,expected,observed,status,severity
forecast_substrateBE_ssd_phx_lvne_metrics:source_exists,forecast_substrateBE_ssd_phx_lvne_metrics,ssd_phoenix,source_exists,yes,yes,PASS,blocking
forecast_substrateBE_ssd_phx_lvne_metrics:schema_valid,forecast_substrateBE_ssd_phx_lvne_metrics,ssd_phoenix,schema_valid,yes,yes,PASS,blocking
forecast_substrateBE_ssd_phx_lvne_metrics:row_count_positive,forecast_substrateBE_ssd_phx_lvne_metrics,ssd_phoenix,row_count_positive,yes,yes,PASS,blocking
forecast_substrateBE_ssd_phx_lvne_metrics:data_quality:ok,forecast_substrateBE_ssd_phx_lvne_metrics,ssd_phoenix,rows_ok,counted_not_dropped,7776,PASS,informational
forecast_substrateBE_ssd_phx_lvne_metrics:data_quality:duplicate_suspected,forecast_substrateBE_ssd_phx_lvne_metrics,ssd_phoenix,rows_duplicate_suspected,counted_not_dropped,137,PASS,informational
forecast_substrateBE_hdd_region:source_exists,forecast_substrateBE_hdd_region,hdd_edb,source_exists,declared,yes,PASS,informational
forecast_substrateBE_hdd_region:schema_valid,forecast_substrateBE_hdd_region,hdd_edb,schema_valid,declared,no,PASS,informational
forecast_substrateBE_hdd_region:row_count_positive,forecast_substrateBE_hdd_region,hdd_edb,row_count_positive,declared,yes,PASS,informational
forecast_substrateBE_SSD_TotalForecast:source_exists,forecast_substrateBE_SSD_TotalForecast,ssd_phoenix,source_exists,declared,no,PASS,informational
forecast_substrateBE_SSD_TotalForecast:schema_valid,forecast_substrateBE_SSD_TotalForecast,ssd_phoenix,schema_valid,declared,yes,PASS,informational
forecast_substrateBE_SSD_TotalForecast:row_count_positive,forecast_substrateBE_SSD_TotalForecast,ssd_phoenix,row_count_positive,declared,no,PASS,informational
forecast_substrateBE_SSD_Phoenix_Organic:source_exists,forecast_substrateBE_SSD_Phoenix_Organic,ssd_phoenix,source_exists,declared,no,PASS,informational
forecast_substrateBE_SSD_Phoenix_Organic:schema_valid,forecast_substrateBE_SSD_Phoenix_Organic,ssd_phoenix,schema_valid,declared,yes,PASS,informational
forecast_substrateBE_SSD_Phoenix_Organic:row_count_positive,forecast_substrateBE_SSD_Phoenix_Organic,ssd_phoenix,row_count_positive,declared,no,PASS,informational
forecast_substrateBE_SSD_TotalForecast_mcdb:source_exists,forecast_substrateBE_SSD_TotalForecast_mcdb,ssd_mcdb,source_exists,declared,no,PASS,informational
forecast_substrateBE_SSD_TotalForecast_mcdb:schema_valid,forecast_substrateBE_SSD_TotalForecast_mcdb,ssd_mcdb,schema_valid,declared,yes,PASS,informational
forecast_substrateBE_SSD_TotalForecast_mcdb:row_count_positive,forecast_substrateBE_SSD_TotalForecast_mcdb,ssd_mcdb,row_count_positive,declared,no,PASS,informational
SubstrateBE_Ssd_MCDB_ForecastForestSKU:source_exists,SubstrateBE_Ssd_MCDB_ForecastForestSKU,ssd_mcdb,source_exists,declared,no,PASS,informational
SubstrateBE_Ssd_MCDB_ForecastForestSKU:schema_valid,SubstrateBE_Ssd_MCDB_ForecastForestSKU,ssd_mcdb,schema_valid,declared,yes,PASS,informational
SubstrateBE_Ssd_MCDB_ForecastForestSKU:row_count_positive,SubstrateBE_Ssd_MCDB_ForecastForestSKU,ssd_mcdb,row_count_positive,declared,no,PASS,informational
forecast_substrateBE_cpu_region:source_exists,forecast_substrateBE_cpu_region,cpu,source_exists,declared,no,PASS,informational
forecast_substrateBE_cpu_region:schema_valid,forecast_substrateBE_cpu_region,cpu,schema_valid,declared,yes,PASS,informational
forecast_substrateBE_cpu_region:row_count_positive,forecast_substrateBE_cpu_region,cpu,row_count_positive,declared,no,PASS,informational
forecast_substrateBE_cpu_byDB_region:source_exists,forecast_substrateBE_cpu_byDB_region,cpu,source_exists,declared,no,PASS,informational
forecast_substrateBE_cpu_byDB_region:schema_valid,forecast_substrateBE_cpu_byDB_region,cpu,schema_valid,declared,yes,PASS,informational
forecast_substrateBE_cpu_byDB_region:row_count_positive,forecast_substrateBE_cpu_byDB_region,cpu,row_count_positive,declared,no,PASS,informational
forecast_substrateBE_cpu_byDB_forest:source_exists,forecast_substrateBE_cpu_byDB_forest,cpu,source_exists,declared,no,PASS,informational
forecast_substrateBE_cpu_byDB_forest:schema_valid,forecast_substrateBE_cpu_byDB_forest,cpu,schema_valid,declared,yes,PASS,informational
forecast_substrateBE_cpu_byDB_forest:row_count_positive,forecast_substrateBE_cpu_byDB_forest,cpu,row_count_positive,declared,no,PASS,informational
forecast_substrateBE_cpu:source_exists,forecast_substrateBE_cpu,cpu,source_exists,declared,no,PASS,informational
forecast_substrateBE_cpu:schema_valid,forecast_substrateBE_cpu,cpu,schema_valid,declared,yes,PASS,informational
forecast_substrateBE_cpu:row_count_positive,forecast_substrateBE_cpu,cpu,row_count_positive,declared,no,PASS,informational
UNNAMED_substrateBE_iops_family:source_exists,UNNAMED_substrateBE_iops_family,iops,source_exists,declared,no,PASS,informational
UNNAMED_substrateBE_iops_family:schema_valid,UNNAMED_substrateBE_iops_family,iops,schema_valid,declared,yes,PASS,informational
UNNAMED_substrateBE_iops_family:row_count_positive,UNNAMED_substrateBE_iops_family,iops,row_count_positive,declared,no,PASS,informational
forecast_substrateBE_hdd_region_consumer:source_exists,forecast_substrateBE_hdd_region_consumer,hdd_edb,source_exists,declared,no,PASS,informational
forecast_substrateBE_hdd_region_consumer:schema_valid,forecast_substrateBE_hdd_region_consumer,hdd_edb,schema_valid,declared,yes,PASS,informational
forecast_substrateBE_hdd_region_consumer:row_count_positive,forecast_substrateBE_hdd_region_consumer,hdd_edb,row_count_positive,declared,no,PASS,informational
forecast_substrateBE_hdd_region_basilisk:source_exists,forecast_substrateBE_hdd_region_basilisk,hdd_basilisk,source_exists,declared,no,PASS,informational
forecast_substrateBE_hdd_region_basilisk:schema_valid,forecast_substrateBE_hdd_region_basilisk,hdd_basilisk,schema_valid,declared,yes,PASS,informational
forecast_substrateBE_hdd_region_basilisk:row_count_positive,forecast_substrateBE_hdd_region_basilisk,hdd_basilisk,row_count_positive,declared,no,PASS,informational
global:no_blank_scenario,ALL,ALL,no_blank_scenario,0,0,PASS,blocking
global:metric_id_present,ALL,ALL,metric_id_present,0,0,PASS,blocking
global:db_type_present,ALL,ALL,db_type_present,0,0,PASS,blocking
global:granularity_present,ALL,ALL,granularity_present,0,0,PASS,blocking
global:entity_key_present,ALL,ALL,entity_key_present,0,0,PASS,blocking
global:source_object_present,ALL,ALL,source_object_present,0,0,PASS,blocking
global:unit_present,ALL,ALL,unit_present,0,0,PASS,blocking
global:computability_status_present,ALL,ALL,computability_status_present,0,0,PASS,blocking
global:no_lvwe_lvne_mixing,ALL,ALL,no_lvwe_lvne_mixing,0,0,PASS,blocking
global:no_region_forest_mixing,ALL,ALL,no_region_forest_mixing,0,0,PASS,blocking
global:no_cross_unit_aggregation,ALL,ALL,no_cross_unit_aggregation,0,0,PASS,blocking
global:ranking_key_unique,ALL,ALL,ranking_key_unique,873,873,PASS,blocking
global:single_version_not_drift,ALL,ALL,single_version_not_drift,0,0,PASS,blocking
global:scenario_not_applicable_valid,ALL,ALL,scenario_not_applicable_valid,0,0,PASS,blocking
global:assistant_compatibility_fields_present,ALL,ALL,assistant_compatibility_fields_present,0,0,PASS,blocking
global:filter_options_no_orphans,ALL,ALL,filter_options_no_orphans,0,0,PASS,blocking
