series_key,window_id,model_name,status,message,runtime_s
APC-Dedicated,6,AutoARIMA,completed,,1.039
APC-Dedicated,6,Theta,completed,,0.005
APC-Dedicated,6,ETS Explicit,completed,,0.035
APC-Dedicated,6,LightGBM,completed,,0.041
APC-Dedicated,6,XGBoost,completed,,0.054
APC-Dedicated,6,FastNeuralAR_MLP,completed,,0.371
APC-Dedicated,7,ARIMA_Fixed,completed,,0.001
APC-Dedicated,7,ETS_Current,completed,,0.001
APC-Dedicated,7,LinearRegression,completed,,0.003
APC-Dedicated,7,FixedGrowth_1_5,completed,,0.001
APC-Dedicated,7,FixedGrowth_3,completed,,0.001
APC-Dedicated,7,FixedGrowth_4,completed,,0.001
APC-Dedicated,7,FixedGrowth_6,completed,,0.001
APC-Dedicated,7,AutoARIMA,completed,,1.118
APC-Dedicated,7,Theta,completed,,0.005
APC-Dedicated,7,ETS Explicit,completed,,0.037
APC-Dedicated,7,LightGBM,completed,,0.043
APC-Dedicated,7,XGBoost,completed,,0.052
APC-Dedicated,7,FastNeuralAR_MLP,completed,,0.36
APC-Dedicated,8,ARIMA_Fixed,completed,,0.001
APC-Dedicated,8,ETS_Current,completed,,0.001
APC-Dedicated,8,LinearRegression,completed,,0.003
APC-Dedicated,8,FixedGrowth_1_5,completed,,0.001
APC-Dedicated,8,FixedGrowth_3,completed,,0.001
APC-Dedicated,8,FixedGrowth_4,completed,,0.001
APC-Dedicated,8,FixedGrowth_6,completed,,0.001
APC-Dedicated,8,AutoARIMA,completed,,2.245
APC-Dedicated,8,Theta,completed,,0.006
APC-Dedicated,8,ETS Explicit,completed,,0.035
APC-Dedicated,8,LightGBM,completed,,0.043
APC-Dedicated,8,XGBoost,completed,,0.057
APC-Dedicated,8,FastNeuralAR_MLP,completed,,0.377
APC-Dedicated,9,ARIMA_Fixed,completed,,0.001
APC-Dedicated,9,ETS_Current,completed,,0.001
APC-Dedicated,9,LinearRegression,completed,,0.003
APC-Dedicated,9,FixedGrowth_1_5,completed,,0.001
APC-Dedicated,9,FixedGrowth_3,completed,,0.001
APC-Dedicated,9,FixedGrowth_4,completed,,0.001
APC-Dedicated,9,FixedGrowth_6,completed,,0.001
APC-Dedicated,9,AutoARIMA,completed,,1.795
APC-Dedicated,9,Theta,completed,,0.006
APC-Dedicated,9,ETS Explicit,completed,,0.039
APC-Dedicated,9,LightGBM,completed,,0.042
APC-Dedicated,9,XGBoost,completed,,0.057
APC-Dedicated,9,FastNeuralAR_MLP,completed,,0.382
APC-Dedicated,10,ARIMA_Fixed,completed,,0.001
APC-Dedicated,10,ETS_Current,completed,,0.001
APC-Dedicated,10,LinearRegression,completed,,0.003
APC-Dedicated,10,FixedGrowth_1_5,completed,,0.001
APC-Dedicated,10,FixedGrowth_3,completed,,0.001
APC-Dedicated,10,FixedGrowth_4,completed,,0.001
APC-Dedicated,10,FixedGrowth_6,completed,,0.001
APC-Dedicated,10,AutoARIMA,completed,,1.835
APC-Dedicated,10,Theta,completed,,0.006
APC-Dedicated,10,ETS Explicit,completed,,0.04
APC-Dedicated,10,LightGBM,completed,,0.042
APC-Dedicated,10,XGBoost,completed,,0.056
APC-Dedicated,10,FastNeuralAR_MLP,completed,,0.379
APC-Dedicated,11,ARIMA_Fixed,completed,,0.001
APC-Dedicated,11,ETS_Current,completed,,0.001
APC-Dedicated,11,LinearRegression,completed,,0.003
APC-Dedicated,11,FixedGrowth_1_5,completed,,0.001
APC-Dedicated,11,FixedGrowth_3,completed,,0.001
APC-Dedicated,11,FixedGrowth_4,completed,,0.001
APC-Dedicated,11,FixedGrowth_6,completed,,0.001
APC-Dedicated,11,AutoARIMA,completed,,1.893
APC-Dedicated,11,Theta,completed,,0.006
APC-Dedicated,11,ETS Explicit,completed,,0.037
APC-Dedicated,11,LightGBM,completed,,0.04
APC-Dedicated,11,XGBoost,completed,,0.057
APC-Dedicated,11,FastNeuralAR_MLP,completed,,0.385
APC-Dedicated,12,ARIMA_Fixed,completed,,0.001
APC-Dedicated,12,ETS_Current,completed,,0.001
APC-Dedicated,12,LinearRegression,completed,,0.003
APC-Dedicated,12,FixedGrowth_1_5,completed,,0.001
APC-Dedicated,12,FixedGrowth_3,completed,,0.001
APC-Dedicated,12,FixedGrowth_4,completed,,0.001
APC-Dedicated,12,FixedGrowth_6,completed,,0.001
APC-Dedicated,12,AutoARIMA,completed,,2.699
APC-Dedicated,12,Theta,completed,,0.005
APC-Dedicated,12,ETS Explicit,completed,,0.039
APC-Dedicated,12,LightGBM,completed,,0.044
APC-Dedicated,12,XGBoost,completed,,0.062
APC-Dedicated,12,FastNeuralAR_MLP,completed,,0.432
APC-MSIT,1,ARIMA_Fixed,completed,,0.001
APC-MSIT,1,ETS_Current,completed,,0.001
APC-MSIT,1,LinearRegression,completed,,0.003
APC-MSIT,1,FixedGrowth_1_5,completed,,0.001
APC-MSIT,1,FixedGrowth_3,completed,,0.001
APC-MSIT,1,FixedGrowth_4,completed,,0.001
APC-MSIT,1,FixedGrowth_6,completed,,0.001
APC-MSIT,1,AutoARIMA,completed,,1.274
APC-MSIT,1,Theta,completed,,0.006
APC-MSIT,1,ETS Explicit,completed,,0.031
APC-MSIT,1,LightGBM,completed,,0.042
APC-MSIT,1,XGBoost,completed,,0.067
APC-MSIT,1,FastNeuralAR_MLP,completed,,0.317
APC-MSIT,2,ARIMA_Fixed,completed,,0.001
APC-MSIT,2,ETS_Current,completed,,0.001
APC-MSIT,2,LinearRegression,completed,,0.004
APC-MSIT,2,FixedGrowth_1_5,completed,,0.001
APC-MSIT,2,FixedGrowth_3,completed,,0.001
APC-MSIT,2,FixedGrowth_4,completed,,0.001
APC-MSIT,2,FixedGrowth_6,completed,,0.001
APC-MSIT,2,AutoARIMA,completed,,1.401
APC-MSIT,2,Theta,completed,,0.006
APC-MSIT,2,ETS Explicit,completed,,0.031
APC-MSIT,2,LightGBM,completed,,0.043
APC-MSIT,2,XGBoost,completed,,0.068
APC-MSIT,2,FastNeuralAR_MLP,completed,,0.32
APC-MSIT,3,ARIMA_Fixed,completed,,0.001
APC-MSIT,3,ETS_Current,completed,,0.001
APC-MSIT,3,LinearRegression,completed,,0.003
APC-MSIT,3,FixedGrowth_1_5,completed,,0.001
APC-MSIT,3,FixedGrowth_3,completed,,0.001
APC-MSIT,3,FixedGrowth_4,completed,,0.001
APC-MSIT,3,FixedGrowth_6,completed,,0.001
APC-MSIT,3,AutoARIMA,completed,,1.475
APC-MSIT,3,Theta,completed,,0.006
APC-MSIT,3,ETS Explicit,completed,,0.034
APC-MSIT,3,LightGBM,completed,,0.043
APC-MSIT,3,XGBoost,completed,,0.066
APC-MSIT,3,FastNeuralAR_MLP,completed,,0.324
APC-MSIT,4,ARIMA_Fixed,completed,,0.001
APC-MSIT,4,ETS_Current,completed,,0.001
APC-MSIT,4,LinearRegression,completed,,0.003
APC-MSIT,4,FixedGrowth_1_5,completed,,0.001
APC-MSIT,4,FixedGrowth_3,completed,,0.001
APC-MSIT,4,FixedGrowth_4,completed,,0.001
APC-MSIT,4,FixedGrowth_6,completed,,0.001
APC-MSIT,4,AutoARIMA,completed,,1.378
APC-MSIT,4,Theta,completed,,0.006
APC-MSIT,4,ETS Explicit,completed,,0.034
APC-MSIT,4,LightGBM,completed,,0.043
APC-MSIT,4,XGBoost,completed,,0.064
APC-MSIT,4,FastNeuralAR_MLP,completed,,0.348
APC-MSIT,5,ARIMA_Fixed,completed,,0.001
APC-MSIT,5,ETS_Current,completed,,0.001
APC-MSIT,5,LinearRegression,completed,,0.003
APC-MSIT,5,FixedGrowth_1_5,completed,,0.001
APC-MSIT,5,FixedGrowth_3,completed,,0.001
APC-MSIT,5,FixedGrowth_4,completed,,0.001
APC-MSIT,5,FixedGrowth_6,completed,,0.001
APC-MSIT,5,AutoARIMA,completed,,1.497
APC-MSIT,5,Theta,completed,,0.007
APC-MSIT,5,ETS Explicit,completed,,0.034
APC-MSIT,5,LightGBM,completed,,0.043
APC-MSIT,5,XGBoost,completed,,0.066
APC-MSIT,5,FastNeuralAR_MLP,completed,,0.353
APC-MSIT,6,ARIMA_Fixed,completed,,0.001
APC-MSIT,6,ETS_Current,completed,,0.001
APC-MSIT,6,LinearRegression,completed,,0.003
APC-MSIT,6,FixedGrowth_1_5,completed,,0.001
APC-MSIT,6,FixedGrowth_3,completed,,0.001
APC-MSIT,6,FixedGrowth_4,completed,,0.001
APC-MSIT,6,FixedGrowth_6,completed,,0.001
APC-MSIT,6,AutoARIMA,completed,,2.051
APC-MSIT,6,Theta,completed,,0.008
APC-MSIT,6,ETS Explicit,completed,,0.034
APC-MSIT,6,LightGBM,completed,,0.043
APC-MSIT,6,XGBoost,completed,,0.066
APC-MSIT,6,FastNeuralAR_MLP,completed,,0.358
APC-MSIT,7,ARIMA_Fixed,completed,,0.001
APC-MSIT,7,ETS_Current,completed,,0.001
APC-MSIT,7,LinearRegression,completed,,0.003
APC-MSIT,7,FixedGrowth_1_5,completed,,0.001
APC-MSIT,7,FixedGrowth_3,completed,,0.001
APC-MSIT,7,FixedGrowth_4,completed,,0.001
APC-MSIT,7,FixedGrowth_6,completed,,0.001
APC-MSIT,7,AutoARIMA,completed,,2.149
APC-MSIT,7,Theta,completed,,0.007
APC-MSIT,7,ETS Explicit,completed,,0.036
APC-MSIT,7,LightGBM,completed,,0.045
APC-MSIT,7,XGBoost,completed,,0.066
APC-MSIT,7,FastNeuralAR_MLP,completed,,0.362
APC-MSIT,8,ARIMA_Fixed,completed,,0.001
APC-MSIT,8,ETS_Current,completed,,0.001
APC-MSIT,8,LinearRegression,completed,,0.003
APC-MSIT,8,FixedGrowth_1_5,completed,,0.001
APC-MSIT,8,FixedGrowth_3,completed,,0.001
APC-MSIT,8,FixedGrowth_4,completed,,0.001
APC-MSIT,8,FixedGrowth_6,completed,,0.001
APC-MSIT,8,AutoARIMA,completed,,2.183
APC-MSIT,8,Theta,completed,,0.007
APC-MSIT,8,ETS Explicit,completed,,0.036
APC-MSIT,8,LightGBM,completed,,0.045
APC-MSIT,8,XGBoost,completed,,0.07
APC-MSIT,8,FastNeuralAR_MLP,completed,,0.392
APC-MSIT,9,ARIMA_Fixed,completed,,0.001
APC-MSIT,9,ETS_Current,completed,,0.001
APC-MSIT,9,LinearRegression,completed,,0.003
APC-MSIT,9,FixedGrowth_1_5,completed,,0.001
APC-MSIT,9,FixedGrowth_3,completed,,0.001
APC-MSIT,9,FixedGrowth_4,completed,,0.001
APC-MSIT,9,FixedGrowth_6,completed,,0.001
APC-MSIT,9,AutoARIMA,completed,,2.19
APC-MSIT,9,Theta,completed,,0.007
APC-MSIT,9,ETS Explicit,completed,,0.035
APC-MSIT,9,LightGBM,completed,,0.044
APC-MSIT,9,XGBoost,completed,,0.067
APC-MSIT,9,FastNeuralAR_MLP,completed,,0.389
APC-MSIT,10,ARIMA_Fixed,completed,,0.001
APC-MSIT,10,ETS_Current,completed,,0.002
APC-MSIT,10,LinearRegression,completed,,0.003
APC-MSIT,10,FixedGrowth_1_5,completed,,0.001
APC-MSIT,10,FixedGrowth_3,completed,,0.001
APC-MSIT,10,FixedGrowth_4,completed,,0.001
APC-MSIT,10,FixedGrowth_6,completed,,0.001
APC-MSIT,10,AutoARIMA,completed,,2.271
APC-MSIT,10,Theta,completed,,0.008
APC-MSIT,10,ETS Explicit,completed,,0.039
APC-MSIT,10,LightGBM,completed,,0.044
APC-MSIT,10,XGBoost,completed,,0.067
APC-MSIT,10,FastNeuralAR_MLP,completed,,0.392
APC-MSIT,11,ARIMA_Fixed,completed,,0.001
APC-MSIT,11,ETS_Current,completed,,0.001
APC-MSIT,11,LinearRegression,completed,,0.004
APC-MSIT,11,FixedGrowth_1_5,completed,,0.001
APC-MSIT,11,FixedGrowth_3,completed,,0.001
APC-MSIT,11,FixedGrowth_4,completed,,0.001
APC-MSIT,11,FixedGrowth_6,completed,,0.001
APC-MSIT,11,AutoARIMA,completed,,2.292
APC-MSIT,11,Theta,completed,,0.008
APC-MSIT,11,ETS Explicit,completed,,0.038
APC-MSIT,11,LightGBM,completed,,0.044
APC-MSIT,11,XGBoost,completed,,0.067
APC-MSIT,11,FastNeuralAR_MLP,completed,,0.396
APC-MSIT,12,ARIMA_Fixed,completed,,0.001
APC-MSIT,12,ETS_Current,completed,,0.001
APC-MSIT,12,LinearRegression,completed,,0.003
APC-MSIT,12,FixedGrowth_1_5,completed,,0.001
APC-MSIT,12,FixedGrowth_3,completed,,0.001
APC-MSIT,12,FixedGrowth_4,completed,,0.001
APC-MSIT,12,FixedGrowth_6,completed,,0.001
APC-MSIT,12,AutoARIMA,completed,,2.376
APC-MSIT,12,Theta,completed,,0.008
APC-MSIT,12,ETS Explicit,completed,,0.039
APC-MSIT,12,LightGBM,completed,,0.045
APC-MSIT,12,XGBoost,completed,,0.07
APC-MSIT,12,FastNeuralAR_MLP,completed,,0.418
APC-Multitenant,1,ARIMA_Fixed,completed,,0.001
APC-Multitenant,1,ETS_Current,completed,,0.001
APC-Multitenant,1,LinearRegression,completed,,0.003
APC-Multitenant,1,FixedGrowth_1_5,completed,,0.001
APC-Multitenant,1,FixedGrowth_3,completed,,0.001
APC-Multitenant,1,FixedGrowth_4,completed,,0.001
APC-Multitenant,1,FixedGrowth_6,completed,,0.001
APC-Multitenant,1,AutoARIMA,completed,,0.965
APC-Multitenant,1,Theta,completed,,0.005
APC-Multitenant,1,ETS Explicit,completed,,0.034
APC-Multitenant,1,LightGBM,completed,,0.042
APC-Multitenant,1,XGBoost,completed,,0.056
APC-Multitenant,1,FastNeuralAR_MLP,completed,,0.022
APC-Multitenant,2,ARIMA_Fixed,completed,,0.001
APC-Multitenant,2,ETS_Current,completed,,0.001
APC-Multitenant,2,LinearRegression,completed,,0.002
APC-Multitenant,2,FixedGrowth_1_5,completed,,0.001
APC-Multitenant,2,FixedGrowth_3,completed,,0.001
APC-Multitenant,2,FixedGrowth_4,completed,,0.001
APC-Multitenant,2,FixedGrowth_6,completed,,0.001
APC-Multitenant,2,AutoARIMA,completed,,0.657
APC-Multitenant,2,Theta,completed,,0.004
APC-Multitenant,2,ETS Explicit,completed,,0.035
APC-Multitenant,2,LightGBM,completed,,0.042
APC-Multitenant,2,XGBoost,completed,,0.058
APC-Multitenant,2,FastNeuralAR_MLP,completed,,0.022
APC-Multitenant,3,ARIMA_Fixed,completed,,0.001
APC-Multitenant,3,ETS_Current,completed,,0.001
APC-Multitenant,3,LinearRegression,completed,,0.003
APC-Multitenant,3,FixedGrowth_1_5,completed,,0.001
APC-Multitenant,3,FixedGrowth_3,completed,,0.001
APC-Multitenant,3,FixedGrowth_4,completed,,0.001
APC-Multitenant,3,FixedGrowth_6,completed,,0.001
APC-Multitenant,3,AutoARIMA,completed,,0.9
APC-Multitenant,3,Theta,completed,,0.005
APC-Multitenant,3,ETS Explicit,completed,,0.034
APC-Multitenant,3,LightGBM,completed,,0.043
APC-Multitenant,3,XGBoost,completed,,0.059
APC-Multitenant,3,FastNeuralAR_MLP,completed,,0.023
APC-Multitenant,4,ARIMA_Fixed,completed,,0.001
APC-Multitenant,4,ETS_Current,completed,,0.001
APC-Multitenant,4,LinearRegression,completed,,0.003
APC-Multitenant,4,FixedGrowth_1_5,completed,,0.001
APC-Multitenant,4,FixedGrowth_3,completed,,0.001
APC-Multitenant,4,FixedGrowth_4,completed,,0.001
APC-Multitenant,4,FixedGrowth_6,completed,,0.001
APC-Multitenant,4,AutoARIMA,completed,,0.36
APC-Multitenant,4,Theta,completed,,0.005
APC-Multitenant,4,ETS Explicit,completed,,0.034
APC-Multitenant,4,LightGBM,completed,,0.043
APC-Multitenant,4,XGBoost,completed,,0.059
APC-Multitenant,4,FastNeuralAR_MLP,completed,,0.023
APC-Multitenant,5,ARIMA_Fixed,completed,,0.001
APC-Multitenant,5,ETS_Current,completed,,0.001
APC-Multitenant,5,LinearRegression,completed,,0.002
APC-Multitenant,5,FixedGrowth_1_5,completed,,0.001
APC-Multitenant,5,FixedGrowth_3,completed,,0.001
APC-Multitenant,5,FixedGrowth_4,completed,,0.001
APC-Multitenant,5,FixedGrowth_6,completed,,0.001
APC-Multitenant,5,AutoARIMA,completed,,0.369
APC-Multitenant,5,Theta,completed,,0.005
APC-Multitenant,5,ETS Explicit,completed,,0.034
APC-Multitenant,5,LightGBM,completed,,0.043
APC-Multitenant,5,XGBoost,completed,,0.061
APC-Multitenant,5,FastNeuralAR_MLP,completed,,0.024
APC-Multitenant,6,ARIMA_Fixed,completed,,0.001
APC-Multitenant,6,ETS_Current,completed,,0.001
APC-Multitenant,6,LinearRegression,completed,,0.003
APC-Multitenant,6,FixedGrowth_1_5,completed,,0.001
APC-Multitenant,6,FixedGrowth_3,completed,,0.001
APC-Multitenant,6,FixedGrowth_4,completed,,0.001
APC-Multitenant,6,FixedGrowth_6,completed,,0.001
APC-Multitenant,6,AutoARIMA,completed,,0.37
APC-Multitenant,6,Theta,completed,,0.005
APC-Multitenant,6,ETS Explicit,completed,,0.034
APC-Multitenant,6,LightGBM,completed,,0.042
APC-Multitenant,6,XGBoost,completed,,0.059
APC-Multitenant,6,FastNeuralAR_MLP,completed,,0.024
APC-Multitenant,7,ARIMA_Fixed,completed,,0.001
APC-Multitenant,7,ETS_Current,completed,,0.001
APC-Multitenant,7,LinearRegression,completed,,0.003
APC-Multitenant,7,FixedGrowth_1_5,completed,,0.001
APC-Multitenant,7,FixedGrowth_3,completed,,0.001
APC-Multitenant,7,FixedGrowth_4,completed,,0.001
APC-Multitenant,7,FixedGrowth_6,completed,,0.001
APC-Multitenant,7,AutoARIMA,completed,,0.385
APC-Multitenant,7,Theta,completed,,0.005
APC-Multitenant,7,ETS Explicit,completed,,0.036
APC-Multitenant,7,LightGBM,completed,,0.044
APC-Multitenant,7,XGBoost,completed,,0.06
APC-Multitenant,7,FastNeuralAR_MLP,completed,,0.024
APC-Multitenant,8,ARIMA_Fixed,completed,,0.001
APC-Multitenant,8,ETS_Current,completed,,0.001
APC-Multitenant,8,LinearRegression,completed,,0.003
APC-Multitenant,8,FixedGrowth_1_5,completed,,0.001
APC-Multitenant,8,FixedGrowth_3,completed,,0.001
APC-Multitenant,8,FixedGrowth_4,completed,,0.001
APC-Multitenant,8,FixedGrowth_6,completed,,0.001
APC-Multitenant,8,AutoARIMA,completed,,0.396
APC-Multitenant,8,Theta,completed,,0.005
APC-Multitenant,8,ETS Explicit,completed,,0.04
APC-Multitenant,8,LightGBM,completed,,0.044
APC-Multitenant,8,XGBoost,completed,,0.063
APC-Multitenant,8,FastNeuralAR_MLP,completed,,0.028
APC-Multitenant,9,ARIMA_Fixed,completed,,0.001
APC-Multitenant,9,ETS_Current,completed,,0.001
APC-Multitenant,9,LinearRegression,completed,,0.003
APC-Multitenant,9,FixedGrowth_1_5,completed,,0.001
APC-Multitenant,9,FixedGrowth_3,completed,,0.001
APC-Multitenant,9,FixedGrowth_4,completed,,0.001
APC-Multitenant,9,FixedGrowth_6,completed,,0.001
APC-Multitenant,9,AutoARIMA,completed,,1.509
APC-Multitenant,9,Theta,completed,,0.005
APC-Multitenant,9,ETS Explicit,completed,,0.038
APC-Multitenant,9,LightGBM,completed,,0.044
APC-Multitenant,9,XGBoost,completed,,0.059
APC-Multitenant,9,FastNeuralAR_MLP,completed,,0.026
APC-Multitenant,10,ARIMA_Fixed,completed,,0.001
APC-Multitenant,10,ETS_Current,completed,,0.001
APC-Multitenant,10,LinearRegression,completed,,0.003
APC-Multitenant,10,FixedGrowth_1_5,completed,,0.001
APC-Multitenant,10,FixedGrowth_3,completed,,0.001
APC-Multitenant,10,FixedGrowth_4,completed,,0.001
APC-Multitenant,10,FixedGrowth_6,completed,,0.001
APC-Multitenant,10,AutoARIMA,completed,,1.044
APC-Multitenant,10,Theta,completed,,0.005
APC-Multitenant,10,ETS Explicit,completed,,0.038
APC-Multitenant,10,LightGBM,completed,,0.043
APC-Multitenant,10,XGBoost,completed,,0.063
APC-Multitenant,10,FastNeuralAR_MLP,completed,,0.025
APC-Multitenant,11,ARIMA_Fixed,completed,,0.001
APC-Multitenant,11,ETS_Current,completed,,0.001
APC-Multitenant,11,LinearRegression,completed,,0.003
APC-Multitenant,11,FixedGrowth_1_5,completed,,0.001
APC-Multitenant,11,FixedGrowth_3,completed,,0.001
APC-Multitenant,11,FixedGrowth_4,completed,,0.001
APC-Multitenant,11,FixedGrowth_6,completed,,0.001
APC-Multitenant,11,AutoARIMA,completed,,1.14
APC-Multitenant,11,Theta,completed,,0.005
APC-Multitenant,11,ETS Explicit,completed,,0.039
APC-Multitenant,11,LightGBM,completed,,0.044
APC-Multitenant,11,XGBoost,completed,,0.061
APC-Multitenant,11,FastNeuralAR_MLP,completed,,0.025
APC-Multitenant,12,ARIMA_Fixed,completed,,0.001
APC-Multitenant,12,ETS_Current,completed,,0.001
APC-Multitenant,12,LinearRegression,completed,,0.004
APC-Multitenant,12,FixedGrowth_1_5,completed,,0.001
APC-Multitenant,12,FixedGrowth_3,completed,,0.001
APC-Multitenant,12,FixedGrowth_4,completed,,0.001
APC-Multitenant,12,FixedGrowth_6,completed,,0.001
APC-Multitenant,12,AutoARIMA,completed,,1.131
APC-Multitenant,12,Theta,completed,,0.005
APC-Multitenant,12,ETS Explicit,completed,,0.043
APC-Multitenant,12,LightGBM,completed,,0.045
APC-Multitenant,12,XGBoost,completed,,0.062
APC-Multitenant,12,FastNeuralAR_MLP,completed,,0.026
ARE-Go Local,1,ARIMA_Fixed,completed,,0.001
ARE-Go Local,1,ETS_Current,completed,,0.001
ARE-Go Local,1,LinearRegression,completed,,0.002
ARE-Go Local,1,FixedGrowth_1_5,completed,,0.001
ARE-Go Local,1,FixedGrowth_3,completed,,0.001
ARE-Go Local,1,FixedGrowth_4,completed,,0.001
ARE-Go Local,1,FixedGrowth_6,completed,,0.001
ARE-Go Local,1,AutoARIMA,completed,,0.121
ARE-Go Local,1,Theta,completed,,0.004
ARE-Go Local,1,ETS Explicit,completed,,0.03
ARE-Go Local,1,LightGBM,completed,,0.041
ARE-Go Local,1,XGBoost,completed,,0.054
ARE-Go Local,1,FastNeuralAR_MLP,completed,,0.316
ARE-Go Local,2,ARIMA_Fixed,completed,,0.001
ARE-Go Local,2,ETS_Current,completed,,0.002
ARE-Go Local,2,LinearRegression,completed,,0.003
ARE-Go Local,2,FixedGrowth_1_5,completed,,0.001
ARE-Go Local,2,FixedGrowth_3,completed,,0.001
ARE-Go Local,2,FixedGrowth_4,completed,,0.001
ARE-Go Local,2,FixedGrowth_6,completed,,0.001
ARE-Go Local,2,AutoARIMA,completed,,0.131
ARE-Go Local,2,Theta,completed,,0.005
ARE-Go Local,2,ETS Explicit,completed,,0.032
ARE-Go Local,2,LightGBM,completed,,0.042
ARE-Go Local,2,XGBoost,completed,,0.052
ARE-Go Local,2,FastNeuralAR_MLP,completed,,0.328
ARE-Go Local,3,ARIMA_Fixed,completed,,0.001
ARE-Go Local,3,ETS_Current,completed,,0.001
ARE-Go Local,3,LinearRegression,completed,,0.003
ARE-Go Local,3,FixedGrowth_1_5,completed,,0.001
ARE-Go Local,3,FixedGrowth_3,completed,,0.001
ARE-Go Local,3,FixedGrowth_4,completed,,0.001
ARE-Go Local,3,FixedGrowth_6,completed,,0.001
ARE-Go Local,3,AutoARIMA,completed,,0.133
ARE-Go Local,3,Theta,completed,,0.004
ARE-Go Local,3,ETS Explicit,completed,,0.033
ARE-Go Local,3,LightGBM,completed,,0.042
ARE-Go Local,3,XGBoost,completed,,0.055
ARE-Go Local,3,FastNeuralAR_MLP,completed,,0.328
ARE-Go Local,4,ARIMA_Fixed,completed,,0.001
ARE-Go Local,4,ETS_Current,completed,,0.001
ARE-Go Local,4,LinearRegression,completed,,0.003
ARE-Go Local,4,FixedGrowth_1_5,completed,,0.001
ARE-Go Local,4,FixedGrowth_3,completed,,0.001
ARE-Go Local,4,FixedGrowth_4,completed,,0.001
ARE-Go Local,4,FixedGrowth_6,completed,,0.001
ARE-Go Local,4,AutoARIMA,completed,,0.136
ARE-Go Local,4,Theta,completed,,0.005
ARE-Go Local,4,ETS Explicit,completed,,0.035
ARE-Go Local,4,LightGBM,completed,,0.042
ARE-Go Local,4,XGBoost,completed,,0.054
ARE-Go Local,4,FastNeuralAR_MLP,completed,,0.349
ARE-Go Local,5,ARIMA_Fixed,completed,,0.001
ARE-Go Local,5,ETS_Current,completed,,0.001
ARE-Go Local,5,LinearRegression,completed,,0.003
