grain,model_or_pair,supported_better,worse,total_comparisons,source_file,notes
pairwise model_a x model_b,AutoARIMA vs LightGBM,True,,1,outputs/model_lab/tournament_engine/tournament_pairwise_evidence.csv,status=supported_difference; median_delta_mase=-7.052125877318796; model_a positive delta means model_b lower MASE if artifact uses model_a-model_b.
pairwise model_a x model_b,AutoARIMA vs XGBoost,False,,1,outputs/model_lab/tournament_engine/tournament_pairwise_evidence.csv,status=inconclusive; median_delta_mase=-3.7686509704458366; model_a positive delta means model_b lower MASE if artifact uses model_a-model_b.
pairwise model_a x model_b,AutoARIMA vs FastNeuralAR_MLP,True,,1,outputs/model_lab/tournament_engine/tournament_pairwise_evidence.csv,status=supported_difference; median_delta_mase=-734.8057215578956; model_a positive delta means model_b lower MASE if artifact uses model_a-model_b.
pairwise model_a x model_b,Theta vs ETS Explicit,False,,1,outputs/model_lab/tournament_engine/tournament_pairwise_evidence.csv,status=inconclusive; median_delta_mase=1.5514579720782224; model_a positive delta means model_b lower MASE if artifact uses model_a-model_b.
pairwise model_a x model_b,Theta vs LightGBM,True,,1,outputs/model_lab/tournament_engine/tournament_pairwise_evidence.csv,status=supported_difference; median_delta_mase=-7.045044178994873; model_a positive delta means model_b lower MASE if artifact uses model_a-model_b.
pairwise model_a x model_b,Theta vs XGBoost,True,,1,outputs/model_lab/tournament_engine/tournament_pairwise_evidence.csv,status=supported_difference; median_delta_mase=-4.415703760957729; model_a positive delta means model_b lower MASE if artifact uses model_a-model_b.
pairwise model_a x model_b,Theta vs FastNeuralAR_MLP,True,,1,outputs/model_lab/tournament_engine/tournament_pairwise_evidence.csv,status=supported_difference; median_delta_mase=-732.7846128129437; model_a positive delta means model_b lower MASE if artifact uses model_a-model_b.
pairwise model_a x model_b,ETS Explicit vs LightGBM,True,,1,outputs/model_lab/tournament_engine/tournament_pairwise_evidence.csv,status=supported_difference; median_delta_mase=-9.117174872209093; model_a positive delta means model_b lower MASE if artifact uses model_a-model_b.
pairwise model_a x model_b,ETS Explicit vs XGBoost,True,,1,outputs/model_lab/tournament_engine/tournament_pairwise_evidence.csv,status=supported_difference; median_delta_mase=-6.208169823268207; model_a positive delta means model_b lower MASE if artifact uses model_a-model_b.
pairwise model_a x model_b,ETS Explicit vs FastNeuralAR_MLP,True,,1,outputs/model_lab/tournament_engine/tournament_pairwise_evidence.csv,status=supported_difference; median_delta_mase=-734.963110910705; model_a positive delta means model_b lower MASE if artifact uses model_a-model_b.
pairwise model_a x model_b,LightGBM vs XGBoost,True,,1,outputs/model_lab/tournament_engine/tournament_pairwise_evidence.csv,status=supported_difference; median_delta_mase=3.799890225829067; model_a positive delta means model_b lower MASE if artifact uses model_a-model_b.
pairwise model_a x model_b,LightGBM vs FastNeuralAR_MLP,True,,1,outputs/model_lab/tournament_engine/tournament_pairwise_evidence.csv,status=supported_difference; median_delta_mase=-725.845936038496; model_a positive delta means model_b lower MASE if artifact uses model_a-model_b.
pairwise model_a x model_b,XGBoost vs FastNeuralAR_MLP,True,,1,outputs/model_lab/tournament_engine/tournament_pairwise_evidence.csv,status=supported_difference; median_delta_mase=-728.7549410874368; model_a positive delta means model_b lower MASE if artifact uses model_a-model_b.
model-level evidence summary,ARIMA_Fixed,3,3,12,outputs/model_lab/tournament_engine/tournament_model_evidence_summary.csv,Model-level pairwise evidence summary from governed artifact.
model-level evidence summary,ETS_Current,4,0,12,outputs/model_lab/tournament_engine/tournament_model_evidence_summary.csv,Model-level pairwise evidence summary from governed artifact.
model-level evidence summary,LinearRegression,4,1,12,outputs/model_lab/tournament_engine/tournament_model_evidence_summary.csv,Model-level pairwise evidence summary from governed artifact.
model-level evidence summary,FixedGrowth_1_5,6,0,12,outputs/model_lab/tournament_engine/tournament_model_evidence_summary.csv,Model-level pairwise evidence summary from governed artifact.
model-level evidence summary,FixedGrowth_3,4,0,12,outputs/model_lab/tournament_engine/tournament_model_evidence_summary.csv,Model-level pairwise evidence summary from governed artifact.
model-level evidence summary,FixedGrowth_4,2,5,12,outputs/model_lab/tournament_engine/tournament_model_evidence_summary.csv,Model-level pairwise evidence summary from governed artifact.
model-level evidence summary,FixedGrowth_6,1,9,12,outputs/model_lab/tournament_engine/tournament_model_evidence_summary.csv,Model-level pairwise evidence summary from governed artifact.
model-level evidence summary,AutoARIMA,2,1,12,outputs/model_lab/tournament_engine/tournament_model_evidence_summary.csv,Model-level pairwise evidence summary from governed artifact.
model-level evidence summary,Theta,5,0,12,outputs/model_lab/tournament_engine/tournament_model_evidence_summary.csv,Model-level pairwise evidence summary from governed artifact.
model-level evidence summary,ETS Explicit,8,0,12,outputs/model_lab/tournament_engine/tournament_model_evidence_summary.csv,Model-level pairwise evidence summary from governed artifact.
model-level evidence summary,LightGBM,1,9,12,outputs/model_lab/tournament_engine/tournament_model_evidence_summary.csv,Model-level pairwise evidence summary from governed artifact.
model-level evidence summary,XGBoost,3,3,12,outputs/model_lab/tournament_engine/tournament_model_evidence_summary.csv,Model-level pairwise evidence summary from governed artifact.
model-level evidence summary,FastNeuralAR_MLP,0,12,12,outputs/model_lab/tournament_engine/tournament_model_evidence_summary.csv,Model-level pairwise evidence summary from governed artifact.
