series_id,metric,backtest_ready,backtest_evidence,accuracy_ready,accuracy_evidence,ranking_ready,ranking_evidence,forecast_ready,forecast_evidence,product_ready,readiness_source,manifest_has_15_model_backtests_original,manifest_flag_used_for_readiness,manifest_flag_would_have_excluded
HDD__Basilisk__NA__Region__nam-ITAR-GCCH,HDD,TRUE,"15/15 models, min rows/model 150",TRUE,15/15 models,TRUE,"15/15 models, 1 champion, policy P6C_RANKING_POLICY_V2",TRUE,"15/15 models, 30 steps each, type GOVERNED_30_STEP_DAILY_FORECAST",TRUE,DERIVED_FROM_GOVERNED_ARTIFACTS,TRUE,FALSE,FALSE
HDD__Basilisk__NA__Region__nzl-Go-Local,HDD,TRUE,"15/15 models, min rows/model 150",TRUE,15/15 models,TRUE,"15/15 models, 1 champion, policy P6C_RANKING_POLICY_V2",TRUE,"15/15 models, 30 steps each, type GOVERNED_30_STEP_DAILY_FORECAST",TRUE,DERIVED_FROM_GOVERNED_ARTIFACTS,TRUE,FALSE,FALSE
HDD__EDB__Consumer__Forest__CANPRD01,HDD,TRUE,"15/15 models, min rows/model 330",TRUE,15/15 models,TRUE,"15/15 models, 1 champion, policy P6C_RANKING_POLICY_V2",TRUE,"15/15 models, 30 steps each, type GOVERNED_30_STEP_DAILY_FORECAST",TRUE,DERIVED_FROM_GOVERNED_ARTIFACTS,TRUE,FALSE,FALSE
HDD__EDB__Consumer__Forest__EURP179,HDD,TRUE,"15/15 models, min rows/model 330",TRUE,15/15 models,TRUE,"15/15 models, 1 champion, policy P6C_RANKING_POLICY_V2",TRUE,"15/15 models, 30 steps each, type GOVERNED_30_STEP_DAILY_FORECAST",TRUE,DERIVED_FROM_GOVERNED_ARTIFACTS,TRUE,FALSE,FALSE
HDD__EDB__Consumer__Forest__EURP309,HDD,TRUE,"15/15 models, min rows/model 330",TRUE,15/15 models,TRUE,"15/15 models, 1 champion, policy P6C_RANKING_POLICY_V2",TRUE,"15/15 models, 30 steps each, type GOVERNED_30_STEP_DAILY_FORECAST",TRUE,DERIVED_FROM_GOVERNED_ARTIFACTS,TRUE,FALSE,FALSE
HDD__EDB__Consumer__Forest__EURPRD07,HDD,TRUE,"15/15 models, min rows/model 330",TRUE,15/15 models,TRUE,"15/15 models, 1 champion, policy P6C_RANKING_POLICY_V2",TRUE,"15/15 models, 30 steps each, type GOVERNED_30_STEP_DAILY_FORECAST",TRUE,DERIVED_FROM_GOVERNED_ARTIFACTS,TRUE,FALSE,FALSE
HDD__EDB__Consumer__Forest__JPNPRD01,HDD,TRUE,"15/15 models, min rows/model 330",TRUE,15/15 models,TRUE,"15/15 models, 1 champion, policy P6C_RANKING_POLICY_V2",TRUE,"15/15 models, 30 steps each, type GOVERNED_30_STEP_DAILY_FORECAST",TRUE,DERIVED_FROM_GOVERNED_ARTIFACTS,TRUE,FALSE,FALSE
HDD__EDB__Consumer__Forest__NAMP115,HDD,TRUE,"15/15 models, min rows/model 330",TRUE,15/15 models,TRUE,"15/15 models, 1 champion, policy P6C_RANKING_POLICY_V2",TRUE,"15/15 models, 30 steps each, type GOVERNED_30_STEP_DAILY_FORECAST",TRUE,DERIVED_FROM_GOVERNED_ARTIFACTS,TRUE,FALSE,FALSE
HDD__EDB__Consumer__Forest__NAMP159,HDD,TRUE,"15/15 models, min rows/model 330",TRUE,15/15 models,TRUE,"15/15 models, 1 champion, policy P6C_RANKING_POLICY_V2",TRUE,"15/15 models, 30 steps each, type GOVERNED_30_STEP_DAILY_FORECAST",TRUE,DERIVED_FROM_GOVERNED_ARTIFACTS,TRUE,FALSE,FALSE
HDD__EDB__Consumer__Forest__NAMP283,HDD,TRUE,"15/15 models, min rows/model 330",TRUE,15/15 models,TRUE,"15/15 models, 1 champion, policy P6C_RANKING_POLICY_V2",TRUE,"15/15 models, 30 steps each, type GOVERNED_30_STEP_DAILY_FORECAST",TRUE,DERIVED_FROM_GOVERNED_ARTIFACTS,TRUE,FALSE,FALSE
HDD__EDB__Consumer__Forest__NAMPRD16,HDD,TRUE,"15/15 models, min rows/model 330",TRUE,15/15 models,TRUE,"15/15 models, 1 champion, policy P6C_RANKING_POLICY_V2",TRUE,"15/15 models, 30 steps each, type GOVERNED_30_STEP_DAILY_FORECAST",TRUE,DERIVED_FROM_GOVERNED_ARTIFACTS,TRUE,FALSE,FALSE
HDD__EDB__Consumer__Region__APC-MSIT,HDD,TRUE,"15/15 models, min rows/model 330",TRUE,15/15 models,TRUE,"15/15 models, 1 champion, policy P6C_RANKING_POLICY_V2",TRUE,"15/15 models, 30 steps each, type GOVERNED_30_STEP_DAILY_FORECAST",TRUE,DERIVED_FROM_GOVERNED_ARTIFACTS,TRUE,FALSE,FALSE
HDD__EDB__Consumer__Region__CAN-Go-Local,HDD,TRUE,"15/15 models, min rows/model 330",TRUE,15/15 models,TRUE,"15/15 models, 1 champion, policy P6C_RANKING_POLICY_V2",TRUE,"15/15 models, 30 steps each, type GOVERNED_30_STEP_DAILY_FORECAST",TRUE,DERIVED_FROM_GOVERNED_ARTIFACTS,TRUE,FALSE,FALSE
HDD__EDB__Consumer__Region__EUR-Dedicated,HDD,TRUE,"15/15 models, min rows/model 330",TRUE,15/15 models,TRUE,"15/15 models, 1 champion, policy P6C_RANKING_POLICY_V2",TRUE,"15/15 models, 30 steps each, type GOVERNED_30_STEP_DAILY_FORECAST",TRUE,DERIVED_FROM_GOVERNED_ARTIFACTS,TRUE,FALSE,FALSE
HDD__EDB__Consumer__Region__IDN-Go-Local,HDD,TRUE,"15/15 models, min rows/model 330",TRUE,15/15 models,TRUE,"15/15 models, 1 champion, policy P6C_RANKING_POLICY_V2",TRUE,"15/15 models, 30 steps each, type GOVERNED_30_STEP_DAILY_FORECAST",TRUE,DERIVED_FROM_GOVERNED_ARTIFACTS,TRUE,FALSE,FALSE
HDD__EDB__Consumer__Region__LAM-Multitenant,HDD,TRUE,"15/15 models, min rows/model 330",TRUE,15/15 models,TRUE,"15/15 models, 1 champion, policy P6C_RANKING_POLICY_V2",TRUE,"15/15 models, 30 steps each, type GOVERNED_30_STEP_DAILY_FORECAST",TRUE,DERIVED_FROM_GOVERNED_ARTIFACTS,TRUE,FALSE,FALSE
HDD__EDB__Consumer__Region__NAM-ITAR-DoD,HDD,TRUE,"15/15 models, min rows/model 330",TRUE,15/15 models,TRUE,"15/15 models, 1 champion, policy P6C_RANKING_POLICY_V2",TRUE,"15/15 models, 30 steps each, type GOVERNED_30_STEP_DAILY_FORECAST",TRUE,DERIVED_FROM_GOVERNED_ARTIFACTS,TRUE,FALSE,FALSE
HDD__EDB__Consumer__Region__NAM-MSIT,HDD,TRUE,"15/15 models, min rows/model 330",TRUE,15/15 models,TRUE,"15/15 models, 1 champion, policy P6C_RANKING_POLICY_V2",TRUE,"15/15 models, 30 steps each, type GOVERNED_30_STEP_DAILY_FORECAST",TRUE,DERIVED_FROM_GOVERNED_ARTIFACTS,TRUE,FALSE,FALSE
HDD__EDB__Consumer__Region__POL-Go-Local,HDD,TRUE,"15/15 models, min rows/model 330",TRUE,15/15 models,TRUE,"15/15 models, 1 champion, policy P6C_RANKING_POLICY_V2",TRUE,"15/15 models, 30 steps each, type GOVERNED_30_STEP_DAILY_FORECAST",TRUE,DERIVED_FROM_GOVERNED_ARTIFACTS,TRUE,FALSE,FALSE
HDD__EDB__Enterprise__Forest__CHNPR01,HDD,TRUE,"15/15 models, min rows/model 330",TRUE,15/15 models,TRUE,"15/15 models, 1 champion, policy P6C_RANKING_POLICY_V2",TRUE,"15/15 models, 30 steps each, type GOVERNED_30_STEP_DAILY_FORECAST",TRUE,DERIVED_FROM_GOVERNED_ARTIFACTS,TRUE,FALSE,FALSE
HDD__EDB__Enterprise__Forest__EURP192,HDD,TRUE,"15/15 models, min rows/model 330",TRUE,15/15 models,TRUE,"15/15 models, 1 champion, policy P6C_RANKING_POLICY_V2",TRUE,"15/15 models, 30 steps each, type GOVERNED_30_STEP_DAILY_FORECAST",TRUE,DERIVED_FROM_GOVERNED_ARTIFACTS,TRUE,FALSE,FALSE
HDD__EDB__Enterprise__Forest__EURP309,HDD,TRUE,"15/15 models, min rows/model 330",TRUE,15/15 models,TRUE,"15/15 models, 1 champion, policy P6C_RANKING_POLICY_V2",TRUE,"15/15 models, 30 steps each, type GOVERNED_30_STEP_DAILY_FORECAST",TRUE,DERIVED_FROM_GOVERNED_ARTIFACTS,TRUE,FALSE,FALSE
HDD__EDB__Enterprise__Forest__GBRP265,HDD,TRUE,"15/15 models, min rows/model 330",TRUE,15/15 models,TRUE,"15/15 models, 1 champion, policy P6C_RANKING_POLICY_V2",TRUE,"15/15 models, 30 steps each, type GOVERNED_30_STEP_DAILY_FORECAST",TRUE,DERIVED_FROM_GOVERNED_ARTIFACTS,TRUE,FALSE,FALSE
HDD__EDB__Enterprise__Forest__NAMP103,HDD,TRUE,"15/15 models, min rows/model 330",TRUE,15/15 models,TRUE,"15/15 models, 1 champion, policy P6C_RANKING_POLICY_V2",TRUE,"15/15 models, 30 steps each, type GOVERNED_30_STEP_DAILY_FORECAST",TRUE,DERIVED_FROM_GOVERNED_ARTIFACTS,TRUE,FALSE,FALSE
HDD__EDB__Enterprise__Forest__NAMP134,HDD,TRUE,"15/15 models, min rows/model 330",TRUE,15/15 models,TRUE,"15/15 models, 1 champion, policy P6C_RANKING_POLICY_V2",TRUE,"15/15 models, 30 steps each, type GOVERNED_30_STEP_DAILY_FORECAST",TRUE,DERIVED_FROM_GOVERNED_ARTIFACTS,TRUE,FALSE,FALSE
HDD__EDB__Enterprise__Forest__NAMP220,HDD,TRUE,"15/15 models, min rows/model 330",TRUE,15/15 models,TRUE,"15/15 models, 1 champion, policy P6C_RANKING_POLICY_V2",TRUE,"15/15 models, 30 steps each, type GOVERNED_30_STEP_DAILY_FORECAST",TRUE,DERIVED_FROM_GOVERNED_ARTIFACTS,TRUE,FALSE,FALSE
HDD__EDB__Enterprise__Forest__NAMPRD14,HDD,TRUE,"15/15 models, min rows/model 330",TRUE,15/15 models,TRUE,"15/15 models, 1 champion, policy P6C_RANKING_POLICY_V2",TRUE,"15/15 models, 30 steps each, type GOVERNED_30_STEP_DAILY_FORECAST",TRUE,DERIVED_FROM_GOVERNED_ARTIFACTS,TRUE,FALSE,FALSE
HDD__EDB__Enterprise__Region__APC-MSIT,HDD,TRUE,"15/15 models, min rows/model 360",TRUE,15/15 models,TRUE,"15/15 models, 1 champion, policy P6C_RANKING_POLICY_V2",TRUE,"15/15 models, 30 steps each, type GOVERNED_30_STEP_DAILY_FORECAST",TRUE,DERIVED_FROM_GOVERNED_ARTIFACTS,TRUE,FALSE,FALSE
HDD__EDB__Enterprise__Region__CAN-Go-Local,HDD,TRUE,"15/15 models, min rows/model 360",TRUE,15/15 models,TRUE,"15/15 models, 1 champion, policy P6C_RANKING_POLICY_V2",TRUE,"15/15 models, 30 steps each, type GOVERNED_30_STEP_DAILY_FORECAST",TRUE,DERIVED_FROM_GOVERNED_ARTIFACTS,TRUE,FALSE,FALSE
HDD__EDB__Enterprise__Region__CHL-Go-Local,HDD,TRUE,"15/15 models, min rows/model 330",TRUE,15/15 models,TRUE,"15/15 models, 1 champion, policy P6C_RANKING_POLICY_V2",TRUE,"15/15 models, 30 steps each, type GOVERNED_30_STEP_DAILY_FORECAST",TRUE,DERIVED_FROM_GOVERNED_ARTIFACTS,TRUE,FALSE,FALSE
HDD__EDB__Enterprise__Region__EUR-Go-Local,HDD,TRUE,"15/15 models, min rows/model 330",TRUE,15/15 models,TRUE,"15/15 models, 1 champion, policy P6C_RANKING_POLICY_V2",TRUE,"15/15 models, 30 steps each, type GOVERNED_30_STEP_DAILY_FORECAST",TRUE,DERIVED_FROM_GOVERNED_ARTIFACTS,TRUE,FALSE,FALSE
HDD__EDB__Enterprise__Region__EUR-Multitenant,HDD,TRUE,"15/15 models, min rows/model 360",TRUE,15/15 models,TRUE,"15/15 models, 1 champion, policy P6C_RANKING_POLICY_V2",TRUE,"15/15 models, 30 steps each, type GOVERNED_30_STEP_DAILY_FORECAST",TRUE,DERIVED_FROM_GOVERNED_ARTIFACTS,TRUE,FALSE,FALSE
HDD__EDB__Enterprise__Region__ITA-Go-Local,HDD,TRUE,"15/15 models, min rows/model 360",TRUE,15/15 models,TRUE,"15/15 models, 1 champion, policy P6C_RANKING_POLICY_V2",TRUE,"15/15 models, 30 steps each, type GOVERNED_30_STEP_DAILY_FORECAST",TRUE,DERIVED_FROM_GOVERNED_ARTIFACTS,TRUE,FALSE,FALSE
HDD__EDB__Enterprise__Region__NAM-Dedicated,HDD,TRUE,"15/15 models, min rows/model 360",TRUE,15/15 models,TRUE,"15/15 models, 1 champion, policy P6C_RANKING_POLICY_V2",TRUE,"15/15 models, 30 steps each, type GOVERNED_30_STEP_DAILY_FORECAST",TRUE,DERIVED_FROM_GOVERNED_ARTIFACTS,TRUE,FALSE,FALSE
HDD__EDB__Enterprise__Region__NAM-SDF,HDD,TRUE,"15/15 models, min rows/model 360",TRUE,15/15 models,TRUE,"15/15 models, 1 champion, policy P6C_RANKING_POLICY_V2",TRUE,"15/15 models, 30 steps each, type GOVERNED_30_STEP_DAILY_FORECAST",TRUE,DERIVED_FROM_GOVERNED_ARTIFACTS,TRUE,FALSE,FALSE
SSD__Phoenix__Forest__APCP150,SSD,TRUE,"15/15 models, min rows/model 300",TRUE,15/15 models,TRUE,"15/15 models, 1 champion, policy P6C_RANKING_POLICY_V2",TRUE,"15/15 models, 30 steps each, type GOVERNED_30_STEP_DAILY_FORECAST",TRUE,DERIVED_FROM_GOVERNED_ARTIFACTS,FALSE,FALSE,TRUE
SSD__Phoenix__Forest__APCPRD01,SSD,TRUE,"15/15 models, min rows/model 300",TRUE,15/15 models,TRUE,"15/15 models, 1 champion, policy P6C_RANKING_POLICY_V2",TRUE,"15/15 models, 30 steps each, type GOVERNED_30_STEP_DAILY_FORECAST",TRUE,DERIVED_FROM_GOVERNED_ARTIFACTS,FALSE,FALSE,TRUE
SSD__Phoenix__Forest__APCPRD02,SSD,TRUE,"15/15 models, min rows/model 300",TRUE,15/15 models,TRUE,"15/15 models, 1 champion, policy P6C_RANKING_POLICY_V2",TRUE,"15/15 models, 30 steps each, type GOVERNED_30_STEP_DAILY_FORECAST",TRUE,DERIVED_FROM_GOVERNED_ARTIFACTS,FALSE,FALSE,TRUE
SSD__Phoenix__Forest__AREP273,SSD,TRUE,"15/15 models, min rows/model 300",TRUE,15/15 models,TRUE,"15/15 models, 1 champion, policy P6C_RANKING_POLICY_V2",TRUE,"15/15 models, 30 steps each, type GOVERNED_30_STEP_DAILY_FORECAST",TRUE,DERIVED_FROM_GOVERNED_ARTIFACTS,FALSE,FALSE,TRUE
SSD__Phoenix__Forest__AUSP282,SSD,TRUE,"15/15 models, min rows/model 300",TRUE,15/15 models,TRUE,"15/15 models, 1 champion, policy P6C_RANKING_POLICY_V2",TRUE,"15/15 models, 30 steps each, type GOVERNED_30_STEP_DAILY_FORECAST",TRUE,DERIVED_FROM_GOVERNED_ARTIFACTS,FALSE,FALSE,TRUE
SSD__Phoenix__Forest__AUSP300,SSD,TRUE,"15/15 models, min rows/model 300",TRUE,15/15 models,TRUE,"15/15 models, 1 champion, policy P6C_RANKING_POLICY_V2",TRUE,"15/15 models, 30 steps each, type GOVERNED_30_STEP_DAILY_FORECAST",TRUE,DERIVED_FROM_GOVERNED_ARTIFACTS,FALSE,FALSE,TRUE
SSD__Phoenix__Forest__AUSPRD01,SSD,TRUE,"15/15 models, min rows/model 300",TRUE,15/15 models,TRUE,"15/15 models, 1 champion, policy P6C_RANKING_POLICY_V2",TRUE,"15/15 models, 30 steps each, type GOVERNED_30_STEP_DAILY_FORECAST",TRUE,DERIVED_FROM_GOVERNED_ARTIFACTS,FALSE,FALSE,TRUE
SSD__Phoenix__Forest__AUTP296,SSD,TRUE,"15/15 models, min rows/model 300",TRUE,15/15 models,TRUE,"15/15 models, 1 champion, policy P6C_RANKING_POLICY_V2",TRUE,"15/15 models, 30 steps each, type GOVERNED_30_STEP_DAILY_FORECAST",TRUE,DERIVED_FROM_GOVERNED_ARTIFACTS,FALSE,FALSE,TRUE
SSD__Phoenix__Forest__BRAP284,SSD,TRUE,"15/15 models, min rows/model 300",TRUE,15/15 models,TRUE,"15/15 models, 1 champion, policy P6C_RANKING_POLICY_V2",TRUE,"15/15 models, 30 steps each, type GOVERNED_30_STEP_DAILY_FORECAST",TRUE,DERIVED_FROM_GOVERNED_ARTIFACTS,FALSE,FALSE,TRUE
SSD__Phoenix__Forest__CANP288,SSD,TRUE,"15/15 models, min rows/model 300",TRUE,15/15 models,TRUE,"15/15 models, 1 champion, policy P6C_RANKING_POLICY_V2",TRUE,"15/15 models, 30 steps each, type GOVERNED_30_STEP_DAILY_FORECAST",TRUE,DERIVED_FROM_GOVERNED_ARTIFACTS,FALSE,FALSE,TRUE
SSD__Phoenix__Forest__CANPRD01,SSD,TRUE,"15/15 models, min rows/model 300",TRUE,15/15 models,TRUE,"15/15 models, 1 champion, policy P6C_RANKING_POLICY_V2",TRUE,"15/15 models, 30 steps each, type GOVERNED_30_STEP_DAILY_FORECAST",TRUE,DERIVED_FROM_GOVERNED_ARTIFACTS,FALSE,FALSE,TRUE
SSD__Phoenix__Forest__CHEP278,SSD,TRUE,"15/15 models, min rows/model 300",TRUE,15/15 models,TRUE,"15/15 models, 1 champion, policy P6C_RANKING_POLICY_V2",TRUE,"15/15 models, 30 steps each, type GOVERNED_30_STEP_DAILY_FORECAST",TRUE,DERIVED_FROM_GOVERNED_ARTIFACTS,FALSE,FALSE,TRUE
SSD__Phoenix__Forest__CHLP298,SSD,TRUE,"15/15 models, min rows/model 300",TRUE,15/15 models,TRUE,"15/15 models, 1 champion, policy P6C_RANKING_POLICY_V2",TRUE,"15/15 models, 30 steps each, type GOVERNED_30_STEP_DAILY_FORECAST",TRUE,DERIVED_FROM_GOVERNED_ARTIFACTS,FALSE,FALSE,TRUE
SSD__Phoenix__Forest__DEUP281,SSD,TRUE,"15/15 models, min rows/model 300",TRUE,15/15 models,TRUE,"15/15 models, 1 champion, policy P6C_RANKING_POLICY_V2",TRUE,"15/15 models, 30 steps each, type GOVERNED_30_STEP_DAILY_FORECAST",TRUE,DERIVED_FROM_GOVERNED_ARTIFACTS,FALSE,FALSE,TRUE
SSD__Phoenix__Forest__DNKP307,SSD,TRUE,"15/15 models, min rows/model 300",TRUE,15/15 models,TRUE,"15/15 models, 1 champion, policy P6C_RANKING_POLICY_V2",TRUE,"15/15 models, 30 steps each, type GOVERNED_30_STEP_DAILY_FORECAST",TRUE,DERIVED_FROM_GOVERNED_ARTIFACTS,FALSE,FALSE,TRUE
SSD__Phoenix__Forest__ESPP292,SSD,TRUE,"15/15 models, min rows/model 300",TRUE,15/15 models,TRUE,"15/15 models, 1 champion, policy P6C_RANKING_POLICY_V2",TRUE,"15/15 models, 30 steps each, type GOVERNED_30_STEP_DAILY_FORECAST",TRUE,DERIVED_FROM_GOVERNED_ARTIFACTS,FALSE,FALSE,TRUE
SSD__Phoenix__Forest__EURP107,SSD,TRUE,"15/15 models, min rows/model 300",TRUE,15/15 models,TRUE,"15/15 models, 1 champion, policy P6C_RANKING_POLICY_V2",TRUE,"15/15 models, 30 steps each, type GOVERNED_30_STEP_DAILY_FORECAST",TRUE,DERIVED_FROM_GOVERNED_ARTIFACTS,FALSE,FALSE,TRUE
SSD__Phoenix__Forest__EURP119,SSD,TRUE,"15/15 models, min rows/model 300",TRUE,15/15 models,TRUE,"15/15 models, 1 champion, policy P6C_RANKING_POLICY_V2",TRUE,"15/15 models, 30 steps each, type GOVERNED_30_STEP_DAILY_FORECAST",TRUE,DERIVED_FROM_GOVERNED_ARTIFACTS,FALSE,FALSE,TRUE
SSD__Phoenix__Forest__EURP120,SSD,TRUE,"15/15 models, min rows/model 300",TRUE,15/15 models,TRUE,"15/15 models, 1 champion, policy P6C_RANKING_POLICY_V2",TRUE,"15/15 models, 30 steps each, type GOVERNED_30_STEP_DAILY_FORECAST",TRUE,DERIVED_FROM_GOVERNED_ARTIFACTS,FALSE,FALSE,TRUE
SSD__Phoenix__Forest__FRAP264,SSD,TRUE,"15/15 models, min rows/model 300",TRUE,15/15 models,TRUE,"15/15 models, 1 champion, policy P6C_RANKING_POLICY_V2",TRUE,"15/15 models, 30 steps each, type GOVERNED_30_STEP_DAILY_FORECAST",TRUE,DERIVED_FROM_GOVERNED_ARTIFACTS,FALSE,FALSE,TRUE
SSD__Phoenix__Forest__GBRP123,SSD,TRUE,"15/15 models, min rows/model 300",TRUE,15/15 models,TRUE,"15/15 models, 1 champion, policy P6C_RANKING_POLICY_V2",TRUE,"15/15 models, 30 steps each, type GOVERNED_30_STEP_DAILY_FORECAST",TRUE,DERIVED_FROM_GOVERNED_ARTIFACTS,FALSE,FALSE,TRUE
SSD__Phoenix__Forest__GBRP265,SSD,TRUE,"15/15 models, min rows/model 300",TRUE,15/15 models,TRUE,"15/15 models, 1 champion, policy P6C_RANKING_POLICY_V2",TRUE,"15/15 models, 30 steps each, type GOVERNED_30_STEP_DAILY_FORECAST",TRUE,DERIVED_FROM_GOVERNED_ARTIFACTS,FALSE,FALSE,TRUE
SSD__Phoenix__Forest__GBRP267,SSD,TRUE,"15/15 models, min rows/model 300",TRUE,15/15 models,TRUE,"15/15 models, 1 champion, policy P6C_RANKING_POLICY_V2",TRUE,"15/15 models, 30 steps each, type GOVERNED_30_STEP_DAILY_FORECAST",TRUE,DERIVED_FROM_GOVERNED_ARTIFACTS,FALSE,FALSE,TRUE
SSD__Phoenix__Forest__IDNP305,SSD,TRUE,"15/15 models, min rows/model 300",TRUE,15/15 models,TRUE,"15/15 models, 1 champion, policy P6C_RANKING_POLICY_V2",TRUE,"15/15 models, 30 steps each, type GOVERNED_30_STEP_DAILY_FORECAST",TRUE,DERIVED_FROM_GOVERNED_ARTIFACTS,FALSE,FALSE,TRUE
