artifact,column_name,dtype,required,present,null_count,distinct_count,example_value,description
navigation_contract,accuracy_ready,str,TRUE,TRUE,0,1,TRUE,
navigation_contract,ranking_ready,str,TRUE,TRUE,0,1,TRUE,
navigation_contract,forecast_ready,str,TRUE,TRUE,0,1,TRUE,
navigation_contract,champion_model_name,str,TRUE,TRUE,0,14,FixedGrowth_1_5,
navigation_contract,champion_rank_value,float64,TRUE,TRUE,0,126,0.03915818146559877,
navigation_contract,champion_rank_metric,str,TRUE,TRUE,0,3,wape,
navigation_contract,champion_validity,str,TRUE,TRUE,0,2,MEANINGFUL_ACCURACY_RANKING,
navigation_contract,champion_reason,str,TRUE,TRUE,0,2,LOWEST_VALID_ERROR_BY_P6C_POLICY,
navigation_contract,ranking_policy_version,str,TRUE,TRUE,0,1,P6C_RANKING_POLICY_V2,
navigation_contract,signal_quality_status,str,TRUE,TRUE,0,3,SIGNAL_PRESENT,
navigation_contract,no_signal_flag,str,TRUE,TRUE,0,2,FALSE,
navigation_contract,trailing_zero_latest_actual_flag,str,TRUE,TRUE,0,2,FALSE,
navigation_contract,low_confidence_backtest_window_flag,str,TRUE,TRUE,0,2,FALSE,
navigation_contract,caveat_badge,str,TRUE,TRUE,0,15,NEGATIVE_BACKTEST_PREDICTIONS_PRESENT|EXTREME_BACKTEST_RATIO_PRESENT,"Pipe-separated caveat codes, or NONE"
navigation_contract,caveat_message,str,TRUE,TRUE,0,4,No material caveat for this series.,
navigation_contract,forecast_type,str,TRUE,TRUE,0,1,GOVERNED_30_STEP_DAILY_FORECAST,
navigation_contract,forecast_steps,int64,TRUE,TRUE,0,1,30,
navigation_contract,forecast_horizon_label,str,TRUE,TRUE,0,1,30 daily steps ahead of the last observed actual,
navigation_contract,forecast_start_date,str,TRUE,TRUE,0,8,2023-07-21,
navigation_contract,forecast_end_date,str,TRUE,TRUE,0,8,2023-08-19,
navigation_contract,aggregate_metric_policy,str,TRUE,TRUE,0,1,MEDIAN_SERIES_WEIGHTED,
navigation_contract,recommended_aggregate_statistic,str,TRUE,TRUE,0,1,median,
navigation_contract,median_wape,float64,TRUE,TRUE,16,124,0.042640030964846865,Series-level median across the 15 models; empty when not computable
navigation_contract,median_smape,float64,TRUE,TRUE,0,125,0.042880601551866515,
navigation_contract,median_rmse,float64,TRUE,TRUE,0,126,29116.853198032884,
navigation_contract,median_mae,float64,TRUE,TRUE,0,126,22892.973278032132,
navigation_contract,negative_prediction_count,int64,TRUE,TRUE,0,39,7,
navigation_contract,extreme_prediction_count,int64,TRUE,TRUE,0,21,1,
navigation_contract,negative_forecast_count,int64,TRUE,TRUE,0,13,0,
navigation_contract,extreme_forecast_count,int64,TRUE,TRUE,0,6,0,
navigation_contract,readiness_source,str,TRUE,TRUE,0,1,DERIVED_FROM_GOVERNED_ARTIFACTS,
navigation_contract,manifest_has_15_model_backtests_original,str,TRUE,TRUE,0,2,FALSE,
navigation_contract,manifest_flag_used_for_readiness,str,TRUE,TRUE,0,1,FALSE,Always FALSE - the manifest flag is stale
navigation_contract,empty_state,str,TRUE,TRUE,0,1,NOT_APPLICABLE_OPERATIONAL_ROW,
navigation_contract,product_status,str,TRUE,TRUE,0,2,AVAILABLE_WITH_CAVEAT,
navigation_contract,p7_notes,str,TRUE,TRUE,0,1,"Key is a routing/display value at this granularity, not a globally uni",
navigation_contract,median_wape_status,str,FALSE,TRUE,0,2,,additional column: explicit computability status so a missing median is never read as zero
navigation_contract,median_smape_status,str,FALSE,TRUE,0,1,,additional column: explicit computability status so a missing median is never read as zero
