artifact,location,column_name,dtype,null_count,distinct_count,example_value,description
model_rankings,V6/data/processed/v6_24_mvp_cohort/model_rankings.parquet,model_family,str,0,3,Baseline,
model_rankings,V6/data/processed/v6_24_mvp_cohort/model_rankings.parquet,primary_rank_metric,str,0,3,wape,
model_rankings,V6/data/processed/v6_24_mvp_cohort/model_rankings.parquet,primary_rank_value,float64,0,1861,0.03915818146559877,
model_rankings,V6/data/processed/v6_24_mvp_cohort/model_rankings.parquet,secondary_rank_metric,str,0,1,smape,
model_rankings,V6/data/processed/v6_24_mvp_cohort/model_rankings.parquet,secondary_rank_value,float64,195,1854,0.03944915129956143,
model_rankings,V6/data/processed/v6_24_mvp_cohort/model_rankings.parquet,tertiary_rank_metric,str,0,1,rmse,
model_rankings,V6/data/processed/v6_24_mvp_cohort/model_rankings.parquet,tertiary_rank_value,float64,0,1882,26847.821632313426,
model_rankings,V6/data/processed/v6_24_mvp_cohort/model_rankings.parquet,tie_breaker_metric,str,0,1,mae,
model_rankings,V6/data/processed/v6_24_mvp_cohort/model_rankings.parquet,tie_breaker_value,float64,0,1882,21023.605790702433,
model_rankings,V6/data/processed/v6_24_mvp_cohort/model_rankings.parquet,rank_within_series,int64,0,15,1,1 = best model for this series
model_rankings,V6/data/processed/v6_24_mvp_cohort/model_rankings.parquet,is_series_champion,str,0,2,TRUE,TRUE for exactly one model per series
model_rankings,V6/data/processed/v6_24_mvp_cohort/model_rankings.parquet,champion_reason,str,0,3,Lowest wape among all 15 governed models for this series,
model_rankings,V6/data/processed/v6_24_mvp_cohort/model_rankings.parquet,n_backtest_rows,int64,0,9,300,
model_rankings,V6/data/processed/v6_24_mvp_cohort/model_rankings.parquet,negative_prediction_count,int64,0,47,0,
model_rankings,V6/data/processed/v6_24_mvp_cohort/model_rankings.parquet,extreme_ratio_count,int64,0,28,0,
model_rankings,V6/data/processed/v6_24_mvp_cohort/model_rankings.parquet,source_generation_status,str,0,2,GENERATED_P5,
model_rankings,V6/data/processed/v6_24_mvp_cohort/model_rankings.parquet,caveat,str,0,4,"STALE_ACTUALS_SOURCE, latest date 2023-07-20; 15 governed mo",
