cohort_id,series_id,metric,db_type,scenario,granularity,key,route_path,champion_model,model_family,primary_rank_metric,primary_rank_value,runner_up_model,runner_up_value,margin,n_backtest_rows,negative_prediction_count,extreme_ratio_count,source_generation_status,caveat
V6_24_MVP_0113,CPU__Failover__Region__AUS-Go-Local,CPU,UNKNOWN_SOURCE_DOES_NOT_CARRY_DBTYPE,Failover,Region,AUS-Go Local,CPU|Organic|Failover|Region,Theta,Challenger,wape,0.037595,AutoARIMA,0.038325,0.00073,300,0,0,GENERATED_P5,"STALE_ACTUALS_SOURCE, latest date 2023-07-20; 15 governed model backtests DO NOT exist yet; must be generated in P5"
V6_24_MVP_0114,CPU__Failover__Region__BRA-Go-Local,CPU,UNKNOWN_SOURCE_DOES_NOT_CARRY_DBTYPE,Failover,Region,BRA-Go Local,CPU|Organic|Failover|Region,Theta,Challenger,wape,0.046281,FixedGrowth_1_5,0.046512,0.000231,300,0,0,GENERATED_P5,"STALE_ACTUALS_SOURCE, latest date 2023-07-20; 15 governed model backtests DO NOT exist yet; must be generated in P5"
V6_24_MVP_0115,CPU__Failover__Region__CAN-Go-Local,CPU,UNKNOWN_SOURCE_DOES_NOT_CARRY_DBTYPE,Failover,Region,CAN-Go Local,CPU|Organic|Failover|Region,AutoARIMA,Challenger,wape,0.037697,Theta,0.038621,0.000924,300,0,0,GENERATED_P5,"STALE_ACTUALS_SOURCE, latest date 2023-07-20; 15 governed model backtests DO NOT exist yet; must be generated in P5"
V6_24_MVP_0116,CPU__Failover__Region__CHE-Go-Local,CPU,UNKNOWN_SOURCE_DOES_NOT_CARRY_DBTYPE,Failover,Region,CHE-Go Local,CPU|Organic|Failover|Region,XGBoost,Challenger,wape,0.049694,AutoARIMA,0.050001,0.000307,300,0,0,GENERATED_P5,"STALE_ACTUALS_SOURCE, latest date 2023-07-20; 15 governed model backtests DO NOT exist yet; must be generated in P5"
V6_24_MVP_0117,CPU__Failover__Region__CHN-Gallatin,CPU,UNKNOWN_SOURCE_DOES_NOT_CARRY_DBTYPE,Failover,Region,CHN-Gallatin,CPU|Organic|Failover|Region,XGBoost,Challenger,wape,0.042934,LightGBM,0.043699,0.000765,297,0,0,GENERATED_P5,"STALE_ACTUALS_SOURCE, latest date 2023-07-20; 15 governed model backtests DO NOT exist yet; must be generated in P5"
V6_24_MVP_0118,CPU__Failover__Region__DEU-Go-Local,CPU,UNKNOWN_SOURCE_DOES_NOT_CARRY_DBTYPE,Failover,Region,DEU-Go Local,CPU|Organic|Failover|Region,Theta,Challenger,wape,0.040652,FixedGrowth_1_5,0.041163,0.000511,300,0,0,GENERATED_P5,"STALE_ACTUALS_SOURCE, latest date 2023-07-20; 15 governed model backtests DO NOT exist yet; must be generated in P5"
V6_24_MVP_0119,CPU__Failover__Region__EUR-MSIT,CPU,UNKNOWN_SOURCE_DOES_NOT_CARRY_DBTYPE,Failover,Region,EUR-MSIT,CPU|Organic|Failover|Region,AutoARIMA,Challenger,wape,0.070456,LinearRegression,0.083645,0.013189,300,0,0,GENERATED_P5,"STALE_ACTUALS_SOURCE, latest date 2023-07-20; 15 governed model backtests DO NOT exist yet; must be generated in P5"
V6_24_MVP_0120,CPU__Failover__Region__FRA-Go-Local,CPU,UNKNOWN_SOURCE_DOES_NOT_CARRY_DBTYPE,Failover,Region,FRA-Go Local,CPU|Organic|Failover|Region,LightGBM,Challenger,wape,0.03072,XGBoost,0.031606,0.000886,300,0,0,GENERATED_P5,"STALE_ACTUALS_SOURCE, latest date 2023-07-20; 15 governed model backtests DO NOT exist yet; must be generated in P5"
V6_24_MVP_0001,HDD__Basilisk__NA__Forest__apcp150,HDD,Basilisk,NOT_APPLICABLE,Forest,apcp150,HDD|Organic|Basilisk|Forest,FNAR-V2,Neural,smape,2.0,SMLP-TCN,2.0,0.0,150,0,0,REUSED_HDD_EXISTING_ARTIFACT,"Reused from the local v6_17 artifact, not recomputed in P5. Lineage: R6P1-20260812T100822. train_start_date and burn_in_count are NOT_PRESENT_IN_SOURCE."
V6_24_MVP_0002,HDD__Basilisk__NA__Forest__chnpr01,HDD,Basilisk,NOT_APPLICABLE,Forest,chnpr01,HDD|Organic|Basilisk|Forest,FNAR-V2,Neural,smape,2.0,SMLP-TCN,2.0,0.0,150,0,0,REUSED_HDD_EXISTING_ARTIFACT,"Reused from the local v6_17 artifact, not recomputed in P5. Lineage: R6P1-20260812T100822. train_start_date and burn_in_count are NOT_PRESENT_IN_SOURCE."
V6_24_MVP_0003,HDD__Basilisk__NA__Forest__eurp180,HDD,Basilisk,NOT_APPLICABLE,Forest,eurp180,HDD|Organic|Basilisk|Forest,FNAR-V2,Neural,smape,2.0,SMLP-TCN,2.0,0.0,150,0,0,REUSED_HDD_EXISTING_ARTIFACT,"Reused from the local v6_17 artifact, not recomputed in P5. Lineage: R6P1-20260812T100822. train_start_date and burn_in_count are NOT_PRESENT_IN_SOURCE."
V6_24_MVP_0004,HDD__Basilisk__NA__Forest__eurprd07,HDD,Basilisk,NOT_APPLICABLE,Forest,eurprd07,HDD|Organic|Basilisk|Forest,ETS_Current,Baseline,wape,0.016495,FixedGrowth_6,0.019601,0.003106,150,0,0,REUSED_HDD_EXISTING_ARTIFACT,"Reused from the local v6_17 artifact, not recomputed in P5. Lineage: R6P1-20260812T100822. train_start_date and burn_in_count are NOT_PRESENT_IN_SOURCE."
V6_24_MVP_0005,HDD__Basilisk__NA__Forest__jpnprd01,HDD,Basilisk,NOT_APPLICABLE,Forest,jpnprd01,HDD|Organic|Basilisk|Forest,ETS_Current,Baseline,wape,0.043923,FixedGrowth_6,0.045087,0.001165,150,0,0,REUSED_HDD_EXISTING_ARTIFACT,"Reused from the local v6_17 artifact, not recomputed in P5. Lineage: R6P1-20260812T100822. train_start_date and burn_in_count are NOT_PRESENT_IN_SOURCE."
V6_24_MVP_0006,HDD__Basilisk__NA__Forest__namp113,HDD,Basilisk,NOT_APPLICABLE,Forest,namp113,HDD|Organic|Basilisk|Forest,ETS_Current,Baseline,wape,0.184463,ETS Explicit,0.197167,0.012704,150,0,0,REUSED_HDD_EXISTING_ARTIFACT,"Reused from the local v6_17 artifact, not recomputed in P5. Lineage: R6P1-20260812T100822. train_start_date and burn_in_count are NOT_PRESENT_IN_SOURCE."
V6_24_MVP_0007,HDD__Basilisk__NA__Forest__namp157,HDD,Basilisk,NOT_APPLICABLE,Forest,namp157,HDD|Organic|Basilisk|Forest,FNAR-V2,Neural,smape,2.0,SMLP-TCN,2.0,0.0,150,0,0,REUSED_HDD_EXISTING_ARTIFACT,"Reused from the local v6_17 artifact, not recomputed in P5. Lineage: R6P1-20260812T100822. train_start_date and burn_in_count are NOT_PRESENT_IN_SOURCE."
V6_24_MVP_0008,HDD__Basilisk__NA__Forest__namp222,HDD,Basilisk,NOT_APPLICABLE,Forest,namp222,HDD|Organic|Basilisk|Forest,ARIMA_Fixed,Baseline,wape,0.772506,ETS Explicit,0.772506,0.0,150,0,27,REUSED_HDD_EXISTING_ARTIFACT,"Reused from the local v6_17 artifact, not recomputed in P5. Lineage: R6P1-20260812T100822. train_start_date and burn_in_count are NOT_PRESENT_IN_SOURCE."
V6_24_MVP_0009,HDD__Basilisk__NA__Forest__namprd15,HDD,Basilisk,NOT_APPLICABLE,Forest,namprd15,HDD|Organic|Basilisk|Forest,FixedGrowth_3,Baseline,wape,0.006305,FixedGrowth_4,0.007283,0.000978,150,0,0,REUSED_HDD_EXISTING_ARTIFACT,"Reused from the local v6_17 artifact, not recomputed in P5. Lineage: R6P1-20260812T100822. train_start_date and burn_in_count are NOT_PRESENT_IN_SOURCE."
V6_24_MVP_0010,HDD__Basilisk__NA__Region__GBR-Go-Local,HDD,Basilisk,NOT_APPLICABLE,Region,GBR-Go Local,HDD|Organic|Basilisk|Region,FixedGrowth_6,Baseline,wape,0.007311,AutoARIMA,0.009154,0.001843,150,0,0,REUSED_HDD_EXISTING_ARTIFACT,"Reused from the local v6_17 artifact, not recomputed in P5. Lineage: R6P1-20260812T100822. train_start_date and burn_in_count are NOT_PRESENT_IN_SOURCE."
V6_24_MVP_0011,HDD__Basilisk__NA__Region__ITA-Go-Local,HDD,Basilisk,NOT_APPLICABLE,Region,ITA-Go Local,HDD|Organic|Basilisk|Region,FNAR-V2,Neural,smape,2.0,SMLP-TCN,2.0,0.0,150,0,0,REUSED_HDD_EXISTING_ARTIFACT,"Reused from the local v6_17 artifact, not recomputed in P5. Lineage: R6P1-20260812T100822. train_start_date and burn_in_count are NOT_PRESENT_IN_SOURCE."
V6_24_MVP_0012,HDD__Basilisk__NA__Region__are-Go-Local,HDD,Basilisk,NOT_APPLICABLE,Region,are-Go Local,HDD|Organic|Basilisk|Region,ETS_Current,Baseline,wape,0.013495,ETS Explicit,0.014956,0.001461,150,0,0,REUSED_HDD_EXISTING_ARTIFACT,"Reused from the local v6_17 artifact, not recomputed in P5. Lineage: R6P1-20260812T100822. train_start_date and burn_in_count are NOT_PRESENT_IN_SOURCE."
V6_24_MVP_0013,HDD__Basilisk__NA__Region__chl-Go-Local,HDD,Basilisk,NOT_APPLICABLE,Region,chl-Go Local,HDD|Organic|Basilisk|Region,FNAR-V2,Neural,smape,2.0,SMLP-TCN,2.0,0.0,150,0,0,REUSED_HDD_EXISTING_ARTIFACT,"Reused from the local v6_17 artifact, not recomputed in P5. Lineage: R6P1-20260812T100822. train_start_date and burn_in_count are NOT_PRESENT_IN_SOURCE."
V6_24_MVP_0014,HDD__Basilisk__NA__Region__fra-Go-Local,HDD,Basilisk,NOT_APPLICABLE,Region,fra-Go Local,HDD|Organic|Basilisk|Region,AutoARIMA,Challenger,wape,0.015038,ARIMA_Fixed,0.015777,0.00074,150,0,0,REUSED_HDD_EXISTING_ARTIFACT,"Reused from the local v6_17 artifact, not recomputed in P5. Lineage: R6P1-20260812T100822. train_start_date and burn_in_count are NOT_PRESENT_IN_SOURCE."
V6_24_MVP_0015,HDD__Basilisk__NA__Region__kor-Go-Local,HDD,Basilisk,NOT_APPLICABLE,Region,kor-Go Local,HDD|Organic|Basilisk|Region,ARIMA_Fixed,Baseline,wape,0.000666,ETS Explicit,0.000679,1.4e-05,150,0,0,REUSED_HDD_EXISTING_ARTIFACT,"Reused from the local v6_17 artifact, not recomputed in P5. Lineage: R6P1-20260812T100822. train_start_date and burn_in_count are NOT_PRESENT_IN_SOURCE."
V6_24_MVP_0016,HDD__Basilisk__NA__Region__nam-ITAR-GCCH,HDD,Basilisk,NOT_APPLICABLE,Region,nam-ITAR GCCH,HDD|Organic|Basilisk|Region,FNAR-V2,Neural,smape,2.0,SMLP-TCN,2.0,0.0,150,0,0,REUSED_HDD_EXISTING_ARTIFACT,"Reused from the local v6_17 artifact, not recomputed in P5. Lineage: R6P1-20260812T100822. train_start_date and burn_in_count are NOT_PRESENT_IN_SOURCE."
V6_24_MVP_0017,HDD__Basilisk__NA__Region__nzl-Go-Local,HDD,Basilisk,NOT_APPLICABLE,Region,nzl-Go Local,HDD|Organic|Basilisk|Region,FNAR-V2,Neural,smape,2.0,SMLP-TCN,2.0,0.0,150,0,0,REUSED_HDD_EXISTING_ARTIFACT,"Reused from the local v6_17 artifact, not recomputed in P5. Lineage: R6P1-20260812T100822. train_start_date and burn_in_count are NOT_PRESENT_IN_SOURCE."
V6_24_MVP_0018,HDD__EDB__Consumer__Forest__CANPRD01,HDD,EDB,NOT_APPLICABLE,Forest,CANPRD01,HDD|Organic|EDB|Consumer|Forest,XGBoost,Challenger,wape,0.058425,Theta,0.059098,0.000673,330,0,0,REUSED_HDD_EXISTING_ARTIFACT,"Reused from the local v6_17 artifact, not recomputed in P5. Lineage: R6P1-20260812T100822. train_start_date and burn_in_count are NOT_PRESENT_IN_SOURCE."
V6_24_MVP_0019,HDD__EDB__Consumer__Forest__EURP179,HDD,EDB,NOT_APPLICABLE,Forest,EURP179,HDD|Organic|EDB|Consumer|Forest,FNAR-V2,Neural,smape,2.0,SMLP-TCN,2.0,0.0,330,0,0,REUSED_HDD_EXISTING_ARTIFACT,"Reused from the local v6_17 artifact, not recomputed in P5. Lineage: R6P1-20260812T100822. train_start_date and burn_in_count are NOT_PRESENT_IN_SOURCE."
V6_24_MVP_0020,HDD__EDB__Consumer__Forest__EURP309,HDD,EDB,NOT_APPLICABLE,Forest,EURP309,HDD|Organic|EDB|Consumer|Forest,FNAR-V2,Neural,smape,2.0,SMLP-TCN,2.0,0.0,330,0,0,REUSED_HDD_EXISTING_ARTIFACT,"Reused from the local v6_17 artifact, not recomputed in P5. Lineage: R6P1-20260812T100822. train_start_date and burn_in_count are NOT_PRESENT_IN_SOURCE."
V6_24_MVP_0021,HDD__EDB__Consumer__Forest__EURPRD07,HDD,EDB,NOT_APPLICABLE,Forest,EURPRD07,HDD|Organic|EDB|Consumer|Forest,ARIMA_Fixed,Baseline,wape,0.066178,ETS Explicit,0.067834,0.001656,330,0,0,REUSED_HDD_EXISTING_ARTIFACT,"Reused from the local v6_17 artifact, not recomputed in P5. Lineage: R6P1-20260812T100822. train_start_date and burn_in_count are NOT_PRESENT_IN_SOURCE."
V6_24_MVP_0022,HDD__EDB__Consumer__Forest__JPNPRD01,HDD,EDB,NOT_APPLICABLE,Forest,JPNPRD01,HDD|Organic|EDB|Consumer|Forest,LightGBM,Challenger,wape,0.006472,XGBoost,0.008501,0.002029,330,0,0,REUSED_HDD_EXISTING_ARTIFACT,"Reused from the local v6_17 artifact, not recomputed in P5. Lineage: R6P1-20260812T100822. train_start_date and burn_in_count are NOT_PRESENT_IN_SOURCE."
V6_24_MVP_0023,HDD__EDB__Consumer__Forest__NAMP115,HDD,EDB,NOT_APPLICABLE,Forest,NAMP115,HDD|Organic|EDB|Consumer|Forest,FNAR-V2,Neural,smape,2.0,SMLP-TCN,2.0,0.0,330,0,0,REUSED_HDD_EXISTING_ARTIFACT,"Reused from the local v6_17 artifact, not recomputed in P5. Lineage: R6P1-20260812T100822. train_start_date and burn_in_count are NOT_PRESENT_IN_SOURCE."
V6_24_MVP_0024,HDD__EDB__Consumer__Forest__NAMP159,HDD,EDB,NOT_APPLICABLE,Forest,NAMP159,HDD|Organic|EDB|Consumer|Forest,FNAR-V2,Neural,smape,2.0,SMLP-TCN,2.0,0.0,330,0,0,REUSED_HDD_EXISTING_ARTIFACT,"Reused from the local v6_17 artifact, not recomputed in P5. Lineage: R6P1-20260812T100822. train_start_date and burn_in_count are NOT_PRESENT_IN_SOURCE."
V6_24_MVP_0025,HDD__EDB__Consumer__Forest__NAMP283,HDD,EDB,NOT_APPLICABLE,Forest,NAMP283,HDD|Organic|EDB|Consumer|Forest,FixedGrowth_1_5,Baseline,wape,0.106615,FixedGrowth_3,0.107791,0.001175,330,0,0,REUSED_HDD_EXISTING_ARTIFACT,"Reused from the local v6_17 artifact, not recomputed in P5. Lineage: R6P1-20260812T100822. train_start_date and burn_in_count are NOT_PRESENT_IN_SOURCE."
V6_24_MVP_0026,HDD__EDB__Consumer__Forest__NAMPRD16,HDD,EDB,NOT_APPLICABLE,Forest,NAMPRD16,HDD|Organic|EDB|Consumer|Forest,SMLP-TCN,Neural,wape,0.087939,FixedGrowth_1_5,0.090755,0.002816,330,0,0,REUSED_HDD_EXISTING_ARTIFACT,"Reused from the local v6_17 artifact, not recomputed in P5. Lineage: R6P1-20260812T100822. train_start_date and burn_in_count are NOT_PRESENT_IN_SOURCE."
V6_24_MVP_0027,HDD__EDB__Consumer__Region__APC-MSIT,HDD,EDB,NOT_APPLICABLE,Region,APC-MSIT,HDD|Organic|EDB|Consumer|Region,AutoARIMA,Challenger,wape,1.0,NLIN-DLIN_FIXED,1.0,0.0,330,0,13,REUSED_HDD_EXISTING_ARTIFACT,"Reused from the local v6_17 artifact, not recomputed in P5. Lineage: R6P1-20260812T100822. train_start_date and burn_in_count are NOT_PRESENT_IN_SOURCE."
V6_24_MVP_0028,HDD__EDB__Consumer__Region__CAN-Go-Local,HDD,EDB,NOT_APPLICABLE,Region,CAN-Go Local,HDD|Organic|EDB|Consumer|Region,Theta,Challenger,wape,0.016555,AutoARIMA,0.019697,0.003142,330,0,0,REUSED_HDD_EXISTING_ARTIFACT,"Reused from the local v6_17 artifact, not recomputed in P5. Lineage: R6P1-20260812T100822. train_start_date and burn_in_count are NOT_PRESENT_IN_SOURCE."
V6_24_MVP_0029,HDD__EDB__Consumer__Region__EUR-Dedicated,HDD,EDB,NOT_APPLICABLE,Region,EUR-Dedicated,HDD|Organic|EDB|Consumer|Region,FNAR-V2,Neural,smape,2.0,SMLP-TCN,2.0,0.0,330,0,0,REUSED_HDD_EXISTING_ARTIFACT,"Reused from the local v6_17 artifact, not recomputed in P5. Lineage: R6P1-20260812T100822. train_start_date and burn_in_count are NOT_PRESENT_IN_SOURCE."
V6_24_MVP_0030,HDD__EDB__Consumer__Region__IDN-Go-Local,HDD,EDB,NOT_APPLICABLE,Region,IDN-Go Local,HDD|Organic|EDB|Consumer|Region,FNAR-V2,Neural,smape,2.0,SMLP-TCN,2.0,0.0,330,0,0,REUSED_HDD_EXISTING_ARTIFACT,"Reused from the local v6_17 artifact, not recomputed in P5. Lineage: R6P1-20260812T100822. train_start_date and burn_in_count are NOT_PRESENT_IN_SOURCE."
V6_24_MVP_0031,HDD__EDB__Consumer__Region__LAM-Multitenant,HDD,EDB,NOT_APPLICABLE,Region,LAM-Multitenant,HDD|Organic|EDB|Consumer|Region,ARIMA_Fixed,Baseline,wape,0.011205,ETS_Current,0.018213,0.007008,330,0,0,REUSED_HDD_EXISTING_ARTIFACT,"Reused from the local v6_17 artifact, not recomputed in P5. Lineage: R6P1-20260812T100822. train_start_date and burn_in_count are NOT_PRESENT_IN_SOURCE."
V6_24_MVP_0032,HDD__EDB__Consumer__Region__NAM-ITAR-DoD,HDD,EDB,NOT_APPLICABLE,Region,NAM-ITAR DoD,HDD|Organic|EDB|Consumer|Region,FNAR-V2,Neural,smape,2.0,SMLP-TCN,2.0,0.0,330,0,0,REUSED_HDD_EXISTING_ARTIFACT,"Reused from the local v6_17 artifact, not recomputed in P5. Lineage: R6P1-20260812T100822. train_start_date and burn_in_count are NOT_PRESENT_IN_SOURCE."
V6_24_MVP_0033,HDD__EDB__Consumer__Region__NAM-MSIT,HDD,EDB,NOT_APPLICABLE,Region,NAM-MSIT,HDD|Organic|EDB|Consumer|Region,NLIN-DLIN_FIXED,Neural,wape,1.0,AutoARIMA,1.319764,0.319764,330,0,95,REUSED_HDD_EXISTING_ARTIFACT,"Reused from the local v6_17 artifact, not recomputed in P5. Lineage: R6P1-20260812T100822. train_start_date and burn_in_count are NOT_PRESENT_IN_SOURCE."
V6_24_MVP_0034,HDD__EDB__Consumer__Region__POL-Go-Local,HDD,EDB,NOT_APPLICABLE,Region,POL-Go Local,HDD|Organic|EDB|Consumer|Region,FixedGrowth_1_5,Baseline,wape,0.029091,Theta,0.030602,0.001511,330,0,0,REUSED_HDD_EXISTING_ARTIFACT,"Reused from the local v6_17 artifact, not recomputed in P5. Lineage: R6P1-20260812T100822. train_start_date and burn_in_count are NOT_PRESENT_IN_SOURCE."
V6_24_MVP_0035,HDD__EDB__Enterprise__Forest__CHNPR01,HDD,EDB,NOT_APPLICABLE,Forest,CHNPR01,HDD|Organic|EDB|Enterprise|Forest,ETS Explicit,Challenger,wape,9.963438,NLIN-DLIN_FIXED,10.649584,0.686146,330,300,0,REUSED_HDD_EXISTING_ARTIFACT,"Reused from the local v6_17 artifact, not recomputed in P5. Lineage: R6P1-20260812T100822. train_start_date and burn_in_count are NOT_PRESENT_IN_SOURCE."
V6_24_MVP_0036,HDD__EDB__Enterprise__Forest__EURP192,HDD,EDB,NOT_APPLICABLE,Forest,EURP192,HDD|Organic|EDB|Enterprise|Forest,XGBoost,Challenger,wape,0.009275,ETS_Current,0.009302,2.7e-05,330,0,0,REUSED_HDD_EXISTING_ARTIFACT,"Reused from the local v6_17 artifact, not recomputed in P5. Lineage: R6P1-20260812T100822. train_start_date and burn_in_count are NOT_PRESENT_IN_SOURCE."
V6_24_MVP_0037,HDD__EDB__Enterprise__Forest__EURP309,HDD,EDB,NOT_APPLICABLE,Forest,EURP309,HDD|Organic|EDB|Enterprise|Forest,AutoARIMA,Challenger,wape,0.039106,ARIMA_Fixed,0.044168,0.005062,330,0,0,REUSED_HDD_EXISTING_ARTIFACT,"Reused from the local v6_17 artifact, not recomputed in P5. Lineage: R6P1-20260812T100822. train_start_date and burn_in_count are NOT_PRESENT_IN_SOURCE."
V6_24_MVP_0038,HDD__EDB__Enterprise__Forest__GBRP265,HDD,EDB,NOT_APPLICABLE,Forest,GBRP265,HDD|Organic|EDB|Enterprise|Forest,FixedGrowth_1_5,Baseline,wape,0.013076,ETS Explicit,0.013921,0.000846,330,0,0,REUSED_HDD_EXISTING_ARTIFACT,"Reused from the local v6_17 artifact, not recomputed in P5. Lineage: R6P1-20260812T100822. train_start_date and burn_in_count are NOT_PRESENT_IN_SOURCE."
V6_24_MVP_0039,HDD__EDB__Enterprise__Forest__NAMP103,HDD,EDB,NOT_APPLICABLE,Forest,NAMP103,HDD|Organic|EDB|Enterprise|Forest,Theta,Challenger,wape,0.046589,NLIN-DLIN_FIXED,0.046621,3.2e-05,330,0,0,REUSED_HDD_EXISTING_ARTIFACT,"Reused from the local v6_17 artifact, not recomputed in P5. Lineage: R6P1-20260812T100822. train_start_date and burn_in_count are NOT_PRESENT_IN_SOURCE."
V6_24_MVP_0040,HDD__EDB__Enterprise__Forest__NAMP134,HDD,EDB,NOT_APPLICABLE,Forest,NAMP134,HDD|Organic|EDB|Enterprise|Forest,FixedGrowth_1_5,Baseline,wape,0.00194,ETS_Current,0.002254,0.000314,330,0,0,REUSED_HDD_EXISTING_ARTIFACT,"Reused from the local v6_17 artifact, not recomputed in P5. Lineage: R6P1-20260812T100822. train_start_date and burn_in_count are NOT_PRESENT_IN_SOURCE."
V6_24_MVP_0041,HDD__EDB__Enterprise__Forest__NAMP220,HDD,EDB,NOT_APPLICABLE,Forest,NAMP220,HDD|Organic|EDB|Enterprise|Forest,FixedGrowth_1_5,Baseline,wape,0.005255,ETS_Current,0.00573,0.000475,330,0,0,REUSED_HDD_EXISTING_ARTIFACT,"Reused from the local v6_17 artifact, not recomputed in P5. Lineage: R6P1-20260812T100822. train_start_date and burn_in_count are NOT_PRESENT_IN_SOURCE."
