cohort_id,series_id,metric,models_present,expected_models,backtest_rows,generated_or_reused_status,manifest_has_15_model_backtests_original,derived_has_15_model_backtests,readiness_result,notes
V6_24_MVP_0013,HDD__Basilisk__NA__Region__chl-Go-Local,HDD,15,15,2250,REUSED_HDD_EXISTING_ARTIFACT,TRUE,TRUE,PASS,Derived from model_backtests_15_models; the manifest flag agrees.
V6_24_MVP_0014,HDD__Basilisk__NA__Region__fra-Go-Local,HDD,15,15,2250,REUSED_HDD_EXISTING_ARTIFACT,TRUE,TRUE,PASS,Derived from model_backtests_15_models; the manifest flag agrees.
V6_24_MVP_0015,HDD__Basilisk__NA__Region__kor-Go-Local,HDD,15,15,2250,REUSED_HDD_EXISTING_ARTIFACT,TRUE,TRUE,PASS,Derived from model_backtests_15_models; the manifest flag agrees.
V6_24_MVP_0016,HDD__Basilisk__NA__Region__nam-ITAR-GCCH,HDD,15,15,2250,REUSED_HDD_EXISTING_ARTIFACT,TRUE,TRUE,PASS,Derived from model_backtests_15_models; the manifest flag agrees.
V6_24_MVP_0017,HDD__Basilisk__NA__Region__nzl-Go-Local,HDD,15,15,2250,REUSED_HDD_EXISTING_ARTIFACT,TRUE,TRUE,PASS,Derived from model_backtests_15_models; the manifest flag agrees.
V6_24_MVP_0018,HDD__EDB__Consumer__Forest__CANPRD01,HDD,15,15,4950,REUSED_HDD_EXISTING_ARTIFACT,TRUE,TRUE,PASS,Derived from model_backtests_15_models; the manifest flag agrees.
V6_24_MVP_0019,HDD__EDB__Consumer__Forest__EURP179,HDD,15,15,4950,REUSED_HDD_EXISTING_ARTIFACT,TRUE,TRUE,PASS,Derived from model_backtests_15_models; the manifest flag agrees.
V6_24_MVP_0020,HDD__EDB__Consumer__Forest__EURP309,HDD,15,15,4950,REUSED_HDD_EXISTING_ARTIFACT,TRUE,TRUE,PASS,Derived from model_backtests_15_models; the manifest flag agrees.
V6_24_MVP_0021,HDD__EDB__Consumer__Forest__EURPRD07,HDD,15,15,4950,REUSED_HDD_EXISTING_ARTIFACT,TRUE,TRUE,PASS,Derived from model_backtests_15_models; the manifest flag agrees.
V6_24_MVP_0022,HDD__EDB__Consumer__Forest__JPNPRD01,HDD,15,15,4950,REUSED_HDD_EXISTING_ARTIFACT,TRUE,TRUE,PASS,Derived from model_backtests_15_models; the manifest flag agrees.
V6_24_MVP_0023,HDD__EDB__Consumer__Forest__NAMP115,HDD,15,15,4950,REUSED_HDD_EXISTING_ARTIFACT,TRUE,TRUE,PASS,Derived from model_backtests_15_models; the manifest flag agrees.
V6_24_MVP_0024,HDD__EDB__Consumer__Forest__NAMP159,HDD,15,15,4950,REUSED_HDD_EXISTING_ARTIFACT,TRUE,TRUE,PASS,Derived from model_backtests_15_models; the manifest flag agrees.
V6_24_MVP_0025,HDD__EDB__Consumer__Forest__NAMP283,HDD,15,15,4950,REUSED_HDD_EXISTING_ARTIFACT,TRUE,TRUE,PASS,Derived from model_backtests_15_models; the manifest flag agrees.
V6_24_MVP_0026,HDD__EDB__Consumer__Forest__NAMPRD16,HDD,15,15,4950,REUSED_HDD_EXISTING_ARTIFACT,TRUE,TRUE,PASS,Derived from model_backtests_15_models; the manifest flag agrees.
V6_24_MVP_0027,HDD__EDB__Consumer__Region__APC-MSIT,HDD,15,15,4950,REUSED_HDD_EXISTING_ARTIFACT,TRUE,TRUE,PASS,Derived from model_backtests_15_models; the manifest flag agrees.
V6_24_MVP_0028,HDD__EDB__Consumer__Region__CAN-Go-Local,HDD,15,15,4950,REUSED_HDD_EXISTING_ARTIFACT,TRUE,TRUE,PASS,Derived from model_backtests_15_models; the manifest flag agrees.
V6_24_MVP_0029,HDD__EDB__Consumer__Region__EUR-Dedicated,HDD,15,15,4950,REUSED_HDD_EXISTING_ARTIFACT,TRUE,TRUE,PASS,Derived from model_backtests_15_models; the manifest flag agrees.
V6_24_MVP_0030,HDD__EDB__Consumer__Region__IDN-Go-Local,HDD,15,15,4950,REUSED_HDD_EXISTING_ARTIFACT,TRUE,TRUE,PASS,Derived from model_backtests_15_models; the manifest flag agrees.
V6_24_MVP_0031,HDD__EDB__Consumer__Region__LAM-Multitenant,HDD,15,15,4950,REUSED_HDD_EXISTING_ARTIFACT,TRUE,TRUE,PASS,Derived from model_backtests_15_models; the manifest flag agrees.
V6_24_MVP_0032,HDD__EDB__Consumer__Region__NAM-ITAR-DoD,HDD,15,15,4950,REUSED_HDD_EXISTING_ARTIFACT,TRUE,TRUE,PASS,Derived from model_backtests_15_models; the manifest flag agrees.
V6_24_MVP_0033,HDD__EDB__Consumer__Region__NAM-MSIT,HDD,15,15,4950,REUSED_HDD_EXISTING_ARTIFACT,TRUE,TRUE,PASS,Derived from model_backtests_15_models; the manifest flag agrees.
V6_24_MVP_0034,HDD__EDB__Consumer__Region__POL-Go-Local,HDD,15,15,4950,REUSED_HDD_EXISTING_ARTIFACT,TRUE,TRUE,PASS,Derived from model_backtests_15_models; the manifest flag agrees.
V6_24_MVP_0035,HDD__EDB__Enterprise__Forest__CHNPR01,HDD,15,15,4950,REUSED_HDD_EXISTING_ARTIFACT,TRUE,TRUE,PASS,Derived from model_backtests_15_models; the manifest flag agrees.
V6_24_MVP_0036,HDD__EDB__Enterprise__Forest__EURP192,HDD,15,15,4950,REUSED_HDD_EXISTING_ARTIFACT,TRUE,TRUE,PASS,Derived from model_backtests_15_models; the manifest flag agrees.
V6_24_MVP_0037,HDD__EDB__Enterprise__Forest__EURP309,HDD,15,15,4950,REUSED_HDD_EXISTING_ARTIFACT,TRUE,TRUE,PASS,Derived from model_backtests_15_models; the manifest flag agrees.
V6_24_MVP_0038,HDD__EDB__Enterprise__Forest__GBRP265,HDD,15,15,4950,REUSED_HDD_EXISTING_ARTIFACT,TRUE,TRUE,PASS,Derived from model_backtests_15_models; the manifest flag agrees.
V6_24_MVP_0039,HDD__EDB__Enterprise__Forest__NAMP103,HDD,15,15,4950,REUSED_HDD_EXISTING_ARTIFACT,TRUE,TRUE,PASS,Derived from model_backtests_15_models; the manifest flag agrees.
V6_24_MVP_0040,HDD__EDB__Enterprise__Forest__NAMP134,HDD,15,15,4950,REUSED_HDD_EXISTING_ARTIFACT,TRUE,TRUE,PASS,Derived from model_backtests_15_models; the manifest flag agrees.
V6_24_MVP_0041,HDD__EDB__Enterprise__Forest__NAMP220,HDD,15,15,4950,REUSED_HDD_EXISTING_ARTIFACT,TRUE,TRUE,PASS,Derived from model_backtests_15_models; the manifest flag agrees.
V6_24_MVP_0042,HDD__EDB__Enterprise__Forest__NAMPRD14,HDD,15,15,4950,REUSED_HDD_EXISTING_ARTIFACT,TRUE,TRUE,PASS,Derived from model_backtests_15_models; the manifest flag agrees.
V6_24_MVP_0043,HDD__EDB__Enterprise__Region__APC-MSIT,HDD,15,15,5400,REUSED_HDD_EXISTING_ARTIFACT,TRUE,TRUE,PASS,Derived from model_backtests_15_models; the manifest flag agrees.
V6_24_MVP_0044,HDD__EDB__Enterprise__Region__CAN-Go-Local,HDD,15,15,5400,REUSED_HDD_EXISTING_ARTIFACT,TRUE,TRUE,PASS,Derived from model_backtests_15_models; the manifest flag agrees.
V6_24_MVP_0045,HDD__EDB__Enterprise__Region__CHL-Go-Local,HDD,15,15,4950,REUSED_HDD_EXISTING_ARTIFACT,TRUE,TRUE,PASS,Derived from model_backtests_15_models; the manifest flag agrees.
V6_24_MVP_0046,HDD__EDB__Enterprise__Region__EUR-Go-Local,HDD,15,15,4950,REUSED_HDD_EXISTING_ARTIFACT,TRUE,TRUE,PASS,Derived from model_backtests_15_models; the manifest flag agrees.
V6_24_MVP_0047,HDD__EDB__Enterprise__Region__EUR-Multitenant,HDD,15,15,5400,REUSED_HDD_EXISTING_ARTIFACT,TRUE,TRUE,PASS,Derived from model_backtests_15_models; the manifest flag agrees.
V6_24_MVP_0048,HDD__EDB__Enterprise__Region__ITA-Go-Local,HDD,15,15,5400,REUSED_HDD_EXISTING_ARTIFACT,TRUE,TRUE,PASS,Derived from model_backtests_15_models; the manifest flag agrees.
V6_24_MVP_0049,HDD__EDB__Enterprise__Region__NAM-Dedicated,HDD,15,15,5400,REUSED_HDD_EXISTING_ARTIFACT,TRUE,TRUE,PASS,Derived from model_backtests_15_models; the manifest flag agrees.
V6_24_MVP_0050,HDD__EDB__Enterprise__Region__NAM-SDF,HDD,15,15,5400,REUSED_HDD_EXISTING_ARTIFACT,TRUE,TRUE,PASS,Derived from model_backtests_15_models; the manifest flag agrees.
V6_24_MVP_0121,IOPS__Consumed__Region__APC-Multitenant,IOPS,15,15,4845,GENERATED_P5,FALSE,TRUE,PASS,"STALE MANIFEST FLAG CORRECTED: the manifest reads FALSE but the artifact holds 15 models across 4,845 backtest rows. Readiness derived from model_backtests_15_models, never from the flag."
V6_24_MVP_0122,IOPS__Consumed__Region__ARE-Go-Local,IOPS,15,15,4830,GENERATED_P5,FALSE,TRUE,PASS,"STALE MANIFEST FLAG CORRECTED: the manifest reads FALSE but the artifact holds 15 models across 4,830 backtest rows. Readiness derived from model_backtests_15_models, never from the flag."
V6_24_MVP_0123,IOPS__Consumed__Region__AUS-Go-Local,IOPS,15,15,4845,GENERATED_P5,FALSE,TRUE,PASS,"STALE MANIFEST FLAG CORRECTED: the manifest reads FALSE but the artifact holds 15 models across 4,845 backtest rows. Readiness derived from model_backtests_15_models, never from the flag."
V6_24_MVP_0124,IOPS__Consumed__Region__BRA-Go-Local,IOPS,15,15,4425,GENERATED_P5,FALSE,TRUE,PASS,"STALE MANIFEST FLAG CORRECTED: the manifest reads FALSE but the artifact holds 15 models across 4,425 backtest rows. Readiness derived from model_backtests_15_models, never from the flag."
V6_24_MVP_0125,IOPS__Consumed__Region__CAN-Go-Local,IOPS,15,15,4830,GENERATED_P5,FALSE,TRUE,PASS,"STALE MANIFEST FLAG CORRECTED: the manifest reads FALSE but the artifact holds 15 models across 4,830 backtest rows. Readiness derived from model_backtests_15_models, never from the flag."
V6_24_MVP_0126,IOPS__Consumed__Region__CHE-Go-Local,IOPS,15,15,4830,GENERATED_P5,FALSE,TRUE,PASS,"STALE MANIFEST FLAG CORRECTED: the manifest reads FALSE but the artifact holds 15 models across 4,830 backtest rows. Readiness derived from model_backtests_15_models, never from the flag."
V6_24_MVP_0127,IOPS__Consumed__Region__CHN-Gallatin,IOPS,15,15,4395,GENERATED_P5,FALSE,TRUE,PASS,"STALE MANIFEST FLAG CORRECTED: the manifest reads FALSE but the artifact holds 15 models across 4,395 backtest rows. Readiness derived from model_backtests_15_models, never from the flag."
V6_24_MVP_0128,IOPS__Consumed__Region__DEU-Go-Local,IOPS,15,15,4830,GENERATED_P5,FALSE,TRUE,PASS,"STALE MANIFEST FLAG CORRECTED: the manifest reads FALSE but the artifact holds 15 models across 4,830 backtest rows. Readiness derived from model_backtests_15_models, never from the flag."
V6_24_MVP_0129,IOPS__Consumed__Region__EUR-Multitenant,IOPS,15,15,4830,GENERATED_P5,FALSE,TRUE,PASS,"STALE MANIFEST FLAG CORRECTED: the manifest reads FALSE but the artifact holds 15 models across 4,830 backtest rows. Readiness derived from model_backtests_15_models, never from the flag."
V6_24_MVP_0130,IOPS__Consumed__Region__FRA-Go-Local,IOPS,15,15,4830,GENERATED_P5,FALSE,TRUE,PASS,"STALE MANIFEST FLAG CORRECTED: the manifest reads FALSE but the artifact holds 15 models across 4,830 backtest rows. Readiness derived from model_backtests_15_models, never from the flag."
V6_24_MVP_0131,IOPS__Failover__Region__APC-Multitenant,IOPS,15,15,4845,GENERATED_P5,FALSE,TRUE,PASS,"STALE MANIFEST FLAG CORRECTED: the manifest reads FALSE but the artifact holds 15 models across 4,845 backtest rows. Readiness derived from model_backtests_15_models, never from the flag."
V6_24_MVP_0132,IOPS__Failover__Region__ARE-Go-Local,IOPS,15,15,4830,GENERATED_P5,FALSE,TRUE,PASS,"STALE MANIFEST FLAG CORRECTED: the manifest reads FALSE but the artifact holds 15 models across 4,830 backtest rows. Readiness derived from model_backtests_15_models, never from the flag."
V6_24_MVP_0133,IOPS__Failover__Region__AUS-Go-Local,IOPS,15,15,4845,GENERATED_P5,FALSE,TRUE,PASS,"STALE MANIFEST FLAG CORRECTED: the manifest reads FALSE but the artifact holds 15 models across 4,845 backtest rows. Readiness derived from model_backtests_15_models, never from the flag."
V6_24_MVP_0134,IOPS__Failover__Region__BRA-Go-Local,IOPS,15,15,4425,GENERATED_P5,FALSE,TRUE,PASS,"STALE MANIFEST FLAG CORRECTED: the manifest reads FALSE but the artifact holds 15 models across 4,425 backtest rows. Readiness derived from model_backtests_15_models, never from the flag."
V6_24_MVP_0135,IOPS__Failover__Region__CAN-Go-Local,IOPS,15,15,4830,GENERATED_P5,FALSE,TRUE,PASS,"STALE MANIFEST FLAG CORRECTED: the manifest reads FALSE but the artifact holds 15 models across 4,830 backtest rows. Readiness derived from model_backtests_15_models, never from the flag."
V6_24_MVP_0136,IOPS__Failover__Region__CHE-Go-Local,IOPS,15,15,4830,GENERATED_P5,FALSE,TRUE,PASS,"STALE MANIFEST FLAG CORRECTED: the manifest reads FALSE but the artifact holds 15 models across 4,830 backtest rows. Readiness derived from model_backtests_15_models, never from the flag."
V6_24_MVP_0137,IOPS__Failover__Region__CHN-Gallatin,IOPS,15,15,4395,GENERATED_P5,FALSE,TRUE,PASS,"STALE MANIFEST FLAG CORRECTED: the manifest reads FALSE but the artifact holds 15 models across 4,395 backtest rows. Readiness derived from model_backtests_15_models, never from the flag."
V6_24_MVP_0138,IOPS__Failover__Region__DEU-Go-Local,IOPS,15,15,4830,GENERATED_P5,FALSE,TRUE,PASS,"STALE MANIFEST FLAG CORRECTED: the manifest reads FALSE but the artifact holds 15 models across 4,830 backtest rows. Readiness derived from model_backtests_15_models, never from the flag."
V6_24_MVP_0139,IOPS__Failover__Region__EUR-Multitenant,IOPS,15,15,4830,GENERATED_P5,FALSE,TRUE,PASS,"STALE MANIFEST FLAG CORRECTED: the manifest reads FALSE but the artifact holds 15 models across 4,830 backtest rows. Readiness derived from model_backtests_15_models, never from the flag."
V6_24_MVP_0140,IOPS__Failover__Region__FRA-Go-Local,IOPS,15,15,4830,GENERATED_P5,FALSE,TRUE,PASS,"STALE MANIFEST FLAG CORRECTED: the manifest reads FALSE but the artifact holds 15 models across 4,830 backtest rows. Readiness derived from model_backtests_15_models, never from the flag."
V6_24_MVP_0051,SSD__Phoenix__Forest__APCP150,SSD,15,15,4500,GENERATED_P5,FALSE,TRUE,PASS,"STALE MANIFEST FLAG CORRECTED: the manifest reads FALSE but the artifact holds 15 models across 4,500 backtest rows. Readiness derived from model_backtests_15_models, never from the flag."
V6_24_MVP_0052,SSD__Phoenix__Forest__APCPRD01,SSD,15,15,4500,GENERATED_P5,FALSE,TRUE,PASS,"STALE MANIFEST FLAG CORRECTED: the manifest reads FALSE but the artifact holds 15 models across 4,500 backtest rows. Readiness derived from model_backtests_15_models, never from the flag."
V6_24_MVP_0053,SSD__Phoenix__Forest__APCPRD02,SSD,15,15,4500,GENERATED_P5,FALSE,TRUE,PASS,"STALE MANIFEST FLAG CORRECTED: the manifest reads FALSE but the artifact holds 15 models across 4,500 backtest rows. Readiness derived from model_backtests_15_models, never from the flag."
V6_24_MVP_0054,SSD__Phoenix__Forest__AREP273,SSD,15,15,4500,GENERATED_P5,FALSE,TRUE,PASS,"STALE MANIFEST FLAG CORRECTED: the manifest reads FALSE but the artifact holds 15 models across 4,500 backtest rows. Readiness derived from model_backtests_15_models, never from the flag."
V6_24_MVP_0055,SSD__Phoenix__Forest__AUSP282,SSD,15,15,4500,GENERATED_P5,FALSE,TRUE,PASS,"STALE MANIFEST FLAG CORRECTED: the manifest reads FALSE but the artifact holds 15 models across 4,500 backtest rows. Readiness derived from model_backtests_15_models, never from the flag."
V6_24_MVP_0056,SSD__Phoenix__Forest__AUSP300,SSD,15,15,4500,GENERATED_P5,FALSE,TRUE,PASS,"STALE MANIFEST FLAG CORRECTED: the manifest reads FALSE but the artifact holds 15 models across 4,500 backtest rows. Readiness derived from model_backtests_15_models, never from the flag."
V6_24_MVP_0057,SSD__Phoenix__Forest__AUSPRD01,SSD,15,15,4500,GENERATED_P5,FALSE,TRUE,PASS,"STALE MANIFEST FLAG CORRECTED: the manifest reads FALSE but the artifact holds 15 models across 4,500 backtest rows. Readiness derived from model_backtests_15_models, never from the flag."
V6_24_MVP_0058,SSD__Phoenix__Forest__AUTP296,SSD,15,15,4500,GENERATED_P5,FALSE,TRUE,PASS,"STALE MANIFEST FLAG CORRECTED: the manifest reads FALSE but the artifact holds 15 models across 4,500 backtest rows. Readiness derived from model_backtests_15_models, never from the flag."
V6_24_MVP_0059,SSD__Phoenix__Forest__BRAP284,SSD,15,15,4500,GENERATED_P5,FALSE,TRUE,PASS,"STALE MANIFEST FLAG CORRECTED: the manifest reads FALSE but the artifact holds 15 models across 4,500 backtest rows. Readiness derived from model_backtests_15_models, never from the flag."
V6_24_MVP_0060,SSD__Phoenix__Forest__CANP288,SSD,15,15,4500,GENERATED_P5,FALSE,TRUE,PASS,"STALE MANIFEST FLAG CORRECTED: the manifest reads FALSE but the artifact holds 15 models across 4,500 backtest rows. Readiness derived from model_backtests_15_models, never from the flag."
V6_24_MVP_0061,SSD__Phoenix__Forest__CANPRD01,SSD,15,15,4500,GENERATED_P5,FALSE,TRUE,PASS,"STALE MANIFEST FLAG CORRECTED: the manifest reads FALSE but the artifact holds 15 models across 4,500 backtest rows. Readiness derived from model_backtests_15_models, never from the flag."
V6_24_MVP_0062,SSD__Phoenix__Forest__CHEP278,SSD,15,15,4500,GENERATED_P5,FALSE,TRUE,PASS,"STALE MANIFEST FLAG CORRECTED: the manifest reads FALSE but the artifact holds 15 models across 4,500 backtest rows. Readiness derived from model_backtests_15_models, never from the flag."
V6_24_MVP_0063,SSD__Phoenix__Forest__CHLP298,SSD,15,15,4500,GENERATED_P5,FALSE,TRUE,PASS,"STALE MANIFEST FLAG CORRECTED: the manifest reads FALSE but the artifact holds 15 models across 4,500 backtest rows. Readiness derived from model_backtests_15_models, never from the flag."
V6_24_MVP_0064,SSD__Phoenix__Forest__DEUP281,SSD,15,15,4500,GENERATED_P5,FALSE,TRUE,PASS,"STALE MANIFEST FLAG CORRECTED: the manifest reads FALSE but the artifact holds 15 models across 4,500 backtest rows. Readiness derived from model_backtests_15_models, never from the flag."
V6_24_MVP_0065,SSD__Phoenix__Forest__DNKP307,SSD,15,15,4500,GENERATED_P5,FALSE,TRUE,PASS,"STALE MANIFEST FLAG CORRECTED: the manifest reads FALSE but the artifact holds 15 models across 4,500 backtest rows. Readiness derived from model_backtests_15_models, never from the flag."
V6_24_MVP_0066,SSD__Phoenix__Forest__ESPP292,SSD,15,15,4500,GENERATED_P5,FALSE,TRUE,PASS,"STALE MANIFEST FLAG CORRECTED: the manifest reads FALSE but the artifact holds 15 models across 4,500 backtest rows. Readiness derived from model_backtests_15_models, never from the flag."
V6_24_MVP_0067,SSD__Phoenix__Forest__EURP107,SSD,15,15,4500,GENERATED_P5,FALSE,TRUE,PASS,"STALE MANIFEST FLAG CORRECTED: the manifest reads FALSE but the artifact holds 15 models across 4,500 backtest rows. Readiness derived from model_backtests_15_models, never from the flag."
